STE_CODE_2016,C06_Aus_BP_B_OS,C06_Aus_Fa_O_B_OS,C06_Aus_Mo_O_B_OS,C06_Aus_BP_B_Aus,C06_Aus_Bplace_NS,C06_Aus_Tot_resp,C06_Aus_Ab_BP_B_OS,C06_Aus_Ab_Fa_O_B_OS,C06_Aus_Ab_Mo_O_B_OS,C06_Aus_Ab_BP_B_Aus,C06_Aus_Abor_Bplace_NS,C06_Aus_Abor_Tot_respons,C06_Chi_BP_B_OS,C06_Chi_Fa_O_B_OS,C06_Chi_Mo_O_B_OS,C06_Chi_BP_B_Aus,C06_Chi_Bplace_NS,C06_Chi_Tot_resp,C06_Cro_BP_B_OS,C06_Cro_Fa_O_B_OS,C06_Cro_Mo_O_B_OS,C06_Cro_BP_B_Aus,C06_Cro_Bplace_NS,C06_Cro_Tot_resp,C06_Dut_BP_B_OS,C06_Dut_Fa_O_B_OS,C06_Dut_Mo_O_B_OS,C06_Dut_BP_B_Aus,C06_Dut_Bplace_NS,C06_Dut_Tot_resp,C06_Eng_BP_B_OS,C06_Eng_Fa_O_B_OS,C06_Eng_Mo_O_B_OS,C06_Eng_BP_B_Aus,C06_Eng_Bplace_NS,C06_Eng_Tot_resp,C06_Fil_BP_B_OS,C06_Fil_Fa_O_B_OS,C06_Fil_Mo_O_B_OS,C06_Fil_BP_B_Aus,C06_Fil_Bplace_NS,C06_Fil_Tot_resp,C06_Fre_BP_B_OS,C06_Fre_Fa_O_B_OS,C06_Fre_Mo_O_B_OS,C06_Fre_BP_B_Aus,C06_Fre_Bplace_NS,C06_Fre_Tot_resp,C06_Ger_BP_B_OS,C06_Ger_Fa_O_B_OS,C06_Ger_Mo_O_B_OS,C06_Ger_BP_B_Aus,C06_Ger_Bplace_NS,C06_Ger_Tot_resp,C06_Gre_BP_B_OS,C06_Gre_Fa_O_B_OS,C06_Gre_Mo_O_B_OS,C06_Gre_BP_B_Aus,C06_Gre_Bplace_NS,C06_Gre_Tot_resp,C06_Hun_BP_B_OS,C06_Hun_Fa_O_B_OS,C06_Hun_Mo_O_B_OS,C06_Hun_BP_B_Aus,C06_Hun_Bplace_NS,C06_Hun_Tot_resp,C06_Ind_BP_B_OS,C06_Ind_Fa_O_B_OS,C06_Ind_Mo_O_B_OS,C06_Ind_BP_B_Aus,C06_Ind_Bplace_NS,C06_Ind_Tot_resp,C06_Iri_BP_B_OS,C06_Iri_Fa_O_B_OS,C06_Iri_Mo_O_B_OS,C06_Iri_BP_B_Aus,C06_Iri_Bplace_NS,C06_Iri_Tot_resp,C06_Ita_BP_B_OS,C06_Ita_Fa_O_B_OS,C06_Ita_Mo_O_B_OS,C06_Ita_BP_B_Aus,C06_Ita_Bplace_NS,C06_Ita_Tot_resp,C06_Kor_BP_B_OS,C06_Kor_Fa_O_B_OS,C06_Kor_Mo_O_B_OS,C06_Kor_BP_B_Aus,C06_Kor_Bplace_NS,C06_Kor_Tot_resp,C06_Leb_BP_B_OS,C06_Leb_Fa_O_B_OS,C06_Leb_Mo_O_B_OS,C06_Leb_BP_B_Aus,C06_Leb_Bplace_NS,C06_Leb_Tot_resp,C06_Mac_BP_B_OS,C06_Mac_Fa_O_B_OS,C06_Mac_Mo_O_B_OS,C06_Mac_BP_B_Aus,C06_Mac_Bplace_NS,C06_Mac_Tot_resp,C06_Mal_BP_B_OS,C06_Mal_Fa_O_B_OS,C06_Mal_Mo_O_B_OS,C06_Mal_BP_B_Aus,C06_Mal_Bplace_NS,C06_Mal_Tot_resp,C06_Mao_BP_B_OS,C06_Mao_Fa_O_B_OS,C06_Mao_Mo_O_B_OS,C06_Mao_BP_B_Aus,C06_Mao_Bplace_NS,C06_Mao_Tot_resp,C06_NZ_BP_B_OS,C06_NZ_Fa_O_B_OS,C06_NZ_Mo_O_B_OS,C06_NZ_BP_B_Aus,C06_NZ_Bplace_NS,C06_NZ_Tot_resp,C06_Pol_BP_B_OS,C06_Pol_Fa_O_B_OS,C06_Pol_Mo_O_B_OS,C06_Pol_BP_B_Aus,C06_Pol_Bplace_NS,C06_Pol_Tot_resp,C06_Rus_BP_B_OS,C06_Rus_Fa_O_B_OS,C06_Rus_Mo_O_B_OS,C06_Rus_BP_B_Aus,C06_Rus_Birthplac_ns,C06_Rus_Tot_resp,C06_Sco_BP_B_OS,C06_Sco_Fa_O_B_OS,C06_Sco_Mo_O_B_OS,C06_Sco_BP_B_Aus,C06_Sco_Birthplac_ns,C06_Sco_Tot_resp,C06_Ser_BP_B_OS,C06_Ser_Fa_O_B_OS,C06_Ser_Mo_O_B_OS,C06_Ser_BP_B_Aus,C06_Ser_Bplace_NS,C06_Ser_Tot_resp,C06_SAf_BP_B_OS,C06_SAf_Fa_O_B_OS,C06_SAf_Mo_O_B_OS,C06_SAf_BP_B_Aus,C06_SAf_Bplace_NS,C06_SAf_Tot_resp,C06_Span_BP_B_OS,C06_Span_Fa_O_B_OS,C06_Span_Mo_O_B_OS,C06_Span_BP_B_Aus,C06_Span_Bplace_NS,C06_Span_Tot_resp,C06_Sinha_BP_B_OS,C06_Sinha_Fa_O_B_OS,C06_Sinha_Mo_O_B_OS,C06_Sinha_BP_B_Aus,C06_Sinha_Bplace_NS,C06_Sinha_Tot_resp,C06_Turk_BP_B_OS,C06_Turk_Fa_O_B_OS,C06_Turk_Mo_O_B_OS,C06_Turk_BP_B_Aus,C06_Turk_Bplace_NS,C06_Turk_Tot_resp,C06_Viet_BP_B_OS,C06_Viet_Fa_O_B_OS,C06_Viet_Mo_O_B_OS,C06_Viet_BP_B_Aus,C06_Viet_Bplace_NS,C06_Viet_Tot_resp,C06_Wel_BP_B_OS,C06_Wel_Fa_O_B_OS,C06_Wel_Mo_O_B_OS,C06_Wel_BP_B_Aus,C06_Wel_Bplace_NS,C06_Wel_Tot_resp,C06_Oth_BP_B_OS,C06_Oth_Fa_O_B_OS,C06_Oth_Mo_O_B_OS,C06_Oth_BP_B_Aus,C06_Oth_Bplace_NS,C06_Oth_Tot_resp,C06_Anc_ns_BP_B_OS,C06_Anc_ns_Fa_O_B_OS,C06_Anc_ns_Mo_O_B_OS,C06_Anc_ns_BP_B_Aus,C06_Anc_ns_Bplace_NS,C06_Anc_NS_T_resp,C06_T_P_BP_B_OS,C06_T_P_Fa_only_bor_os,C06_T_P_Mo_O_B_OS,C06_T_P_BP_B_Aus,C06_T_P_Bplace_NS,C06_T_P_Tot_resp,C11_Aus_BP_B_OS,C11_Aus_Fa_O_B_OS
1,52130,217571,149076,1897066,59954,2375793,389,829,308,17973,909,20415,280081,5029,6168,10475,6723,308473,30527,3464,1464,4370,916,40743,37584,11786,6824,15570,1160,72921,382099,168038,115827,1185805,49532,1901291,66146,1048,5290,542,2447,75470,15828,2825,1876,11706,625,32866,58073,16127,9964,108430,4046,196632,79346,11903,4716,23853,3100,122916,16678,2774,1093,2672,374,23581,92072,2326,1810,1359,2153,99724,76352,37173,23052,430053,12376,579000,120863,28714,10471,65486,5533,231058,37457,188,497,345,967,39447,99806,12541,4774,10585,5067,132771,28013,2312,859,2238,894,34317,34606,7937,4007,13630,1379,61552,21986,2912,1933,1718,1268,29815,27516,9006,6602,3294,1117,47539,31726,4449,2617,7037,800,46627,18443,1933,1299,3242,497,25419,88484,41177,28218,283457,8331,449666,28361,2473,970,2111,792,34701,21409,2081,1489,752,449,26173,27752,2071,1541,4151,1001,36509,19331,724,462,339,464,21318,19573,1353,628,486,755,22797,62015,422,702,382,2359,65886,12951,4218,2480,14123,573,34343,405195,39158,25920,41890,14646,526810,67447,9977,7410,99845,367008,551677,2089305,404613,264767,3267677,522814,6549174,53344,213232
2,34208,161356,109867,1344705,40171,1690309,229,257,109,3438,217,4247,172602,3105,3613,7147,3896,190364,30095,3292,1351,3415,810,38960,46725,14408,8288,19897,1587,90909,282366,124844,89030,864270,35270,1395777,31051,457,2984,288,1197,35975,11517,1887,1249,8541,555,23750,51972,14652,8892,88576,3386,167484,109245,13388,5488,24853,3928,156905,15551,2313,1050,2456,352,21730,64977,2055,1392,905,1356,70688,56359,29471,18058,337862,9495,451237,173667,33852,12922,80574,7586,308604,6485,36,117,110,152,6902,26637,3264,1183,2292,1369,34754,30130,2588,982,2734,1000,37433,40677,7588,3999,11399,1542,65213,10630,1256,1016,727,639,14264,17493,5550,4067,1680,566,29357,36547,4757,2813,7164,824,52109,15183,1417,908,2200,400,20104,68881,31280,22239,235096,6609,364108,24338,2090,936,1627,603,29599,12820,1376,1010,547,232,15993,13178,1270,914,3046,553,18960,33002,1701,1136,760,794,37395,26891,1944,842,718,1126,31517,59817,447,650,381,2348,63638,8611,2594,1617,9761,347,22933,270870,27135,17803,33338,10346,359485,54084,8039,5812,75019,243421,386373,1635103,315697,204452,2420583,356590,4932422,36423,161619
3,22281,142878,105459,1283815,38263,1592702,186,717,281,25790,917,27889,55461,2357,2603,9359,1356,71141,6937,1156,415,1237,191,9936,31987,9814,5882,13217,1014,61909,317236,117424,86305,826835,32207,1380013,20004,551,4165,468,819,26004,9982,1883,1296,7829,394,21375,40300,15354,9921,170747,4329,240643,11366,3805,1293,8604,538,25613,6571,1322,434,1293,172,9794,22121,1244,897,1213,575,26053,55187,25549,16815,308111,8168,413832,36631,13866,4930,46038,2248,103713,7831,47,125,157,206,8360,2709,809,302,1934,158,5918,1347,179,70,183,50,1821,6034,2196,1163,5125,296,14812,23338,2949,2232,1388,1171,31077,32365,8216,6141,2124,1125,49973,12356,2288,1329,5358,354,21688,5853,1131,648,2570,199,10402,73994,29277,20528,216430,6233,346461,7489,1073,372,1026,221,10176,13064,1077,835,504,183,15669,8666,1172,760,3879,369,14845,5024,426,278,350,97,6182,1809,241,73,100,59,2271,14647,247,283,106,534,15803,9068,2538,1633,9917,378,23537,140194,21881,16229,51321,6396,236024,21438,5806,4945,71768,220338,324292,849131,256618,182409,2310731,305647,3904531,24972,148549
4,8474,54745,39614,465418,13996,582248,69,207,114,6332,266,6987,22484,555,573,1185,569,25363,5403,723,316,952,166,7557,14129,4130,2526,4855,463,26103,146138,48644,38350,295472,12874,541474,6018,178,934,88,233,7446,2413,522,344,2801,106,6187,21094,7686,4817,79737,2193,115513,23258,3680,1444,8057,801,37240,3662,700,230,745,97,5432,8025,411,280,309,213,9238,19777,7455,4868,74055,2269,108422,47947,10128,3697,23249,2001,87011,1829,27,48,121,51,2078,2713,607,229,833,162,4551,971,121,79,217,36,1429,3285,902,482,1458,150,6277,1554,478,224,254,94,2606,3316,1349,897,366,140,6061,12041,1618,786,3272,315,18027,3717,392,265,636,98,5103,29134,9787,7372,62239,2141,110672,6319,742,287,632,170,8139,2787,241,254,130,47,3465,2402,313,201,755,120,3798,1569,143,87,110,28,1928,694,102,29,47,11,886,11419,322,171,102,470,12493,4794,1080,764,3475,126,10240,51718,6972,4187,10573,2119,75575,9620,2086,1576,23490,62957,99734,419010,102575,70587,825311,96854,1514340,8750,53165
5,16849,93815,69423,505379,18699,704165,111,385,126,16307,429,17357,50249,1131,1516,1944,1068,55909,9252,1914,819,3345,268,15591,22146,6197,3762,7415,659,40173,283062,78189,59860,292102,17802,731013,7573,179,1100,118,292,9269,5993,762,622,2384,208,9967,19887,4924,3587,24180,1182,53757,6506,1821,809,3764,290,13200,2908,521,248,477,71,4225,19058,1173,848,701,406,22188,45669,12940,8782,84259,3577,155220,47792,13868,5440,32601,2318,102022,2305,36,63,60,59,2521,1622,287,109,228,83,2334,5818,626,329,1082,188,8043,2047,661,260,688,91,3743,9834,1087,774,352,505,12556,13727,3900,2551,695,515,21386,12081,1522,1029,2651,302,17583,2535,345,276,595,64,3812,58349,16018,11529,64521,3213,153628,7150,896,387,1361,172,9966,13943,925,755,228,249,16109,4139,507,369,1526,157,6697,3763,290,185,130,79,4441,1195,109,34,47,55,1434,11102,114,166,58,408,11844,9680,1726,1183,3581,275,16445,100893,11700,8681,11917,3767,136962,16085,3521,2677,23441,123005,168733,689066,159728,114098,828061,168134,1959087,18350,97704
6,1296,14335,10084,196915,5637,228266,9,28,21,986,44,1090,2499,168,125,1080,94,3970,465,182,29,126,14,812,4593,1382,943,2520,130,9570,27485,12158,8695,134622,5232,188201,897,25,276,42,53,1299,529,122,63,773,33,1519,3749,1259,666,9515,347,15539,1048,325,71,533,45,2027,472,186,30,162,13,876,1030,128,108,138,25,1426,3933,2166,1230,35605,1036,43982,2195,994,251,2491,154,6079,386,6,21,24,6,446,130,34,17,71,14,265,53,14,3,7,0,74,246,127,28,179,11,581,418,203,98,140,19,876,1116,503,399,217,51,2292,1732,490,142,781,48,3197,385,81,50,143,12,671,6061,2802,1851,24293,690,35695,349,99,17,79,17,567,603,103,62,39,10,816,397,41,37,339,27,849,262,28,23,21,10,340,77,19,11,7,0,113,131,20,14,4,3,173,1075,264,166,938,23,2462,8413,2018,1149,3144,417,15137,1174,510,317,12319,20489,34813,61664,24749,16365,341572,32124,476481,1299,14379
7,926,5792,5024,50771,1978,64484,33,180,61,35467,688,36424,2535,215,258,956,117,4076,144,42,16,61,3,267,1218,455,256,568,52,2542,10028,4294,3509,25675,1156,44669,2110,52,304,61,69,2597,408,76,70,301,6,858,1894,668,392,4600,175,7731,1820,413,120,615,82,3047,214,56,15,46,4,335,809,53,58,50,27,992,2065,1041,713,10212,315,14347,1190,468,177,1382,91,3306,80,3,3,9,3,99,44,18,5,39,8,115,26,3,0,0,0,37,120,61,22,90,6,299,666,142,99,66,30,1004,908,291,226,78,31,1530,378,115,40,189,14,731,127,40,21,82,7,273,2574,1045,771,7147,222,11756,165,34,11,48,9,274,254,38,20,20,7,339,329,41,23,155,16,569,287,19,20,30,3,367,43,6,0,7,0,63,631,13,14,3,51,715,338,116,67,379,17,918,7690,1044,1001,1955,362,12052,926,226,235,3703,18752,23840,33939,10335,8218,117198,23216,192899,1031,5705
8,2119,15008,11427,102267,2462,133283,25,39,24,577,32,694,8584,306,471,557,161,10084,3019,395,132,542,98,4180,2782,1051,656,1370,79,5933,21674,11211,8225,58027,1763,100899,1871,45,308,35,48,2312,801,173,146,652,28,1808,4353,1387,963,7293,220,14226,2544,467,185,917,79,4197,1051,216,123,240,24,1647,3917,164,148,69,86,4396,4255,2597,1978,28175,613,37612,5050,1375,579,3391,205,10598,898,9,42,37,29,1013,664,104,56,204,19,1054,636,66,26,74,23,833,618,215,144,322,26,1321,385,115,98,82,28,710,1385,519,393,187,31,2519,2471,402,241,672,51,3834,859,107,84,198,22,1268,5789,2884,2106,17957,395,29134,1494,176,69,148,40,1932,673,118,107,49,11,959,1410,185,158,294,53,2099,1651,66,75,42,51,1884,234,40,11,12,5,305,2869,30,100,23,88,3106,874,302,170,977,41,2359,19286,2751,2253,2990,617,27900,1849,456,316,3705,13426,19754,90640,25344,18678,170184,19188,324034,2353,14909
9,36,56,48,417,30,584,0,3,3,165,3,169,465,7,15,9,17,514,0,0,0,0,0,0,7,4,0,4,0,15,101,38,19,134,10,299,3,0,3,3,0,10,3,0,0,0,0,7,6,3,0,8,0,22,0,0,0,0,0,0,3,0,0,0,0,3,18,0,0,0,0,22,16,13,6,50,0,81,5,3,0,15,0,20,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,13,3,0,0,0,15,3,0,0,5,0,9,3,0,0,0,0,8,23,8,5,42,3,81,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,3,0,8,210,33,48,217,54,562,34,6,5,48,130,225,878,120,110,964,244,2320,12,54
