STE_CODE_2016,C16_M_FoodHos_PS_15_19,C16_M_FoodHos_PS_20_24,C16_M_FoodHos_PS_25_34,C16_M_FoodHos_PS_35_44,C16_M_FoodHos_PS_45_54,C16_M_FoodHos_PS_55_64,C16_M_FoodHos_PS_65_74,C16_M_FoodHos_PS_75_84,C16_M_FoodHos_PS_85o,C16_M_Foo_hos_pers_S_Tot,C16_M_MixFld_pr_15_19,C16_M_MixFld_pr_20_24,C16_M_MixFld_pr_25_34,C16_M_MixFld_pr_35_44,C16_M_MixFld_pr_45_54,C16_M_MixFld_pr_55_64,C16_M_MixFld_pr_65_74,C16_M_MixFld_pr_75_84,C16_M_MixFld_pr_85_ov,C16_M_MixFld_pr_Tot,C16_M_FldStu_ID_15_19,C16_M_FldStu_ID_20_24,C16_M_FldStu_ID_25_34,C16_M_FldStu_ID_35_44,C16_M_FldStu_ID_45_54,C16_M_FldStu_ID_55_64,C16_M_FldStu_ID_65_74,C16_M_FldStu_ID_75_84,C16_M_FldStu_ID_85o,C16_M_FldStu_ID_Tot,C16_M_FldStu_NS_15_19,C16_M_FldStu_NS_20_24,C16_M_FldStu_NS_25_34,C16_M_FldStu_NS_35_44,C16_M_FldStu_NS_45_54,C16_M_FldStu_NS_55_64,C16_M_FldStu_NS_65_74,C16_M_FldStu_NS_75_84,C16_M_FldStu_NS_85o,C16_M_FldStu_NS_T,C16_M_Tot_15_19,C16_M_Tot_20_24,C16_M_Tot_25_34,C16_M_Tot_35_44,C16_M_Tot_45_54,C16_M_Tot_55_64,C16_M_Tot_65_74,C16_M_Tot_75_84,C16_M_Tot_85o,C16_M_T_T,C06_F_NatPhy_sci_15_19,C06_F_NatPhy_sci_20_24,C06_F_NatPhy_sci_25_34,C06_F_NatPhy_sci_35_44,C06_F_NatPhy_sci_45_54,C06_F_NatPhy_sci_55_64,C06_F_NatPhy_sci_65_74,C06_F_NatPhy_sci_75_84,C06_F_NatPhy_sci_85O,C06_F_NatPhy_sci_T,C06_F_InfTec_15_19,C06_F_InfTec_20_24,C06_F_InfTec_25_34,C06_F_InfTec_35_44,C06_F_InfTec_45_54,C06_F_InfTec_55_64,C06_F_InfTec_65_74,C06_F_InfTec_75_84,C06_F_InfTec_85O,C06_F_InfTec_T,C06_F_EngRT_15_19,C06_F_EngRT_20_24,C06_F_EngRT_25_34,C06_F_EngRT_35_44,C06_F_EngRT_45_54,C06_F_EngRT_55_64,C06_F_EngRT_65_74,C06_F_EngRT_75_84,C06_F_EngRT_85_ov,C06_F_EngRT_Tot,C06_F_ArchBuild_15_19,C06_F_ArchBuild_20_24,C06_F_ArchBuild_25_34,C06_F_ArchBuild_35_44,C06_F_ArchBuild_45_54,C06_F_ArchBuild_55_64,C06_F_ArchBuild_65_74,C06_F_ArchBuild_75_84,C06_F_ArchBuild_85o,C06_F_Arch_building_Tot,C06_F_AgEnv_RS_15_19,C06_F_AgEnv_RS_20_24,C06_F_AgEnv_RS_25_34,C06_F_AgEnv_RS_35_44,C06_F_AgEnv_RS_45_54,C06_F_AgEnv_RS_55_64,C06_F_AgEnv_RS_65_74,C06_F_AgEnv_RS_75_84,C06_F_AgEnv_RS_85o,C06_F_AgEnv_RS_T,C06_F_Health_15_19,C06_F_Health_20_24,C06_F_Health_25_34,C06_F_Health_35_44,C06_F_Health_45_54,C06_F_Health_55_64,C06_F_Health_65_74,C06_F_Health_75_84,C06_F_Health_85o,C06_F_Healt_T,C06_F_Educ_15_19,C06_F_Educ_20_24,C06_F_Educ_25_34,C06_F_Educ_35_44,C06_F_Educ_45_54,C06_F_Educ_55_64,C06_F_Educ_65_74,C06_F_Educ_75_84,C06_F_Educ_85o,C06_F_Educ_T,C06_F_MngtCom_15_19,C06_F_MngtCom_20_24,C06_F_MngtCom_25_34,C06_F_MngtCom_35_44,C06_F_MngtCom_45_54,C06_F_MngtCom_55_64,C06_F_MngtCom_65_74,C06_F_MngtCom_75_84,C06_F_MngtCom_85o,C06_F_MngtCom_T,C06_F_Soc_cult_15_19,C06_F_Soc_cult_20_24,C06_F_Soc_cult_25_34,C06_F_Soc_cult_35_44,C06_F_Soc_cult_45_54,C06_F_Soc_cult_55_64,C06_F_Soc_cult_65_74,C06_F_Soc_cult_75_84,C06_F_Soc_cult_85o,C06_F_Soc_cult_T,C06_F_Creative_art_15_19,C06_F_Creative_art_20_24,C06_F_Creative_art_25_34,C06_F_Creative_art_35_44,C06_F_Creative_art_45_54,C06_F_Creative_art_55_64,C06_F_Creative_art_65_74,C06_F_Creative_art_75_84,C06_F_Create_art_850,C06_F_Creative_arts_T,C06_F_FoodHos_PS_15_19,C06_F_FoodHos_PS_20_24,C06_F_FoodHos_PS_25_34,C06_F_FoodHos_PS_35_44,C06_F_FoodHos_PS_45_54,C06_F_FoodHos_PS_55_64,C06_F_FoodHos_PS_65_74,C06_F_FoodHos_PS_75_84,C06_F_FoodHos_PS_85o,C06_F_FoodHos_PS_T,C06_F_MixFld_pr_15_19,C06_F_MixFld_pr_20_24,C06_F_MixFld_pr_25_34,C06_F_MixFld_pr_35_44,C06_F_MixFld_pr_45_54,C06_F_MixFld_pr_55_64,C06_F_MixFld_pr_65_74,C06_F_MixFld_pr_75_84,C06_F_MixFld_pr_85o,C06_F_MixFld_pr_T,C06_F_FldStu_ID_15_19,C06_F_FldStu_ID_20_24,C06_F_FldStu_ID_25_34,C06_F_FldStu_ID_35_44,C06_F_FldStu_ID_45_54,C06_F_FldStu_ID_55_64,C06_F_FldStu_ID_65_74,C06_F_FldStu_ID_75_84,C06_F_FldStu_ID_85o,C06_F_FldStu_ID_T,C06_F_FldStu_NS_15_19,C06_F_FldStu_NS_20_24,C06_F_FldStu_NS_25_34,C06_F_FldStu_NS_35_44,C06_F_FldStu_NS_45_54,C06_F_FldStu_NS_55_64,C06_F_FldStu_NS_65_74,C06_F_FldStu_NS_75_84,C06_F_FldStu_NS_85o,C06_F_FldStu_NS_T,C06_F_Tot_15_19,C06_F_Tot_20_24,C06_F_Tot_25_34,C06_F_Tot_35_44,C06_F_Tot_45_54,C06_F_Tot_55_64,C06_F_Tot_65_74,C06_F_Tot_75_84,C06_F_Tot_85o,C06_F_T_T
1,1081,4998,16799,13736,10294,6949,4887,2122,560,61432,480,660,696,510,510,560,607,493,184,4701,263,1241,4118,4968,4900,3796,2489,1191,511,23489,19201,21670,49619,42483,40755,36892,32428,23400,12201,278652,30693,116063,390242,369112,333511,286604,202113,98291,34986,1861620,94,3136,9968,9179,6943,3505,1254,572,116,34775,294,2597,8367,6881,4190,1568,322,52,15,24296,180,1560,6178,7757,5736,3608,3317,2538,862,31728,65,958,3215,2890,1732,736,276,126,29,10026,317,1485,4373,3633,2360,1067,407,126,48,13811,741,9021,33202,40366,44841,25818,13254,6860,2115,176223,243,5509,27334,31027,40925,26089,11365,5022,1595,149111,5211,33121,88821,78768,57191,34377,13283,8270,2294,321331,1872,14969,43536,37217,30681,18042,5876,2484,553,155234,694,7726,18342,13355,7879,4486,2140,1286,483,56391,3687,11225,21136,17131,10345,7039,2289,1558,471,74886,224,356,255,397,415,269,182,160,62,2313,239,1262,4048,4003,3106,1893,825,499,180,16045,25486,19727,39927,41953,37958,34249,35554,42643,21352,298843,39349,112663,308702,294562,254301,162755,90354,72190,30161,1365020
2,780,4597,16293,11106,8506,5369,3166,1480,415,51700,363,532,552,344,374,401,452,402,131,3557,194,1237,4431,4881,4334,3268,2027,918,407,21698,14633,16813,37912,32218,30901,27282,24310,17789,8708,210566,25411,101935,333207,294205,258284,211238,144605,69823,24754,1463464,66,3263,9754,7294,4768,2089,675,407,107,28410,157,1996,6746,4985,2821,885,152,45,10,17799,172,1502,5816,5482,3681,2638,2530,1679,530,24033,60,1027,2912,2418,1265,556,165,78,30,8507,242,1416,3958,2872,1626,593,216,109,34,11067,430,8508,28498,33206,33248,19869,10426,5214,1581,140983,133,3597,19526,25273,32254,22728,8942,3860,1204,117517,2649,22941,59397,45533,28800,15829,6342,4657,1247,187381,1155,11816,35928,30677,26698,15271,4401,1812,421,128176,567,6216,13735,9147,5392,2865,1374,946,332,40571,2958,9858,16914,14369,8338,6261,2099,1192,328,62316,172,284,188,201,223,167,121,96,37,1490,131,1512,4466,4064,3002,1644,703,427,128,16088,18596,13617,24856,28418,26341,25398,27347,34520,18566,217652,27488,87550,232696,213935,178461,116788,65485,55040,24545,1001989
3,1693,4257,10655,9673,7705,5045,3493,1207,283,44012,366,397,397,237,268,352,388,316,135,2847,308,758,2625,3191,3268,2416,1571,749,261,15146,13801,15490,32771,29578,29369,25277,21199,13626,6525,187630,29260,79234,227949,224075,210724,176098,124136,56406,17418,1145303,57,2109,4851,3790,2668,1349,475,219,38,15558,215,894,2499,2190,1393,457,112,14,5,7782,154,1030,3222,3070,2359,1651,1404,839,286,14011,46,675,1574,1393,786,365,124,63,12,5040,329,1285,3021,2099,1209,459,164,56,9,8619,431,5290,18466,24937,25485,15623,7586,3664,1034,102517,148,4214,17230,21547,23084,14502,5923,2429,720,89797,4500,19313,40352,33013,23794,13033,4847,2659,647,142148,1375,9524,23905,19590,17450,10086,2724,967,206,85822,472,3909,7380,5349,3273,1973,1058,548,189,24145,2876,7575,14661,12033,7060,4931,1429,717,234,51503,129,177,164,180,184,158,123,85,31,1233,108,709,1860,1972,1703,1020,413,220,71,8081,14839,11071,19896,22521,20931,19472,19194,22779,12664,163367,25675,67770,159072,153673,131378,85070,45585,35253,16137,719617
4,295,1376,3677,3075,2557,1790,1191,452,117,14526,69,95,102,97,97,121,129,144,65,908,78,249,946,1042,1044,842,620,301,131,5259,3927,3965,8647,8128,8704,7997,6950,5120,2769,56199,7552,24212,75902,72754,71319,64333,47886,22969,8501,395426,12,900,2105,1688,1230,634,219,130,30,6955,55,334,995,851,491,196,31,8,3,2971,49,388,1247,1364,914,757,779,661,195,6350,15,190,570,518,341,170,48,27,10,1889,80,460,1202,955,535,231,60,26,9,3568,175,2548,8120,10933,13072,6899,3219,1784,656,47407,25,1061,4892,5834,8987,6918,2458,1316,549,32041,1143,6637,14167,11320,8014,4653,1829,1236,309,49307,490,3653,8968,8458,7953,4850,1429,552,117,36473,109,1264,2527,1834,1241,810,428,264,93,8578,1031,2903,5127,4309,2730,1970,685,375,112,19243,59,68,70,122,105,82,46,56,32,653,39,275,696,686,552,382,154,112,40,2947,5080,3158,5641,7009,7022,7086,8095,10952,5586,59629,8372,23847,56329,55893,53189,35633,19490,17503,7737,277999
5,317,1553,5961,4913,4109,2600,1549,596,149,21746,170,188,199,178,163,164,193,166,61,1478,68,369,1478,1603,1655,1155,649,357,127,7468,6730,7942,21684,18173,16703,13294,9964,6994,3372,104853,13269,42131,141059,128832,117376,93242,61137,28375,8913,634332,35,1366,3532,2687,1862,756,230,125,24,10613,81,464,1204,1172,754,280,58,20,3,4029,119,683,2107,1928,1380,888,791,557,209,8661,29,345,832,727,436,177,43,22,6,2617,176,758,1878,1288,707,269,90,36,9,5217,283,3165,10010,13051,14043,8668,4328,1870,573,55990,269,2071,8485,11510,13125,7565,3167,1270,452,47921,2114,9022,19861,17865,13036,7760,3480,1839,431,75407,1079,4639,11468,10683,9868,5602,1752,695,132,45916,328,2150,3880,2794,1826,1235,594,285,105,13206,1283,3747,6806,6102,3752,2547,761,414,146,25555,87,73,95,103,115,94,38,47,11,671,65,242,783,925,785,479,226,109,41,3657,8108,5884,10856,12878,11806,10246,9784,10994,5722,86281,14073,34616,81796,83717,73493,46564,25334,18283,7870,385742
6,129,424,1104,1132,917,707,432,183,34,5063,19,37,33,32,31,63,69,49,23,353,19,66,232,293,337,315,220,96,38,1620,1562,1290,2494,2433,3040,3156,3036,1999,761,19765,2501,6960,19389,19523,21573,21759,16123,7673,2372,117870,0,200,570,477,346,211,72,37,10,1926,13,102,216,177,159,85,22,3,0,773,15,121,362,390,348,244,190,114,31,1813,0,52,116,117,90,38,5,3,3,428,21,109,453,385,222,99,33,19,0,1343,26,535,1705,2784,3508,2374,1209,598,178,12917,14,334,1488,1978,3099,2252,1317,536,182,11199,417,2054,3571,3214,2731,1514,610,450,105,14659,171,995,2515,2838,2864,1529,422,169,33,11536,34,272,606,625,522,356,176,103,33,2733,326,963,1595,1304,848,591,170,89,33,5922,16,8,17,19,17,24,20,11,4,147,9,95,191,221,209,124,39,34,8,936,1712,957,1777,2407,2372,2622,3064,3650,1736,20293,2786,6789,15186,16938,17328,12058,7356,5818,2364,86626
7,60,170,595,423,363,199,78,13,0,1896,21,21,33,21,17,24,17,3,0,161,12,61,251,237,190,121,50,15,3,931,1437,1830,4385,3319,2975,2104,1106,359,87,17608,1937,4477,15679,12841,11363,8210,3933,1118,220,59779,0,71,268,190,120,57,5,3,0,714,13,49,135,140,108,35,5,0,0,479,12,51,165,144,81,73,23,8,0,570,0,20,47,51,22,11,0,0,0,159,24,100,269,156,80,24,7,0,0,662,17,267,1129,1199,1167,588,186,49,9,4599,10,129,840,1041,1135,681,150,35,20,4032,141,739,1889,1492,1096,470,89,22,5,5940,52,314,1176,1135,953,455,108,13,8,4213,18,104,305,225,131,69,19,5,4,880,126,367,607,439,228,114,33,9,3,1915,7,10,16,12,7,6,3,0,0,61,6,30,103,110,90,48,13,3,0,403,1254,1031,2139,2034,1711,1022,512,307,93,10106,1678,3261,9086,8357,6920,3659,1168,468,142,34739
8,67,274,947,735,478,279,155,63,18,3018,17,42,22,11,7,20,16,19,7,166,17,84,322,393,353,259,189,112,42,1780,677,1109,2564,2042,1718,1288,1043,769,396,11602,1295,7031,25600,23476,19289,15181,10221,4533,1628,108258,10,388,1236,1002,773,442,124,76,23,4069,34,211,639,665,505,157,16,3,0,2238,15,84,335,268,263,187,122,94,31,1401,0,82,192,188,120,64,14,3,0,666,14,115,367,268,159,77,21,8,5,1039,25,455,1490,2019,2405,1393,705,351,120,8971,12,256,1553,1572,2254,1899,817,274,104,8743,236,1684,4587,3978,3209,1991,620,409,116,16818,92,1424,4606,3727,3542,2190,669,279,56,16577,41,568,1211,861,556,269,127,74,24,3735,186,541,964,682,407,262,116,67,21,3245,4,24,24,20,21,5,4,8,3,118,5,83,331,320,281,181,63,43,8,1324,1051,872,1476,1357,1382,1116,952,1055,496,9757,1729,6789,19012,16932,15869,10233,4376,2743,1011,78696
9,0,0,11,17,10,9,4,0,0,53,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,0,0,0,0,18,18,63,145,96,79,71,44,24,3,542,33,90,273,273,269,244,146,52,13,1386,0,0,3,6,4,0,0,0,0,12,0,0,3,0,0,0,0,0,0,3,0,0,4,3,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,8,0,0,3,11,16,3,0,0,0,36,0,8,8,19,15,3,0,0,0,48,6,11,23,21,7,0,0,0,0,67,0,3,12,5,3,3,0,0,0,28,0,0,0,4,0,0,0,0,0,6,0,4,0,12,4,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,7,12,16,25,15,18,6,0,0,90,15,38,74,104,72,25,10,3,0,342
