STE_CODE_2016,C16_85o_Seprtd_M,C16_85o_Seprtd_F,C16_85o_Divorce_M,C16_85o_Divorce_F,C16_85o_Wid_M,C16_85o_Wid_F,C16_85o_Nvr_mard_M,C16_85o_Nvr_mard_F,C16_85o_T_M,C16_85o_T_F,C16_85o_T_P,C16_T_Married_M,C16_T_Married_F,C16_Tot_Sep_M,C16_Tot_Sep_F,C16_Tot_Div_M,C16_Tot_Div_F,C16_Tot_Wid_M,C16_Tot_Wid_F,C16_Tot_nver_marrie_M,C16_Tot_nver_marrie_F,C16_Tot_T_M,C16_Tot_T_F,C16_Tot_T_P
1,989,615,2919,5444,20865,78325,2838,4128,61753,105755,167506,1484559,1480721,87199,102999,214294,298004,70023,261630,1117985,976475,2974063,3119834,6093895
2,716,439,1913,3419,16065,59835,2141,3000,47567,80427,127993,1171969,1172138,66339,80154,156716,225828,53059,198615,905416,815471,2353499,2492203,4845710
3,550,328,1828,2818,10445,39803,1551,1911,31767,53759,85528,887381,888539,62250,72703,152583,201799,40373,144298,710784,629796,1853368,1937126,3790497
4,251,155,731,1318,5636,21056,577,813,16340,28143,44479,330322,329316,20587,23612,54580,73336,17890,65391,252203,216418,675578,708074,1383650
5,269,155,782,1426,5019,19707,595,735,15846,26579,42420,491660,483402,29773,33432,71642,95719,18758,69861,381851,321631,993685,1004041,1997726
6,72,39,206,320,1563,5587,193,281,4347,7413,11767,96665,96695,6909,7766,18713,24561,6195,20767,74774,66714,203256,216496,419752
7,12,6,39,58,128,366,47,31,392,545,938,40490,37843,3006,3040,6552,6890,1356,4266,41702,34215,93101,86254,179359
8,26,12,110,232,737,2783,78,108,2316,3841,6158,77414,77170,3699,4460,9796,15557,2637,9905,63675,58604,157220,165694,322917
9,0,0,0,3,4,20,3,0,28,33,58,1023,910,69,59,177,144,44,138,722,489,2037,1730,3773
