STE_CODE_2016,C11_Aus_Mo_O_B_OS,C11_Aus_BP_B_Aus,C11_Aus_Bplace_NS,C11_Aus_Tot_resp,C11_Aus_Ab_BP_B_OS,C11_Aus_Ab_Fa_O_B_OS,C11_Aus_Ab_Mo_O_B_OS,C11_Aus_Ab_BP_B_Aus,C11_Aus_Abor_Bplace_NS,C11_Aus_Abor_Tot_respons,C11_Chi_BP_B_OS,C11_Chi_Fa_O_B_OS,C11_Chi_Mo_O_B_OS,C11_Chi_BP_B_Aus,C11_Chi_Bplace_NS,C11_Chi_Tot_resp,C11_Cro_BP_B_OS,C11_Cro_Fa_O_B_OS,C11_Cro_Mo_O_B_OS,C11_Cro_BP_B_Aus,C11_Cro_Bplace_NS,C11_Cro_Tot_resp,C11_Dut_BP_B_OS,C11_Dut_Fa_O_B_OS,C11_Dut_Mo_O_B_OS,C11_Dut_BP_B_Aus,C11_Dut_Bplace_NS,C11_Dut_Tot_resp,C11_Eng_BP_B_OS,C11_Eng_Fa_O_B_OS,C11_Eng_Mo_O_B_OS,C11_Eng_BP_B_Aus,C11_Eng_Bplace_NS,C11_Eng_Tot_resp,C11_Fil_BP_B_OS,C11_Fil_Fa_O_B_OS,C11_Fil_Mo_O_B_OS,C11_Fil_BP_B_Aus,C11_Fil_Bplace_NS,C11_Fil_Tot_resp,C11_Fre_BP_B_OS,C11_Fre_Fa_O_B_OS,C11_Fre_Mo_O_B_OS,C11_Fre_BP_B_Aus,C11_Fre_Bplace_NS,C11_Fre_Tot_resp,C11_Ger_BP_B_OS,C11_Ger_Fa_O_B_OS,C11_Ger_Mo_O_B_OS,C11_Ger_BP_B_Aus,C11_Ger_Bplace_NS,C11_Ger_Tot_resp,C11_Gre_BP_B_OS,C11_Gre_Fa_O_B_OS,C11_Gre_Mo_O_B_OS,C11_Gre_BP_B_Aus,C11_Gre_Bplace_NS,C11_Gre_Tot_resp,C11_Hun_BP_B_OS,C11_Hun_Fa_O_B_OS,C11_Hun_Mo_O_B_OS,C11_Hun_BP_B_Aus,C11_Hun_Bplace_NS,C11_Hun_Tot_resp,C11_Ind_BP_B_OS,C11_Ind_Fa_O_B_OS,C11_Ind_Mo_O_B_OS,C11_Ind_BP_B_Aus,C11_Ind_Bplace_NS,C11_Ind_Tot_resp,C11_Iri_BP_B_OS,C11_Iri_Fa_O_B_OS,C11_Iri_Mo_O_B_OS,C11_Iri_BP_B_Aus,C11_Iri_Bplace_NS,C11_Iri_Tot_resp,C11_Ita_BP_B_OS,C11_Ita_Fa_O_B_OS,C11_Ita_Mo_O_B_OS,C11_Ita_BP_B_Aus,C11_Ita_Bplace_NS,C11_Ita_Tot_resp,C11_Kor_BP_B_OS,C11_Kor_Fa_O_B_OS,C11_Kor_Mo_O_B_OS,C11_Kor_BP_B_Aus,C11_Kor_Bplace_NS,C11_Kor_Tot_resp,C11_Leb_BP_B_OS,C11_Leb_Fa_O_B_OS,C11_Leb_Mo_O_B_OS,C11_Leb_BP_B_Aus,C11_Leb_Bplace_NS,C11_Leb_Tot_resp,C11_Mac_BP_B_OS,C11_Mac_Fa_O_B_OS,C11_Mac_Mo_O_B_OS,C11_Mac_BP_B_Aus,C11_Mac_Bplace_NS,C11_Mac_Tot_resp,C11_Mal_BP_B_OS,C11_Mal_Fa_O_B_OS,C11_Mal_Mo_O_B_OS,C11_Mal_BP_B_Aus,C11_Mal_Bplace_NS,C11_Mal_Tot_resp,C11_Mao_BP_B_OS,C11_Mao_Fa_O_B_OS,C11_Mao_Mo_O_B_OS,C11_Mao_BP_B_Aus,C11_Mao_Bplace_NS,C11_Mao_Tot_resp,C11_NZ_BP_B_OS,C11_NZ_Fa_O_B_OS,C11_NZ_Mo_O_B_OS,C11_NZ_BP_B_Aus,C11_NZ_Bplace_NS,C11_NZ_Tot_resp,C11_Pol_BP_B_OS,C11_Pol_Fa_O_B_OS,C11_Pol_Mo_O_B_OS,C11_Pol_BP_B_Aus,C11_Pol_Bplace_NS,C11_Pol_Tot_resp,C11_Rus_BP_B_OS,C11_Rus_Fa_O_B_OS,C11_Rus_Mo_O_B_OS,C11_Rus_BP_B_Aus,C11_Rus_Birthplac_ns,C11_Rus_Tot_resp,C11_Sco_BP_B_OS,C11_Sco_Fa_O_B_OS,C11_Sco_Mo_O_B_OS,C11_Sco_BP_B_Aus,C11_Sco_Birthplac_ns,C11_Sco_Tot_resp,C11_Ser_BP_B_OS,C11_Ser_Fa_O_B_OS,C11_Ser_Mo_O_B_OS,C11_Ser_BP_B_Aus,C11_Ser_Bplace_NS,C11_Ser_Tot_resp,C11_SAf_BP_B_OS,C11_SAf_Fa_O_B_OS,C11_SAf_Mo_O_B_OS,C11_SAf_BP_B_Aus,C11_SAf_Bplace_NS,C11_SAf_Tot_resp,C11_Span_BP_B_OS,C11_Span_Fa_O_B_OS,C11_Span_Mo_O_B_OS,C11_Span_BP_B_Aus,C11_Span_Bplace_NS,C11_Span_Tot_resp,C11_SriL_BP_B_OS,C11_SriL_Fa_O_B_OS,C11_SriL_Mo_O_B_OS,C11_SriL_BP_B_Aus,C11_SriL_Bplace_NS,C11_SriL_Tot_resp,C11_Turk_BP_B_OS,C11_Turk_Fa_O_B_OS,C11_Turk_Mo_O_B_OS,C11_Turk_BP_B_Aus,C11_Turk_Bplace_NS,C11_Turk_Tot_resp,C11_Viet_BP_B_OS,C11_Viet_Fa_O_B_OS,C11_Viet_Mo_O_B_OS,C11_Viet_BP_B_Aus,C11_Viet_Bplace_NS,C11_Viet_Tot_resp,C11_Wel_BP_B_OS,C11_Wel_Fa_O_B_OS,C11_Wel_Mo_O_B_OS,C11_Wel_BP_B_Aus,C11_Wel_Bplace_NS,C11_Wel_Tot_resp,C11_Oth_BP_B_OS,C11_Oth_Fa_O_B_OS,C11_Oth_Mo_O_B_OS,C11_Oth_BP_B_Aus,C11_Oth_Bplace_NS,C11_Oth_Tot_resp,C11_Anc_ns_BP_B_OS,C11_Anc_ns_Fa_O_B_OS,C11_Anc_ns_Mo_O_B_OS,C11_Anc_ns_BP_B_Aus,C11_Anc_ns_Bplace_NS,C11_Anc_NS_T_resp,C11_T_P_BP_B_OS,C11_T_P_Fa_only_bor_os,C11_T_P_Mo_O_B_OS,C11_T_P_BP_B_Aus,C11_T_P_Bplace_NS,C11_T_P_Tot_resp,C16_Aus_BP_B_OS,C16_Aus_Fa_O_B_OS,C16_Aus_Mo_O_B_OS,C16_Aus_BP_B_Aus
1,152840,1746387,51354,2217158,73,932,459,21305,932,23694,343770,6220,8659,12723,7092,378465,30063,3976,1850,6147,832,42863,38062,12341,7465,18451,1117,77436,403532,181770,127993,1387998,50497,2151788,82049,1729,6950,913,2292,93937,17474,3073,2162,12769,640,36116,59612,17169,11476,123426,3739,215422,75530,12535,5554,30539,2752,126905,15815,2945,1283,3185,356,23588,129456,2765,2129,1783,2545,138687,86148,42334,27981,492194,12558,661208,118249,30989,12135,79780,4997,246158,48965,286,842,446,1073,51611,102522,16980,6685,15955,4727,146872,28316,2919,1282,3853,937,37303,33376,8470,4389,17435,1235,64906,22761,3870,2407,2077,1074,32193,28741,9935,7443,3620,994,50730,30948,4761,3054,8612,780,48164,19676,1942,1559,3731,435,27341,92501,44754,31942,350423,8890,528510,22320,1819,870,1718,593,27323,25129,2809,1944,867,408,31163,29082,2350,1845,5001,910,39187,16866,862,597,461,352,19140,20702,1874,929,941,682,25129,76814,806,1239,546,2487,81894,13929,4531,2783,15769,535,37551,540273,49764,34499,52983,16491,694008,51878,7557,5793,79764,333690,478689,2363794,433841,294593,3342214,483216,6917656,70723,230525,166550,1757151
2,114477,1258985,34727,1606233,39,261,154,4244,250,4944,232319,3827,5476,8332,4644,254596,29788,3715,1601,5286,782,41175,46655,15380,8879,24173,1357,96450,307342,138900,99776,1032715,36183,1614911,43594,758,4001,486,1229,50065,12717,2132,1454,9767,458,26530,52735,15965,10076,101692,3234,183700,105013,14475,6278,32513,3504,161781,14830,2458,1225,3095,389,21997,124074,2730,1909,1400,2254,132370,64270,34098,21985,392071,9604,522025,168652,36567,14974,100807,6952,327954,11040,88,256,185,217,11791,28757,4633,1895,3649,1292,40234,31496,3278,1495,4829,981,42084,40038,8218,4488,15121,1407,69262,13890,1758,1325,825,563,18367,20436,6602,4958,1897,655,34554,35023,5167,3207,8938,856,53198,16152,1521,1142,2573,349,21744,75092,34884,25795,293963,7244,436976,18166,1410,687,1337,464,22066,15873,1769,1420,605,267,19934,14404,1472,1174,3626,512,21195,33367,2128,1255,1074,662,38490,28971,2868,1239,1382,1078,35534,75867,755,1144,496,2530,80780,9090,2887,1911,11045,336,25273,388061,35236,24764,43555,12505,504116,45650,6197,4531,60951,229131,346466,1911658,343516,230296,2528188,340378,5354039,52955,177048,127641,1270311
3,115579,1264924,33969,1587992,84,711,338,28834,690,30656,75631,2807,3554,11088,1766,94848,7317,1340,530,1924,176,11291,34255,10594,6558,16799,1002,69217,366037,132625,99134,997103,34567,1629463,31287,884,5527,707,941,39352,11794,2049,1457,8862,401,24561,44878,16698,11616,193309,4388,270890,11129,4018,1598,10361,584,27687,6962,1404,511,1663,149,10698,41207,1525,1110,1468,833,46141,68486,29623,20633,357900,8293,484929,37508,14887,5932,55804,2120,116263,13374,69,297,221,302,14264,2932,948,444,2236,151,6716,1557,248,105,279,31,2212,6077,2417,1326,6552,299,16667,37730,4230,3056,1763,1497,48283,39216,10109,7563,2496,1238,60621,12903,2541,1652,6704,383,24176,7122,1166,838,3091,210,12435,87403,33154,24071,269706,6664,421004,5015,505,236,479,99,6335,20837,1558,1288,542,311,24539,9907,1381,952,4286,320,16849,5998,512,340,465,113,7431,2145,375,90,134,76,2813,19610,414,494,242,659,21416,10673,2875,1765,11191,314,26825,207144,27492,22076,58333,7763,322803,21016,4792,4314,61015,224150,315285,1057881,282588,210570,2471958,309742,4332737,32038,163797,129798,1299465
4,39390,437582,12202,551097,19,234,142,7014,283,7688,33274,755,883,1465,647,37025,5119,816,358,1267,145,7702,13921,4349,2648,6052,403,27369,149394,52353,41472,352159,12970,608346,9530,252,1270,156,307,11513,2550,557,394,3005,150,6652,20509,8124,5370,88669,1956,124625,21788,3816,1525,9727,825,37677,3501,746,246,894,100,5479,19253,467,316,411,386,20837,20961,8374,5626,84020,2268,121248,46337,10772,3973,29030,1779,91887,3415,56,113,111,58,3752,2675,676,277,1042,130,4797,1049,141,82,295,16,1586,3187,915,502,1767,122,6497,1964,514,323,315,115,3239,3550,1480,969,384,139,6519,11314,1673,886,3813,286,17981,3966,435,330,802,86,5620,29893,10987,8325,76785,2059,128042,4538,408,199,411,115,5667,3798,324,288,132,71,4614,2592,365,233,892,92,4171,2116,131,105,93,49,2492,753,121,45,68,27,1009,14372,406,324,181,502,15780,5134,1157,782,3787,148,11005,74069,8636,5352,12772,2510,103345,8513,1483,1200,18236,60789,90227,467496,107090,75325,853039,93620,1596569,12334,56130,41597,441009
5,75605,516211,16495,724360,45,409,169,18350,433,19396,68551,1562,2207,2333,1285,75935,9425,2201,984,4612,262,17486,24266,6746,4215,9446,641,45317,319278,87146,68258,355827,17718,848230,17779,289,1580,226,537,20403,7318,853,739,2728,202,11844,22892,5790,4311,28897,1133,63020,6351,1926,858,4457,229,13822,2989,531,293,588,67,4461,36031,1548,1074,1016,634,40305,57882,14988,10771,99896,3502,187038,47749,14995,6470,40497,2185,111894,4348,45,154,88,88,4725,1934,337,207,368,73,2917,6268,820,441,1592,202,9319,2164,717,336,943,85,4243,18847,1711,1292,481,722,23063,18100,4987,3204,826,501,27619,12200,1739,1166,3254,283,18651,3144,336,358,726,76,4632,69058,18154,13735,82422,3111,186475,5199,330,168,306,112,6113,22754,1277,1060,291,299,25683,4914,542,433,1692,154,7732,4268,366,222,168,66,5085,1496,149,48,67,53,1818,14870,243,298,125,417,15956,10879,2017,1336,4130,280,18645,151796,14922,11791,15735,4387,198631,14742,2558,2198,18820,131922,170244,854107,175317,130099,903105,176547,2239171,24037,105721,83918,535287
6,10245,187678,4980,218577,7,41,18,1098,43,1206,3755,187,187,790,100,5016,496,186,31,209,8,930,4717,1561,1066,3038,128,10509,29147,13612,9776,159091,5444,217069,1227,50,369,50,38,1731,611,122,87,786,24,1634,3918,1441,800,10597,302,17062,1066,309,87,678,42,2180,502,192,44,193,18,939,1683,121,96,140,22,2055,4311,2540,1522,40833,1048,50254,2181,1088,279,2977,127,6650,580,14,30,41,14,676,136,59,11,96,3,302,41,15,5,10,0,76,230,124,49,194,10,601,509,229,123,191,22,1075,1282,589,452,242,45,2601,1711,518,155,964,40,3380,415,73,72,176,9,751,6636,3169,2134,30515,739,43196,172,39,11,41,8,280,839,124,89,37,14,1093,463,82,30,353,16,944,221,30,9,34,0,292,98,26,13,5,0,141,258,17,18,9,7,310,1099,320,175,1069,41,2700,11580,2445,1558,3818,461,19857,929,379,332,9433,18301,29380,69305,26631,18036,351940,29444,495351,1547,15005,10625,189056
7,5215,50281,1659,63886,33,182,65,38605,309,39192,3275,221,310,1048,99,4950,159,54,27,79,4,323,1264,436,313,718,37,2766,10764,4594,3810,31368,1135,51667,3695,58,384,117,117,4375,443,79,59,331,31,936,1934,655,524,5122,140,8370,1963,534,176,859,106,3645,195,57,28,72,3,360,2157,75,74,68,43,2421,2540,1087,832,11753,294,16500,1215,523,211,1647,76,3671,288,4,14,17,4,318,75,14,6,54,0,152,50,8,5,17,4,74,113,70,28,126,4,342,885,157,114,91,42,1289,1106,318,297,118,42,1882,364,107,56,229,16,766,156,30,23,94,7,317,2667,1108,899,8730,204,13610,67,8,0,15,4,97,496,50,43,30,5,624,388,39,29,159,19,629,304,33,18,31,8,384,71,9,4,7,0,82,793,23,30,3,27,889,337,128,82,433,12,997,10546,1196,1281,2496,413,15930,965,175,198,2905,20419,24669,42606,10807,9132,125125,24271,211943,1473,5877,5480,51324
8,11888,97686,1830,128675,3,35,18,622,24,705,12972,379,624,722,246,14943,3044,449,167,756,93,4514,2729,1097,696,1809,89,6418,22235,12256,9442,70894,1871,116688,2719,82,365,85,69,3323,978,208,188,739,28,2139,4439,1496,1019,8382,197,15526,2465,525,228,1257,83,4556,991,223,134,276,16,1639,7490,175,184,97,113,8057,4659,3030,2308,33844,627,44473,4994,1560,616,4304,160,11629,1637,33,82,53,34,1834,671,147,62,232,33,1146,663,74,42,115,18,914,628,225,145,459,14,1472,535,144,115,99,27,917,1431,581,445,169,45,2675,2438,389,341,821,45,4042,971,129,110,242,21,1477,5923,3262,2587,22521,452,34742,1277,164,72,140,22,1672,968,148,120,46,17,1297,1530,216,130,344,23,2249,1610,75,66,44,25,1820,301,38,18,16,6,385,3752,56,162,38,82,4086,915,333,208,1118,20,2598,26870,3322,3008,3733,729,37661,1810,333,251,2992,13952,19336,108892,27346,21035,180529,19420,357218,3023,15441,12601,95019
9,47,387,10,507,0,0,0,190,3,194,393,8,15,10,0,423,0,0,0,0,0,0,5,4,3,11,0,17,104,32,33,191,10,365,9,0,3,0,3,14,6,0,0,0,0,3,18,5,3,16,0,53,3,0,0,0,0,4,3,0,0,0,0,5,16,4,0,0,3,21,15,7,0,60,0,82,0,3,0,4,0,11,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,7,0,0,4,0,16,3,3,0,0,0,9,3,0,0,0,0,5,0,0,0,4,0,3,26,3,4,33,0,74,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,8,246,54,63,244,47,649,34,4,5,46,854,939,849,140,132,994,919,3029,32,123,128,789
