STE_CODE_2016,Ag_forest_fish_C06_M,Ag_forest_fish_C06_F,Ag_forest_fish_C06_P,Ag_forest_fish_C11_M,Ag_forest_fish_C11_F,Ag_forest_fish_C11_P,Ag_forest_fish_C16_M,Ag_forest_fish_C16_F,Ag_forest_fish_C16_P,Mining_C06_M,Mining_C06_F,Mining_C06_P,Mining_C11_M,Mining_C11_F,Mining_C11_P,Mining_C16_M,Mining_C16_F,Mining_C16_P,Manuf_C06_M,Manuf_C06_F,Manuf_C06_P,Manuf_C11_M,Manuf_C11_F,Manuf_C11_P,Manuf_C16_M,Manuf_C16_F,Manuf_C16_P,Ele_gas_wat_was_ser_01_Cen_M,Ele_gas_wat_was_ser_01_Cen_F,Ele_gas_wat_was_ser_01_Cen_P,Ele_gas_wat_was_ser_06_Cen_M,Ele_gas_wat_was_ser_06_Cen_F,Ele_gas_wat_was_ser_06_Cen_P,Ele_gas_wat_was_ser_11_Cen_M,Ele_gas_wat_was_ser_11_Cen_F,Ele_gas_wat_was_ser_11_Cen_P,Constr_C06_M,Constr_C06_F,Constr_C06_P,Constr_C11_M,Constr_C11_F,Constr_C11_P,Constr_C16_M,Constr_C16_F,Constr_C16_P,Whlesale_tde_C06_M,Whlesale_tde_C06_F,Whlesale_tde_C06_P,Whlesale_tde_C11_M,Whlesale_tde_C11_F,Whlesale_tde_C11_P,Whlesale_tde_C16_M,Whlesale_tde_C16_F,Whlesale_tde_C16_P,Retail_tde_C06_M,Retail_tde_C06_F,Retail_tde_C06_P,Retail_tde_C11_M,Retail_tde_C11_F,Retail_tde_C11_P,Retail_tde_C16_M,Retail_tde_C16_F,Retail_tde_C16_P,Accom_food_S_C06_M,Accom_food_S_C06_F,Accom_food_S_C06_P,Accom_food_S_C11_M,Accom_food_S_C11_F,Accom_food_S_C11_P,Accom_food_S_C16_M,Accom_food_S_C16_F,Accom_food_S_C16_P,Tpt_post_ware_C06_M,Tpt_post_ware_C06_F,Tpt_post_ware_C06_P,Tpt_post_ware_C11_M,Tpt_post_ware_C11_F,Tpt_post_ware_C11_P,Tpt_post_ware_C16_M,Tpt_post_ware_C16_F,Tpt_post_ware_C16_P,Inf_Medi_Tele_C06_M,Inf_Medi_Tele_C06_F,Inf_Medi_Tele_C06_P,Inf_Medi_Tele_C11_M,Inf_Medi_Tele_C11_F,Inf_Medi_Tele_C11_P,Inf_Medi_Tele_C16_M,Inf_Medi_Tele_C16_F,Inf_Medi_Tele_C16_P,Finan_Insu_S_C06_M,Finan_Insu_S_C06_F,Finan_Insu_S_C06_P,Finan_Insu_S_C11_M,Finan_Insu_S_C11_F,Finan_Insu_S_C11_P,Finan_Insu_S_C16_M,Finan_Insu_S_C16_F,Finan_Insu_S_C16_P,Rent_hir_re_est_S_01_Cen_M,Rent_hir_re_est_S_01_Cen_F,Rent_hir_re_est_S_01_Cen_P,Rent_hir_re_est_S_06_Cen_M,Rent_hir_re_est_S_06_Cen_F,Rent_hir_re_est_S_06_Cen_P,Rent_hir_re_est_S_11_Cen_M,Rent_hir_re_est_S_11_Cen_F,Rent_hir_re_est_S_11_Cen_P,Prof_scie_tech_S_01_Cens_M,Prof_scie_tech_S_01_Cens_F,Prof_scie_tech_S_01_Cens_P,Prof_scie_tech_S_06_Cens_M,Prof_scie_tech_S_06_Cens_F,Prof_scie_tech_S_06_Cens_P,Prof_scie_tech_S_11_Cens_M,Prof_scie_tech_S_11_Cens_F,Prof_scie_tech_S_11_Cens_P,Admin_supp_S_C06_M,Admin_supp_S_C06_F,Admin_supp_S_C06_P,Admin_supp_S_C11_M,Admin_supp_S_C11_F,Admin_supp_S_C11_P,Admin_supp_S_C16_M,Admin_supp_S_C16_F,Admin_supp_S_C16_P,Pub_admin_safet_C06_M,Pub_admin_safet_C06_F,Pub_admin_safet_C06_P,Pub_admin_safet_C11_M,Pub_admin_safet_C11_F,Pub_admin_safet_C11_P,Pub_admin_safet_C16_M,Pub_admin_safet_C16_F,Pub_admin_safet_C16_P,Educ_trn_C06_M,Educ_trn_C06_F,Educ_trn_C06_P,Educ_trn_C11_M,Educ_trn_C11_F,Educ_trn_C11_P,Educ_trn_C16_M,Educ_trn_C16_F,Educ_trn_C16_P,Hea_car_soc_assist_01_Cens_M,Hea_car_soc_assist_01_Cens_F,Hea_car_soc_assist_01_Cens_P,Hea_car_soc_assist_06_Cens_M,Hea_car_soc_assist_06_Cens_F,Hea_car_soc_assist_06_Cens_P,Hea_car_soc_assist_11_Cens_M,Hea_car_soc_assist_11_Cens_F,Hea_car_soc_assist_11_Cens_P,Arts_rec_S_C06_M,Arts_rec_S_C06_F,Arts_rec_S_C06_P,Arts_rec_S_C11_M,Arts_rec_S_C11_F,Arts_rec_S_C11_P,Arts_rec_S_C16_M,Arts_rec_S_C16_F,Arts_rec_S_C16_P,Oth_services_C06_M,Oth_services_C06_F,Oth_services_C06_P,Oth_services_C11_M,Oth_services_C11_F,Oth_services_C11_P,Oth_services_C16_M,Oth_services_C16_F,Oth_services_C16_P,Inad_descr_Ns_C06_M,Inad_descr_Ns_C06_F,Inad_descr_Ns_C06_P,Inad_descr_Ns_C11_M,Inad_descr_Ns_C11_F,Inad_descr_Ns_C11_P,Inad_descr_Ns_C16_M,Inad_descr_Ns_C16_F,Inad_descr_Ns_C16_P,Tot_C06_M,Tot_C06_F,Tot_C06_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P
1,55533,23128,78659,49343,20234,69576,51007,21620,72625,18324,1992,20314,27617,3568,31185,27861,3869,31736,202437,75552,277985,192217,72647,264867,139060,58273,197331,23081,6108,29186,26946,7256,34205,25339,6536,31881,184000,28731,212728,200015,30045,230057,245725,36769,282491,87167,49591,136759,88553,50335,138891,65797,37925,103722,140059,183872,323928,139506,185222,324725,142784,183611,326396,86433,104022,190455,96589,113788,210379,111927,127288,239222,111897,33616,145518,119858,35169,155024,121826,36936,158760,40119,28858,68978,42154,30339,72489,43914,29480,73398,68254,76615,144866,77104,81312,158422,84829,82434,167259,25358,25226,50584,25824,25731,51551,30001,29651,59652,115503,97750,213253,135694,111602,247292,150003,124071,274078,43168,47261,90433,49929,52428,102355,55623,61858,117482,103620,71291,174915,110886,81748,192635,113251,90925,204173,67248,152427,219678,75931,173020,248951,82060,200508,282568,67859,236486,304340,79129,285191,364321,94176,328016,422195,21313,18268,39578,24943,21388,46332,27826,23954,51775,63175,46919,110093,66826,50786,117616,67732,56746,124477,45912,31280,77191,45351,32106,77458,98294,60817,159108,1570447,1338996,2909444,1674411,1463918,3138332,1779049,1601282,3380332
2,43549,20160,63711,39455,17594,57052,41931,18981,60913,5228,1055,6276,7535,1585,9118,7538,1604,9139,208169,78935,287108,196991,74061,271051,151722,60994,212723,15086,4932,20014,20116,7512,27630,22407,8397,30808,149879,21584,171463,185473,25503,210972,200809,27340,228149,72593,39963,112550,73771,40322,114091,56795,31520,88321,113945,149504,263447,117370,156344,273715,122393,157246,279636,57819,74021,131840,69209,84692,153898,84630,96199,180825,79861,23957,103816,90482,27739,118214,99728,30341,130069,28856,21078,49935,30048,20045,50091,32156,20048,52200,44679,47619,92293,51901,52800,104701,54078,52594,106669,15790,14989,30775,17734,17315,35046,21400,21618,43013,89103,72511,161615,109601,86639,196236,120796,96600,217402,36936,37988,74923,41953,41231,83188,45797,47516,93315,61342,55633,116969,68007,66946,134949,73307,71014,144321,54479,119948,174423,62026,140295,202317,70865,165409,236276,48463,188088,236552,59925,232494,292417,71205,270795,341999,18801,16852,35650,22996,20611,43609,28259,24507,52765,46254,35388,81642,50762,40387,91147,53404,44851,98254,34702,24727,59431,36173,24999,61173,80894,48434,129326,1225535,1048913,2274447,1351521,1179113,2530635,1440118,1296007,2736125
3,41510,20224,61733,37468,17945,55419,40470,20138,60608,26627,4091,30721,43980,8974,52952,42168,7830,49997,136695,43516,180214,129702,41966,171669,94977,33811,128787,14678,3863,18541,18951,5884,24829,18452,5432,23883,141228,23703,164938,157346,26437,183778,165630,25711,191338,48080,23996,72075,49757,24532,74286,38207,18160,56370,88975,123447,212422,88563,129045,217612,88344,123428,211778,52060,75575,127629,58529,83326,141855,67686,88985,156670,70450,22169,92611,81140,25933,107070,81635,26451,108083,14930,11418,26345,14159,11198,25355,14949,10317,25265,21451,30583,52036,22634,31514,54152,23592,30697,54286,18189,19794,37982,17620,19393,37007,20064,22439,42500,53510,48905,102413,71744,61013,132751,70961,62686,133652,26610,29096,55705,30890,34121,65015,34520,40816,75336,70359,52059,122416,75391,61428,136818,77667,62499,140164,40342,98747,139089,45772,115149,160921,52160,139985,192143,39510,146826,186335,51083,191477,242560,59499,217453,276945,12479,12144,24626,14586,13854,28446,17299,16368,33667,37778,30580,68361,43310,35402,78714,44213,39257,83470,29111,19689,48802,28857,19208,48060,57496,34008,91505,984566,840428,1824998,1081488,957791,2039275,1109975,1026477,2136455
4,22865,9110,31974,20989,7807,28796,21891,8198,30084,5008,958,5969,8078,1574,9647,7850,1379,9222,66828,21665,88489,59027,18866,77890,43996,15588,59579,5900,1531,7438,7618,2313,9926,7017,2149,9164,39887,6195,46085,48533,7067,55599,49366,7271,56635,17688,8105,25791,17939,7920,25862,15038,6151,21187,35398,46003,81399,35906,47163,83070,34793,44949,79742,16308,24062,40373,19043,27203,46249,21560,28183,49738,22809,5936,28745,24686,6015,30700,24652,6299,30953,6235,4509,10745,6253,4329,10585,5891,3737,9633,8971,13017,21986,9038,13009,22045,8337,11950,20291,4703,4875,9575,4687,4761,9446,4806,5163,9969,19474,16700,36178,21653,18897,40551,22440,19059,41499,10325,12941,23268,11238,14203,25437,12514,14250,26769,25202,19671,44876,28409,23856,52263,28120,24796,52914,16538,35839,52377,18144,40494,58637,19198,45305,64506,18000,68218,86220,20828,79770,100602,23493,86988,110479,4055,3896,7948,4742,4567,9304,5188,4962,10152,14957,11291,26252,16209,12636,28843,15900,13205,29099,8309,5917,14231,8259,5633,13897,15470,9016,24488,369463,320430,689897,391278,348085,739359,387522,358582,746105
5,21355,9487,30838,18388,7997,26383,19738,8875,28613,32548,7536,40080,53618,14323,67942,59228,13313,72541,67866,20544,88409,69456,20935,90394,47949,16597,64544,7472,2119,9593,9484,3094,12576,9948,3435,13383,72783,12338,85125,95280,16565,111847,96950,16508,113461,24746,12455,37203,26225,12799,39027,20178,9319,29500,42651,61653,104297,43920,66803,110721,44649,65759,110409,22083,32502,54582,27040,37758,64800,33051,41569,74620,30264,9204,39469,37699,12058,49754,40221,12918,53133,7173,5252,12428,6712,5003,11713,7013,4441,11447,11408,15740,27144,11949,16006,27958,12064,15179,27244,8749,9676,18426,9051,10050,19108,9226,10915,20140,33714,25188,58904,46019,32968,78992,41955,32195,74146,14266,15469,29736,16397,17945,34344,17913,20036,37957,33969,26074,60042,36666,31927,68591,38144,34128,72275,20917,50958,71878,24354,63721,88079,26462,74485,100951,19962,75200,95160,22455,91317,113776,27036,108866,135898,5762,5871,11633,7358,7436,14790,9160,9300,18465,20115,15596,35703,23850,19013,42866,24466,21391,45857,15696,9781,25472,14818,9424,24241,34240,18901,53143,513497,422636,936130,600736,497142,1097879,619602,538133,1157735
6,8410,3000,11407,7610,2739,10353,8395,2993,11383,1484,146,1633,2530,260,2790,2036,182,2217,16191,4991,21175,14489,4479,18968,11124,3731,14856,2277,623,2895,2757,849,3605,2660,855,3509,12297,1384,13677,14871,1669,16539,14820,1626,16444,5270,2065,7333,5146,1957,7103,3552,1287,4840,10350,14090,24436,10161,14378,24544,9924,13674,23595,5379,8833,14214,5949,9811,15761,6610,9931,16543,7132,2244,9378,7241,2050,9288,7090,2069,9160,1765,1557,3323,1694,1551,3245,1646,1278,2925,2037,3298,5332,2017,3229,5243,1751,2790,4540,1406,1470,2877,1299,1516,2808,1219,1459,2676,4868,4045,8912,5616,4629,10254,5554,4665,10214,2559,2911,5470,2683,3097,5775,2838,3559,6405,8538,8692,17233,9002,10590,19594,7912,9051,16958,5432,11499,16929,5907,13548,19459,5997,14100,20105,4784,18579,23364,5187,20844,26032,6330,24355,30683,1529,1388,2912,1904,1662,3563,2098,1921,4017,3868,3174,7042,4406,3683,8091,4260,3859,8120,3251,1947,5195,2596,1676,4272,4673,2700,7381,108808,95932,204739,113074,104226,217295,110489,106099,216583
7,1425,669,2093,1268,634,1898,1379,711,2097,1448,259,1710,2219,476,2694,2155,376,2525,3151,773,3919,3181,779,3962,1851,589,2436,421,100,519,979,336,1316,1196,431,1625,5300,795,6097,6910,1148,8057,8829,1539,10370,1502,644,2143,1470,639,2109,1216,520,1738,3488,4407,7898,3531,4472,8002,3332,4139,7469,2395,3250,5643,2682,3444,6121,3197,3754,6954,3032,953,3987,3469,1182,4654,3395,1116,4507,670,550,1222,578,467,1045,585,412,1002,474,900,1367,398,872,1272,351,771,1124,540,753,1289,616,823,1445,651,846,1497,2034,1946,3982,2448,2371,4815,3275,2375,5653,1242,1382,2629,1483,1501,2988,1393,1728,3125,11238,7589,18835,11547,9050,20603,10269,8335,18607,2149,5390,7537,2471,6316,8789,2563,6974,9539,2478,6101,8583,2509,7380,9888,2953,8417,11374,926,854,1779,1160,1039,2202,1045,1106,2160,1842,1292,3136,2833,1872,4708,2442,1746,4187,1643,1170,2815,1105,818,1921,3010,1712,4720,47399,39776,87179,52859,45616,98479,55115,47597,102708
8,364,134,492,242,113,355,379,213,590,86,4,89,80,13,95,101,19,115,3508,1187,4689,2957,1066,4025,2410,965,3377,910,322,1238,1078,411,1489,1044,402,1451,8469,1141,9613,10725,1266,11987,10781,1249,12029,1786,707,2494,1764,656,2417,1522,518,2041,7100,8225,15319,6990,7850,14835,6963,7644,14601,5188,5118,10310,5759,5523,11282,7111,6286,13401,3263,945,4202,3424,976,4404,3641,1076,4715,2166,1677,3840,2035,1631,3664,2155,1475,3628,1483,2064,3546,1584,1972,3554,1488,1684,3171,1100,1284,2385,1170,1263,2431,1292,1372,2665,9964,6776,16740,11565,7572,19137,11410,7883,19290,2129,2305,4431,2324,2291,4613,2664,2568,5236,27474,25611,53085,32173,31944,64111,31817,31468,63286,5677,10115,15789,6174,10970,17143,6754,12895,19647,3428,12107,15539,4186,13791,17976,5250,16069,21319,1604,1633,3237,1651,1648,3300,1737,1853,3590,3102,2847,5951,3081,3132,6215,2953,3153,6111,1925,1359,3288,1620,1223,2839,3250,2110,5363,90723,85564,176286,100586,95298,195891,104720,100905,205626
9,3,0,5,0,0,0,27,9,34,83,14,98,117,16,135,127,19,149,25,0,26,3,3,8,22,19,43,29,3,28,22,4,32,36,4,41,109,8,117,68,12,77,135,8,143,15,0,12,8,7,16,13,9,21,13,26,36,48,39,84,67,121,184,25,44,65,15,25,44,94,156,249,56,16,67,49,11,62,77,33,111,7,0,8,0,0,3,13,7,15,0,6,6,0,4,4,3,22,24,7,0,4,8,0,8,18,17,28,13,8,17,20,12,31,25,25,48,17,18,39,28,34,59,44,80,116,157,80,236,231,139,372,284,149,433,30,78,111,34,81,116,33,120,159,23,44,63,13,49,68,16,90,109,15,12,31,14,10,28,42,33,74,15,13,23,19,6,23,36,25,58,53,15,69,12,4,19,72,37,110,687,379,1065,705,473,1180,1188,982,2170
