STE_CODE_2016,C06_M_NatPhy_sci_15_19,C06_M_NatPhy_sci_20_24,C06_M_NatPhy_sci_25_34,C06_M_NatPhy_sci_35_44,C06_M_NatPhy_sci_45_54,C06_M_NatPhy_sci_55_64,C06_M_NatPhy_sci_65_74,C06_M_NatPhy_sci_75_84,C06_M_NatPhy_sci_85_ov,C06_M_NatPhy_sci_Tot,C06_M_InfTec_15_19,C06_M_InfTec_20_24,C06_M_InfTec_25_34,C06_M_InfTec_35_44,C06_M_InfTec_45_54,C06_M_InfTec_55_64,C06_M_InfTec_65_74,C06_M_InfTec_75_84,C06_M_InfTec_85_ov,C06_M_InfTec_Tot,C06_M_EngRT_15_19,C06_M_EngRT_20_24,C06_M_EngRT_25_34,C06_M_EngRT_35_44,C06_M_EngRT_45_54,C06_M_EngRT_55_64,C06_M_EngRT_65_74,C06_M_EngRT_75_84,C06_M_EngRT_85_ov,C06_M_EngRT_Tot,C06_M_ArchBuild_15_19,C06_M_ArchBuild_20_24,C06_M_ArchBuild_25_34,C06_M_ArchBuild_35_44,C06_M_ArchBuild_45_54,C06_M_ArchBuild_55_64,C06_M_ArchBuild_65_74,C06_M_ArchBuild_75_84,C06_M_ArchBuild_85o,C06_M_Arch_building_Tot,C06_M_AgEnv_RS_15_19,C06_M_AgEnv_RS_20_24,C06_M_AgEnv_RS_25_34,C06_M_AgEnv_RS_35_44,C06_M_AgEnv_RS_45_54,C06_M_AgEnv_RS_55_64,C06_M_AgEnv_RS_65_74,C06_M_AgEnv_RS_75_84,C06_M_AgEnv_RS_85_ov,C06_M_AgEnv_RS_Tot,C06_M_Health_15_19,C06_M_Health_20_24,C06_M_Health_25_34,C06_M_Health_35_44,C06_M_Health_45_54,C06_M_Health_55_64,C06_M_Health_65_74,C06_M_Health_75_84,C06_M_Health_85o,C06_M_Healt_To,C06_M_Educ_15_19,C06_M_Educ_20_24,C06_M_Educ_25_34,C06_M_Educ_35_44,C06_M_Educ_45_54,C06_M_Educ_55_64,C06_M_Educ_65_74,C06_M_Educ_75_84,C06_M_Educ_85o,C06_M_Educ_Tot,C06_M_MngtCom_15_19,C06_M_MngtCom_20_24,C06_M_MngtCom_25_34,C06_M_MngtCom_35_44,C06_M_MngtCom_45_54,C06_M_MngtCom_55_64,C06_M_MngtCom_65_74,C06_M_MngtCom_75_84,C06_M_MngtCom_85o,C06_M_MngtCom_Tot,C06_M_Soc_cult_15_19,C06_M_Soc_cult_20_24,C06_M_Soc_cult_25_34,C06_M_Soc_cult_35_44,C06_M_Soc_cult_45_54,C06_M_Soc_cult_55_64,C06_M_Soc_cult_65_74,C06_M_Soc_cult_75_84,C06_M_Soc_cult_85o,C06_M_Soc_cult_Tot,C06_M_Creative_art_15_19,C06_M_Creative_art_20_24,C06_M_Creative_art_25_34,C06_M_Creative_art_35_44,C06_M_Creative_art_45_54,C06_M_Creative_art_55_64,C06_M_Creative_art_65_74,C06_M_Creative_art_75_84,C06_M_Creat_arts_85o,C06_M_Creative_arts_Tot,C06_M_FoodHos_PS_15_19,C06_M_FoodHos_PS_20_24,C06_M_FoodHos_PS_25_34,C06_M_FoodHos_PS_35_44,C06_M_FoodHos_PS_45_54,C06_M_FoodHos_PS_55_64,C06_M_FoodHos_PS_65_74,C06_M_FoodHos_PS_75_84,C06_M_FoodHos_PS_85o,C06_M_FoodHos_PS_Tot,C06_M_MixFld_pr_15_19,C06_M_MixFld_pr_20_24,C06_M_MixFld_pr_25_34,C06_M_MixFld_pr_35_44,C06_M_MixFld_pr_45_54,C06_M_MixFld_pr_55_64,C06_M_MixFld_pr_65_74,C06_M_MixFld_pr_75_84,C06_M_MixFld_pr_85_ov,C06_M_MixFld_pr_Tot,C06_M_FldStu_ID_15_19,C06_M_FldStu_ID_20_24,C06_M_FldStu_ID_25_34,C06_M_FldStu_ID_35_44,C06_M_FldStu_ID_45_54,C06_M_FldStu_ID_55_64,C06_M_FldStu_ID_65_74,C06_M_FldStu_ID_75_84,C06_M_FldStu_ID_85o,C06_M_FldStu_ID_Tot,C06_M_FldStu_NS_15_19,C06_M_FldStu_NS_20_24,C06_M_FldStu_NS_25_34,C06_M_FldStu_NS_35_44,C06_M_FldStu_NS_45_54,C06_M_FldStu_NS_55_64,C06_M_FldStu_NS_65_74,C06_M_FldStu_NS_75_84,C06_M_FldStu_NS_85o,C06_M_FldStu_NS_T,C06_M_Tot_15_19,C06_M_Tot_20_24,C06_M_Tot_25_34,C06_M_Tot_35_44,C06_M_Tot_45_54,C06_M_Tot_55_64,C06_M_Tot_65_74,C06_M_Tot_75_84,C06_M_Tot_85o,C06_M_T_T,C11_M_NatPhy_sci_15_19,C11_M_NatPhy_sci_20_24,C11_M_NatPhy_sci_25_34,C11_M_NatPhy_sci_35_44,C11_M_NatPhy_sci_45_54,C11_M_NatPhy_sci_55_64,C11_M_NatPhy_sci_65_74,C11_M_NatPhy_sci_75_84,C11_M_NatPhy_sci_85_ov,C11_M_NatPhy_sci_Tot,C11_M_InfTec_15_19,C11_M_InfTec_20_24,C11_M_InfTec_25_34,C11_M_InfTec_35_44,C11_M_InfTec_45_54,C11_M_InfTec_55_64,C11_M_InfTec_65_74,C11_M_InfTec_75_84,C11_M_InfTec_85_ov,C11_M_InfTec_Tot,C11_M_EngRT_15_19,C11_M_EngRT_20_24,C11_M_EngRT_25_34,C11_M_EngRT_35_44,C11_M_EngRT_45_54,C11_M_EngRT_55_64,C11_M_EngRT_65_74,C11_M_EngRT_75_84,C11_M_EngRT_85_ov,C11_M_EngRT_Tot,C11_M_ArchBuild_15_19,C11_M_ArchBuild_20_24,C11_M_ArchBuild_25_34,C11_M_ArchBuild_35_44,C11_M_ArchBuild_45_54,C11_M_ArchBuild_55_64,C11_M_ArchBuild_65_74,C11_M_ArchBuild_75_84,C11_M_ArchBuild_85o,C11_M_Arch_building_Tot,C11_M_AgEnv_RS_15_19,C11_M_AgEnv_RS_20_24,C11_M_AgEnv_RS_25_34,C11_M_AgEnv_RS_35_44,C11_M_AgEnv_RS_45_54,C11_M_AgEnv_RS_55_64,C11_M_AgEnv_RS_65_74,C11_M_AgEnv_RS_75_84,C11_M_AgEnv_RS_85o,C11_M_AgEnv_RS_Tot
1,96,2123,7816,9055,8565,6829,2852,1449,278,39058,1021,9448,22949,13960,7161,2247,364,77,22,57259,2757,19077,69795,91831,89471,69795,40787,22885,4323,410701,1521,9244,29141,32349,28608,21204,13423,6633,1286,143402,576,3140,9083,9685,8089,5362,2759,1242,280,40211,255,2041,9934,11734,12174,7788,4494,2767,538,51725,105,1140,6738,9057,15524,11111,5150,2182,466,51472,1750,16878,48720,48609,40919,28470,11330,5675,1376,203721,630,5615,20873,22059,20238,14463,6278,2959,658,93770,562,4943,11019,7617,5901,3629,1521,764,164,36109,1106,5222,12466,10544,7493,5475,2816,1231,304,46663,233,326,242,254,278,239,145,106,45,1868,263,1181,3378,3883,3608,2402,1207,773,250,16945,28924,26203,49771,48286,43758,36785,30864,28575,9353,302523,39799,106569,301920,318916,291789,215798,123991,77307,19337,1495440,84,2517,8099,9565,9116,8021,4745,1762,497,44400,935,6085,30738,19845,10583,4232,828,133,21,73396,2616,21777,68672,84930,96192,79294,50987,25140,7243,436848,1659,11035,29831,33683,31543,24703,15507,7826,2032,157807,592,2796,8940,10381,9555,6731,3692,1638,386,44717
2,65,1726,6597,7278,6938,5312,2069,1102,227,31313,690,7578,19769,11528,5890,1905,229,68,14,47671,1963,14216,52609,69669,64834,49101,27746,15130,2875,298140,1602,8284,21063,22844,20037,13553,8942,4084,804,101219,433,2529,7491,7722,5639,3223,1560,807,169,29580,118,1624,7614,9038,9095,5529,2791,1736,359,37913,61,894,5461,7344,11825,10087,4445,1822,351,42287,1088,12735,36250,33939,28171,18413,7244,3840,997,142678,550,4355,14175,14266,14103,9950,4074,1777,409,63668,630,4495,9494,6092,4427,2655,1041,526,148,29499,908,4163,9759,8577,5616,3594,1939,862,213,35627,162,284,165,146,164,126,110,91,32,1283,167,1148,3187,3288,3150,1975,875,610,157,14554,21126,18400,31806,32945,30194,26126,23547,22851,7992,214997,29562,82426,225438,234681,210096,151547,86612,55308,14750,1090413,61,2252,7230,8201,7705,6510,3510,1263,417,37155,589,4839,26618,16689,8629,3596,631,77,10,61677,2114,17055,55903,67247,70361,56879,35502,17265,4880,327214,2165,12137,26788,26029,21979,16146,10318,5097,1247,121900,405,2337,7693,8151,7075,4430,2184,979,241,33486
3,41,1500,4067,4239,3822,3165,1239,560,85,18718,778,4085,8402,5670,3102,1133,185,33,7,23397,2171,14004,45058,56809,55855,43842,24306,11326,2015,255389,1000,5520,17724,20291,21411,16012,9119,3852,726,95645,686,2276,5818,5695,4359,2786,1370,573,136,23690,94,1268,5818,7210,6772,4402,2366,1298,242,29473,58,892,4332,5923,7797,6314,2741,1001,223,29273,1154,7477,19274,20056,17847,12823,5018,2405,539,86589,508,3390,9518,9539,8684,6737,2801,1120,240,42535,422,2594,4596,3208,2493,1730,775,325,58,16212,995,3553,9092,7574,5159,3694,1638,620,164,32486,114,164,120,147,140,112,107,61,18,987,171,732,1858,2278,2146,1672,811,388,119,10175,17395,15732,27366,27790,26098,22124,18056,16177,5937,176686,25584,63189,163064,176435,165667,126537,70526,39737,10512,841248,89,1795,4855,4951,4315,3853,2061,691,159,22771,1434,3115,11286,8268,4593,2045,433,57,10,31238,2922,17801,52731,59862,62861,51950,31774,13688,3343,296939,1565,8965,22147,24107,23065,19307,11561,4856,1103,116678,672,1750,5922,6801,5630,3575,1998,741,172,27262
4,18,582,1916,2063,2094,1711,670,351,64,9463,224,1586,3250,2201,1398,486,69,8,7,9234,732,5472,16673,21678,20922,17403,10499,5858,1168,100397,407,1625,4069,5368,5709,4531,3097,1662,314,26781,208,987,2540,2499,1924,1195,481,320,64,10237,35,454,2237,2816,3117,2052,996,689,120,12523,22,278,1426,1893,3778,3442,1129,464,111,12539,355,2737,7169,7920,7968,5847,2455,1326,364,36136,199,1299,3687,3824,4301,3465,1299,681,143,18889,115,996,1815,1321,1128,745,312,155,35,6618,358,1391,2958,2689,1851,1319,602,246,64,11481,53,59,43,39,38,54,39,33,14,373,71,283,651,696,750,572,307,156,61,3560,5821,4718,7819,8877,8510,7059,6594,7286,2477,59162,8609,22486,56264,63876,63481,49882,28532,19236,5008,317381,24,655,2269,2319,2084,2033,1079,369,108,10928,183,1004,4410,2786,1741,907,178,19,3,11222,760,5930,17342,20847,22111,19539,12559,6495,1866,107449,548,2755,5416,5729,5873,4998,3520,1885,531,31251,194,952,2665,2816,2348,1615,725,336,97,11760
5,61,858,3204,3383,2991,2239,761,359,75,13929,464,2503,4433,3012,1563,504,78,14,0,12573,1479,8385,26294,33055,32607,23290,11975,5334,982,143410,607,2457,6965,8659,8727,6745,4375,1855,346,40744,334,1164,2935,2928,2391,1645,848,361,69,12669,54,659,2831,3568,3448,2273,1131,614,114,14697,49,379,1872,2908,4237,3132,1492,593,120,14777,583,4028,9773,11190,10151,7495,2953,1305,354,47844,292,1611,4611,4843,4890,3594,1480,660,138,22113,256,1418,2403,1718,1499,912,373,188,32,8795,318,1377,3804,3797,2607,1692,775,352,71,14794,69,63,76,87,71,62,46,28,10,498,112,244,752,1004,952,758,340,217,75,4452,9329,8573,15241,16005,14572,11524,8899,7897,2543,94581,14004,33714,85197,96155,90714,65863,35524,19781,4923,445881,44,1089,3861,4114,3562,2799,1367,450,124,17412,590,1671,6524,4206,2339,981,218,17,0,16549,2033,12296,35365,37561,37781,29427,15646,6654,1618,178385,1125,5135,10550,10208,10189,8182,5097,2414,546,53442,284,1007,3302,3308,2842,2045,1158,499,95,14539
6,8,137,507,639,659,544,220,115,19,2848,75,573,752,492,326,137,25,6,0,2388,248,1366,4403,6020,6252,4813,2989,1537,281,27903,151,553,1574,2312,2643,1845,1119,533,99,10829,83,380,988,1014,755,458,226,130,27,4050,12,115,523,734,947,599,345,188,46,3508,9,92,486,640,1125,992,443,182,38,4002,101,704,1569,1926,2005,1532,622,343,74,8870,32,281,834,1066,1308,981,414,175,32,5120,31,198,399,379,379,346,123,54,15,1922,104,486,999,993,696,481,207,66,21,4059,18,8,10,6,18,19,9,8,3,94,15,81,182,233,254,219,87,59,4,1142,2105,1362,2202,2707,2902,2666,2660,2492,789,19890,2984,6336,15423,19153,20275,15623,9473,5890,1457,96613,5,133,509,707,697,679,374,146,43,3285,87,402,1130,634,463,226,53,3,0,2995,303,1705,4389,5726,6621,5773,3863,1808,488,30669,227,1172,1893,2367,2798,2151,1413,691,170,12876,81,309,979,1116,1009,632,317,160,37,4637
7,0,38,208,230,252,139,46,13,0,929,42,150,314,202,128,43,7,0,0,901,118,817,2628,3099,2512,1611,567,127,10,11504,36,175,648,759,754,577,213,67,7,3225,56,110,362,379,258,142,36,11,0,1349,8,56,299,373,311,164,46,23,0,1280,3,21,217,288,481,351,92,16,0,1467,23,230,727,796,726,474,93,25,5,3098,12,133,548,635,499,348,91,23,0,2290,17,63,177,142,132,80,24,3,4,647,54,183,430,392,240,133,30,14,0,1465,8,7,11,5,18,0,4,0,0,53,17,38,148,160,121,88,20,14,0,612,1450,1370,2657,2579,2237,1520,682,273,61,12825,1840,3405,9380,10046,8648,5669,1952,612,93,41634,0,43,230,248,228,180,75,20,0,1026,27,137,460,263,155,85,11,0,0,1140,145,1066,2914,3124,2881,2012,799,195,20,13152,63,384,1046,898,854,684,290,73,5,4287,36,139,395,441,335,179,68,13,5,1613
8,4,285,1037,1249,1367,1072,410,241,43,5704,97,929,2334,1919,1348,482,53,3,4,7180,65,758,2896,3390,3179,2514,1328,681,139,14952,57,370,1215,1134,1198,970,648,329,53,5977,4,152,452,427,398,247,142,67,10,1911,4,80,456,564,622,358,176,120,25,2400,5,62,493,536,715,612,280,113,20,2842,97,968,2505,2596,2474,1642,548,286,87,11210,61,785,2833,2620,2884,2417,920,466,97,13085,28,474,826,555,430,238,88,42,9,2689,65,287,692,509,322,202,95,46,10,2218,12,14,9,8,10,4,3,3,0,67,10,85,251,285,304,199,115,52,16,1321,1267,1119,1911,1688,1458,1197,816,668,237,10353,1774,6370,17903,17483,16706,12155,5628,3124,759,81901,4,364,1171,1218,1319,1219,643,242,73,6250,126,633,3138,2382,1785,795,154,12,0,9025,69,855,3188,3404,3362,2776,1620,853,216,16344,65,685,1474,1419,1229,1045,687,344,100,7052,17,106,458,497,425,329,180,96,20,2118
9,0,0,4,6,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,5,0,4,29,53,38,16,7,0,0,145,0,4,10,12,20,13,0,0,0,56,0,0,3,7,4,0,0,0,0,13,0,0,0,0,3,3,0,0,0,7,0,0,3,9,11,5,0,0,0,31,0,6,10,10,11,3,0,0,0,31,0,5,7,5,3,6,0,0,0,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,0,0,11,15,21,38,25,28,30,13,0,0,170,19,47,109,133,121,76,18,3,0,531,0,3,3,6,0,3,0,0,0,16,0,3,4,0,0,0,0,0,0,7,3,12,21,35,49,29,6,0,0,157,0,4,10,4,12,10,3,0,0,48,0,0,8,4,3,3,0,0,0,23
