STE_CODE_2016,C16_650_799_CF_1C,C16_650_799_CF_2C,C16_650_799_CF_3C,C16_650_799_CF_4mC,C16_650_799_CF_T,C16_800_999_CF_1C,C16_800_999_CF_2C,C16_800_999_CF_3C,C16_800_999_CF_4mC,C16_800_999_CF_T,C16_1000_1499_CF_1C,C16_1000_1499_CF_2C,C16_1000_1499_CF_3C,C16_1000_1499_CF_4mC,C16_1000_1499_CF_T,C16_1500_1999_CF_1C,C16_1500_1999_CF_2C,C16_1500_1999_CF_3C,C16_1500_1999_CF_4mC,C16_1500_1999_CF_T,C16_2000_2499_CF_1C,C16_2000_2499_CF_2C,C16_2000_2499_CF_3C,C16_2000_2499_CF_4mC,C16_2000_2499_CF_T,C16_2500_2999_CF_1C,C16_2500_2999_CF_2C,C16_2500_2999_CF_3C,C16_2500_2999_CF_4mC,C16_2500_2999_CF_T,C16_3000_3999_CF_1C,C16_3000_3999_CF_2C,C16_3000_3999_CF_3C,C16_3000_3999_CF_4mC,C16_3000_3999_CF_T,C16_4000m_CF_1C,C16_4000m_CF_2C,C16_4000m_CF_3C,C16_4000m_Cou_fa_4mo_ch,C16_4000m_CF_T,C16_Par_inc_st_CF_1C,C16_Par_inc_st_CF_2C,C16_Par_inc_st_CF_3C,C16_Par_inc_st_CF_4mC,C16_Par_inc_st_CF_T,C16_All_inc_ns_CF_1Ch,C16_All_inc_ns_CF_2C,C16_All_inc_ns_CF_3C,C16_All_inc_ns_CF_4mC,C16_All_inc_ns_CF_T,C16_Tot_CF_1C,C16_Tot_CF_2C,C16_Tot_CF_3C,C16_Tot_CF_4mC,C16_Tot_CF_T
1,8524,6485,2821,1511,19339,12654,10890,4674,2404,30622,44882,39710,16344,7110,108040,44880,46559,18052,7039,116529,46746,52306,18475,5961,123486,34219,41889,14474,4150,94738,41127,55471,19110,4981,120686,38783,64442,24672,6098,134000,34078,41248,18866,8063,102252,3086,3148,1423,671,8333,321308,372137,143392,50526,887358
2,7377,5660,2312,1205,16549,11578,10129,3871,1783,27360,39651,37362,14138,5359,96511,38643,43685,15664,5171,103167,38441,45889,15154,4222,103708,26586,34908,11425,2755,75677,28829,40616,13302,2923,85669,24420,42426,16307,3649,86799,26539,33122,14632,6245,80538,2820,3065,1261,559,7698,256010,305936,111829,36185,709965
3,4905,3402,1439,802,10552,7717,6248,2707,1459,18123,28408,25303,10724,5105,69543,28350,31117,11951,5201,76614,29192,33511,11839,4081,78630,20790,26337,8973,2632,58730,22650,30457,10296,2680,66079,16851,26470,10323,2878,56523,21939,25684,11227,5011,63859,1951,1851,753,434,4987,189309,215302,82269,31618,518494
4,2222,1601,606,292,4723,3356,2873,1062,521,7815,11569,11012,3938,1498,28014,10844,12220,4305,1413,28780,10431,12361,3881,1055,27727,7245,9403,2903,679,20232,7020,10101,3077,672,20871,4791,7903,2989,699,16379,7565,9102,3810,1477,21956,551,562,234,131,1478,68518,79436,27739,9043,184733
5,2303,1568,688,341,4899,3418,2780,1142,600,7944,12764,11633,4311,1756,30464,13884,15442,5579,2047,36953,15136,18581,6557,1945,42216,11275,14453,4717,1277,31725,14323,18667,6360,1522,40866,13045,20576,7533,1806,42963,14744,17962,7375,2859,42943,972,1024,428,184,2602,105596,125606,45868,15060,292133
6,658,478,210,90,1440,1038,888,364,193,2476,3552,3252,1389,625,8822,3149,3504,1357,514,8524,3036,3332,1099,345,7811,2022,2363,760,205,5353,1828,2341,727,182,5079,1008,1530,634,157,3329,2206,2574,1070,494,6350,179,151,69,25,425,19408,20970,7932,2975,51286
7,248,173,95,90,606,262,245,148,113,775,804,682,320,229,2031,926,905,351,187,2365,1185,1183,460,188,3020,944,1024,339,150,2458,1381,1596,595,167,3736,1145,1480,573,182,3380,1018,1090,554,407,3074,228,184,101,97,613,8856,9080,3850,2022,23815
8,201,161,52,27,444,291,271,106,57,722,1422,1149,408,159,3144,1790,1658,583,194,4230,2366,2577,774,271,5997,2256,2615,808,218,5900,3590,4754,1366,312,10022,3794,5618,1829,368,11617,1790,2128,804,279,5002,89,103,29,8,241,17882,21284,6889,1944,48008
9,4,3,0,0,12,3,9,3,0,11,35,23,11,0,75,30,19,20,4,75,17,23,10,3,56,12,15,7,0,42,11,14,5,0,39,11,15,8,7,33,25,25,13,7,68,0,0,0,0,7,164,159,80,22,430
