STE_CODE_2016,C06_F_CL_T_15_19,C06_F_CL_T_20_24,C06_F_CL_T_25_34,C06_F_CL_T_35_44,C06_F_CL_T_45_54,C06_F_CL_T_55_64,C06_F_CL_T_65_74,C06_F_CL_T_75_84,C06_F_CL_T_85_ov,C06_F_CL_T_Tot,C06_F_LE_ID_15_19,C06_F_LE_ID_20_24,C06_F_LE_ID_25_34,C06_F_LE_ID_35_44,C06_F_LE_ID_45_54,C06_F_LE_ID_55_64,C06_F_LE_ID_65_74,C06_F_LE_ID_75_84,C06_F_LE_ID_85o,C06_F_LE_ID_Tot,C06_F_LE_NS_15_19,C06_F_LE_NS_20_24,C06_F_LE_NS_25_34,C06_F_LE_NS_35_44,C06_F_LE_NS_45_54,C06_F_LE_NS_55_64,C06_F_LE_NS_65_74,C06_F_LE_NS_75_84,C06_F_LE_NS_85_ov,C06_F_LE_NS_T,C06_F_Tot_15_19_yrs,C06_F_Tot_20_24_yrs,C06_F_Tot_25_34_yrs,C06_F_Tot_35_44_yrs,C06_F_Tot_45_54_yrs,C06_F_Tot_55_64_yrs,C06_F_Tot_65_74_yrs,C06_F_Tot_75_84_yrs,C06_F_Tot_85o,C06_F_T_T,C11_F_Post_Deg_15_19_yrs,C11_F_Post_Deg_20_24_yrs,C11_F_Post_Deg_25_34_yrs,C11_F_Post_Deg_35_44_yrs,C11_F_Post_Deg_45_54_yrs,C11_F_Post_Deg_55_64_yrs,C11_F_Post_Deg_65_74_yrs,C11_F_Post_Deg_75_84_yrs,C11_F_Post_Deg_85o,C11_F_Post_Deg_Tot,C11_F_GrDip_GrCe_15_19,C11_F_GrDip_GrCe_20_24,C11_F_GrDip_GrCe_25_34,C11_F_GrDip_GrCe_35_44,C11_F_GrDip_GrCe_45_54,C11_F_GrDip_GrCe_55_64,C11_F_GrDip_GrCe_65_74,C11_F_GrDip_GrCe_75_84,C11_F_GrDip_GrCe_85ov,C11_F_GrDip_GrCe_Tot,C11_F_BD_15_19,C11_F_BD_20_24,C11_F_BD_25_34,C11_F_BD_35_44,C11_F_BD_45_54,C11_F_BD_55_64,C11_F_BD_65_74,C11_F_BD_75_84,C11_F_BD_85o,C11_F_BD_Tot,C11_F_AdD_DL_15_19,C11_F_AdD_DL_20_24,C11_F_AdD_DL_25_34,C11_F_AdD_DL_35_44,C11_F_AdD_DL_45_54,C11_F_AdD_DL_55_64,C11_F_AdD_DL_65_74,C11_F_AdD_DL_75_84,C11_F_AdD_DL_85o,C11_F_AdD_DL_Tot,C11_F_CL_C_III_IV_15_19,C11_F_CL_C_III_IV_20_24,C11_F_CL_C_III_IV_25_34,C11_F_CL_C_III_IV_35_44,C11_F_CL_C_III_IV_45_54,C11_F_CL_C_III_IV_55_64,C11_F_CL_C_III_IV_65_74,C11_F_CL_C_III_IV_75_84,C11_F_CL_C_III_IV_85_ov,C11_F_CL_C_III_IV_Tot,C11_F_CL_C_I_II_15_19,C11_F_CL_C_I_II_20_24,C11_F_CL_C_I_II_25_34,C11_F_CL_C_I_II_35_44,C11_F_CL_C_I_II_45_54,C11_F_CL_C_I_II_55_64,C11_F_CL_C_I_II_65_74,C11_F_CL_C_I_II_75_84,C11_F_CL_C_I_II_85_ov,C11_F_CL_C_I_II_Tot,C11_F_CL_CL_nfd_15_19,C11_F_CL_CL_nfd_20_24,C11_F_CL_CL_nfd_25_34,C11_F_CL_CL_nfd_35_44,C11_F_CL_CL_nfd_45_54,C11_F_CL_CL_nfd_55_64,C11_F_CL_CL_nfd_65_74,C11_F_CL_CL_nfd_75_84,C11_F_CL_CL_nfd_85_ov,C11_F_CL_CL_nfd_Tot,C11_F_CL_T_15_19,C11_F_CL_T_20_24,C11_F_CL_T_25_34,C11_F_CL_T_35_44,C11_F_CL_T_45_54,C11_F_CL_T_55_64,C11_F_CL_T_65_74,C11_F_CL_T_75_84,C11_F_CL_T_85_ov,C11_F_CL_T_Tot,C11_F_LE_ID_15_19,C11_F_LE_ID_20_24,C11_F_LE_ID_25_34,C11_F_LE_ID_35_44,C11_F_LE_ID_45_54,C11_F_LE_ID_55_64,C11_F_LE_ID_65_74,C11_F_LE_ID_75_84,C11_F_LE_ID_85o,C11_F_LE_ID_Tot,C11_F_LE_NS_15_19,C11_F_LE_NS_20_24,C11_F_LE_NS_25_34,C11_F_LE_NS_35_44,C11_F_LE_NS_45_54,C11_F_LE_NS_55_64,C11_F_LE_NS_65_74,C11_F_LE_NS_75_84,C11_F_LE_NS_85_ov,C11_F_LE_NS_T,C11_F_Tot_15_19_yrs,C11_F_Tot_20_24_yrs,C11_F_Tot_25_34_yrs,C11_F_Tot_35_44_yrs,C11_F_Tot_45_54_yrs,C11_F_Tot_55_64_yrs,C11_F_Tot_65_74_yrs,C11_F_Tot_75_84_yrs,C11_F_Tot_85o,C11_F_T_T,C16_F_Post_Deg_15_19_yrs,C16_F_Post_Deg_20_24_yrs,C16_F_Post_Deg_25_34_yrs,C16_F_Post_Deg_35_44_yrs,C16_F_Post_Deg_45_54_yrs,C16_F_Post_Deg_55_64_yrs,C16_F_Post_Deg_65_74_yrs,C16_F_Post_Deg_75_84_yrs,C16_F_Post_Deg_85o,C16_F_Post_Deg_Tot,C16_F_GrDip_GrCe_15_19,C16_F_GrDip_GrCe_20_24,C16_F_GrDip_GrCe_25_34,C16_F_GrDip_GrCe_35_44,C16_F_GrDip_GrCe_45_54,C16_F_GrDip_GrCe_55_64,C16_F_GrDip_GrCe_65_74,C16_F_GrDip_GrCe_75_84,C16_F_GrDip_GrCe_85ov,C16_F_GrDip_GrCe_Tot,C16_F_BD_15_19,C16_F_BD_20_24,C16_F_BD_25_34,C16_F_BD_35_44,C16_F_BD_45_54,C16_F_BD_55_64,C16_F_BD_65_74,C16_F_BD_75_84,C16_F_BD_85o,C16_F_BD_Tot,C16_F_AdD_DL_15_19,C16_F_AdD_DL_20_24,C16_F_AdD_DL_25_34,C16_F_AdD_DL_35_44,C16_F_AdD_DL_45_54,C16_F_AdD_DL_55_64,C16_F_AdD_DL_65_74,C16_F_AdD_DL_75_84,C16_F_AdD_DL_85o,C16_F_AdD_DL_Tot,C16_F_CL_C_III_IV_15_19,C16_F_CL_C_III_IV_20_24,C16_F_CL_C_III_IV_25_34,C16_F_CL_C_III_IV_35_44,C16_F_CL_C_III_IV_45_54,C16_F_CL_C_III_IV_55_64,C16_F_CL_C_III_IV_65_74,C16_F_CL_C_III_IV_75_84,C16_F_CL_C_III_IV_85_ov,C16_F_CL_C_III_IV_Tot
1,10729,36248,69104,69084,56139,31410,12059,7080,2173,294027,834,2586,7152,11382,12389,9032,5025,3095,948,52444,25568,20335,42261,46669,45596,42715,41728,47689,23092,335663,39349,112663,308702,294562,254301,162755,90354,72190,30161,1365020,32,2737,35655,30486,21749,14330,4692,1107,225,111019,30,928,10140,12824,12749,10492,3268,854,174,51453,263,35596,136760,108314,74316,48473,19774,7776,2292,433551,1820,18932,51219,63257,56672,42196,21593,9212,2764,267669,7224,29175,59013,54987,49486,27486,9755,4638,1740,243504,3212,5508,9977,9856,9104,5705,1975,627,227,46185,1149,3604,8167,13557,15277,12890,6604,2757,1154,65149,11580,38283,77162,78396,73869,46080,18328,8018,3120,354836,688,2611,6477,9177,13456,12890,8397,4708,1987,60386,20270,16303,33075,33963,36124,37120,37485,38179,25292,277812,34672,115397,350489,336416,288934,211581,113540,69856,35847,1556728,35,3792,56431,47553,30263,20329,9365,2143,463,170384,107,1395,12427,14870,13841,13883,6585,1572,321,64998,348,45186,164825,132893,88902,63480,32979,11764,3560,543936,2321,19362,59909,66331,66782,54455,31779,12860,4307,318103,7628,30267,66563,59872,58771,40290,16349,5022,2310,287068
2,7042,26110,46907,45648,35813,20677,7619,4377,1292,195491,445,1701,4761,6139,5754,4576,2776,1907,647,28714,18717,14088,26300,31812,31443,31488,31760,38280,19718,243602,27488,87550,232696,213935,178461,116788,65485,55040,24545,1001989,15,1920,27334,21956,15058,9743,3136,778,179,80120,15,1187,13832,17086,14417,10467,3316,749,151,61224,188,32571,117967,87993,56667,37228,15445,5979,1661,355699,1070,16536,43964,48207,40964,30522,15280,6535,2085,205163,5822,22365,44231,40522,36468,21490,7532,3423,1145,182996,2593,3693,6874,5784,5074,3326,1019,310,109,28782,918,2915,6277,8757,8590,6298,3168,1399,618,38949,9328,28975,57375,55064,50128,31116,11723,5138,1875,250722,327,1382,3472,4292,5039,5028,3620,2140,897,26197,15772,12725,24578,25390,26966,28651,29822,30624,20383,214913,26718,95297,288526,259990,209238,152758,82348,51929,27230,1194037,20,3461,46823,36365,21734,14197,6469,1411,339,130829,103,1733,16751,19178,17619,14264,6245,1505,289,77681,256,40257,140680,109682,69665,47826,25105,9136,2883,445493,1674,18474,54232,54514,51806,39185,23044,9324,3341,255598,5725,23786,52993,45482,45813,30709,13205,3990,1628,223341
3,8927,25317,42602,39100,32147,17415,5327,2506,731,174074,498,1353,3416,4924,5109,3942,2375,1412,384,23403,14802,11254,20836,24708,24028,23286,22263,25001,13370,179541,25675,67770,159072,153673,131378,85070,45585,35253,16137,719617,6,916,12583,12361,9974,6209,1891,414,78,44434,25,771,6353,9047,7822,5416,1728,376,78,31606,167,20885,73508,59258,39484,25372,10923,3800,1074,234481,1542,10349,30154,37433,33287,22996,11010,4052,1097,151932,8098,21396,42752,38070,33757,20061,6072,2086,637,172923,4732,4970,7073,5310,4232,2722,837,209,56,30138,1169,2759,5870,7618,7203,5420,2432,812,289,33577,13997,29119,55700,50997,45199,28205,9338,3104,988,236644,422,1114,2791,3519,4553,4511,3049,1649,561,22177,13270,10568,20306,21574,22323,21786,21732,20901,13942,166403,29434,73728,201392,194189,162637,114496,59670,34299,17831,887679,8,1158,18831,18798,14003,9412,4055,786,176,67232,66,1211,8757,10702,10274,7880,3466,909,139,43400,193,24289,83980,73127,49354,33528,17926,5973,1680,290053,2568,13047,37781,42110,42484,31551,17176,6313,1772,194814,10893,25369,52330,45967,43704,30378,11894,2673,915,224130
4,2805,9680,17070,15837,12842,7133,2727,1601,437,70133,177,551,1315,1788,1875,1432,865,616,208,8835,5153,3413,6225,7952,8331,8781,9313,12032,6013,67214,8372,23847,56329,55893,53189,35633,19490,17503,7737,277999,4,355,4918,4191,3416,2523,865,179,40,16489,0,199,2192,3166,3332,2917,907,186,42,12938,39,7516,26439,20054,14668,10846,4604,1811,576,86554,196,2816,8913,12288,12856,10154,4617,1785,683,54304,1876,7424,15602,13620,12622,7651,2614,1237,403,63041,1187,1897,3167,2218,1705,948,345,111,40,11621,325,957,2380,3152,2734,2242,1093,402,164,13453,3383,10270,21147,18994,17072,10840,4055,1746,606,88111,116,404,955,1280,1503,1274,911,602,243,7294,4289,3054,5530,6328,7309,8064,8737,9930,7037,60264,8030,24615,70090,66293,60152,46623,24701,16233,9227,325956,3,437,7819,6854,4594,3477,1785,389,73,25426,6,340,2771,3625,3581,3580,1779,391,75,16155,51,8116,30110,24900,16582,13434,7598,2659,940,104390,244,2992,10877,12820,14896,13220,7522,2566,1016,66159,2505,8190,18304,15333,15664,11036,4792,1390,556,77770
5,4719,12239,20403,19546,16121,9085,3236,1643,512,87505,232,664,2015,2879,2984,2202,1278,765,252,13280,8167,6176,11743,14348,14154,12782,11641,12243,6178,97430,14073,34616,81796,83717,73493,46564,25334,18283,7870,385742,0,470,6849,6367,4772,3082,937,227,36,22734,18,496,4438,5231,4579,2899,871,224,43,18793,65,11706,41268,32647,21724,14055,6161,2414,626,130666,878,5860,15897,19216,19071,13137,6222,2453,738,83474,3974,11085,20621,18181,15339,9161,3362,1820,746,84291,1568,2240,3396,2646,2199,1451,532,184,55,14272,486,1404,3225,4377,4271,3276,1615,618,218,19489,6032,14730,27244,25205,21803,13883,5512,2623,1019,118055,300,967,2339,3174,4079,4205,3173,1631,647,20515,6408,5549,11439,11324,10523,10062,9034,9455,6024,79819,13699,39781,109469,103161,86552,61331,31914,19029,9124,474061,8,603,11424,10674,7051,4427,1929,432,89,36649,23,651,5590,6430,5796,4422,1623,424,89,25052,97,13374,52350,42003,27830,18124,9577,3708,950,168006,955,5853,19948,21120,21247,17085,9220,3657,1111,100181,3641,11891,26554,21370,19749,12920,5254,1536,566,103483
6,973,3284,5110,5174,4493,2195,803,435,129,22598,41,147,366,539,679,542,376,202,57,2958,1702,973,1891,2594,2839,3199,3521,3997,1852,22574,2786,6789,15186,16938,17328,12058,7356,5818,2364,86626,0,58,899,1120,1156,946,309,86,17,4586,0,71,651,918,984,859,255,80,19,3844,3,1614,5995,5561,5049,3841,1690,600,205,24555,43,500,1948,3250,3516,3158,1774,733,247,15168,696,2626,5290,4758,4342,2604,759,288,93,21452,453,798,1082,717,665,370,139,51,27,4298,62,205,438,679,878,743,361,161,76,3608,1213,3623,6812,6155,5888,3721,1263,499,189,29358,52,108,280,361,461,561,343,209,72,2435,1425,825,1537,1956,2439,2997,3397,3284,1750,19612,2734,6804,18116,19330,19482,16076,9030,5487,2497,99551,0,107,1633,1639,1487,1276,683,133,32,6998,7,91,812,1006,1164,1094,553,125,28,4883,10,1608,6294,6169,5084,4890,2746,906,313,28018,55,606,2374,3319,4095,3839,2623,1183,341,18429,577,2653,5764,4974,4839,3678,1358,368,130,24333
7,386,1248,2346,1890,1322,620,128,29,9,7979,20,71,195,251,218,127,41,8,4,932,1248,1036,2145,2103,1844,1126,566,332,102,10495,1678,3261,9086,8357,6920,3659,1168,468,142,34739,0,25,550,590,565,390,111,11,4,2243,0,34,443,556,518,326,61,3,5,1943,13,719,3703,2537,1838,1167,304,70,16,10372,26,292,1257,1553,1419,888,279,63,13,5797,278,1001,2270,1802,1378,675,151,32,10,7594,167,293,506,336,243,127,36,8,0,1718,19,73,202,278,225,151,49,16,4,1014,467,1376,2973,2413,1852,951,233,59,10,10330,11,70,150,175,191,154,65,21,3,839,1130,989,2173,2121,1758,1288,711,358,135,10663,1652,3503,11246,9937,8146,5161,1760,584,193,42187,3,40,995,930,701,557,179,31,3,3438,0,46,623,644,541,420,112,17,0,2407,4,707,4512,3201,2034,1426,551,129,30,12600,19,352,1610,1633,1641,1140,406,120,15,6939,287,1023,2616,1934,1617,953,264,48,12,8751
8,542,1695,3293,2741,2420,1486,513,332,92,13119,36,106,309,468,570,436,258,143,47,2371,1062,881,1511,1483,1607,1410,1162,1249,574,10938,1729,6789,19012,16932,15869,10233,4376,2743,1011,78696,0,197,3113,3060,2422,1566,511,131,26,11031,0,116,1489,1649,1627,1307,422,81,13,6705,10,3258,10751,7351,5700,3852,1739,618,172,33453,79,973,2797,3288,3149,2420,1199,486,196,14585,324,1455,2696,2304,1833,1061,402,196,58,10329,203,317,438,349,288,203,87,31,9,1932,44,175,333,602,651,646,294,119,63,2929,574,1944,3466,3253,2770,1915,789,341,136,15192,23,99,286,345,542,624,468,295,138,2828,904,917,1364,1127,1045,1017,966,1046,823,9205,1584,7504,23273,20078,17250,12706,6099,2997,1503,92995,0,251,4632,4650,3196,2027,986,244,44,16045,3,155,1814,1904,1749,1456,847,173,26,8136,18,3565,12068,9038,6138,4569,2650,1023,278,39359,85,946,3226,3489,3381,2631,1727,755,234,16476,362,1596,3182,2688,2260,1532,618,200,86,12529
9,6,13,20,33,21,3,0,0,0,97,0,3,7,0,7,0,0,0,0,17,7,8,11,25,20,12,10,3,0,96,15,38,74,104,72,25,10,3,0,342,0,0,3,8,0,0,0,0,0,11,0,0,10,8,4,0,0,0,0,26,0,7,22,30,15,10,0,0,0,94,0,0,17,16,19,9,0,0,0,61,4,10,26,22,18,4,0,0,0,90,7,0,3,0,10,0,0,0,0,22,0,0,3,3,3,0,0,0,0,10,11,13,29,28,27,10,0,0,0,123,0,0,3,5,0,0,0,0,0,8,6,8,18,21,25,22,4,9,0,109,15,33,101,110,99,48,5,6,0,425,0,0,4,18,8,3,3,0,0,43,0,4,7,10,8,4,0,0,0,33,0,7,42,51,23,36,17,4,5,195,0,3,31,45,31,32,17,7,3,171,10,13,32,30,39,19,9,0,0,148
