STE_CODE_2016,C16_1PF_Cu15DS_4000ov,C16_1PF_Cu15DS_NS,C16_1PF_Cu15DS_Tot,C16_1PF_CU15_NDS_0_299,C16_1PF_CU15_NDS_300_449,C16_1PF_CU15_NDS_450_599,C16_1PF_CU15_NDS_600_799,C16_1PF_CU15_NDS_800_999,C16_1PF_CU15_NDS_1000_1399,C16_1PF_CU15_NDS_1400_1799,C16_1PF_CU15_NDS_1800_2399,C16_1PF_CU15_NDS_2400_2999,C16_1PF_CU15_NDS_3000_3999,C16_1PF_CU15_NDS_4000ov,C16_1PF_CU15_NDS_NS,C16_1PF_CU15_NDS_Tot,C16_1PF_NCu15DS_0_299,C16_1PF_NCu15DS_300_449,C16_1PF_NCu15DS_450_599,C16_1PF_NCu15DS_600_799,C16_1PF_NCu15DS_800_999,C16_1PF_NCu15DS_1000_1399,C16_1PF_NCu15DS_1400_1799,C16_1PF_NCu15DS_1800_2399,C16_1PF_NCu15DS_2400_2999,C16_1PF_NCu15DS_3000_3999,C16_1PF_NCu15DS_4000ov,C16_1PF_NCu15DS_NS,C16_1PF_NCu15DS_Tot,C16_1PF_NDCO_0_299,C16_1PF_NDCO_300_449,C16_1PF_NDCO_450_599,C16_1PF_NDCO_600_799,C16_1PF_NDCO_800_999,C16_1PF_NDCO_1000_1399,C16_1PF_NDCO_1400_1799,C16_1PF_NDCO_1800_2399,C16_1PF_NDCO_2400_2999,C16_1PF_NDCO_3000_3999,C16_1PF_NDCO_4000ov,C16_1PF_NDCO_NS,C16_1PF_NDCO_Tot,C16_1PF_T_0_299,C16_1PF_T_300_449,C16_1PF_T_450_599,C16_1PF_T_600_799,C16_1PF_T_800_999,C16_1PF_T_1000_1399,C16_1PF_T_1400_1799,C16_1PF_T_1800_2399,C16_1PF_T_2400_2999,C16_1PF_T_3000_3999,C16_1PF_T_4000ov,C16_1PF_T_NS,C16_1_PF_T_T,C16_T_0_299,C16_T_300_449,C16_T_450_599,C16_T_600_799,C16_T_800_999,C16_T_1000_1399,C16_T_1400_1799,C16_T_1800_2399,C16_T_2400_2999,C16_T_3000_3999,C16_T_4000ov,C16_T_NS,C16_T_T
1,429,322,7708,1326,609,593,1249,1790,5181,5475,6472,2847,2625,1890,1495,31551,914,401,401,752,1100,2711,2641,2935,1229,1101,946,737,15856,1942,1019,869,1510,1998,4862,4304,4695,1979,1799,1182,1651,27810,4527,2169,2016,3836,5381,14187,13792,15596,6718,6070,4448,4199,82931,34081,12866,11487,20423,29630,86394,102034,155124,89880,94289,78506,32347,747071
2,272,321,7281,1184,642,681,1377,2088,5734,5337,4764,1684,1315,1068,1261,27142,929,527,536,945,1346,3265,2731,2262,821,696,659,767,15477,1786,1110,983,1709,2153,4852,3793,3188,1043,845,547,1491,23508,4270,2495,2413,4406,6170,15474,13313,11328,3953,3200,2543,3841,73410,30237,13429,12454,22204,32044,94987,109396,139121,62290,54384,40518,29085,640135
3,144,165,4703,793,441,458,922,1326,4138,4892,4626,1685,1132,592,942,21934,397,266,197,442,651,1728,1828,1561,623,477,274,356,8813,1098,618,523,998,1322,3179,2963,2620,926,643,321,868,16086,2446,1422,1266,2557,3606,9965,10687,9811,3600,2517,1335,2334,51543,20133,9084,8057,15125,21539,66091,84364,117066,56750,42263,23734,19122,483332
4,46,76,2209,300,229,245,684,946,2190,1819,1283,348,226,144,313,8725,234,198,215,401,563,1145,866,580,178,161,93,143,4781,541,456,435,756,854,1675,1135,751,180,144,108,346,7368,1143,930,981,2011,2617,5600,4287,2884,778,596,383,875,23084,8921,5383,5076,9764,13010,35006,36035,36095,13861,10392,6355,6128,186025
5,132,103,2964,519,246,245,502,679,1924,2552,2960,1272,893,510,433,12738,288,159,164,283,415,1059,1094,1184,449,382,225,233,5942,708,395,356,591,736,1694,1647,1768,694,508,322,492,9923,1626,866,836,1500,2012,5202,5801,6581,2712,1967,1197,1262,31565,12094,4808,4442,7821,10317,31708,40964,71881,41766,33499,21624,10490,291405
6,10,21,703,107,97,106,285,412,892,548,269,72,52,11,88,2937,71,60,77,146,206,383,244,101,42,14,9,44,1382,172,137,124,231,280,480,302,136,47,17,15,97,2044,380,323,343,738,988,1982,1214,567,174,89,41,243,7072,2593,1867,1802,3601,5090,12722,10931,8134,2621,1898,1046,1780,54077
7,10,9,163,34,18,17,18,34,119,154,203,126,104,48,34,908,9,3,3,9,9,53,58,67,32,27,10,9,289,22,13,11,30,20,90,104,101,47,46,30,30,540,67,40,38,57,68,278,351,414,223,194,89,82,1906,411,195,178,316,452,1533,2026,3448,2721,2770,1489,661,16198
8,31,13,476,48,39,26,44,81,219,361,538,237,153,74,55,1876,28,25,16,48,53,157,172,253,99,90,34,31,1010,70,42,46,70,92,239,258,335,127,86,41,54,1438,157,104,92,166,246,665,865,1269,520,370,182,146,4802,1814,675,569,964,1381,3987,5780,11637,7320,6421,3655,1319,45523
9,0,0,3,0,0,0,0,0,0,7,0,0,3,3,0,12,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,5,0,3,11,3,0,3,3,0,28,14,8,3,10,19,51,51,41,15,9,7,10,246
