STE_CODE_2016,C11_C_Lat_Da_Saint_0_14,C11_C_Lat_Da_Saint_15_24,C11_C_Lat_Da_Saint_25_34,C11_C_Lat_Da_Saint_35_44,C11_C_Lat_Da_Saint_45_54,C11_C_Lat_Da_Saint_55_64,C11_C_Lat_Da_Saint_65_74,C11_C_Lat_Da_Saint_75_84,C11_C_Lat_Da_Saint_85ov,C11_C_Lat_Da_Saint_Tot,C11_C_Luthe_0_14,C11_C_Luthe_15_24,C11_C_Luthe_25_34,C11_C_Luthe_35_44,C11_C_Luthe_45_54,C11_C_Luthe_55_64,C11_C_Luthe_65_74,C11_C_Luthe_75_84,C11_C_Luthe_85ov,C11_C_Luthe_Tot,C11_C_Ori_Orth_0_14,C11_C_Ori_Orth_15_24,C11_C_Ori_Orth_25_34,C11_C_Ori_Orth_35_44,C11_C_Ori_Orth_45_54,C11_C_Ori_Orth_55_64,C11_C_Ori_Orth_65_74,C11_C_Ori_Orth_75_84,C11_C_Ori_Orth_85ov,C11_C_Ori_Orth_To,C11_C_Oth_Prot_0_14,C11_C_Oth_Prot_15_24,C11_C_Oth_Prot_25_34,C11_C_Oth_Prot_35_44,C11_C_Oth_Prot_45_54,C11_C_Oth_Prot_55_64,C11_C_Oth_Prot_65_74,C11_C_Oth_Prot_75_84,C11_C_Oth_Prot_85ov,C11_C_Oth_Prot_Tot,C11_C_Pentec_0_14,C11_C_Pentec_15_24,C11_C_Pentec_25_34,C11_C_Pentec_35_44,C11_C_Pentec_45_54,C11_C_Pentec_55_64,C11_C_Pentec_65_74,C11_C_Pentec_75_84,C11_C_Pentec_85ov,C11_C_Pentec_Tot,C11_C_Pres_Ref_0_14,C11_C_Pres_Ref_15_24,C11_C_Pres_Ref_25_34,C11_C_Pres_Ref_35_44,C11_C_Pres_Ref_45_54,C11_C_Pres_Ref_55_64,C11_C_Pres_Ref_65_74,C11_C_Pres_Ref_75_84,C11_C_Pres_Ref_85ov,C11_C_Pres_Ref_Tot,C11_C_Sal_Army_0_14,C11_C_Sal_Army_15_24,C11_C_Sal_Army_25_34,C11_C_Sal_Army_35_44,C11_C_Sal_Army_45_54,C11_C_Sal_Army_55_64,C11_C_Sal_Army_65_74,C11_C_Sal_Army_75_84,C11_C_Sal_Army_85ov,C11_C_Sal_Army_Tot,C11_C_Sev_day_Adv_0_14,C11_C_Sev_day_Adv_15_24,C11_C_Sev_day_Adv_25_34,C11_C_Sev_day_Adv_35_44,C11_C_Sev_day_Adv_45_54,C11_C_Sev_day_Adv_55_64,C11_C_Sev_day_Adv_65_74,C11_C_Sev_day_Adv_75_84,C11_C_Sev_day_Adv_85oe,C11_C_Sev_day_Adv_Tot,C11_C_Unit_Chur_0_14,C11_C_Unit_Chur_15_24,C11_C_Unit_Chur_25_34,C11_C_Unit_Chur_35_44,C11_C_Unit_Chur_45_54,C11_C_Unit_Chur_55_64,C11_C_Unit_Chur_65_74,C11_C_Unit_Chur_75_84,C11_C_Unit_Chur_85ov,C11_C_Unit_Chur_Tot,C11_C_Christi_nfd_0_14,C11_C_Christi_nfd_15_24,C11_C_Christi_nfd_25_34,C11_C_Christi_nfd_35_44,C11_C_Christi_nfd_45_54,C11_C_Christi_nfd_55_64,C11_C_Christi_nfd_65_74,C11_C_Christi_nfd_75_84,C11_C_Christi_nfd_85ov,C11_C_Christi_nfd_Tot,C11_C_Oth_Chris_0_14,C11_C_Oth_Chris_15_24,C11_C_Oth_Chris_25_34,C11_C_Oth_Chris_35_44,C11_C_Oth_Chris_45_54,C11_C_Oth_Chris_55_64,C11_C_Oth_Chris_65_74,C11_C_Oth_Chris_75_84,C11_C_Oth_Chris_85ov,C11_C_Oth_Chris_Tot,C11_Christia_Tot_0_14,C11_Christia_Tot_15_24,C11_Christia_Tot_25_34,C11_Christia_Tot_35_44,C11_Christia_Tot_45_54,C11_Christia_Tot_55_64,C11_Christia_Tot_65_74,C11_Christia_Tot_75_84,C11_Christia_Tot_85ov,C11_Christ_T_T,C11_Hinduism_0_14,C11_Hinduism_15_24,C11_Hinduism_25_34,C11_Hinduism_35_44,C11_Hinduism_45_54,C11_Hinduism_55_64,C11_Hinduism_65_74,C11_Hinduism_75_84,C11_Hinduism_85ov,C11_Hinduism_Tot,C11_Islam_0_14,C11_Islam_15_24,C11_Islam_25_34,C11_Islam_35_44,C11_Islam_45_54,C11_Islam_55_64,C11_Islam_65_74,C11_Islam_75_84,C11_Islam_85ov,C11_Islam_Tot,C11_Judaism_0_14,C11_Judaism_15_24,C11_Judaism_25_34,C11_Judaism_35_44,C11_Judaism_45_54,C11_Judaism_55_64,C11_Judaism_65_74,C11_Judaism_75_84,C11_Judaism_85ov,C11_Judaism_Tot,C11_OR_AusAborTrad_0_14,C11_OR_AusAborTrad15_24,C11_OR_AusAborTrad25_34,C11_OR_AusAborTrad35_44,C11_OR_AusAborTrad45_54,C11_OR_AusAborTrad55_64,C11_OR_AusAborTrad65_74,C11_OR_AusAborTrad75_84,C11_OR_AusAborTrad85oe,C11_OR_AusAborTrade_Tot,C11_OR_Sikh_0_14,C11_OR_Sikh_15_24,C11_OR_Sikh_25_34,C11_OR_Sikh_35_44,C11_OR_Sikh_45_54,C11_OR_Sikh_55_64,C11_OR_Sikh_65_74,C11_OR_Sikh_75_84,C11_OR_Sikh_85oe,C11_OR_Sikh_Tot,C11_OR_Ot_Re_Gr_0_14,C11_OR_Ot_Re_Gr_15_24,C11_OR_Ot_Re_Gr_25_34,C11_OR_Ot_Re_Gr_35_44,C11_OR_Ot_Re_Gr_45_54,C11_OR_Ot_Re_Gr_55_64,C11_OR_Ot_Re_Gr_65_74,C11_OR_Ot_Re_Gr_75_84,C11_OR_Ot_Re_Gr_85ov,C11_OR_Ot_Re_Gr_Tot,C11_OthRel_T_0_14,C11_OthRel_T_15_24,C11_OthRel_T_25_34,C11_OthRel_T_35_44,C11_OthRel_T_45_54,C11_OthRel_T_55_64,C11_OthRel_T_65_74,C11_OthRel_T_75_84,C11_OthRel_T_85ov,C11_OthRel_T_T,C11_SBOSB_N_RA_0_14,C11_SBOSB_N_RA_15_24,C11_SBOSB_N_RA_25_34,C11_SBOSB_N_RA_35_44,C11_SBOSB_N_RA_45_54,C11_SBOSB_N_RA_55_64,C11_SBOSB_N_RA_65_74,C11_SBOSB_N_RA_75_84,C11_SBOSB_N_RA_85ov,C11_SBOSB_N_RA_Tot
1,4551,2656,2348,2131,1938,1435,783,425,137,16406,3854,2706,3178,4273,4933,4860,4630,3293,1371,33093,4786,3269,3821,2989,3187,2682,1802,931,238,23706,3652,2786,2795,2508,2689,1971,1194,708,344,18648,16450,11955,10831,10168,10146,7264,3121,1277,297,71504,21759,16443,17184,26375,34912,37057,29039,20002,9199,211978,2949,2139,1734,2209,2762,2858,2257,1447,563,18917,4625,3034,2913,3024,3116,2785,2011,1378,603,23482,38818,29938,23876,31051,40463,41276,32614,22437,10616,271091,28318,18838,17748,16926,17220,13244,6977,3289,1241,123796,1569,1087,1121,1310,1391,1235,788,454,196,9150,813163,524547,499287,608951,636621,574965,422146,271147,111227,4462058,23696,15118,37636,19576,12177,6987,3012,1302,303,119803,65970,36272,45128,31024,21233,12220,5456,1716,361,219378,7042,4029,4327,5290,5160,5855,3710,2481,1829,39729,231,180,168,181,188,101,26,6,0,1089,4347,3539,7422,2884,1709,1054,457,243,46,21705,4144,3864,5314,5169,4802,3357,1368,513,155,28700,8726,7580,12908,8236,6705,4517,1857,763,206,51493,276226,198682,217506,186035,160865,121171,56697,26844,9313,1253352
2,2977,1893,1503,1426,1371,1001,519,295,94,11091,5972,4015,4165,5411,6051,5419,5025,3843,1597,41498,2647,1686,2078,1750,1694,1200,731,360,110,12250,2141,2023,1981,1963,1975,1518,908,646,351,13507,10164,7332,6523,6831,6699,5035,2554,1085,306,46528,11362,9835,8941,14420,23310,28825,22576,15619,7339,142217,1813,1198,1087,1487,1868,2142,1679,1213,480,12969,2004,1334,1367,1398,1317,1171,900,603,278,10370,31379,24008,19224,28071,38642,41108,32621,24022,11852,250939,22200,15491,14851,14399,13298,10873,5683,2590,851,100227,996,727,721,878,903,777,599,380,184,6167,521082,356450,334265,429379,450064,404428,301477,200112,80470,3077714,15392,10885,32385,12385,6212,3673,1488,593,124,83137,43777,27282,30895,22287,14910,8098,3951,1288,286,152779,8644,4764,5424,5738,5249,6923,3805,2765,1838,45149,119,63,62,91,60,33,15,0,0,444,4529,6121,13780,2551,1153,798,317,136,50,29442,2226,2841,4092,3796,3195,2218,884,354,106,19715,6874,9030,17933,6445,4408,3044,1217,489,163,49601,284251,214320,233895,202021,158855,117137,51385,23366,8846,1294069
3,5892,3271,2855,2457,2010,1526,803,386,113,19307,15168,9457,8840,10636,11129,9834,7732,4760,1614,79182,424,282,332,263,206,145,58,29,8,1757,2498,1813,1717,1744,1721,1394,920,505,177,12483,15688,10483,8776,8931,9082,6990,3458,1471,356,65227,14573,10370,11246,19350,26964,30294,21159,12982,5409,152339,2148,1481,1412,1847,2187,2303,1697,1017,365,14449,3817,2315,2206,2279,2179,1957,1383,871,367,17369,42121,28896,26775,36619,42960,42766,31136,17657,7396,276317,30186,19094,17347,16579,16278,12535,6925,2773,951,122666,2210,1321,1362,1507,1480,1343,949,611,209,11001,518418,333053,314316,391629,408723,367766,254383,142485,54133,2784906,5341,3983,9341,4609,2837,1565,627,281,48,28641,9415,6002,7640,5197,3077,1676,769,226,39,34048,596,508,511,569,668,755,455,259,129,4441,214,123,109,139,92,59,15,3,3,769,1327,2263,4007,884,440,291,126,65,20,9428,2194,2409,3127,3199,2778,1902,791,302,77,16788,3734,4794,7251,4224,3309,2257,938,376,107,26994,242172,167432,172146,143326,109200,76583,35752,14638,4952,966206
4,736,513,417,398,412,422,274,154,51,3379,13433,8270,7483,9064,10159,9576,6469,4801,2175,71426,271,164,222,197,125,69,34,22,11,1106,451,385,373,444,433,386,245,170,110,2988,3991,2777,2484,2479,2826,2554,1404,676,165,19355,1439,1235,1231,1849,3364,4315,3485,2369,1050,20333,552,442,362,521,803,879,765,534,219,5080,405,346,300,311,346,351,279,180,89,2604,16903,12034,9574,14961,21468,25960,20502,13793,7233,142430,7991,5357,5053,4972,5056,4335,2474,1059,408,36695,800,560,529,555,512,471,398,196,112,4132,141756,98994,87006,114888,138615,134091,100593,68310,29668,913924,2778,1620,5286,2278,856,467,228,80,20,13618,5426,3860,4474,3044,1477,788,304,111,30,19511,135,110,117,141,153,201,110,76,50,1088,293,251,201,147,111,60,30,13,12,1122,828,1054,2438,544,199,135,62,18,5,5290,810,944,1323,1383,1318,901,367,189,70,7289,1928,2252,3959,2073,1624,1092,456,223,90,13693,100680,75549,75624,68242,57504,42514,19358,8980,3763,452219
5,1768,1028,974,870,793,694,377,180,61,6746,2090,1306,1479,1982,1987,1793,1371,776,349,13135,456,269,317,297,231,112,67,25,10,1769,1672,1191,1249,1270,1295,894,533,254,123,8479,5699,3941,3471,3379,3615,2590,1250,524,124,24585,5473,3925,3996,5878,8686,9082,6335,3926,1550,48846,656,489,450,671,844,1013,720,489,192,5523,1516,906,900,906,793,788,548,403,168,6930,9356,7047,6407,8747,11991,12924,9308,5998,2584,74369,14604,10028,9858,8943,8245,6347,3121,1278,402,62823,896,571,563,708,662,471,308,162,66,4401,231555,151952,147879,184903,196476,174779,116356,69802,26547,1300246,4108,2972,7135,3522,1828,913,364,140,38,21026,11438,7117,7987,5881,3708,1867,822,259,49,39116,925,680,551,759,852,983,522,346,221,5853,314,205,171,158,111,53,31,13,5,1052,722,1081,2002,476,293,199,87,35,12,4911,1117,1395,2057,1907,1782,1182,508,221,67,10227,2152,2681,4230,2538,2176,1433,632,267,80,16187,137418,99834,106624,87341,68205,46445,19666,8586,2747,576872
6,380,209,220,190,178,185,139,76,25,1603,228,152,180,252,323,377,336,282,83,2208,76,59,32,36,23,9,3,0,0,247,132,90,78,117,131,110,73,40,25,794,1190,756,518,658,700,532,311,110,28,4801,1270,888,781,1159,1777,2348,1999,1295,581,12101,227,182,153,242,331,350,244,180,50,1950,164,120,132,114,176,150,106,88,53,1102,2175,1801,1361,2435,3912,4906,3844,2487,1076,24005,2963,1649,1486,1646,1716,1382,770,331,116,12064,122,79,68,85,130,145,117,55,24,826,43989,30272,25831,37301,47284,47198,34642,20694,8153,295374,363,235,402,266,165,104,51,16,6,1620,433,371,393,224,137,87,45,12,4,1708,30,22,27,38,35,40,37,10,12,248,10,7,11,5,10,3,3,0,0,49,50,31,72,33,17,8,7,3,0,219,183,248,338,360,341,258,101,38,12,1885,242,289,417,401,366,274,108,37,12,2154,38067,23855,21819,19979,16883,13161,5859,2331,878,142846
7,131,90,103,77,62,56,15,3,0,534,2152,1312,1234,1087,925,708,330,115,40,7903,28,9,26,17,13,0,0,0,0,100,685,451,368,340,259,129,63,21,3,2321,637,363,341,355,324,201,77,16,9,2315,353,231,306,464,656,691,369,75,19,3172,79,55,48,60,100,67,50,21,5,485,115,75,69,88,59,61,23,5,3,490,3474,2100,2050,2189,2164,1702,727,244,65,14702,1400,806,916,758,591,428,138,34,13,5086,42,22,30,39,43,28,20,3,0,224,26844,16637,18115,18078,16879,12843,5751,1931,447,117526,307,199,644,252,138,73,28,3,3,1638,350,235,380,275,183,125,32,10,0,1587,24,13,28,22,22,23,8,4,3,146,861,529,479,400,229,130,55,29,7,2719,26,59,112,18,12,11,3,0,0,244,142,130,185,182,144,91,27,23,5,926,1023,718,777,599,393,229,84,45,14,3889,12848,8142,9966,7990,6229,4175,1314,349,76,51086
8,176,110,132,107,91,54,21,17,0,706,409,348,418,476,533,489,416,279,117,3488,70,46,86,49,43,22,7,8,0,336,198,181,183,145,126,92,41,34,7,1007,864,597,606,540,470,374,117,45,14,3630,865,744,867,1138,1469,1467,957,695,300,8502,159,96,80,123,112,101,82,29,15,790,118,107,132,76,89,53,37,19,7,629,1587,1259,1445,1626,1901,1848,1184,697,354,11899,1662,1185,1213,1061,1084,812,361,134,56,7571,46,45,57,42,80,68,54,28,9,440,35406,26233,25854,28783,28388,24367,15396,8897,3665,196985,1196,720,1883,985,638,377,148,73,21,6040,1934,1171,1931,1173,646,366,159,44,10,7434,119,88,106,94,85,87,57,22,9,675,15,12,11,9,10,7,0,0,0,68,224,183,336,153,86,36,29,8,3,1058,121,237,342,332,272,197,66,30,11,1612,361,433,690,497,369,240,101,38,9,2731,20720,18998,20825,15486,12752,9490,3954,1471,494,104185
9,3,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,6,0,0,8,4,0,0,0,0,19,0,0,0,0,0,3,0,0,0,4,3,0,0,3,6,3,3,0,0,22,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,9,4,0,4,7,11,7,0,0,0,43,12,9,4,10,8,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,120,77,59,114,132,71,30,3,0,598,3,0,4,0,0,0,0,0,0,7,177,98,112,71,122,81,39,18,5,729,0,0,0,0,0,0,0,0,0,4,22,0,10,3,4,0,0,3,0,53,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,26,0,17,6,7,3,0,3,0,57,97,39,56,56,54,40,10,4,0,355
