STE_CODE_2016,C06_N_in_CF_1C,C06_N_in_CF_2C,C06_N_in_CF_3C,C06_N_in_Cou_fa_4mor_c,C06_N_in_CF_T,C06_1_149_CF_1C,C06_1_149_CF_2C,C06_1_149_CF_3C,C06_1_149_CF_4mC,C06_1_149_CF_T,C06_150_299_CF_1C,C06_150_299_CF_2C,C06_150_299_CF_3C,C06_150_299_CF_4mC,C06_150_299_CF_T,C06_300_399_CF_1C,C06_300_399_CF_2C,C06_300_399_CF_3C,C06_300_399_CF_4mC,C06_300_399_CF_T,C06_400_499_CF_1C,C06_400_499_CF_2C,C06_400_499_CF_3C,C06_400_499_CF_4mC,C06_400_499_CF_T,C06_500_649_CF_1C,C06_500_649_CF_2C,C06_500_649_CF_3C,C06_500_649_CF_4mC,C06_500_649_CF_T,C06_650_799_CF_1C,C06_650_799_CF_2C,C06_650_799_CF_3C,C06_650_799_CF_4mC,C06_650_799_CF_T,C06_800_999_CF_1C,C06_800_999_CF_2C,C06_800_999_CF_3C,C06_800_999_CF_4mC,C06_800_999_CF_T,C06_1000_1499_CF_1C,C06_1000_1499_CF_2C,C06_1000_1499_CF_3C,C06_1000_1499_CF_4mC,C06_1000_1499_CF_T,C06_1500_1999_CF_1C,C06_1500_1999_CF_2C,C06_1500_1999_CF_3C,C06_1500_1999_CF_4mC,C06_1500_1999_CF_T,C06_2000_2499_CF_1C,C06_2000_2499_CF_2C,C06_2000_2499_CF_3C,C06_2000_2499_CF_4mC,C06_2000_2499_CF_T,C06_2500_2999_CF_1C,C06_2500_2999_CF_2C,C06_2500_2999_CF_3C,C06_2500_2999_CF_4mC,C06_2500_2999_CF_T,C06_3000_3999_CF_1C,C06_3000_3999_CF_2C,C06_3000_3999_CF_3C,C06_3000_3999_CF_4mC,C06_3000_3999_CF_T,C06_4000m_CF_1C,C06_4000m_CF_2C,C06_4000m_CF_3C,C06_4000m_Cou_fa_4mo_ch,C06_4000m_CF_T,C06_Par_inc_st_CF_1C,C06_Par_inc_st_CF_2C,C06_Par_inc_st_CF_3C,C06_Par_inc_st_CF_4mC,C06_Par_inc_st_CF_T,C06_All_inc_ns_CF_1Ch,C06_All_inc_ns_CF_2C,C06_All_inc_ns_CF_3C,C06_All_inc_ns_CF_4mC,C06_All_inc_ns_CF_T,C06_Tot_CF_1C,C06_Tot_CF_2C,C06_Tot_CF_3C,C06_Tot_CF_4mC,C06_Tot_CF_T,C11_N_in_CF_1C,C11_N_in_CF_2C,C11_N_in_CF_3C,C11_N_in_Cou_fa_4mor_c,C11_N_in_CF_T,C11_1_149_CF_1C,C11_1_149_CF_2C,C11_1_149_CF_3C,C11_1_149_CF_4mC,C11_1_149_CF_T,C11_150_299_CF_1C,C11_150_299_CF_2C,C11_150_299_CF_3C,C11_150_299_CF_4mC,C11_150_299_CF_T,C11_300_399_CF_1C,C11_300_399_CF_2C,C11_300_399_CF_3C,C11_300_399_CF_4mC,C11_300_399_CF_T,C11_400_499_CF_1C,C11_400_499_CF_2C,C11_400_499_CF_3C,C11_400_499_CF_4mC,C11_400_499_CF_T,C11_500_649_CF_1C,C11_500_649_CF_2C,C11_500_649_CF_3C,C11_500_649_CF_4mC,C11_500_649_CF_T,C11_650_799_CF_1C,C11_650_799_CF_2C,C11_650_799_CF_3C,C11_650_799_CF_4mC,C11_650_799_CF_T,C11_800_999_CF_1C,C11_800_999_CF_2C,C11_800_999_CF_3C,C11_800_999_CF_4mC,C11_800_999_CF_T,C11_1000_1499_CF_1C,C11_1000_1499_CF_2C,C11_1000_1499_CF_3C,C11_1000_1499_CF_4mC,C11_1000_1499_CF_T,C11_1500_1999_CF_1C,C11_1500_1999_CF_2C,C11_1500_1999_CF_3C,C11_1500_1999_CF_4mC,C11_1500_1999_CF_T,C11_2000_2499_CF_1C,C11_2000_2499_CF_2C,C11_2000_2499_CF_3C,C11_2000_2499_CF_4mC,C11_2000_2499_CF_T,C11_2500_2999_CF_1C,C11_2500_2999_CF_2C,C11_2500_2999_CF_3C,C11_2500_2999_CF_4mC,C11_2500_2999_CF_T,C11_3000_3999_CF_1C,C11_3000_3999_CF_2C,C11_3000_3999_CF_3C,C11_3000_3999_CF_4mC,C11_3000_3999_CF_T,C11_4000m_CF_1C,C11_4000m_CF_2C,C11_4000m_CF_3C,C11_4000m_Cou_fa_4mo_ch,C11_4000m_CF_T,C11_Par_inc_st_CF_1C,C11_Par_inc_st_CF_2C,C11_Par_inc_st_CF_3C,C11_Par_inc_st_CF_4mC,C11_Par_inc_st_CF_T,C11_All_inc_ns_CF_1Ch,C11_All_inc_ns_CF_2C,C11_All_inc_ns_CF_3C,C11_All_inc_ns_CF_4mC,C11_All_inc_ns_CF_T,C11_Tot_CF_1C,C11_Tot_CF_2C,C11_Tot_CF_3C,C11_Tot_CF_4mC,C11_Tot_CF_T,C16_N_in_CF_1C,C16_N_in_CF_2C,C16_N_in_CF_3C,C16_N_in_Cou_fa_4mor_c,C16_N_in_CF_T,C16_1_149_CF_1C,C16_1_149_CF_2C,C16_1_149_CF_3C,C16_1_149_CF_4mC,C16_1_149_CF_T,C16_150_299_CF_1C,C16_150_299_CF_2C,C16_150_299_CF_3C,C16_150_299_CF_4mC,C16_150_299_CF_T,C16_300_399_CF_1C,C16_300_399_CF_2C,C16_300_399_CF_3C,C16_300_399_CF_4mC,C16_300_399_CF_T,C16_400_499_CF_1C,C16_400_499_CF_2C,C16_400_499_CF_3C,C16_400_499_CF_4mC,C16_400_499_CF_T,C16_500_649_CF_1C,C16_500_649_CF_2C,C16_500_649_CF_3C,C16_500_649_CF_4mC,C16_500_649_CF_T
1,1511,1297,565,240,3614,1542,1397,563,298,3800,1964,1642,745,394,4748,2419,2202,962,467,6047,5523,4276,2044,1257,13095,14949,13050,5664,2622,36291,12879,12342,5260,2252,32729,18636,18473,8075,3200,48375,59570,69729,29353,10732,169385,43668,50965,19525,6224,120383,28481,33694,11939,3344,77463,22661,33885,13406,3621,73579,18070,26573,10575,2750,57961,7919,10952,4692,1432,24993,32903,42499,22182,10481,108065,4171,4471,2146,1280,12071,276874,327444,137691,50597,792606,1891,1512,588,282,4270,774,685,288,100,1840,2362,1843,814,445,5464,1679,1534,727,386,4323,2952,2375,1012,542,6890,8122,6530,3004,1682,19342,11875,10067,4357,2024,28327,16379,15944,6822,3188,42338,48928,47482,20508,8515,125442,43713,49213,19491,7047,119462,37966,43312,15424,4815,101513,30140,44554,17565,4905,97166,34258,48197,17135,4324,103912,18701,26725,10174,2743,58342,32637,40607,20028,8707,101980,4076,4149,2009,1014,11246,296456,344733,139939,50720,831853,1890,1477,626,348,4345,657,597,212,119,1586,1331,965,411,243,2950,978,639,263,161,2046,3016,2553,1201,693,7458,4456,3758,1779,970,10967
2,1012,1081,394,167,2653,1164,1164,448,223,2992,1506,1220,540,255,3521,1724,1566,643,269,4202,4049,3182,1528,862,9618,11273,9762,4102,1695,26838,10247,10432,4116,1496,26287,15595,16360,6480,2233,40672,49207,61980,24933,7988,144111,34245,41983,16209,4656,97086,20167,25641,9328,2443,57579,14504,23294,9293,2215,49305,10909,17086,6952,1728,36675,4077,6043,2662,764,13547,24302,32700,16930,7136,81062,3424,4038,1933,882,10280,207401,257548,106495,34990,606438,1451,1237,464,241,3392,665,550,181,80,1470,1958,1483,630,334,4404,1291,1214,482,276,3257,2212,1744,744,335,5043,6085,4891,2208,1212,14402,9515,8103,3149,1475,22241,13436,13455,5279,2119,34296,41492,43651,17215,6031,108384,36078,44599,16778,5081,102538,29953,35974,12254,3287,81467,22198,34077,13213,3395,72876,22890,34138,12409,2812,72249,10910,16757,6608,1637,35916,24884,32277,15627,6102,78894,3710,3909,1787,824,10241,228724,278064,109031,35248,651071,1723,1498,575,347,4143,699,557,225,123,1607,1257,957,374,238,2814,903,578,228,133,1837,2648,2210,1048,640,6538,3897,3276,1330,840,9344
3,724,642,221,86,1671,696,686,204,97,1677,817,652,269,141,1881,1032,885,338,171,2417,2508,1786,774,475,5546,7970,6089,2669,1193,17919,7714,6785,2817,1258,18575,11640,11653,4869,2015,30176,39047,46574,19624,7846,113096,27673,31841,12344,4116,75969,15959,19269,6910,1975,44119,10454,15166,6217,1704,33541,7164,10184,4319,1230,22894,2568,3477,1595,536,8173,20061,24184,12054,5760,62063,2477,2625,1200,692,7000,158495,182498,76420,29298,446708,896,754,314,154,2118,388,338,128,43,894,1113,904,381,208,2599,781,677,271,153,1884,1296,1009,434,240,2972,4252,3103,1312,784,9454,6417,5050,2150,1137,14758,9645,8866,3685,2010,24202,30343,30841,13236,6023,80441,28016,32288,12985,5118,78413,24668,27886,9618,3228,65397,18012,25861,10227,2996,57092,18721,24974,9092,2494,55277,7738,10560,4148,1247,23686,21693,25855,11830,5356,64734,2689,2735,1171,674,7264,176664,201700,80973,31863,491198,875,758,299,185,2115,425,332,122,83,952,667,465,176,102,1412,476,291,112,61,943,1648,1269,561,404,3887,2465,1811,754,509,5540
4,282,253,111,37,684,310,282,141,44,776,391,320,140,57,904,450,375,154,73,1050,1400,984,454,257,3099,3497,3020,1148,487,8155,3320,3104,1151,419,8003,4777,5162,1868,680,12488,15655,19537,7237,2245,44672,10944,12853,4244,1125,29160,6252,7666,2380,567,16865,3574,5200,1868,444,11084,2428,3777,1348,345,7895,825,1209,523,165,2729,7359,9197,4319,1619,22494,870,885,395,162,2320,62350,73815,27474,8739,172381,333,263,98,56,757,150,165,40,20,372,528,339,162,60,1081,291,294,107,55,757,546,407,177,102,1235,2021,1506,647,330,4508,2961,2286,911,369,6534,4148,3851,1529,565,10095,12550,13191,4986,1699,32425,10791,13299,4601,1434,30127,9150,10881,3381,822,24234,5781,8208,2930,652,17565,5800,8455,2770,586,17611,2211,3418,1185,365,7182,7344,9106,3870,1531,21844,749,851,321,184,2105,65364,76520,27724,8836,178439,378,295,96,86,859,175,128,53,21,381,317,202,76,54,659,181,141,46,27,400,794,659,276,172,1900,1084,880,376,232,2569
5,359,322,149,54,879,334,337,138,47,858,367,305,129,78,883,477,422,176,90,1163,1122,866,439,257,2691,3112,2860,1180,568,7723,3217,3020,1164,518,7917,5096,5263,2037,797,13194,17762,22237,8721,3075,51793,13127,16273,6080,1847,37337,8402,9921,3607,1077,23009,6726,10429,4114,1114,22388,4704,6835,2731,673,14945,1549,2430,1127,333,5444,11617,15163,7227,3008,37021,1197,1276,666,353,3489,79178,97968,39683,13893,230714,491,483,181,77,1228,224,163,88,36,511,483,407,184,115,1193,317,327,156,87,883,536,435,211,126,1309,1597,1181,576,412,3771,2392,1943,841,460,5637,3740,3566,1372,656,9332,12414,12991,5182,1998,32575,12962,15964,5946,2069,36940,11680,13241,4375,1423,30722,11965,18196,6807,1884,38854,12373,16688,5724,1380,36175,6000,8364,3297,868,18527,14100,17286,7638,3026,42045,1101,1262,524,296,3181,92380,112481,43101,14925,262886,587,544,199,97,1426,229,207,66,42,544,424,293,126,68,918,281,182,85,44,583,949,679,323,202,2149,1271,1013,401,263,2941
6,55,29,12,10,112,85,79,26,11,200,106,90,32,11,244,139,122,37,12,313,529,365,150,91,1138,1385,1159,469,213,3213,1280,1098,455,218,3051,1764,1905,794,276,4737,5025,6226,2521,894,14667,3066,3633,1261,303,8264,1661,2012,624,198,4488,863,1109,404,98,2474,510,761,308,73,1657,196,233,94,47,565,2431,2931,1393,681,7434,273,240,132,71,713,19357,21994,8721,3210,53281,46,56,33,14,142,29,48,6,0,86,131,71,45,29,285,113,92,39,11,253,133,125,50,31,341,779,585,249,142,1745,1004,803,339,155,2300,1400,1380,547,269,3597,4156,4168,1860,685,10868,3205,3964,1400,537,9102,2731,3024,996,275,7029,1478,1973,684,210,4349,1422,1923,610,163,4119,462,630,252,96,1443,2418,2749,1244,544,6959,250,199,105,44,594,19767,21782,8458,3211,53219,65,53,18,9,143,48,18,10,7,80,61,40,17,5,129,50,18,6,3,77,208,175,77,41,502,313,253,114,66,741
7,31,23,11,8,72,50,33,22,15,126,71,71,29,23,198,49,44,22,21,139,366,286,157,140,945,429,379,250,212,1267,242,207,140,146,733,354,344,175,158,1034,1256,1420,654,422,3754,1087,1247,495,238,3065,890,940,359,112,2305,569,803,307,85,1767,383,513,194,56,1148,112,157,58,17,342,970,1083,556,321,2922,101,111,72,53,338,6960,7662,3510,2031,20159,51,27,8,17,103,37,23,5,3,68,241,150,79,51,524,84,71,62,26,241,78,62,33,46,217,383,262,163,153,963,236,199,124,103,664,302,293,153,141,891,936,893,442,304,2583,944,1016,473,294,2722,1105,1097,446,202,2849,852,1030,437,156,2471,1052,1230,451,168,2905,556,581,210,65,1412,1049,1190,575,346,3171,166,133,98,81,470,8065,8263,3756,2161,22244,34,31,4,10,75,82,59,26,11,175,106,79,48,33,270,31,22,15,11,84,315,206,138,78,738,151,119,83,73,423
8,34,36,11,6,85,26,32,9,3,74,28,29,15,5,78,58,48,11,3,128,88,65,42,19,212,287,260,91,44,685,300,264,98,48,707,483,474,192,74,1217,2193,2489,987,338,6012,2248,2563,966,320,6096,2066,2483,859,215,5625,1931,2549,907,224,5612,1841,2546,877,191,5450,804,995,394,80,2273,1629,2234,1001,391,5265,75,101,38,12,231,14090,17176,6496,1966,39740,44,34,11,6,94,20,17,6,3,49,45,40,15,3,103,44,26,6,5,91,51,48,18,7,130,138,89,61,32,317,239,187,64,41,537,379,319,129,54,878,1375,1242,483,188,3282,1766,1956,733,266,4721,2212,2327,754,230,5520,2130,2785,1004,277,6197,3300,4484,1329,293,9407,2311,3122,989,226,6650,1635,2066,940,319,4957,92,105,51,8,258,15769,18859,6583,1981,43196,50,40,19,5,109,28,12,3,4,43,25,28,8,6,64,30,13,8,0,56,68,63,31,9,162,89,89,47,24,254
9,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,3,0,3,0,7,5,3,3,0,16,6,5,3,0,22,30,31,11,3,77,12,25,9,3,47,10,18,5,0,39,3,5,3,0,13,3,3,0,0,10,0,0,0,0,0,15,21,16,14,68,0,0,0,0,0,109,123,56,26,318,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,3,0,0,0,6,6,3,0,0,12,5,8,0,0,14,22,11,11,3,40,19,13,6,0,40,15,9,4,0,31,12,18,12,4,39,20,10,6,0,39,7,3,3,0,17,15,20,8,5,49,6,0,0,0,6,128,94,49,14,294,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,4,4,3,0,0,7
