STE_CODE_2016,Managers_C06_M,Managers_C06_F,Managers_C06_P,Managers_C11_M,Managers_C11_F,Managers_C11_P,Managers_C16_M,Managers_C16_F,Managers_C16_P,Professionals_C06_M,Professionals_C06_F,Professionals_C06_P,Professionals_C11_M,Professionals_C11_F,Professionals_C11_P,Professionals_C16_M,Professionals_C16_F,Professionals_C16_P,Tech_trad_wkrs_C06_M,Tech_trad_wkrs_C06_F,Tech_trad_wkrs_C06_P,Tech_trad_wkrs_C11_M,Tech_trad_wkrs_C11_F,Tech_trad_wkrs_C11_P,Tech_trad_wkrs_C16_M,Tech_trad_wkrs_C16_F,Tech_trad_wkrs_C16_P,Com_pers_S_work_C06_Cens_M,Com_pers_S_work_C06_Cens_F,Com_pers_S_work_C06_Cens_P,Com_pers_S_work_C11_Cens_M,Com_pers_S_work_C11_Cens_F,Com_pers_S_work_C11_Cens_P,Com_pers_S_work_C16_Cens_M,Com_pers_S_work_C16_Cens_F,Com_pers_S_work_C16_Cens_P,Cler_admin_work_C06_M,Cler_admin_work_C06_F,Cler_admin_work_C06_P,Cler_admin_work_C11_M,Cler_admin_work_C11_F,Cler_admin_work_C11_P,Cler_admin_work_C16_M,Cler_admin_work_C16_F,Cler_admin_work_C16_P,Sales_workers_C06_M,Sales_workers_C06_F,Sales_workers_C06_P,Sales_workers_C11_M,Sales_workers_C11_F,Sales_workers_C11_P,Sales_workers_C16_M,Sales_workers_C16_F,Sales_workers_C16_P,Mach_oper_driv_C06_M,Mach_oper_driv_C06_F,Mach_oper_driv_C06_P,Mach_oper_driv_C11_M,Mach_oper_driv_C11_F,Mach_oper_driv_C11_P,Mach_oper_driv_C16_M,Mach_oper_driv_C16_F,Mach_oper_driv_C16_P,Labourers_C06_M,Labourers_C06_F,Labourers_C06_P,Labourers_C11_M,Labourers_C11_F,Labourers_C11_P,Labourers_C16_M,Labourers_C16_F,Labourers_C16_P,Inadeq_descr_Ns_C06_M,Inadeq_descr_Ns_C06_F,Inadeq_descr_Ns_C06_P,Inadeq_descr_Ns_C11_M,Inadeq_descr_Ns_C11_F,Inadeq_descr_Ns_C11_P,Inadeq_descr_Ns_C16_M,Inadeq_descr_Ns_C16_F,Inadeq_descr_Ns_C16_P,Tot_C06_M,Tot_C06_F,Tot_C06_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P
1,259213,137247,396461,269125,149210,418331,286353,169733,456084,292761,323519,616284,333717,379832,713549,362516,435609,798126,338475,58244,396724,352057,62614,414668,362657,66581,429239,82600,166977,249579,96909,200760,297668,108753,241506,350261,105598,342353,447951,114052,359086,473140,115157,352824,467977,110985,171302,282292,113607,176888,290496,123753,187657,311414,168407,18727,187134,180628,18809,199437,186100,20736,206839,179444,98100,277547,179558,93568,273129,196828,101060,297887,32958,22520,55478,34759,23151,57909,36937,25568,62505,1570447,1338996,2909444,1674411,1463918,3138332,1779049,1601282,3380332
2,204395,101926,306321,218238,114688,332931,236522,133394,369921,222294,250008,472304,261157,303619,564779,286999,349220,636220,271411,47779,319190,297554,53204,350757,300585,58163,358749,58397,132088,190486,70122,164258,234380,86142,203205,289348,82471,254946,337417,91616,272880,364497,94359,268855,363216,89183,141192,230377,95426,149904,245335,104297,160845,265142,130368,18854,149223,136709,17833,154542,141549,17645,159193,140819,83724,224546,147230,79954,227184,161881,85549,247428,26193,18395,44583,33458,22765,56224,27790,19134,46924,1225535,1048913,2274447,1351521,1179113,2530635,1440118,1296007,2736125
3,145199,80496,225692,155813,89790,245607,159911,98596,258509,144509,168364,312867,172438,213150,385580,181149,242768,423917,240867,39473,280340,261338,43223,304565,259548,45898,305441,49591,116803,166399,60554,142429,202980,70722,171234,241956,56619,212577,269199,62868,236456,299327,63083,228238,291317,71240,117797,189041,74247,125390,199633,77965,129834,207795,119476,12639,132113,135415,13907,149322,133094,14539,147636,137910,79341,217249,137056,78176,215232,143544,81723,225268,19164,12930,32094,21754,15274,37033,20957,13638,34599,984566,840428,1824998,1081488,957791,2039275,1109975,1026477,2136455
4,61486,31096,92580,61550,31747,93295,60235,33836,94075,58156,68993,127147,64612,80511,145127,64852,86234,151091,82253,15492,97745,88189,16404,104588,83461,16672,100142,18613,46483,65095,22437,55263,77702,26009,63618,89625,23451,76789,100238,24543,81674,106216,23478,76062,99540,25169,41275,66442,26451,44422,70882,27204,44558,71761,40137,3950,44090,43275,3794,47070,42117,3399,45515,53552,32332,85887,52520,29799,82328,53241,29609,82850,6650,4017,10665,7696,4462,12160,6923,4586,11507,369463,320430,689897,391278,348085,739359,387522,358582,746105
5,77898,39136,117032,88582,45219,133802,89176,50179,139350,83690,90270,173954,103522,114832,218355,106140,131093,237230,131506,22061,153561,157351,25952,183301,159429,27968,187396,23803,59120,82917,29698,73681,103386,34549,88337,122889,29393,106582,135974,34347,123835,158179,33182,117227,150408,31902,56181,88082,33540,61058,94596,36926,65407,102337,61186,6707,67894,75032,8826,83855,77073,9326,86392,64942,37079,102022,68465,37764,106227,71162,41438,112599,9180,5503,14687,10204,5983,16186,11962,7164,19132,513497,422636,936130,600736,497142,1097879,619602,538133,1157735
6,17413,8878,26289,17758,9212,26971,17059,9404,26467,16021,19869,35894,17129,23014,40145,17011,23765,40772,25143,4816,29957,27035,5227,32254,24958,5279,30243,5948,14517,20466,6698,17524,24220,7230,19527,26754,6624,22036,28654,6854,23197,30054,6668,21526,28194,7421,12883,20301,7516,13639,21152,7686,13716,21402,13293,1292,14580,13458,1118,14579,12799,1002,13800,15135,10436,25569,14659,9993,24652,14854,10323,25183,1827,1201,3028,1970,1304,3271,2223,1542,3769,108808,95932,204739,113074,104226,217295,110489,106099,216583
7,6587,3957,10546,7179,4657,11837,7385,5137,12515,6719,9122,15842,8096,11542,19641,8350,12305,20654,11084,1787,12867,12875,2030,14905,14109,2072,16189,4831,6077,10910,6184,7004,13186,6237,7945,14178,2837,9837,12670,3120,11348,14471,3203,10899,14102,2271,4162,6441,2395,4279,6677,2633,4386,7021,4682,421,5108,5408,561,5966,5309,569,5880,6875,3491,10363,6177,3244,9424,6329,3310,9642,1511,924,2435,1419,948,2373,1564,973,2535,47399,39776,87179,52859,45616,98479,55115,47597,102708
8,16305,10870,27171,18164,12869,31030,18854,13929,32776,25935,25636,51570,28777,29304,58083,30517,32204,62716,15385,3285,18671,16587,3316,19909,16257,3384,19639,6191,9750,15942,7161,11069,18232,8424,13269,21694,9987,23596,33582,11462,26049,37511,10620,24044,34668,5266,7945,13205,5536,7828,13360,5760,8203,13956,3990,395,4385,4292,385,4675,4332,357,4692,6169,3014,9180,6478,2787,9267,7133,3221,10354,1497,1082,2581,2139,1688,3824,2830,2301,5129,90723,85564,176286,100586,95298,195891,104720,100905,205626
9,133,35,167,119,49,165,203,140,340,73,83,154,86,105,189,103,146,242,175,26,198,179,18,202,324,54,380,39,77,117,52,87,146,112,187,301,29,84,109,38,115,158,52,200,249,6,19,29,5,20,20,29,104,130,93,5,95,96,9,96,152,16,161,113,42,154,99,68,170,172,132,302,23,7,35,24,9,36,43,12,54,687,379,1065,705,473,1180,1188,982,2170
