STE_CODE_2016,C16_F_Health_15_19,C16_F_Health_20_24,C16_F_Health_25_34,C16_F_Health_35_44,C16_F_Health_45_54,C16_F_Health_55_64,C16_F_Health_65_74,C16_F_Health_75_84,C16_F_Health_85o,C16_F_Healt_T,C16_F_Educ_15_19,C16_F_Educ_20_24,C16_F_Educ_25_34,C16_F_Educ_35_44,C16_F_Educ_45_54,C16_F_Educ_55_64,C16_F_Educ_65_74,C16_F_Educ_75_84,C16_F_Educ_85o,C16_F_Educ_Tot,C16_F_MngtCom_15_19,C16_F_MngtCom_20_24,C16_F_MngtCom_25_34,C16_F_MngtCom_35_44,C16_F_MngtCom_45_54,C16_F_MngtCom_55_64,C16_F_MngtCom_65_74,C16_F_MngtCom_75_84,C16_F_MngtCom_85o,C16_F_MngtCom_T,C16_F_Soc_cult_15_19,C16_F_Soc_cult_20_24,C16_F_Soc_cult_25_34,C16_F_Soc_cult_35_44,C16_F_Soc_cult_45_54,C16_F_Soc_cult_55_64,C16_F_Soc_cult_65_74,C16_F_Soc_cult_75_84,C16_F_Soc_cult_85o,C16_F_Society_cultur_Tot,C16_F_Creative_art_15_19,C16_F_Creative_art_20_24,C16_F_Creative_art_25_34,C16_F_Creative_art_35_44,C16_F_Creative_art_45_54,C16_F_Creative_art_55_64,C16_F_Creative_art_65_74,C16_F_Creative_art_75_84,C16_F_Creativ_art_85o,C16_F_Creative_arts_Tot,C16_F_FoodHos_PS_15_19,C16_F_FoodHos_PS_20_24,C16_F_FoodHos_PS_25_34,C16_F_FoodHos_PS_35_44,C16_F_FoodHos_PS_45_54,C16_F_FoodHos_PS_55_64,C16_F_FoodHos_PS_65_74,C16_F_FoodHos_PS_75_84,C16_F_FoodHos_PS_85o,C16_F_FoodHos_PS_T,C16_F_MixFld_pr_15_19,C16_F_MixFld_pr_20_24,C16_F_MixFld_pr_25_34,C16_F_MixFld_pr_35_44,C16_F_MixFld_pr_45_54,C16_F_MixFld_pr_55_64,C16_F_MixFld_pr_65_74,C16_F_MixFld_pr_75_84,C16_F_MixFld_pr_85_ov,C16_F_MixFld_pr_Tot,C16_F_FldStu_ID_15_19,C16_F_FldStu_ID_20_24,C16_F_FldStu_ID_25_34,C16_F_FldStu_ID_35_44,C16_F_FldStu_ID_45_54,C16_F_FldStu_ID_55_64,C16_F_FldStu_ID_65_74,C16_F_FldStu_ID_75_84,C16_F_FldStu_ID_85o,C16_F_FldStu_ID_Tot,C16_F_FldStu_NS_15_19,C16_F_FldStu_NS_20_24,C16_F_FldStu_NS_25_34,C16_F_FldStu_NS_35_44,C16_F_FldStu_NS_45_54,C16_F_FldStu_NS_55_64,C16_F_FldStu_NS_65_74,C16_F_FldStu_NS_75_84,C16_F_FldStu_NS_85o,C16_F_FldStu_NS_T,C16_F_Tot_15_19,C16_F_Tot_20_24,C16_F_Tot_25_34,C16_F_Tot_35_44,C16_F_Tot_45_54,C16_F_Tot_55_64,C16_F_Tot_65_74,C16_F_Tot_75_84,C16_F_Tot_85o,C16_F_T_T,C06_P_NatPhy_sci_15_19,C06_P_NatPhy_sci_20_24,C06_P_NatPhy_sci_25_34,C06_P_NatPhy_sci_35_44,C06_P_NatPhy_sci_45_54,C06_P_NatPhy_sci_55_64,C06_P_NatPhy_sci_65_74,C06_P_NatPhy_sci_75_84,C06_P_NatPhy_sci_85_ov,C06_P_NatPhy_sci_Tot,C06_P_InfTec_15_19,C06_P_InfTec_20_24,C06_P_InfTec_25_34,C06_P_InfTec_35_44,C06_P_InfTec_45_54,C06_P_InfTec_55_64,C06_P_InfTec_65_74,C06_P_InfTec_75_84,C06_P_InfTec_85_ov,C06_P_InfTec_Tot,C06_P_EngRT_15_19,C06_P_EngRT_20_24,C06_P_EngRT_25_34,C06_P_EngRT_35_44,C06_P_EngRT_45_54,C06_P_EngRT_55_64,C06_P_EngRT_65_74,C06_P_EngRT_75_84,C06_P_EngRT_85_ov,C06_P_EngRT_Tot,C06_P_ArchBuild_15_19,C06_P_ArchBuild_20_24,C06_P_ArchBuild_25_34,C06_P_ArchBuild_35_44,C06_P_ArchBuild_45_54,C06_P_ArchBuild_55_64,C06_P_ArchBuild_65_74,C06_P_ArchBuild_75_84,C06_P_ArchBuild_85o,C06_P_Arch_building_Tot,C06_P_AgEnv_RS_15_19,C06_P_AgEnv_RS_20_24,C06_P_AgEnv_RS_25_34,C06_P_AgEnv_RS_35_44,C06_P_AgEnv_RS_45_54,C06_P_AgEnv_RS_55_64,C06_P_AgEnv_RS_65_74,C06_P_AgEnv_RS_75_84,C06_P_AgEnv_RS_85o,C06_P_AgEnv_RS_Tot,C06_P_Health_15_19,C06_P_Health_20_24,C06_P_Health_25_34,C06_P_Health_35_44,C06_P_Health_45_54,C06_P_Health_55_64,C06_P_Health_65_74,C06_P_Health_75_84,C06_P_Health_85o,C06_P_Healt_To,C06_P_Educ_15_19,C06_P_Educ_20_24,C06_P_Educ_25_34,C06_P_Educ_35_44,C06_P_Educ_45_54,C06_P_Educ_55_64,C06_P_Educ_65_74,C06_P_Educ_75_84,C06_P_Educ_85o,C06_P_Educ_Tot,C06_P_MngtCom_15_19,C06_P_MngtCom_20_24,C06_P_MngtCom_25_34,C06_P_MngtCom_35_44,C06_P_MngtCom_45_54,C06_P_MngtCom_55_64,C06_P_MngtCom_65_74,C06_P_MngtCom_75_84,C06_P_MngtCom_85o,C06_P_MngtCom_Tot,C06_P_Soc_cult_15_19,C06_P_Soc_cult_20_24,C06_P_Soc_cult_25_34,C06_P_Soc_cult_35_44,C06_P_Soc_cult_45_54,C06_P_Soc_cult_55_64,C06_P_Soc_cult_65_74,C06_P_Soc_cult_75_84,C06_P_Soc_cult_85o,C06_P_Society_cultur_Tot,C06_P_Creative_art_15_19,C06_P_Creative_art_20_24,C06_P_Creative_art_25_34,C06_P_Creative_art_35_44,C06_P_Creative_art_45_54,C06_P_Creative_art_55_64,C06_P_Creative_art_65_74,C06_P_Creative_art_75_84,C06_P_Creative_arts_85o,C06_P_Creative_arts_Tot
1,1701,13852,54797,47144,46786,45653,25145,11510,4072,250661,660,8371,37855,38642,36708,40950,25384,9879,2982,201435,3749,32359,118959,111317,89564,61783,34835,11727,5162,469451,2953,21513,66041,63337,54070,40617,19467,5329,1411,274745,906,9698,27130,20069,13466,8127,4532,1951,695,86570,3553,11579,27561,22038,17412,10292,6893,1935,905,102170,465,625,584,425,626,801,904,786,354,5568,243,1509,4795,5460,4635,3126,1817,764,281,22639,17514,18204,42152,35551,35480,34713,33795,30376,24785,272570,32737,128655,422277,383182,329593,266613,163335,79385,42703,1848473,188,5264,17786,18240,15507,10335,4104,2016,392,73829,1317,12043,31316,20842,11357,3817,692,132,40,81561,2932,20638,75971,99585,95208,73402,44098,25417,5179,442432,1587,10206,32354,35235,30342,21942,13704,6758,1314,153434,892,4623,13458,13317,10447,6426,3163,1370,323,54026,994,11063,43130,52103,57022,33610,17753,9624,2651,227950,347,6649,34071,40084,56446,37204,16518,7208,2063,200583,6962,50000,137545,127374,98113,62847,24612,13944,3666,525058,2510,20581,64404,59278,50920,32505,12149,5446,1213,249005,1252,12671,29365,20967,13774,8113,3661,2044,650,92507
2,905,13000,52769,41367,38693,34093,19608,9353,3289,213078,472,6310,31643,31354,31545,32806,21806,8067,2401,166408,2134,23119,87322,78409,56575,33614,16708,5829,3033,306742,2452,18693,57387,54596,47149,35508,16649,3995,1185,237604,905,8704,23394,15434,9469,5624,3027,1261,576,68404,2776,11039,26646,18532,14796,8455,6142,1815,729,90938,389,514,447,333,439,502,692,576,216,4110,171,1822,5441,5827,4456,2964,1622,632,299,23236,13957,14693,33545,27782,27579,26362,26121,22891,16686,209616,25033,109972,360637,310501,255032,194286,119244,57988,29889,1462594,126,4987,16349,14570,11704,7395,2740,1514,335,59726,853,9574,26517,16508,8714,2792,383,110,26,65471,2140,15721,58428,75155,68517,51735,30276,16807,3402,322173,1662,9303,23975,25263,21297,14116,9111,4161,835,109723,676,3949,11450,10597,7261,3813,1780,922,202,40646,552,10136,36114,42239,42345,25406,13215,6951,1937,178891,193,4486,24983,32613,44080,32807,13390,5680,1556,159801,3730,35669,95644,79473,56968,34248,13589,8496,2241,330060,1706,16168,50105,44938,40805,25216,8481,3592,832,191843,1195,10709,23229,15239,9823,5524,2410,1466,478,70076
3,1326,11014,36386,32673,33281,28961,15967,6814,2176,168594,587,4615,22181,28402,27897,24493,14523,5301,1392,129395,5272,20353,61855,58169,47106,30072,14398,4504,1577,243309,4014,14107,38424,38042,32729,25022,11431,2415,535,166725,1195,5408,11855,8939,6039,3603,2135,891,344,40414,4881,9955,20859,16470,12828,7505,4956,1266,443,79161,419,394,325,281,329,395,532,501,250,3434,209,626,2116,2763,2267,1566,844,341,147,10877,12501,13005,26610,23483,24351,22495,20699,16751,13048,172952,31752,86305,242309,229412,201442,153089,90063,40789,20658,1095813,101,3612,8923,8031,6486,4515,1717,781,120,34277,992,4982,10902,7857,4492,1592,294,55,16,31174,2327,15035,48280,59873,58215,45498,25713,12166,2295,269404,1046,6199,19302,21681,22193,16377,9244,3910,736,100683,1009,3556,8834,7789,5568,3242,1527,626,144,32310,529,6556,24284,32147,32256,20018,9959,4964,1273,131995,202,5105,21563,27471,30875,20812,8669,3435,942,119074,5656,26787,59627,53065,41637,25859,9862,5062,1183,228738,1877,12912,33424,29134,26132,16820,5522,2083,449,128352,893,6509,11978,8558,5771,3704,1835,872,251,40359
4,365,3907,14388,12275,13169,13354,6799,2899,1143,68306,113,1547,7519,7876,7520,9177,6802,2175,834,43566,941,5464,19638,18977,14978,9791,4877,1693,774,77127,1072,4911,14424,14131,13411,10680,5284,1240,326,65479,222,1318,3555,2792,1965,1299,821,358,164,12485,1104,3040,6715,5090,4315,2677,1954,611,219,25716,76,113,126,130,204,166,256,238,126,1442,35,200,880,1030,781,505,354,154,103,4047,3673,3249,6863,6174,7043,7280,7510,6789,5338,53914,7913,26176,82324,75896,68924,58478,36649,17155,9492,383004,27,1488,4018,3752,3325,2344,882,478,93,16415,280,1920,4252,3048,1892,685,101,13,7,12199,777,5861,17918,23046,21834,18158,11277,6513,1364,106745,424,1817,4635,5879,6049,4706,3145,1694,322,28668,294,1453,3741,3460,2460,1430,541,350,74,13798,210,3002,10360,13749,16193,8947,4217,2477,770,59925,48,1344,6325,7723,12762,10355,3582,1781,657,44577,1499,9374,21343,19240,15987,10502,4285,2559,670,85444,691,4954,12652,12286,12248,8311,2725,1231,260,55353,217,2265,4341,3158,2366,1551,742,419,132,15197
5,778,5824,21444,17756,16814,14769,8483,3918,1182,90964,423,2863,12840,15363,15754,13798,7329,2846,777,71989,1915,8893,33181,30538,23698,14867,8028,3174,1115,125403,1446,6221,20546,19051,15714,12253,5772,1495,372,82865,600,2577,6612,4696,3049,1833,1230,523,176,21296,1510,4647,11670,8243,6532,3865,2395,687,285,39850,163,173,230,172,174,222,289,251,86,1746,75,424,1423,1341,1196,789,405,204,62,5910,5964,6389,15840,12793,12444,11259,10051,9060,7057,90862,13434,42924,140398,124122,104613,78914,46248,23276,11580,585515,99,2221,6736,6073,4848,2993,993,482,95,24543,539,2968,5642,4182,2318,789,137,29,3,16608,1594,9071,28402,34979,33993,24177,12766,5890,1198,152071,633,2807,7796,9385,9164,6924,4421,1877,350,43362,515,1922,4817,4222,3100,1915,930,394,74,17885,342,3830,12841,16620,17493,10942,5457,2480,691,70692,325,2447,10362,14418,17366,10695,4657,1860,571,62699,2704,13051,29634,29055,23187,15259,6433,3147,784,123246,1373,6251,16076,15526,14751,9193,3228,1361,267,68029,584,3568,6286,4513,3325,2149,965,474,140,22002
6,90,923,3091,2822,3548,3903,2445,1057,375,18262,28,310,1969,2528,2637,3294,2263,1115,330,14474,327,1573,4783,4593,4189,3258,1686,566,276,21261,276,1418,3862,4057,4325,3792,1745,419,122,20018,32,286,866,827,752,620,425,171,55,4032,314,1034,2194,1709,1378,899,593,160,54,8323,23,35,30,22,27,61,94,65,32,389,10,51,219,255,267,252,127,60,25,1258,1474,1054,2083,2169,2639,2937,3250,2556,1370,19538,2659,7254,20851,21074,21488,20232,13304,6450,2765,116089,8,331,1073,1116,1010,753,294,161,30,4775,89,679,965,667,489,213,42,9,0,3162,262,1487,4765,6409,6604,5056,3176,1648,311,29718,153,610,1694,2428,2734,1886,1121,535,104,11261,104,490,1443,1399,972,556,259,145,28,5392,42,647,2228,3522,4449,2967,1550,789,223,16418,17,429,1972,2617,4224,3238,1758,712,222,15203,519,2757,5137,5136,4735,3044,1233,788,179,23529,198,1272,3346,3906,4172,2511,830,350,71,16656,70,473,1003,1002,901,705,300,159,43,4658
7,21,403,2204,1598,1298,1082,411,146,37,7193,14,161,1283,1285,1251,1057,459,110,16,5640,141,701,2958,2397,1866,1091,363,78,19,9606,93,475,2105,1694,1458,1072,309,73,7,7280,19,108,452,311,192,134,52,11,3,1290,132,378,950,595,435,198,82,29,12,2801,13,18,35,22,26,11,13,4,0,135,12,26,127,133,147,60,28,3,0,533,1225,1359,3290,2418,2203,1674,861,322,127,13481,1751,3928,14575,11527,9519,6750,2706,792,229,51766,0,105,474,425,369,198,59,19,0,1646,57,198,447,341,234,76,15,0,3,1382,134,863,2797,3246,2594,1686,592,137,13,12068,40,196,693,811,775,587,212,67,7,3383,80,212,631,532,340,165,43,16,0,2009,24,323,1431,1574,1471,745,238,68,10,5879,8,144,1057,1326,1616,1030,242,55,20,5497,168,971,2608,2288,1818,941,182,47,6,9033,68,449,1726,1767,1446,806,199,33,7,6502,30,169,487,371,255,149,47,13,7,1523
8,37,709,3293,2675,2290,2137,1213,648,212,13214,30,405,2160,2264,1948,2087,1678,712,162,11437,169,1810,6345,6018,4721,3131,1786,562,222,24762,186,1838,6863,5763,4523,3525,2044,603,152,25501,61,484,1638,1301,908,501,276,115,49,5333,155,569,1274,944,639,387,225,82,24,4302,30,25,14,15,16,19,28,22,11,183,17,71,438,487,393,246,154,64,29,1907,684,981,2135,1657,1464,1352,1124,974,931,11306,1456,7980,27836,24392,19422,15008,9325,4045,1923,111387,9,672,2269,2250,2141,1514,530,320,68,9772,129,1147,2973,2584,1855,641,75,12,8,9419,79,844,3226,3656,3439,2699,1450,772,173,16350,57,448,1406,1329,1315,1035,665,336,56,6640,20,267,826,703,558,326,163,76,18,2944,32,532,1945,2586,3027,1758,886,470,144,11369,13,326,2041,2108,2966,2514,1099,394,128,11586,328,2653,7092,6574,5686,3629,1160,695,207,28023,159,2212,7441,6344,6422,4599,1597,746,151,29659,68,1047,2040,1413,983,505,217,110,32,6415
9,0,3,12,18,13,28,18,3,3,97,0,4,23,23,22,20,12,5,0,113,3,12,44,62,48,42,22,4,0,235,4,0,25,24,19,10,7,0,0,94,0,0,4,6,3,3,0,0,0,22,0,11,15,14,13,11,0,0,0,60,0,0,0,0,0,3,0,0,0,5,0,0,0,0,3,4,0,0,0,15,25,8,27,34,57,51,34,21,6,275,40,41,171,208,195,180,96,44,9,987,0,3,9,11,4,3,0,0,0,29,0,0,7,0,0,0,0,0,0,4,0,4,31,51,41,16,7,0,0,156,0,4,10,16,20,13,0,0,0,58,0,0,4,3,8,0,0,0,0,24,0,0,3,16,17,6,0,0,0,40,0,8,14,26,30,9,0,0,0,86,6,13,26,27,17,7,0,0,0,107,0,8,22,12,8,7,0,0,0,58,0,0,0,0,0,0,0,0,0,7
