STE_CODE_2016,Age_55_C16_M,Age_55_C16_F,Age_55_C16_P,Age_56_C06_M,Age_56_C06_F,Age_56_C06_P,Age_56_C11_M,Age_56_C11_F,Age_56_C11_P,Age_56_C16_M,Age_56_C16_F,Age_56_C16_P,Age_57_C06_M,Age_57_C06_F,Age_57_C06_P,Age_57_C11_M,Age_57_C11_F,Age_57_C11_P,Age_57_C16_M,Age_57_C16_F,Age_57_C16_P,Age_58_C06_M,Age_58_C06_F,Age_58_C06_P,Age_58_C11_M,Age_58_C11_F,Age_58_C11_P,Age_58_C16_M,Age_58_C16_F,Age_58_C16_P,Age_59_C06_M,Age_59_C06_F,Age_59_C06_P,Age_59_C11_M,Age_59_C11_F,Age_59_C11_P,Age_59_C16_M,Age_59_C16_F,Age_59_C16_P,Age_55_59_C06_M,Age_55_59_C06_F,Age_55_59_C06_P,Age_55_59_C11_M,Age_55_59_C11_F,Age_55_59_C11_P,Age_55_59_C16_M,Age_55_59_C16_F,Age_55_59_C16_P,Age_60_C06_M,Age_60_C06_F,Age_60_C06_P,Age_60_C11_M,Age_60_C11_F,Age_60_C11_P,Age_60_C16_M,Age_60_C16_F,Age_60_C16_P,Age_61_C06_M,Age_61_C06_F,Age_61_C06_P,Age_61_C11_M,Age_61_C11_F,Age_61_C11_P,Age_61_C16_M,Age_61_C16_F,Age_61_C16_P,Age_62_C06_M,Age_62_C06_F,Age_62_C06_P,Age_62_C11_M,Age_62_C11_F,Age_62_C11_P,Age_62_C16_M,Age_62_C16_F,Age_62_C16_P,Age_63_C06_M,Age_63_C06_F,Age_63_C06_P,Age_63_C11_M,Age_63_C11_F,Age_63_C11_P,Age_63_C16_M,Age_63_C16_F,Age_63_C16_P,Age_64_C06_M,Age_64_C06_F,Age_64_C06_P,Age_64_C11_M,Age_64_C11_F,Age_64_C11_P,Age_64_C16_M,Age_64_C16_F,Age_64_C16_P,Age_60_64_C06_M,Age_60_64_C06_F,Age_60_64_C06_P,Age_60_64_C11_M,Age_60_64_C11_F,Age_60_64_C11_P,Age_60_64_C16_M,Age_60_64_C16_F,Age_60_64_C16_P,Age_65_C06_M,Age_65_C06_F,Age_65_C06_P,Age_65_C11_M,Age_65_C11_F,Age_65_C11_P,Age_65_C16_M,Age_65_C16_F,Age_65_C16_P,Age_66_C06_M,Age_66_C06_F,Age_66_C06_P,Age_66_C11_M,Age_66_C11_F,Age_66_C11_P,Age_66_C16_M,Age_66_C16_F,Age_66_C16_P,Age_67_C06_M,Age_67_C06_F,Age_67_C06_P,Age_67_C11_M,Age_67_C11_F,Age_67_C11_P,Age_67_C16_M,Age_67_C16_F,Age_67_C16_P,Age_68_C06_M,Age_68_C06_F,Age_68_C06_P,Age_68_C11_M,Age_68_C11_F,Age_68_C11_P,Age_68_C16_M,Age_68_C16_F,Age_68_C16_P,Age_69_C06_M,Age_69_C06_F,Age_69_C06_P,Age_69_C11_M,Age_69_C11_F,Age_69_C11_P,Age_69_C16_M,Age_69_C16_F,Age_69_C16_P,Age_65_69_C06_M,Age_65_69_C06_F,Age_65_69_C06_P,Age_65_69_C11_M,Age_65_69_C11_F,Age_65_69_C11_P,Age_65_69_C16_M,Age_65_69_C16_F,Age_65_69_C16_P,Age_70_C06_M,Age_70_C06_F,Age_70_C06_P,Age_70_C11_M,Age_70_C11_F,Age_70_C11_P,Age_70_C16_M,Age_70_C16_F,Age_70_C16_P,Age_71_C06_M,Age_71_C06_F,Age_71_C06_P,Age_71_C11_M,Age_71_C11_F,Age_71_C11_P,Age_71_C16_M,Age_71_C16_F,Age_71_C16_P,Age_72_C06_M,Age_72_C06_F,Age_72_C06_P,Age_72_C11_M,Age_72_C11_F,Age_72_C11_P,Age_72_C16_M,Age_72_C16_F,Age_72_C16_P,Age_73_C06_M,Age_73_C06_F,Age_73_C06_P,Age_73_C11_M,Age_73_C11_F,Age_73_C11_P,Age_73_C16_M,Age_73_C16_F,Age_73_C16_P,Age_74_C06_M,Age_74_C06_F,Age_74_C06_P,Age_74_C11_M,Age_74_C11_F,Age_74_C11_P,Age_74_C16_M,Age_74_C16_F
1,48661,50497,99161,40463,40642,81103,42237,43941,86178,46265,48931,95190,38981,38861,77842,41029,42308,83336,45278,47437,92712,39654,39246,78901,40728,42187,82912,44630,47751,92386,41557,41304,82860,38978,40692,79674,43942,46326,90268,200974,200945,401922,206106,213508,419611,228777,240946,469726,35346,34675,70016,39130,40083,79208,43091,44892,87989,33602,33472,67076,38916,39684,78600,41626,44112,85737,32713,32489,65197,37589,38371,75968,40530,43041,83571,29056,29241,58299,38399,38303,76702,40355,42645,83000,28457,28576,57036,39992,40202,80199,38680,41067,79746,159174,158454,317623,194023,196652,390678,204285,215760,420044,26881,27483,54363,33681,33881,67565,38558,40388,78945,26134,26512,52647,32158,32608,64761,37973,39622,77595,24846,25689,50534,30947,31391,62334,36383,38107,74494,23755,25033,48790,27250,28267,55521,37077,38123,75202,23350,24742,48093,26628,27516,54143,38372,39859,78232,124959,129462,254423,150664,153666,304325,188363,196098,384470,22281,23807,46088,24969,26306,51273,32140,33552,65699,20493,22664,43158,24091,25393,49490,30386,31890,62279,19718,21457,41176,22816,24557,47375,29251,30716,59963,19332,21352,40683,21631,23657,45291,25390,27500,52890,18722,21074,39795,20920,23019,43940,24930,26784
2,36560,38849,75407,29609,30939,60544,31550,33247,64795,35256,37659,72910,28547,29435,57985,30497,32187,62686,34791,36486,71276,28972,30010,58985,30381,32123,62503,33749,36360,70112,30850,31613,62469,29593,30729,60321,32816,35089,67904,147702,153181,300888,155034,162397,317439,173172,184447,357616,26084,25883,51962,28945,30820,59767,33138,34893,68033,24282,24566,48849,28671,30367,59044,31286,33759,65047,23255,24185,47437,27793,29136,56935,30308,32908,63219,20982,21558,42535,27958,29424,57377,30205,32512,62719,21285,21522,42808,29821,30877,60691,29466,31368,60827,115891,117713,233598,143188,150621,293810,154397,165445,319840,19934,20187,40120,24921,25419,50341,28914,31318,60232,19213,19722,38936,23142,24059,47196,28093,30550,58646,18491,19441,37929,22142,23433,45575,27233,29216,56447,17436,18797,36234,19796,20971,40769,27069,29470,56543,16880,18248,35131,20013,21009,41021,28775,30749,59523,91948,96395,188348,110011,114894,224911,140089,151307,291397,16362,17852,34217,18540,19514,38058,24099,25375,49473,15087,16752,31836,17861,19182,37043,22053,23733,45785,14850,16609,31455,17136,18507,35642,21049,23198,44255,14300,16167,30467,16071,18054,34121,18746,20511,39259,13582,15631,29211,15293,17166,32451,18787,20644
3,30406,31756,62164,24649,24847,49495,25922,26710,52632,29192,30453,59646,24172,24014,48183,24879,25961,50834,28447,29777,58225,24289,23498,47791,25152,25672,50823,27690,29325,57012,25869,25081,50952,24908,24910,49819,26991,28159,55151,123571,122170,245734,127489,130477,257964,142727,149472,292198,21451,20694,42147,24447,24775,49222,26679,27799,54483,21068,20466,41533,24303,24781,49088,25810,26988,52800,19751,19206,38960,23937,23799,47733,24913,26564,51472,17444,17137,34585,23844,23313,47157,25128,26273,51402,17569,17021,34594,25187,24739,49927,25029,25503,50534,97287,94529,191810,121722,121406,243125,127555,133128,260685,16179,15679,31860,20833,20458,41287,24549,25229,49781,15634,15319,30953,20188,20046,40237,23878,25029,48905,14742,14772,29518,18880,18798,37674,23600,23898,47497,13987,13478,27460,16604,16818,33422,23181,23586,46770,13295,13336,26634,16613,16524,33140,24464,24779,49244,73839,72587,146426,93116,92644,185758,119667,122526,242192,12686,12505,25194,15256,15211,30462,20318,20389,40705,11349,12038,23391,14588,14676,29263,19401,19960,39368,10867,11148,22018,13482,13969,27453,17975,18575,36548,10447,11077,21523,12573,12696,25272,15667,16395,32065,10201,10687,20882,11850,12584,24435,15565,16162
4,11584,11879,23464,9933,10153,20082,10243,10396,20637,11097,11646,22738,9653,9848,19502,9837,10417,20257,10883,11561,22445,9425,9745,19169,9931,10386,20321,10711,11055,21768,10424,10619,21046,9571,10116,19683,10397,11091,21489,49227,50693,99921,49885,52128,102010,54667,57228,111896,8460,8700,17156,9578,10223,19800,10280,10888,21169,8082,8489,16568,9657,9901,19557,10156,10431,20585,7695,7975,15668,9400,9655,19051,9731,10516,20239,7153,7313,14466,9136,9611,18748,9764,10516,20282,6917,7117,14035,10086,10353,20444,9571,10182,19752,38312,39587,77902,47855,49743,97598,49499,52525,102028,6358,6571,12928,8098,8533,16631,9426,10305,19733,6235,6603,12840,7740,8208,15950,9415,9913,19329,6176,6662,12835,7299,7656,14958,9161,9654,18814,5748,6276,12024,6706,7120,13823,8970,9488,18462,5656,6180,11833,6475,6834,13310,9673,10279,19958,30169,32287,62454,36315,38348,74667,46649,49640,96286,5368,5831,11197,5899,6357,12252,7829,8453,16279,5054,5574,10625,5751,6291,12038,7432,8134,15568,5055,5507,10564,5689,6304,11991,6933,7625,14565,4880,5430,10307,5295,5971,11259,6363,6995,13357,4622,5322,9942,5166,5824,10989,6109,6683
5,15828,16111,31942,12380,12225,24610,13405,13851,27257,15191,15648,30839,12036,11978,24012,13082,13313,26398,14782,15052,29834,12112,11456,23572,13019,13133,26153,14335,14650,28983,12899,12382,25283,12678,12677,25355,13980,14312,28296,62197,60609,122808,66557,67336,133893,74118,75781,149899,10158,9557,19717,12690,12400,25094,14081,14291,28371,9674,9289,18959,12020,12053,24072,13006,13821,26829,9466,9097,18561,11794,11869,23661,12805,13415,26227,8408,8148,16553,11887,11452,23343,12519,13160,25677,8520,8178,16700,12361,11999,24358,12423,12620,25037,46226,44268,90497,60762,59773,120530,64835,67311,132145,7659,7642,15304,9710,9296,19008,12263,12310,24568,7354,7401,14754,9157,8978,18139,11513,11934,23447,7175,7185,14361,8996,8784,17778,11183,11531,22708,6838,6866,13700,7810,7852,15664,11342,11256,22601,6357,6548,12905,7891,7845,15740,11605,11829,23431,35381,35645,71026,43564,42757,86322,57906,58856,116755,6025,6290,12311,7086,7284,14375,9135,9262,18396,5654,6029,11680,6759,7079,13844,8542,8767,17305,5195,5658,10859,6548,6905,13453,8479,8640,17118,5075,5579,10653,6154,6584,12731,7272,7700,14968,4939,5474,10413,5724,6097,11813,7428,7688
6,3756,4081,7835,3240,3304,6544,3313,3472,6781,3616,3946,7554,3001,3195,6202,3168,3548,6715,3593,3861,7456,3214,3186,6401,3328,3467,6793,3671,3673,7341,3521,3492,7017,3391,3352,6741,3440,3754,7198,16208,16467,32677,16702,17385,34089,18075,19309,37378,2769,2845,5615,3271,3331,6603,3617,3661,7275,2665,2774,5433,3255,3328,6587,3372,3500,6878,2736,2628,5366,3083,3216,6296,3221,3590,6818,2427,2382,4808,3198,3189,6391,3381,3555,6935,2350,2325,4679,3434,3422,6853,3403,3472,6873,12941,12963,25909,16237,16493,32732,16993,17781,34778,2193,2262,4452,2776,2820,5591,3326,3437,6766,2155,2172,4325,2604,2724,5326,3206,3407,6618,2095,2082,4178,2629,2587,5213,3068,3247,6309,1956,2045,3995,2328,2302,4632,3134,3226,6362,1840,2010,3853,2265,2285,4544,3443,3448,6889,10238,10568,20805,12598,12713,25312,16175,16768,32945,1713,1835,3554,2087,2194,4278,2645,2814,5460,1648,1749,3395,2019,2079,4098,2482,2718,5201,1654,1740,3393,1952,1933,3881,2519,2534,5049,1487,1697,3186,1777,1927,3706,2192,2222,4411,1491,1645,3128,1650,1838,3489,2060,2254
7,1521,1379,2899,1239,1005,2245,1270,1191,2459,1365,1298,2669,1042,916,1959,1220,1098,2316,1304,1242,2543,1028,842,1872,1142,1080,2217,1218,1225,2440,1074,804,1882,1120,971,2087,1188,1142,2332,5637,4628,10269,6081,5552,11633,6602,6289,12886,920,780,1705,1135,1030,2167,1262,1162,2429,787,596,1384,1041,826,1873,1162,1010,2171,725,600,1331,994,783,1784,1045,987,2032,633,501,1134,899,750,1645,1056,903,1961,673,464,1140,952,710,1660,979,838,1817,3739,2950,6686,5027,4098,9119,5505,4899,10407,581,481,1062,729,587,1319,893,836,1728,570,395,962,676,519,1194,853,736,1588,404,288,695,565,495,1060,789,653,1440,406,316,718,483,389,870,718,587,1306,338,262,600,473,378,845,749,551,1296,2294,1745,4037,2926,2362,5285,3999,3364,7364,328,283,604,494,405,899,572,521,1088,259,222,483,443,336,780,520,399,923,210,226,442,304,261,560,428,388,816,191,187,376,301,260,557,384,344,731,201,171,371,264,218,483,402,339
8,2331,2445,4781,2022,2039,4055,1973,2135,4112,2244,2368,4613,1936,1996,3933,1970,2024,3997,2112,2314,4423,1893,1981,3875,1965,2078,4046,2097,2272,4369,2067,2070,4136,1902,2057,3960,2009,2164,4174,9923,10289,20214,9877,10530,20409,10794,11559,22357,1709,1591,3299,1822,2003,3828,1955,2164,4119,1430,1510,2944,1850,1901,3752,1796,2040,3835,1360,1443,2798,1748,1801,3540,1832,1914,3744,1205,1255,2457,1690,1836,3527,1820,1976,3795,1231,1217,2446,1860,1867,3730,1715,1939,3654,6926,7019,13946,8964,9406,18372,9109,10037,19144,1035,1140,2172,1520,1496,3017,1651,1875,3527,1027,1036,2064,1264,1409,2668,1684,1760,3451,979,988,1967,1202,1305,2510,1606,1792,3397,868,949,1820,1077,1151,2233,1587,1791,3379,811,963,1770,1115,1132,2248,1678,1860,3535,4722,5069,9794,6180,6489,12672,8212,9078,17285,774,853,1634,913,1051,1964,1410,1468,2880,768,804,1576,925,982,1906,1182,1366,2544,675,797,1470,868,936,1804,1107,1307,2417,663,741,1408,817,891,1702,1013,1159,2172,624,732,1365,712,903,1613,1020,1136
9,33,37,71,32,11,36,17,18,41,47,38,80,22,18,35,13,13,32,35,38,73,17,4,26,32,20,51,40,37,77,12,11,23,22,16,44,36,37,72,117,53,169,107,87,196,195,184,376,10,7,19,30,9,42,37,38,73,14,8,27,31,9,41,29,31,60,19,5,22,18,8,35,37,31,71,9,3,16,15,0,18,32,31,64,15,12,26,10,10,19,29,28,60,69,38,106,107,47,146,166,162,335,15,3,22,12,6,15,40,27,74,15,8,16,9,7,13,45,32,83,9,5,10,9,7,12,27,27,61,8,6,14,13,7,14,25,12,36,3,3,5,3,3,8,28,17,49,46,21,68,41,26,67,173,124,295,4,0,7,11,0,15,24,24,43,8,0,8,8,3,16,20,20,33,3,0,5,6,3,10,20,12,32,3,7,13,5,3,13,26,17,42,3,3,7,3,3,3,10,12
