STE_CODE_2016,C06_CFC_SMS_MRM_NDC_UR_1,C06_CFC_SMS_MRM_NDC_UR_2,C06_CFC_SMS_MRM_NDC_UR_3,C06_CFC_SMS_MRM_NDC_UR_4mo,C06_CFC_SMS_MRM_NDC_UR_Total,C06_CFC_SMS_M_DfM_NDC_UR_1,C06_CFC_SMS_M_DfM_NDC_UR_2,C06_CFC_SMS_M_DfM_NDC_UR_3,C06_CFC_SMS_M_DfM_NDC_UR_4mo,C06_CFC_SMS_M_DfM_NDC_UR_Tot,C06_CFC_SMS_Tot_NDC_UR_1,C06_CFC_SMS_Tot_NDC_UR_2,C06_CFC_SMS_Tot_NDC_UR_3,C06_CFC_SMS_Tot_NDC_UR_4mo,C06_CFC_SMS_Tot_NDC_UR_Tot,C06_1_PF_NDC_UR_1,C06_1_PF_NDC_UR_2,C06_1_PF_NDC_UR_3,C06_1_PF_NDC_UR_4mo,C06_1_PF_NDC_UR_Tot,C06_Tot_NDC_UR_1,C06_Tot_NDC_UR_2,C06_Tot_NDC_UR_3,C06_Tot_NDC_UR_4mo,C06_Tot_NDC_UR_Tot,C11_CFC_SMS_MRM_NDC_UR_1,C11_CFC_SMS_MRM_NDC_UR_2,C11_CFC_SMS_MRM_NDC_UR_3,C11_CFC_SMS_MRM_NDC_UR_4mo,C11_CFC_SMS_MRM_NDC_UR_Tot,C11_CFC_SMS_M_DfM_NDC_UR_1,C11_CFC_SMS_M_DfM_NDC_UR_2,C11_CFC_SMS_M_DfM_NDC_UR_3,C11_CFC_SMS_M_DfM_NDC_UR_4mo,C11_CFC_SMS_M_DfM_NDC_UR_Tot,C11_CFC_SMS_Tot_NDC_UR_1,C11_CFC_SMS_Tot_NDC_UR_2,C11_CFC_SMS_Tot_NDC_UR_3,C11_CFC_SMS_Tot_NDC_UR_4mo,C11_CFC_SMS_Tot_NDC_UR_Tot,C11_1_PF_NDC_UR_1,C11_1_PF_NDC_UR_2,C11_1_PF_NDC_UR_3,C11_1_PF_NDC_UR_4mo,C11_1_PF_NDC_UR_Tot,C11_Tot_NDC_UR_1,C11_Tot_NDC_UR_2,C11_Tot_NDC_UR_3,C11_Tot_NDC_UR_4mo,C11_Tot_NDC_UR_Tot,C16_CFC_SMS_MRM_NDC_UR_1,C16_CFC_SMS_MRM_NDC_UR_2,C16_CFC_SMS_MRM_NDC_UR_3,C16_CFC_SMS_MRM_NDC_UR_4mo,C16_CFC_SMS_MRM_NDC_UR_Tot,C16_CFC_SMS_M_DfM_NDC_UR_1,C16_CFC_SMS_M_DfM_NDC_UR_2,C16_CFC_SMS_M_DfM_NDC_UR_3,C16_CFC_SMS_M_DfM_NDC_UR_4mo,C16_CFC_SMS_M_DfM_NDC_UR_Tot,C16_CFC_SMS_Tot_NDC_UR_1,C16_CFC_SMS_Tot_NDC_UR_2,C16_CFC_SMS_Tot_NDC_UR_3,C16_CFC_SMS_Tot_NDC_UR_4mo,C16_CFC_SMS_Tot_NDC_UR_Tot,C16_1_PF_NDC_UR_1,C16_1_PF_NDC_UR_2,C16_1_PF_NDC_UR_3,C16_1_PF_NDC_UR_4mo,C16_1_PF_NDC_UR_Tot,C16_Tot_NDC_UR_1,C16_Tot_NDC_UR_2,C16_Tot_NDC_UR_3,C16_Tot_NDC_UR_4mo,C16_Tot_NDC_UR_Tot
1,192838,248514,98729,32076,572157,30593,24444,9170,4155,68361,223424,272959,107903,36234,640521,95000,58951,20866,8135,182952,318431,331908,128769,44372,823473,204857,259602,101043,32611,598106,34524,28435,10605,4719,78280,239379,288035,111652,37324,676385,100519,62420,21697,9077,193719,339901,350454,133348,46404,870102,218322,275067,101907,31871,627168,40197,34046,12034,4924,91194,258517,309111,113941,36792,718365,99074,62774,21939,8829,192621,357595,371887,135882,45623,910983
2,143440,196695,77960,23172,441262,23059,18824,6543,2549,50973,166493,215519,84504,25719,492229,67701,43540,14894,5227,131366,234201,259056,99398,30943,623600,158914,209643,78975,23373,470903,27508,23472,7884,2991,61848,186420,233114,86868,26358,532753,73589,46940,15535,5492,141560,260005,280054,102401,31848,674309,177692,228099,79850,23402,509038,33412,28985,9598,3391,75383,211103,257085,89448,26789,584429,76187,48942,15651,6005,146778,287290,306029,105097,32793,731202
3,103415,137065,54860,18821,314153,25204,19960,7942,3846,56952,128615,157019,62802,22661,371104,60375,36926,13360,5529,116191,188990,193949,76162,28189,487296,113825,149225,57788,20253,341086,30526,24887,9765,4968,70146,144353,174111,67554,25222,411231,66628,40818,14692,6401,128537,210978,214930,82245,31616,539771,119325,156301,57881,19409,352909,33129,28845,10912,5143,78027,152450,185147,68793,24548,430941,68298,44970,15963,7006,136238,220749,230115,84759,31552,567178
4,40552,54374,19455,5602,119977,8832,7182,2574,1057,19643,49379,61559,22022,6656,139619,23975,14580,4761,1707,45019,73357,76142,26788,8360,184637,42674,56041,19623,5681,124016,9959,8419,2945,1147,22472,52636,64463,22566,6825,146491,24943,15356,5074,1925,47300,77581,79820,27640,8752,193793,44462,57479,19434,5725,127110,10605,9312,3100,1223,24243,55065,66790,22535,6953,151346,24809,15882,5200,1941,47827,79874,82671,27738,8891,199178
5,53569,72714,27704,8535,162527,12639,10173,3870,1724,28398,66206,82885,31581,10259,190922,27765,17065,5742,2303,52874,93968,99946,37321,12559,243805,62451,83022,29997,9151,184617,15115,12659,4596,2055,34427,77567,95684,34594,11207,219046,30211,18734,6265,2534,57748,107782,114420,40861,13735,276794,70714,92594,32484,9260,205054,17444,14776,5220,2067,39510,88155,107375,37705,11329,244559,31668,20947,6855,2768,62231,119819,128323,44557,14098,306793
6,11911,15860,6064,1946,35781,3499,3008,1176,549,8229,15409,18867,7244,2496,44014,8075,5041,1653,681,15455,23482,23910,8891,3176,59461,11783,15150,5641,1981,34562,3982,3535,1360,618,9497,15765,18689,7005,2602,44055,8413,5219,1881,775,16289,24179,23906,8887,3371,60344,10956,14235,5316,1830,32337,4097,3747,1357,574,9770,15049,17985,6673,2399,42103,8065,5431,1896,734,16123,23116,23412,8564,3135,58233
7,4588,5557,2504,1280,13928,1563,1313,542,329,3748,6151,6871,3045,1606,17679,3221,1884,879,524,6509,9378,8758,3925,2134,24191,5251,5959,2613,1318,15138,1857,1460,595,350,4262,7110,7414,3210,1667,19401,3156,1948,849,477,6431,10271,9360,4056,2142,25830,5887,6524,2645,1126,16182,2042,1654,644,330,4668,7929,8173,3292,1456,20845,3122,1874,726,419,6148,11050,10046,4018,1874,26988
8,10096,13193,4834,1323,29446,1802,1555,464,159,3977,11897,14740,5297,1491,33420,4740,3007,914,288,8953,16639,17747,6215,1776,42372,11353,14469,4900,1342,32057,2056,1833,528,188,4606,13414,16298,5427,1524,36662,4953,3098,921,285,9262,18365,19397,6347,1812,45920,12865,16600,5226,1326,36019,2492,2094,604,205,5385,15349,18692,5830,1534,41407,4921,3137,943,342,9344,20275,21836,6776,1872,50754
9,89,108,44,15,259,11,6,3,0,21,97,115,53,17,279,17,9,9,0,33,118,122,53,16,314,101,78,40,9,225,6,6,4,0,19,116,81,36,9,240,22,22,3,3,51,133,103,40,15,288,97,105,68,11,283,28,30,10,4,78,129,137,74,14,365,47,31,5,6,94,178,168,82,27,457
