STE_CODE_2016,C06_0_4_Need_asst_M,C06_0_4_Need_asst_F,C06_0_4_No_need_asst_M,C06_0_4_No_need_asst_F,C06_0_4_Need_asst_ns_M,C06_0_4_Need_asst_ns_F,C06_0_4_T_M,C06_0_4_T_F,C06_0_4_T_P,C06_5_14_Need_asst_M,C06_5_14_Need_asst_F,C06_5_14_No_need_asst_M,C06_5_14_No_need_asst_F,C06_5_14_Need_asst_ns_M,C06_5_14_Need_asst_ns_F,C06_5_14_T_M,C06_5_14_T_F,C06_5_14_T_P,C06_15_19_Need_asst_M,C06_15_19_Need_asst_F,C06_15_19_No_need_asst_M,C06_15_19_No_need_asst_F,C06_15_19_Need_asst_ns_M,C06_15_19_Need_asst_ns_F,C06_15_19_T_M,C06_15_19_T_F,C06_15_19_T_P,C06_20_24_Need_asst_M,C06_20_24_Need_asst_F,C06_20_24_No_need_asst_M,C06_20_24_No_need_asst_F,C06_20_24_Need_asst_ns_M,C06_20_24_Need_asst_ns_F,C06_20_24_T_M,C06_20_24_T_F,C06_20_24_T_P,C06_25_34_Need_asst_M,C06_25_34_Need_asst_F,C06_25_34_No_need_asst_M,C06_25_34_No_need_asst_F,C06_25_34_Need_asst_ns_M,C06_25_34_Need_asst_ns_F,C06_25_34_T_M,C06_25_34_T_F,C06_25_34_T_P,C06_35_44_Need_asst_M,C06_35_44_Need_asst_F,C06_35_44_No_need_asst_M,C06_35_44_No_need_asst_F,C06_35_44_Need_asst_ns_M,C06_35_44_Need_asst_ns_F,C06_35_44_T_M,C06_35_44_T_F,C06_35_44_T_P,C06_45_54_Need_asst_M,C06_45_54_Need_asst_F,C06_45_54_No_need_asst_M,C06_45_54_No_need_asst_F,C06_45_54_Need_asst_ns_M,C06_45_54_Need_asst_ns_F,C06_45_54_T_M,C06_45_54_T_F,C06_45_54_T_P,C06_55_64_Need_asst_M,C06_55_64_Need_asst_F,C06_55_64_No_need_asst_M,C06_55_64_No_need_asst_F,C06_55_64_Need_asst_ns_M,C06_55_64_Need_asst_ns_F,C06_55_64_T_M,C06_55_64_T_F,C06_55_64_T_P,C06_65_74_Need_asst_M,C06_65_74_Need_asst_F,C06_65_74_No_need_asst_M,C06_65_74_No_need_asst_F,C06_65_74_Need_asst_ns_M,C06_65_74_Need_asst_ns_F,C06_65_74_T_M,C06_65_74_T_F,C06_65_74_T_P,C06_75_84_Need_asst_M,C06_75_84_Need_asst_F,C06_75_84_No_need_asst_M,C06_75_84_No_need_asst_F,C06_75_84_Need_asst_ns_M,C06_75_84_Need_asst_ns_F,C06_75_84_T_M,C06_75_84_T_F,C06_75_84_T_P,C06_85o_Need_asst_M,C06_85o_Need_asst_F,C06_85o_No_need_asst_M,C06_85o_No_need_asst_F,C06_85o_Need_asst_ns_M,C06_85o_Need_asst_ns_F,C06_85o_T_M,C06_85o_T_F,C06_85o_T_P,C06_Total_Need_asst_M,C06_Total_Need_asst_F,C06_Total_No_need_asst_M,C06_Total_No_need_asst_F,C06_Total_Need_asst_ns_M,C06_Total_Need_asst_ns_F,C06_Total_T_M,C06_Total_T_F,C06_Total_T_P,C11_0_4_Need_asst_M,C11_0_4_Need_asst_F,C11_0_4_No_need_asst_M,C11_0_4_No_need_asst_F,C11_0_4_Need_asst_ns_M,C11_0_4_Need_asst_ns_F,C11_0_4_T_M,C11_0_4_T_F,C11_0_4_T_P,C11_5_14_Need_asst_M,C11_5_14_Need_asst_F,C11_5_14_No_need_asst_M,C11_5_14_No_need_asst_F,C11_5_14_Need_asst_ns_M,C11_5_14_Need_asst_ns_F,C11_5_14_T_M,C11_5_14_T_F,C11_5_14_T_P,C11_15_19_Need_asst_M,C11_15_19_Need_asst_F,C11_15_19_No_need_asst_M,C11_15_19_No_need_asst_F,C11_15_19_Need_asst_ns_M,C11_15_19_Need_asst_ns_F,C11_15_19_T_M,C11_15_19_T_F,C11_15_19_T_P,C11_20_24_Need_asst_M,C11_20_24_Need_asst_F,C11_20_24_No_need_asst_M,C11_20_24_No_need_asst_F,C11_20_24_Need_asst_ns_M,C11_20_24_Need_asst_ns_F,C11_20_24_T_M,C11_20_24_T_F,C11_20_24_T_P,C11_25_34_Need_asst_M,C11_25_34_Need_asst_F,C11_25_34_No_need_asst_M,C11_25_34_No_need_asst_F,C11_25_34_Need_asst_ns_M,C11_25_34_Need_asst_ns_F,C11_25_34_T_M,C11_25_34_T_F,C11_25_34_T_P,C11_35_44_Need_asst_M,C11_35_44_Need_asst_F,C11_35_44_No_need_asst_M,C11_35_44_No_need_asst_F,C11_35_44_Need_asst_ns_M,C11_35_44_Need_asst_ns_F,C11_35_44_T_M,C11_35_44_T_F,C11_35_44_T_P,C11_45_54_Need_asst_M,C11_45_54_Need_asst_F,C11_45_54_No_need_asst_M,C11_45_54_No_need_asst_F,C11_45_54_Need_asst_ns_M,C11_45_54_Need_asst_ns_F,C11_45_54_T_M,C11_45_54_T_F,C11_45_54_T_P,C11_55_64_Need_asst_M,C11_55_64_Need_asst_F,C11_55_64_No_need_asst_M,C11_55_64_No_need_asst_F,C11_55_64_Need_asst_ns_M,C11_55_64_Need_asst_ns_F,C11_55_64_T_M,C11_55_64_T_F,C11_55_64_T_P,C11_65_74_Need_asst_M,C11_65_74_Need_asst_F,C11_65_74_No_need_asst_M,C11_65_74_No_need_asst_F,C11_65_74_Need_asst_ns_M,C11_65_74_Need_asst_ns_F,C11_65_74_T_M,C11_65_74_T_F,C11_65_74_T_P,C11_75_84_Need_asst_M,C11_75_84_Need_asst_F,C11_75_84_No_need_asst_M,C11_75_84_No_need_asst_F,C11_75_84_Need_asst_ns_M,C11_75_84_Need_asst_ns_F,C11_75_84_T_M,C11_75_84_T_F,C11_75_84_T_P,C11_85o_Need_asst_M,C11_85o_Need_asst_F
1,2384,1320,195264,184697,18870,17896,216514,203914,420434,10701,5481,412566,395759,27808,26181,451071,427415,878484,3759,2376,208647,200733,13173,11176,225577,214291,439863,2803,2042,196059,196988,19316,14644,218178,213675,431855,5802,4699,393688,416640,39110,31105,438598,452444,891043,9108,7967,425971,453300,33916,27585,468994,488847,957841,13175,12966,404647,423392,27794,22365,445616,458722,904334,19956,16458,318987,325314,21211,17631,360149,359399,719546,17525,19367,194059,206772,13920,13682,225505,239816,465325,25115,41935,106181,130535,10915,14118,142213,186585,328797,13921,39387,18556,29532,3551,6705,36034,75625,111653,124251,153996,2874627,2963656,229577,203078,3228451,3320726,6549174,2915,1692,215849,206291,16579,15409,235335,223400,458736,14920,6865,410884,396257,23435,21421,449234,424538,873778,5294,3083,210844,202131,12091,9980,228225,215190,443415,3754,2617,206183,207277,17017,12834,226956,222735,449684,6722,5711,421865,443617,35718,27862,464305,477188,941495,9733,9504,434019,463970,30057,24346,473804,497826,971627,15466,16759,424955,444895,26783,21592,467204,483242,950453,23744,22845,355069,369342,21324,17967,400129,410158,810293,24114,24428,226610,238902,14359,13271,265087,276600,541688,27554,43113,113430,130948,9711,11992,150698,186058,336754,19321,48208
2,1664,988,142448,136479,12551,11801,156664,149270,305939,8545,4252,304131,292170,18184,17164,330864,313592,644447,2944,1845,159375,153762,9254,7994,171578,163607,335183,2186,1750,156069,156143,12878,9693,171130,167582,338711,4558,3838,305221,320777,24009,19471,333795,344085,677880,6756,6397,331562,356227,21982,18420,360299,381052,741352,8859,9557,306384,321776,18037,14899,333284,346234,679517,13636,12401,235846,246033,14107,12460,263586,270899,534487,12957,15191,143120,153881,10054,10335,166127,179400,345528,18777,31595,78415,96002,8828,11893,106018,139487,245510,10576,28958,13313,21292,3182,6544,27075,56802,83872,91467,116766,2175891,2254553,153061,140684,2420415,2512009,4932422,2234,1218,163211,155582,11656,10833,177098,167636,344733,11882,5418,307913,298066,15901,14878,335694,318365,654062,4283,2473,164462,158634,8260,7222,177010,168334,345338,2893,2024,175392,173124,12402,9269,190684,184422,375108,5231,4584,346750,359884,25097,19333,377081,383800,760878,7557,7710,348763,372895,20767,16933,377081,397535,774615,10556,12139,326908,344407,17736,14732,355201,371274,726475,16032,16871,268023,283766,14170,12391,298227,313023,611249,17622,18871,167282,178619,10001,9831,194910,207318,402224,21457,34078,84529,97890,7383,9026,113371,140987,254360,14397,35968
3,1316,878,119839,113686,11010,10339,132171,124911,257076,7626,3823,256541,247478,17548,16447,281716,267745,549461,2674,1614,126712,123243,8791,7265,138175,132125,270300,1994,1445,121275,123570,11971,8648,135243,133663,268905,3825,3048,233223,246299,21364,15843,258408,265190,523600,5743,5015,254723,274423,19941,15723,280412,295155,575567,8026,7320,240086,252839,17641,13266,265749,273435,539185,13060,9292,194283,196631,13520,10772,220854,216694,437547,9679,9359,111153,113080,8556,7601,129383,130039,259428,12887,19873,54647,64596,6556,8256,74087,92717,166808,7375,18835,9292,13776,2517,4866,19179,37473,56657,74194,80509,1721771,1769613,139413,119025,1935378,1969151,3904531,1813,1127,140629,133564,10784,9977,153228,144670,297895,10298,4935,269878,261572,16345,14942,296519,281451,577967,3862,2318,137886,134057,8684,7116,150428,143487,293919,2558,1763,133041,136104,11972,8408,147568,146279,293845,4554,3740,262714,276660,23303,16425,290581,296830,587406,6331,6223,276604,294996,21141,15450,304085,316670,620749,9286,9732,262295,277142,18727,13696,290313,300571,590885,14916,12746,219806,228055,14490,11076,249210,251881,501089,14952,13159,136892,140799,9017,7822,160860,161785,322643,14332,20922,60569,67890,5893,6940,80789,95749,176544,9748,22719
4,582,376,40927,38960,3374,3116,44882,42455,87332,3014,1556,90907,87989,5200,4830,99119,94375,193494,1069,704,48321,45925,2606,2132,51999,48760,100757,822,591,46947,46326,3169,2255,50933,49171,100106,1586,1320,85800,87182,5629,4233,93015,92727,185748,2706,2505,99743,103553,5966,4597,108412,110647,219062,3550,3434,98109,102670,5154,3969,106817,110075,216887,5118,4058,78659,82850,3765,3377,87541,90282,177822,3886,4655,48529,52528,2733,2770,55148,59948,115099,6341,10856,28545,35569,2591,3527,37481,49954,87436,3813,10849,5118,8182,928,1700,9861,20739,30594,32498,40904,671606,691732,41104,36490,745209,769131,1514340,790,443,45427,43730,2922,2830,49137,47000,96143,4089,1892,89412,87061,4326,4010,97827,92962,190790,1345,849,49344,47406,2400,1906,53084,50167,103248,1051,728,49799,48726,3126,2150,53976,51606,105588,1851,1584,93560,95213,5903,4211,101319,101011,202321,2765,2715,99061,102209,5551,4080,107372,109001,216374,4119,4269,101790,105527,5276,3958,111189,113752,224945,5867,5431,87748,92960,4124,3480,97737,101870,199607,5339,5583,56010,60789,2772,2713,64118,69085,133202,6745,11034,29616,34129,2077,2590,38441,47753,86193,5247,13365
5,642,373,57244,54845,5994,5718,63876,60935,124812,3272,1692,126247,120726,10215,9473,139730,131891,271622,1083,680,65656,63122,5142,4308,71879,68109,139994,798,633,62310,61118,6620,4531,69727,66289,136019,1529,1319,116472,120788,12334,8998,130329,131102,261434,2371,2051,132232,138624,12116,9241,146725,149921,296643,3121,3216,125139,130478,10136,7610,138397,141304,279698,5051,3831,96185,95507,7194,5542,108429,104881,213305,4065,4272,53989,56545,4212,3860,62268,64670,126940,5716,9594,27140,31916,3076,3694,35924,45209,81133,3337,9766,4508,7017,989,1870,8828,18652,27477,30978,37431,867115,880692,78031,64841,976122,982963,1959087,824,493,71021,67270,6010,5649,77856,73409,151263,3976,1935,135273,130441,8835,8351,148084,140728,288809,1419,821,70257,67030,4795,3887,76467,71737,148209,1031,689,73350,71456,7809,4677,82190,76823,159011,1681,1493,147215,146505,17066,10138,165967,158133,324101,2329,2374,148407,151781,14304,9067,165038,163220,328256,3314,3714,140800,143174,11683,7540,155802,154428,310229,5336,5014,113726,116156,8258,5945,127317,127105,254424,5495,5294,66120,67751,4221,3664,75832,76706,152543,6314,9944,30670,35187,2727,3280,39707,48410,88116,4421,11176
6,163,99,13475,12688,1169,1072,14803,13860,28662,866,412,30926,29596,1818,1744,33608,31753,65364,330,211,15616,15040,913,712,16859,15962,32821,254,176,13314,13585,915,694,14489,14457,28945,520,497,23990,26173,1548,1316,26056,27981,54040,949,857,29713,32217,1695,1456,32363,34534,66898,1393,1318,31311,33129,1591,1284,34294,35734,70028,2043,1660,25759,26554,1348,1206,29155,29429,58580,1357,1490,15840,16689,1023,1047,18226,19227,37454,1820,3140,8213,10052,819,1105,10851,14298,25152,1046,3037,1355,2182,290,630,2688,5848,8539,10752,12910,209500,217920,13131,12270,233383,243100,476481,233,135,14788,14073,998,957,16016,15164,31184,1193,562,29551,28698,1374,1316,32112,30577,62688,449,262,15687,14961,702,618,16840,15844,32687,308,227,13777,13785,837,637,14922,14650,29578,614,532,24673,26894,1450,1117,26739,28538,55283,942,1048,28700,31470,1482,1217,31124,33727,64852,1594,1549,31705,33963,1536,1219,34836,36727,71555,2458,2268,29019,30418,1466,1190,32942,33877,66823,2136,1968,18928,19716,1022,988,22081,22674,44764,2065,3125,8766,10172,703,853,11537,14154,25697,1403,3639
7,64,34,6984,6736,1065,969,8121,7749,15866,231,134,14223,13491,1938,1719,16398,15346,31740,85,49,6427,5994,950,779,7457,6827,14283,77,64,6579,6466,1075,828,7726,7355,15084,167,122,13586,14345,2131,1709,15886,16175,32056,232,204,13671,13514,2028,1513,15930,15231,31152,286,332,11579,11285,1750,1240,13617,12859,26475,473,411,7831,6491,1076,675,9375,7578,16953,346,361,2741,2211,406,261,3488,2833,6315,258,392,766,679,142,135,1163,1207,2371,91,207,104,144,21,29,218,380,594,2307,2318,84489,81356,12576,9854,99372,93532,192899,78,38,7746,7345,1010,905,8831,8286,17119,348,167,14343,13916,1695,1545,16390,15630,32022,118,68,6728,6190,1010,703,7854,6970,14819,97,63,7574,7020,1312,775,8981,7854,16840,169,162,15554,16085,2832,1753,18556,18003,36556,247,265,14209,14483,2305,1651,16760,16395,33161,384,351,12460,12282,1801,1302,14637,13936,28577,545,547,9283,8242,1275,856,11105,9642,20754,480,479,3743,2999,496,366,4722,3839,8567,348,451,872,814,197,161,1410,1428,2833,108,256
8,113,82,9551,9138,646,600,10311,9818,20126,597,289,19677,19339,960,948,21232,20575,41803,150,141,11454,10785,607,448,12211,11376,23584,137,121,13073,12616,929,712,14133,13447,27578,318,279,22925,23967,1577,1238,24817,25482,50301,366,411,22251,23562,1277,1048,23892,25026,48918,403,520,20664,22450,1036,921,22108,23896,46006,566,560,15519,16144,768,599,16851,17301,34154,533,652,7283,7929,417,421,8239,9003,17245,854,1431,3578,4380,278,349,4707,6159,10868,524,1255,543,883,88,154,1154,2293,3446,4569,5750,146520,151193,8574,7431,159654,164382,324034,134,66,11637,10878,618,514,12388,11458,23843,741,366,20246,19629,836,680,21820,20679,42496,250,135,11519,10998,592,500,12363,11634,23998,154,138,14330,14113,1154,865,15638,15109,30752,335,323,26864,27596,1794,1325,28997,29247,58248,407,458,24437,25367,1301,962,26151,26783,52928,537,685,21672,23244,1070,804,23277,24729,48008,643,731,17443,18602,763,608,18841,19944,38784,670,776,9299,10048,453,423,10422,11246,21663,824,1355,4093,4749,278,366,5196,6468,11666,632,1610
9,0,0,70,82,0,9,72,86,154,3,0,184,187,10,11,201,194,396,0,0,56,57,11,0,66,56,121,0,0,69,61,18,7,86,67,155,3,0,126,135,25,3,155,133,289,4,5,194,187,16,7,216,199,412,3,4,188,172,12,0,201,177,376,10,8,167,81,9,5,182,89,276,4,11,60,30,8,0,73,36,103,4,3,5,5,0,0,5,12,16,3,4,4,0,0,0,10,4,11,34,26,1122,986,106,35,1261,1052,2320,0,0,65,56,8,6,79,66,142,3,4,171,166,9,14,180,180,360,3,0,70,51,36,3,107,51,164,3,0,60,65,135,3,202,68,273,3,0,150,139,427,8,579,143,723,0,0,147,158,129,11,275,177,445,0,3,207,181,31,4,241,189,426,7,4,192,116,14,11,210,130,344,13,3,62,38,9,0,78,45,120,3,7,10,11,0,0,11,18,32,5,0
