STE_CODE_2016,C11_850_949_Oth_lan_typ,C11_850_949_LLT_NS,C11_850_949_Tot,C11_950_over_REA,C11_950_over_ST_HA,C11_950over_Pe_no_sa_ho,C11_950ov_H_co_op_c_ch_gr,C11_950over_Oth_lan_typ,C11_950over_LLT_NS,C11_950_over_Tot,C11_R_NS_REA,C11_R_NS_ST_HA,C11_R_NS_Pe_no_sa_ho,C11_R_NS_H_co_op_c_ch_gr,C11_R_NS_Oth_lan_typ,C11_R_NS_Land_typ_ns,C11_Rent_not_statd_Tot,C11_Tot_REA,C11_Tot_ST_HA,C11_T_Pe_no_sa_ho,C11_Tot_Ho_co_op_co_ch_gr,C11_Tot_Oth_lan_typ,C11_Tot_LLT_NS,C11_T_T,C16_0_74_REA,C16_0_74_ST_HA,C16_0_74_Per_no_sa_ho,C16_0_74_Ho_co_op_c_c_g,C16_0_74_Oth_land_typ,C16_0_74_LLT_NS,C16_0_74_Tot,C16_75_99_REA,C16_75_99_ST_HA,C16_75_99_Pe_no_sa_ho,C16_75_99_H_c_op_c_c_gr,C16_75_99_Oth_lan_typ,C16_75_99_Lan_type_ns,C16_75_99_Tot,C16_100_149_REA,C16_100_149_ST_HA,C16_100_149_Pe_no_sa_ho,C16_100_149_H_c_o_c_c_g,C16_100_149_Ot_lan_ty,C16_100_149_Lan_typ_ns,C16_100_149_Tot,C16_150_199_REA,C16_150_199_ST_HA,C16_150_199_Pe_no_sa_ho,C16_150_199_H_c_o_c_c_g,C16_150_199_Ot_lan_ty,C16_150_199_Lan_ty_ns,C16_150_199_Tot,C16_200_224_REA,C16_200_224_ST_HA,C16_200_224_Pe_no_sa_ho,C16_200_224_H_c_o_c_c_g,C16_200_224_Ot_lan_ty,C16_200_224_Lan_ty_ns,C16_200_224_Tot,C16_225_274_REA,C16_225_274_ST_HA,C16_225_274_Pe_no_sa_ho,C16_225_274_H_c_o_c_c_g,C16_225_274_Ot_la_typ,C16_225_274_Lan_ty_ns,C16_225_274_Tot,C16_275_349_REA,C16_275_349_ST_HA,C16_275_349_Pe_no_sa_ho,C16_275_349_H_c_o_c_c_g,C16_275_349_Ot_lan_ty,C16_275_349_Lan_ty_ns,C16_275_349_Tot,C16_350_449_REA,C16_350_449_ST_HA,C16_350_449_Pe_no_sa_ho,C16_350_449_H_c_o_c_c_g,C16_350_449_Ot_lan_ty,C16_350_449_Lan_ty_ns,C16_350_449_Tot,C16_450_549_REA,C16_450_549_ST_HA,C16_450_549_Pe_no_sa_ho,C16_450_549_H_c_o_c_c_g,C16_450_549_Oth_lan_typ,C16_450_549_Lan_ty_ns,C16_450_549_Tot,C16_550_649_REA,C16_550_649_ST_HA,C16_550_649_Pe_no_sa_ho,C16_550_649_H_c_o_c_c_g,C16_550_649_Ot_lan_ty,C16_550_649_Lan_ty_ns,C16_550_649_Tot,C16_650_749_REA,C16_650_749_ST_HA,C16_650_749_Pe_no_sa_ho,C16_650_749_H_co_op_c_ch_gr,C16_650_749_Oth_lan_typ,C16_650_749_LLT_NS,C16_650_749_Tot,C16_750_849_REA,C16_750_849_ST_HA,C16_750_849_Pe_no_sa_ho,C16_750_849_H_co_op_c_ch_gr,C16_750_849_Oth_lan_typ,C16_750_849_LLT_NS,C16_750_849_Tot,C16_850_950_REA,C16_850_949_ST_HA,C16_850_949_Pe_no_sa_ho,C16_850_949_H_co_op_c_ch_gr,C16_850_949_Oth_lan_typ,C16_850_949_LLT_NS,C16_850_949_Tot,C16_950_over_REA,C16_950_over_ST_HA,C16_950over_Pe_no_sa_ho,C16_950ov_H_co_op_c_ch_gr,C16_950over_Oth_lan_typ,C16_950over_LLT_NS,C16_950_over_Tot,C16_R_NS_REA,C16_R_NS_ST_HA,C16_R_NS_Pe_no_sa_ho,C16_R_NS_H_co_op_c_ch_gr,C16_R_NS_Oth_lan_typ,C16_R_NS_Land_typ_ns,C16_Rent_not_statd_Tot,C16_Tot_REA,C16_Tot_ST_HA,C16_T_Pe_no_sa_ho,C16_Tot_Ho_co_op_co_ch_gr,C16_Tot_Oth_lan_typ,C16_Tot_LLT_NS,C16_T_T
1,74,26,5716,8714,43,2806,20,344,113,12040,7459,6954,7203,1638,3079,1509,27835,436684,109556,147336,17468,29728,16054,756830,1356,5503,12752,1234,4057,9204,34107,382,4751,865,1217,554,113,7887,3908,37701,6086,2680,2049,549,52962,13734,19947,10145,4313,2627,560,51330,12337,8938,9726,1498,1551,302,34352,29692,7904,13126,1535,4175,380,56817,70467,7864,20984,1528,3094,577,104520,138648,5007,26329,1232,3125,663,174996,102774,1242,16276,409,1685,387,122776,62744,390,9308,149,817,185,73593,35283,201,5544,114,460,124,41728,18131,94,3383,58,265,56,21996,10165,47,1943,35,158,31,12382,17490,46,4275,17,461,66,22357,8459,5927,7588,1681,2831,1234,27717,525574,105551,148339,17712,27902,14443,839525
2,46,16,1809,4185,27,1351,7,234,58,5862,6386,3784,6023,788,2044,1161,20192,321188,55282,110328,9055,17896,11851,525604,1156,2844,10867,650,2115,6954,24588,445,2733,1007,625,366,84,5257,3919,20894,6285,1564,1457,414,34531,12652,9096,10335,2378,1761,368,36595,13124,4352,8617,1157,1234,224,28700,42456,3790,13767,1228,2354,369,63959,114226,3190,22957,837,3001,583,144786,122118,1482,17088,375,1637,436,143130,49274,289,7735,153,588,175,58211,22424,111,3608,56,303,68,26572,10114,62,1770,28,154,32,12165,4999,38,1085,24,102,17,6263,2592,26,563,7,59,15,3268,6034,22,1572,8,228,48,7916,7700,3318,6334,924,1833,920,21040,413241,52239,113598,10009,17203,10692,616985
3,59,4,1103,2201,23,1067,10,374,42,3711,4883,3480,4885,683,3468,1207,18596,292533,54302,123055,9838,35405,12179,527303,850,3758,7257,553,6828,6201,25438,250,4723,595,439,997,78,7086,2248,17873,4808,1322,2127,288,28668,9508,11059,8374,2121,2711,389,34161,11603,3719,8929,771,1841,268,27132,35236,4349,14676,1041,5163,410,60874,88041,3328,24960,893,3824,682,121730,125190,1071,26688,713,2730,661,157055,49211,162,9674,162,900,192,60303,16377,63,3464,55,398,53,20411,6437,48,1457,24,232,23,8224,2814,32,706,9,156,12,3734,1351,21,356,7,81,4,1822,2037,19,864,6,250,27,3202,5146,2989,4480,720,2779,858,16974,356317,53215,117293,8832,31019,10146,576822
4,15,0,168,314,16,274,8,67,22,700,1012,2437,1832,608,868,394,7139,67915,38234,49365,6911,9431,4125,175989,254,2289,3260,416,1171,2214,9602,126,6412,411,758,207,123,8040,1428,10513,2987,1306,1030,186,17447,4741,6042,4960,1899,1101,177,18918,4555,2175,4550,633,633,90,12640,15715,2391,8436,656,1378,180,28751,28744,1588,12522,412,1238,187,44691,19353,422,7022,122,501,91,27508,4907,62,1697,45,133,26,6861,1493,34,534,12,106,11,2194,614,22,226,15,63,7,943,278,29,130,6,46,0,482,142,22,59,3,26,3,255,208,77,172,5,65,8,535,1268,1882,1791,590,817,314,6662,83830,33953,48747,6877,8510,3621,185535
5,73,8,913,2216,14,910,0,468,37,3638,1985,2137,2655,420,2287,544,10030,104861,32241,70182,5212,20530,5949,238979,425,2606,4738,511,5086,3649,17020,78,2204,328,391,531,52,3582,571,11060,2444,848,1943,147,17008,1650,6095,3568,1333,1640,152,14434,2096,2376,3496,313,1030,85,9393,7173,2353,5769,288,1749,109,17443,25370,1740,13189,280,1900,201,42679,47538,703,19620,203,2027,282,70375,21090,143,7700,60,725,103,29824,7295,56,2399,22,225,18,10008,3135,38,1001,13,136,20,4350,1716,21,528,6,92,9,2383,888,10,255,3,63,9,1232,1583,22,693,4,218,14,2536,1974,1962,2578,368,2005,352,9233,122593,31396,68300,4639,19365,5202,251495
6,0,0,21,57,6,83,0,19,4,180,267,462,515,90,296,101,1726,18583,10399,16999,1491,2930,1534,51939,95,648,1148,111,562,916,3467,57,1336,182,138,81,28,1815,659,2824,1303,503,287,75,5655,2605,2182,2418,594,368,106,8273,2516,1052,2339,212,248,52,6412,5686,540,3662,96,362,64,10416,6332,194,3583,77,343,40,10568,3143,68,1437,44,121,17,4821,797,25,338,11,20,6,1199,223,12,113,0,15,0,363,59,10,43,0,11,0,130,32,3,20,0,5,0,60,7,3,9,0,0,3,20,28,24,49,3,5,0,103,309,476,504,104,275,84,1760,22553,9383,17149,1894,2700,1398,55066
7,17,0,157,71,0,83,0,91,0,241,197,770,273,150,826,82,2295,8929,7612,5539,1815,6756,1015,31666,116,2851,301,715,1930,779,6705,6,1230,12,96,275,11,1633,34,1294,118,165,348,14,1975,76,702,164,89,329,15,1374,126,203,217,75,193,3,815,364,257,289,35,1033,10,1991,1222,161,572,22,438,18,2436,2917,166,1230,21,269,24,4634,3054,118,1208,4,186,17,4592,2038,28,613,4,85,8,2770,1069,9,279,0,48,10,1415,486,5,116,0,32,3,641,202,6,55,0,16,0,276,238,3,95,0,82,3,417,296,834,256,168,1064,81,2700,12246,7886,5530,1396,6331,988,34376
8,9,0,171,199,3,77,0,37,5,318,213,539,293,62,134,67,1301,17430,9482,10525,601,2024,523,40582,50,560,505,57,73,328,1567,6,1297,22,46,12,7,1386,57,2577,162,94,51,19,2957,149,1270,342,126,52,9,1946,149,529,280,41,84,8,1097,607,610,444,62,489,7,2221,3352,550,1297,113,682,10,6009,9637,576,3423,45,430,41,14152,5756,142,2226,12,199,22,8354,2235,21,720,6,70,7,3057,703,10,293,3,28,0,1043,307,4,125,3,11,0,460,162,0,66,0,10,0,234,228,19,104,3,19,3,376,323,503,320,46,113,45,1355,23727,8660,10334,662,2330,508,46219
9,0,0,0,0,0,7,0,0,0,8,0,19,6,12,16,3,57,29,157,78,47,106,18,439,3,21,27,18,71,35,168,0,14,8,0,13,0,31,16,14,35,0,7,0,73,21,31,32,0,0,0,93,10,23,17,0,0,0,44,16,0,5,0,3,0,34,9,5,12,0,12,0,40,9,3,13,0,3,0,28,5,0,4,0,11,0,17,0,0,0,0,0,0,3,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,6,5,14,9,24,0,64,99,116,179,31,145,40,611
