STE_CODE_2016,C06_CFNC_BF_N,C06_CFNC_BF_1_149,C06_CFNC_BF_150_299,C06_CFNC_BF_300_399,C06_CFNC_BF_400_499,C06_CFNC_BF_500_649,C06_CFNC_BF_650_799,C06_CFNC_BF_800_999,C06_CFNC_BF_1000_1499,C06_CFNC_BF_1500_1999,C06_CFNC_BF_2000_2499,C06_CFNC_BF_2500_2999,C06_CFNC_BF_3000_3999,C06_CFNC_BF_4000m,C06_CFNC_BF_Ns,C06_CFNC_BF_T,C06_CFNC_BPT_N,C06_CFNC_BPT_1_149,C06_CFNC_BPT_150_299,C06_CFNC_BPT_300_399,C06_CFNC_BPT_400_499,C06_CFNC_BPT_500_649,C06_CFNC_BPT_650_799,C06_CFNC_BPT_800_999,C06_CFNC_BPT_1000_1499,C06_CFNC_BPT_1500_1999,C06_CFNC_BPT_2000_2499,C06_CFNC_BPT_2500_2999,C06_CFNC_BPT_3000_3999,C06_CFNC_BPT_4000m,C06_CFNC_BPT_Ns,C06_CFNC_BPT_T,C06_CFNC_1F1P_N,C06_CFNC_1F1P_1_149,C06_CFNC_1F1P_150_299,C06_CFNC_1F1P_300_399,C06_CFNC_1F1P_400_499,C06_CFNC_1F1P_500_649,C06_CFNC_1F1P_650_799,C06_CFNC_1F1P_800_999,C06_CFNC_1F1P_1000_1499,C06_CFNC_1F1P_1500_1999,C06_CFNC_1F1P_2000_2499,C06_CFNC_1F1P_2500_2999,C06_CFNC_1F1P_3000_3999,C06_CFNC_1F1P_4000m,C06_CFNC_1F1P_Ns,C06_CFNC_1F1P_T,C06_CFNC_1E1A_N,C06_CFNC_1E1A_1_149,C06_CFNC_1E1A_150_299,C06_CFNC_1E1A_300_399,C06_CFNC_1E1A_400_499,C06_CFNC_1E1A_500_649,C06_CFNC_1E1A_650_799,C06_CFNC_1E1A_800_999,C06_CFNC_1E1A_1000_1499,C06_CFNC_1E1A_1500_1999,C06_CFNC_1E1A_2000_2499,C06_CFNC_1E1A_2500_2999,C06_CFNC_1E1A_3000_3999,C06_CFNC_1E1A_4000m,C06_CFNC_1E1A_Ns,C06_CFNC_1E1A_T,C06_CFNC_1F1NW_N,C06_CFNC_1F1NW_1_149,C06_CFNC_1F1NW_150_299,C06_CFNC_1F1NW_300_399,C06_CFNC_1F1NW_400_499,C06_CFNC_1F1NW_500_649,C06_CFNC_1F1NW_650_799,C06_CFNC_1F1NW_800_999,C06_CFNC_1F1NW_1000_1499,C06_CFNC_1F1NW_1500_1999,C06_CFNC_1F1NW_2000_2499,C06_CFNC_1F1NW_2500_2999,C06_CFNC_1F1NW_3000_3999,C06_CFNC_1F1NW_4000m,C06_CFNC_1F1NW_Ns,C06_CFNC_1F1NW_T,C06_CFNC_1P1NW_N,C06_CFNC_1P1NW_1_149,C06_CFNC_1P1NW_150_299,C06_CFNC_1P1NW_300_399,C06_CFNC_1P1NW_400_499,C06_CFNC_1P1NW_500_649,C06_CFNC_1P1NW_650_799,C06_CFNC_1P1NW_800_999,C06_CFNC_1P1NW_1000_1499,C06_CFNC_1P1NW_1500_1999,C06_CFNC_1P1NW_2000_2499,C06_CFNC_1P1NW_2500_2999,C06_CFNC_1P1NW_3000_3999,C06_CFNC_1P1NW_4000m,C06_CFNC_1P1NW_Ns,C06_CFNC_1P1NW_T,C06_CFNC_1A1NW_N,C06_CFNC_1A1NW_1_149,C06_CFNC_1A1NW_150_299,C06_CFNC_1A1NW_300_399,C06_CFNC_1A1NW_400_499,C06_CFNC_1A1NW_500_649,C06_CFNC_1A1NW_650_799,C06_CFNC_1A1NW_800_999,C06_CFNC_1A1NW_1000_1499,C06_CFNC_1A1NW_1500_1999,C06_CFNC_1A1NW_2000_2499,C06_CFNC_1A1NW_2500_2999,C06_CFNC_1A1NW_3000_3999,C06_CFNC_1A1NW_4000_m,C06_CFNC_1A1NW_Ns,C06_CFNC_1A1NW_T,C06_CFNC_BA_N,C06_CFNC_BA_1_149,C06_CFNC_BA_150_299,C06_CFNC_BA_300_399,C06_CFNC_BA_400_499,C06_CFNC_BA_500_649,C06_CFNC_BA_650_799,C06_CFNC_BA_800_999,C06_CFNC_BA_1000_1499,C06_CFNC_BA_1500_1999,C06_CFNC_BA_2000_2499,C06_CFNC_BA_2500_2999,C06_CFNC_BA_3000_3999,C06_CFNC_BA_4000_m,C06_CFNC_BA_Ns,C06_CFNC_BA_T,C06_CFNC_BNW_N,C06_CFNC_BNW_1_149,C06_CFNC_BNW_150_299,C06_CFNC_BNW_300_399,C06_CFNC_BNW_400_499,C06_CFNC_BNW_500_649,C06_CFNC_BNW_650_799,C06_CFNC_BNW_800_999,C06_CFNC_BNW_1000_1499,C06_CFNC_BNW_1500_1999,C06_CFNC_BNW_2000_2499,C06_CFNC_BNW_2500_2999,C06_CFNC_BNW_3000_3999,C06_CFNC_BNW_4000m,C06_CFNC_BNW_Ns,C06_CFNC_BNW_T,C06_CFNC_LFns_N,C06_CFNC_LFns_1_149,C06_CFNC_LFns_150_299,C06_CFNC_LFns_300_399,C06_CFNC_LFns_400_499,C06_CFNC_LFns_500_649,C06_CFNC_LFns_650_799,C06_CFNC_LFns_800_999,C06_CFNC_LFns_1000_1499,C06_CFNC_LFns_1500_1999,C06_CFNC_LFns_2000_2499,C06_CFNC_LFns_2500_2999,C06_CFNC_LFns_3000_3999,C06_CFNC_LFns_4000m,C06_CFNC_LFns_Ns,C06_CFNC_LFns_T,C06_CFNC_T_N,C06_CFNC_T_1_149,C06_CFNC_T_150_299,C06_CFNC_T_300_399,C06_CFNC_T_400_499,C06_CFNC_T_500_649,C06_CFNC_T_650_799,C06_CFNC_T_800_999,C06_CFNC_T_1000_1499,C06_CFNC_T_1500_1999,C06_CFNC_T_2000_2499,C06_CFNC_T_2500_2999,C06_CFNC_T_3000_3999,C06_CFNC_T_4000_m,C06_CFNC_T_Ns,C06_CFNC_T_T,C06_CF_BFT_N,C06_CF_BFT_1_149,C06_CF_BFT_150_299,C06_CF_BFT_300_399,C06_CF_BFT_400_499,C06_CF_BFT_500_649,C06_CF_BFT_650_799,C06_CF_BFT_800_999,C06_CF_BFT_1000_1499,C06_CF_BFT_1500_1999,C06_CF_BFT_2000_2499,C06_CF_BFT_2500_2999,C06_CF_BFT_3000_3999,C06_CF_BFT_4000m,C06_CF_BFT_Ns,C06_CF_BFT_T,C06_CF_BPT_N,C06_CF_BPT_1_149,C06_CF_BPT_150_299,C06_CF_BPT_300_399,C06_CF_BPT_400_499,C06_CF_BPT_500_649,C06_CF_BPT_650_799,C06_CF_BPT_800_999
1,848,420,148,147,820,2469,672,1950,33259,29895,28787,17717,17691,8293,2308,145426,158,316,215,309,1053,3256,961,2077,6847,2207,1314,729,774,424,444,21079,291,175,148,270,414,2433,2394,5331,26374,13530,7768,4541,5208,1287,1350,71528,95,71,60,106,161,651,410,766,4147,2543,1965,1265,1162,412,712,14520,357,191,237,699,505,5901,8529,7897,16829,6197,2073,5258,1692,592,2642,59596,195,610,1101,1878,2429,7593,3584,3142,6460,1870,821,806,681,368,1019,32564,89,90,138,228,299,997,774,710,1610,516,232,320,148,64,573,6790,99,49,18,21,170,355,97,219,1479,832,711,459,498,241,512,5752,5871,8705,3383,2443,81764,47121,9580,10376,28718,4855,2575,1779,1414,1397,8062,218046,281,367,123,114,2442,1412,391,346,1138,272,127,86,72,79,36036,43280,8273,11003,5563,6232,90058,72190,27398,32820,126869,62726,46359,32950,29349,13143,53658,618587,556,376,218,199,579,1904,982,2124,25533,29101,28474,20548,20852,12179,18108,161742,105,128,151,224,404,1915,1171,2344
2,528,332,109,115,649,1959,534,1568,29159,26833,23241,11911,10598,4146,2057,113753,110,241,169,246,761,2667,803,1591,5420,1627,877,433,498,281,350,16083,208,133,102,203,358,2112,2148,4694,23235,11374,5766,3014,3435,765,1346,58897,59,50,49,76,134,516,394,690,3576,2271,1607,855,701,255,585,11817,238,158,176,559,375,4744,6747,6461,12816,4107,1300,3584,1056,370,2258,44941,127,535,844,1378,1980,6029,2654,2471,4564,1228,485,543,422,220,863,24349,56,59,107,137,257,860,621,545,1156,330,116,206,77,41,484,5064,60,41,18,19,127,293,100,178,1294,800,549,298,311,158,403,4641,3882,6649,2201,1693,59223,33207,6748,7225,19297,3039,1681,1009,829,819,6379,153884,227,307,83,74,1909,1074,305,283,893,200,100,71,53,45,25852,31476,5505,8503,3863,4494,65774,53465,21046,25723,101410,51811,35732,21930,17988,7095,40568,464899,426,274,160,144,429,1490,871,1677,19623,22271,20679,13187,12676,6514,13863,114284,68,104,107,172,352,1415,982,1765
3,601,335,109,126,656,1928,567,1661,30741,24875,19300,8646,7104,2490,1870,101016,103,166,128,177,737,2245,586,1413,4677,1367,781,367,332,266,307,13656,207,141,97,188,302,1952,1849,4573,22684,10464,4984,2445,2378,616,1043,53925,42,43,31,70,106,426,296,572,3421,2060,1385,645,535,134,579,10356,201,129,160,492,373,3956,6188,5702,11892,3765,1139,2734,655,195,1887,39459,122,361,599,1080,1803,5103,2188,1986,3585,865,341,367,238,135,624,19390,55,47,72,128,189,622,532,477,1183,343,108,237,64,21,404,4479,67,37,20,18,110,207,69,163,1196,661,538,239,202,99,449,4074,2648,4105,1741,1382,47076,28967,5947,6616,17860,2592,1452,827,677,696,4867,127443,128,162,51,63,1343,815,223,177,671,157,83,48,38,43,26061,30049,4167,5519,3003,3733,52698,46208,18451,23336,97902,47148,30113,16560,12223,4691,38094,403856,326,236,120,148,307,1115,674,1468,18036,20767,18215,10645,8866,3889,9708,94524,52,74,85,107,235,1026,722,1401
4,210,117,34,47,216,708,186,613,10310,8895,6806,2980,1960,627,570,34288,36,75,65,78,301,952,284,614,1906,535,288,144,142,79,110,5616,79,47,38,54,132,810,843,1805,9353,4235,1879,853,867,204,369,21567,14,12,8,15,45,183,108,244,1462,817,444,206,159,45,180,3951,55,43,47,178,138,1466,2386,2156,4477,1319,406,812,254,88,588,14413,31,169,276,427,863,2362,985,846,1671,431,144,147,98,46,241,8734,20,25,33,52,90,275,216,233,435,125,32,57,24,5,132,1752,16,8,12,12,50,85,21,58,475,278,169,78,72,24,103,1458,829,1924,693,563,23522,14632,3220,3108,7446,973,512,269,234,244,2076,60242,60,96,17,16,686,436,91,79,269,57,36,17,12,16,9006,10890,1357,2518,1224,1434,26033,21913,8344,9753,37796,17670,10720,5559,3823,1375,13368,162907,112,82,63,37,133,427,265,489,5752,7079,6369,3748,2869,1263,3614,32304,12,36,44,53,147,550,307,608
5,258,97,29,29,209,663,205,613,11414,11876,10475,5155,4884,1496,820,48238,58,113,80,92,382,1096,318,702,2239,800,468,247,243,129,162,7129,91,50,37,64,112,761,750,1796,10213,5764,2980,1577,1719,387,525,26821,25,20,13,17,42,212,148,278,1621,1117,883,463,419,121,258,5626,109,55,74,192,147,1452,2494,2578,6138,2133,604,1978,433,121,914,19411,45,157,312,469,891,2413,1081,940,1853,486,192,242,180,93,336,9694,22,25,38,44,100,298,289,294,589,220,78,168,42,14,195,2428,32,16,9,5,45,118,39,75,652,417,316,173,196,58,195,2355,1268,1954,712,662,20470,13536,3116,3191,8078,1175,639,416,318,309,2242,58092,65,101,25,28,578,358,93,92,342,71,40,41,20,23,14652,16515,1969,2585,1322,1594,22983,20921,8529,10566,43143,24076,16667,10467,8465,2745,20294,196309,168,90,51,54,108,392,257,496,5776,7386,7775,5414,5041,2273,5074,40352,29,43,53,64,193,554,335,689
6,52,36,18,11,86,233,67,222,3438,2449,1706,680,439,122,133,9689,11,24,25,28,108,366,120,255,631,168,96,30,33,20,40,1959,18,9,18,38,38,316,323,697,3019,1213,537,208,213,61,148,6869,3,7,14,10,22,87,64,101,515,244,150,61,38,9,52,1385,18,20,28,61,57,569,896,756,1339,330,120,203,76,19,243,4731,20,54,97,174,402,976,372,281,611,115,42,33,31,13,91,3302,6,12,11,23,36,108,82,77,143,33,13,16,3,0,50,597,3,3,0,3,24,28,9,24,180,87,47,23,13,11,36,497,225,579,226,163,7972,4516,1070,1040,2335,290,122,83,71,63,726,19469,24,25,6,10,270,129,35,35,106,16,8,7,8,6,2984,3656,368,774,427,523,9013,7337,3035,3482,12314,4940,2842,1346,923,317,4502,52161,25,24,17,14,32,136,86,192,1890,2001,1732,950,601,239,1221,9153,3,8,14,13,47,203,126,226
7,20,6,6,0,26,77,22,64,1268,1413,1315,668,474,119,91,5575,3,12,11,3,85,65,15,52,112,61,37,13,10,3,14,497,0,0,6,4,8,47,43,87,610,420,229,130,129,28,34,1773,0,0,0,3,12,8,10,15,150,137,103,61,44,6,31,581,4,0,9,4,23,88,125,178,372,174,46,127,32,5,50,1240,3,4,34,23,94,104,50,41,91,27,10,10,10,0,22,518,0,4,4,3,21,17,20,17,43,23,5,9,3,3,14,193,0,6,0,0,8,8,4,6,51,45,42,23,23,4,27,242,65,92,66,30,730,327,129,133,267,38,27,13,6,10,78,1999,6,6,7,8,20,29,8,3,17,3,5,3,3,0,1394,1508,99,136,143,84,1018,764,416,594,2979,2348,1814,1069,733,176,1752,14126,10,12,9,4,29,64,22,67,724,1166,1201,850,644,233,536,5573,0,16,18,3,132,119,57,89
8,14,5,0,4,8,40,15,53,1179,1806,2559,1962,1677,590,73,9993,4,15,9,10,18,104,30,67,262,144,120,97,72,30,12,993,3,0,0,3,3,49,54,155,1061,831,595,452,426,98,41,3773,5,0,0,4,5,20,5,31,184,193,223,172,133,39,23,1027,10,3,3,19,9,126,225,243,892,535,278,414,209,35,62,3054,6,21,27,47,41,183,114,129,450,225,123,77,75,18,41,1564,0,0,3,3,6,25,20,26,89,53,37,24,23,5,16,334,4,0,0,0,0,5,0,5,46,61,73,57,42,24,13,332,93,185,73,57,1389,1125,617,745,1825,524,279,131,126,60,204,7441,4,12,3,6,47,31,19,12,43,11,8,10,0,0,1919,2116,139,234,126,159,1532,1703,1100,1470,6016,4387,4284,3398,2772,895,2400,30631,15,7,0,5,9,42,14,49,767,1327,2139,2096,2433,1402,1087,11399,0,0,0,4,4,63,23,51
9,0,0,0,0,0,0,0,4,4,6,11,8,6,3,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,9,9,4,0,3,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,13,3,8,0,0,0,0,0,0,30,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,17,5,0,7,3,0,0,0,0,0,4,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,0,3,0,3,21,15,13,16,34,18,14,14,12,3,22,183,0,0,0,0,0,0,0,3,7,11,19,6,3,0,9,55,0,0,0,0,0,3,0,0
