STE_CODE_2016,C16_Chr_Chi_nfd_0_14,C16_Chr_Chi_nfd_15_24,C16_Chr_Chi_nfd_25_34,C16_Chr_Chi_nfd_35_44,C16_Chr_Chi_nfd_45_54,C16_Chr_Chi_nfd_55_64,C16_Chr_Chi_nfd_65_74,C16_Chr_Chi_nfd_75_84,C16_Chr_Chi_nfd_85ov,C16_Chr_Chi_nfd_Tot,C16_Chr_Oth_Chi_0_14,C16_Chr_Oth_Chi_15_24,C16_Chr_Oth_Chi_25_34,C16_Chr_Oth_Chi_35_44,C16_Chr_Oth_Chi_45_54,C16_Chr_Oth_Chi_55_64,C16_Chr_Oth_Chi_65_74,C16_Chr_Oth_Chi_75_84,C16_Chr_Oth_Chi_85ov,C16_Chr_Oth_Chi_Tot,C16_Christ_Tot_0_14,C16_Christ_Tot_15_24,C16_Christ_Tot_25_34,C16_Christ_Tot_35_44,C16_Christ_Tot_45_54,C16_Christ_Tot_55_64,C16_Christ_Tot_65_74,C16_Christ_Tot_75_84,C16_Christ_Tot_85ov,C16_Christ_T_T,C16_Hinduism_0_14,C16_Hinduism_15_24,C16_Hinduism_25_34,C16_Hinduism_35_44,C16_Hinduism_45_54,C16_Hinduism_55_64,C16_Hinduism_65_74,C16_Hinduism_75_84,C16_Hinduism_85ov,C16_Hinduism_Tot,C16_Islam_0_14,C16_Islam_15_24,C16_Islam_25_34,C16_Islam_35_44,C16_Islam_45_54,C16_Islam_55_64,C16_Islam_65_74,C16_Islam_75_84,C16_Islam_85ov,C16_Islam_Tot,C16_Judaism_0_14,C16_Judaism_15_24,C16_Judaism_25_34,C16_Judaism_35_44,C16_Judaism_45_54,C16_Judaism_55_64,C16_Judaism_65_74,C16_Judaism_75_84,C16_Judaism_85ov,C16_Judaism_Tot,C16_OR_AusAborTrad_0_14,C16_OR_AusAborTrad15_24,C16_OR_AusAborTrad25_34,C16_OR_AusAborTrad35_44,C16_OR_AusAborTrad45_54,C16_OR_AusAborTrad55_64,C16_OR_AusAborTrad65_74,C16_OR_AusAborTrad75_84,C16_OR_AusAborTrad85oe,C16_OR_AusAborTrade_Tot,C16_OR_Sikhism_0_14,C16_OR_Sikhism_15_24,C16_OR_Sikhism_25_34,C16_OR_Sikhism_35_44,C16_OR_Sikhism_45_54,C16_OR_Sikhism_55_64,C16_OR_Sikhism_65_74,C16_OR_Sikhism_75_84,C16_OR_Sikhism_85oe,C16_OR_Sikhism_Tot,C16_OR_Ot_Re_Gr_0_14,C16_OR_Ot_Re_Gr_15_24,C16_OR_Ot_Re_Gr_25_34,C16_OR_Ot_Re_Gr_35_44,C16_OR_Ot_Re_Gr_45_54,C16_OR_Ot_Re_Gr_55_64,C16_OR_Ot_Re_Gr_65_74,C16_OR_Ot_Re_Gr_75_84,C16_O_R_Ot_Re_Gr_85ov,C16_OR_Ot_Re_Gr_Tot,C16_Oth_Rel_Tot_0_14,C16_Oth_Rel_Tot_15_24,C16_Oth_Rel_Tot_25_34,C16_Oth_Rel_Tot_35_44,C16_Oth_Rel_Tot_45_54,C16_Oth_Rel_Tot_55_64,C16_Oth_Rel_Tot_65_74,C16_Oth_Rel_Tot_75_84,C16_Oth_Rel_Tot_85ov,C16_Other_Rel_T_T,C16_SBOSB_No_RA_0_14,C16_SBOSB_No_RA_15_24,C16_SBOSB_No_RA_25_34,C16_SBOSB_No_RA_35_44,C16_SBOSB_No_RA_45_54,C16_SBOSB_No_RA_55_64,C16_SBOSB_No_RA_65_74,C16_SBOSB_No_RA_75_84,C16_SBOSB_No_RA_85ov,C16_SBOSB_No_RA_Tot,C16_Oth_rel_affi_0_14,C16_Rel_aff_ns_15_24,C16_Rel_aff_ns_25_34,C16_Rel_aff_ns_35_44,C16_Rel_aff_ns_45_54,C16_Rel_aff_ns_55_64,C16_Rel_aff_ns_65_74,C16_Rel_aff_ns_75_84,C16_Rel_aff_ns_85ov,C16_Rel_aff_ns_Tot,C16_Tot_0_14_yrs,C16_Tot_15_24_yrs,C16_Tot_25_34_yrs,C16_Tot_35_44_yrs,C16_Tot_45_54_yrs,C16_Tot_55_64_yrs,C16_Tot_65_74_yrs,C16_Tot_75_84_yrs,C16_Tot_85o,C16_T_T
1,34055,22155,24577,22883,21948,19681,12494,5616,1943,165351,1170,736,737,953,929,1029,854,442,191,7034,716408,458305,440760,512884,576792,551676,467995,278637,124086,4127539,38016,20580,53887,35382,15505,10419,5054,2011,553,181402,79931,41389,54389,41394,24840,14967,7637,2495,613,267659,6646,3467,3670,4778,4580,4978,4663,2416,1697,36901,433,240,224,224,214,141,56,18,3,1557,7018,4068,10258,5045,2277,1765,817,399,85,31737,4599,3788,5378,5085,4687,3801,1985,820,251,30387,12045,8092,15864,10354,7177,5712,2859,1232,335,63671,395982,295815,351312,270948,229490,192675,112589,44530,16783,1910122,111984,84820,109629,91489,86374,80426,62582,36417,21246,684969,1386331,938094,1067524,1002886,977984,889763,677020,373115,167506,7480228
2,30121,19858,21296,21214,19909,16473,10845,4909,1804,146441,724,501,570,586,743,655,525,377,189,4870,463756,310530,294631,347603,413678,381259,329104,206770,91822,2839154,29756,14443,44933,26882,9008,5799,2886,975,249,134939,57143,33050,41382,29886,18174,9894,5169,1888,453,197030,8281,4097,4701,5377,4568,5427,5294,2587,1926,42257,109,59,59,61,65,34,14,3,0,406,11931,6808,21375,7546,1974,1956,878,236,69,52762,2239,2350,3791,3565,3221,2396,1245,439,130,19381,14283,9217,25229,11170,5259,4388,2132,674,198,72549,389982,301527,355315,279129,231535,184614,105820,39239,15625,1902807,91710,70560,89216,73977,70609,64727,49571,29270,16312,555956,1080919,770134,889190,805920,780420,677453,509599,285006,127993,5926624
3,33919,20301,20310,19151,18693,15385,9982,4146,1462,143355,1778,1215,962,1333,1417,1358,1112,660,240,10085,471398,293071,275302,331271,383358,359267,300118,158687,62870,2635342,9630,5397,13848,8872,3984,2497,1165,452,105,45961,13182,7410,9567,7142,3958,2165,1042,336,78,44885,590,438,465,561,607,695,620,268,145,4387,404,171,172,166,172,102,47,12,0,1249,3623,2429,7560,2162,681,576,286,92,21,17433,2093,2292,2962,3097,2836,2034,1048,358,97,16812,6128,4890,10689,5421,3697,2704,1377,461,118,35492,321854,231932,253482,199021,162956,121497,72035,26188,9338,1398297,80201,60918,70530,62497,61972,55295,41927,22199,12497,468042,912696,613147,646694,628124,631705,552886,422601,209818,85528,4703193
4,9698,6216,6309,6244,6415,5586,3885,1589,589,46531,751,504,465,482,492,411,444,248,101,3905,121285,84017,74188,89054,118620,123708,111371,68381,32803,823426,5575,2266,6975,5137,1558,787,406,183,44,22922,8434,5108,6078,4800,2320,1104,500,174,40,28547,107,98,95,150,125,176,166,70,42,1031,139,69,75,69,55,44,14,14,3,475,2125,886,3431,1480,379,281,173,41,11,8808,854,869,1176,1163,1198,923,502,213,71,6976,3121,1821,4680,2709,1637,1251,684,270,91,16267,125377,93048,100240,83543,77576,63349,38736,14937,6141,602957,24660,17893,20307,18568,20254,19580,15154,8694,5101,150215,293001,208676,218107,209468,226891,213923,168852,93258,44479,1676653
5,18917,11718,12942,12496,11088,8702,5174,2043,597,83670,576,405,415,484,532,491,285,167,47,3408,212088,133848,136383,157944,182863,168022,134861,75818,29787,1231600,8945,4384,11971,7728,3087,1580,743,241,62,38739,14835,8122,10900,8124,4707,2420,1103,369,70,50649,841,573,525,602,777,852,694,343,222,5427,298,199,214,145,131,72,38,15,3,1116,2445,1827,5060,1379,473,427,205,73,14,11897,1206,1065,1745,1785,1837,1283,715,276,93,10019,3945,3096,7019,3315,2438,1784,959,364,113,23031,185962,123551,157608,120294,98921,72392,38085,14264,5066,816144,42978,30259,44567,36850,34230,28606,19985,11693,6813,255987,476683,310329,379178,345038,334959,282042,199669,104095,42420,2474410
6,2913,1620,1497,1579,1785,1614,1142,498,158,12799,66,67,42,58,93,132,114,70,22,679,33948,23348,19862,26489,37751,43210,38204,21879,8792,253506,504,412,694,416,261,145,76,35,10,2554,749,463,537,392,198,98,45,17,0,2498,32,13,28,25,40,53,43,12,4,248,26,10,11,4,10,8,3,3,0,78,92,68,223,58,27,17,4,5,4,488,163,240,306,331,347,244,142,44,19,1817,277,315,535,391,378,265,148,46,19,2381,46204,30049,30027,25789,24022,20457,12640,4385,1465,195034,8035,5725,5637,5634,6751,7383,5902,3174,1453,49690,90207,60940,58034,59830,70050,72160,57381,29604,11767,509965
7,1337,733,891,827,639,484,207,59,14,5189,16,13,19,21,30,25,14,0,0,145,23519,13901,17160,16269,15901,12542,6847,2391,583,109118,724,369,1375,682,216,124,43,19,7,3562,532,296,662,439,216,115,54,16,3,2335,17,6,30,6,23,22,10,3,0,120,947,602,530,387,327,179,96,38,7,3108,152,48,297,92,19,19,11,7,0,634,69,77,131,130,127,101,38,19,9,709,1159,730,958,614,469,295,136,61,15,4448,15935,9791,14360,10114,8566,5928,2589,630,141,68053,6887,5159,7580,5610,5135,3765,1762,577,171,36642,49473,30719,43036,34630,31310,23296,11661,3771,938,228833
8,1895,1209,1379,1375,1160,1027,622,208,78,8940,53,35,42,44,58,84,62,29,16,419,32257,21150,22273,24746,25870,22176,17843,9822,4154,180299,2467,896,2670,2390,821,566,269,99,27,10211,2931,1275,2216,1839,856,437,235,66,17,9883,116,69,115,89,65,75,73,35,6,642,16,13,7,11,11,8,3,0,0,62,504,217,795,332,146,68,57,19,5,2142,126,183,295,301,257,186,100,35,11,1503,645,417,1094,646,411,258,160,53,17,3710,28980,25643,29266,21693,16827,12936,7551,2534,882,146315,5902,5114,6532,5181,4537,3871,2722,1553,1000,36420,74480,55938,66119,58407,50989,41506,29453,14363,6158,397397
9,22,9,9,14,12,14,0,3,0,89,0,0,0,0,0,0,0,0,0,0,282,101,122,241,272,274,203,97,39,1627,4,0,0,3,3,0,0,0,0,8,184,95,118,79,96,91,63,24,6,758,0,0,0,0,0,0,4,0,0,3,6,9,8,4,3,3,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,3,0,0,0,17,6,11,9,6,6,6,0,0,0,46,235,105,135,143,155,128,63,16,8,984,71,92,167,123,129,118,71,29,8,811,815,421,573,642,711,709,478,182,58,4587
