STE_CODE_2016,C16_P_NatPhy_sci_15_19,C16_P_NatPhy_sci_20_24,C16_P_NatPhy_sci_25_34,C16_P_NatPhy_sci_35_44,C16_P_NatPhy_sci_45_54,C16_P_NatPhy_sci_55_64,C16_P_NatPhy_sci_65_74,C16_P_NatPhy_sci_75_84,C16_P_NatPhy_sci_85_ov,C16_P_NatPhy_sci_Tot,C16_P_InfTec_15_19,C16_P_InfTec_20_24,C16_P_InfTec_25_34,C16_P_InfTec_35_44,C16_P_InfTec_45_54,C16_P_InfTec_55_64,C16_P_InfTec_65_74,C16_P_InfTec_75_84,C16_P_InfTec_85_ov,C16_P_InfTec_Tot,C16_P_EngRT_15_19,C16_P_EngRT_20_24,C16_P_EngRT_25_34,C16_P_EngRT_35_44,C16_P_EngRT_45_54,C16_P_EngRT_55_64,C16_P_EngRT_65_74,C16_P_EngRT_75_84,C16_P_EngRT_85_ov,C16_P_EngRT_Tot,C16_P_ArchBuild_15_19,C16_P_ArchBuild_20_24,C16_P_ArchBuild_25_34,C16_P_ArchBuild_35_44,C16_P_ArchBuild_45_54,C16_P_ArchBuild_55_64,C16_P_ArchBuild_65_74,C16_P_ArchBuild_75_84,C16_P_ArchBuild_85o,C16_P_Arch_building_Tot,C16_P_AgEnv_RS_15_19,C16_P_AgEnv_RS_20_24,C16_P_AgEnv_RS_25_34,C16_P_AgEnv_RS_35_44,C16_P_AgEnv_RS_45_54,C16_P_AgEnv_RS_55_64,C16_P_AgEnv_RS_65_74,C16_P_AgEnv_RS_75_84,C16_P_AgEnv_RS_85o,C16_P_AgEnv_RS_Tot,C16_P_Health_15_19,C16_P_Health_20_24,C16_P_Health_25_34,C16_P_Health_35_44,C16_P_Health_45_54,C16_P_Health_55_64,C16_P_Health_65_74,C16_P_Health_75_84,C16_P_Health_85o,C16_P_Healt_To,C16_P_Educ_15_19,C16_P_Educ_20_24,C16_P_Educ_25_34,C16_P_Educ_35_44,C16_P_Educ_45_54,C16_P_Educ_55_64,C16_P_Educ_65_74,C16_P_Educ_75_84,C16_P_Educ_85o,C16_P_Educ_Tot,C16_P_MngtCom_15_19,C16_P_MngtCom_20_24,C16_P_MngtCom_25_34,C16_P_MngtCom_35_44,C16_P_MngtCom_45_54,C16_P_MngtCom_55_64,C16_P_MngtCom_65_74,C16_P_MngtCom_75_84,C16_P_MngtCom_85o,C16_P_MngtCom_Tot,C16_P_Soc_cult_15_19,C16_P_Soc_cult_20_24,C16_P_Soc_cult_25_34,C16_P_Soc_cult_35_44,C16_P_Soc_cult_45_54,C16_P_Soc_cult_55_64,C16_P_Soc_cult_65_74,C16_P_Soc_cult_75_84,C16_P_Soc_cult_85o,C16_P_Society_cultur_Tot,C16_P_Creative_art_15_19,C16_P_Creative_art_20_24,C16_P_Creative_art_25_34,C16_P_Creative_art_35_44,C16_P_Creative_art_45_54,C16_P_Creative_art_55_64,C16_P_Creative_art_65_74,C16_P_Creative_art_75_84,C16_P_Creative_art_85o,C16_P_Creative_arts_Tot,C16_P_FoodHos_PS_15_19,C16_P_FoodHos_PS_20_24,C16_P_FoodHos_PS_25_34,C16_P_FoodHos_PS_35_44,C16_P_FoodHos_PS_45_54,C16_P_FoodHos_PS_55_64,C16_P_FoodHos_PS_65_74,C16_P_FoodHos_PS_75_84,C16_P_FoodHos_PS_85o,C16_P_Foo_hos_pers_S_Tot,C16_P_MixFld_pr_15_19,C16_P_MixFld_pr_20_24,C16_P_MixFld_pr_25_34,C16_P_MixFld_pr_35_44,C16_P_MixFld_pr_45_54,C16_P_MixFld_pr_55_64,C16_P_MixFld_pr_65_74,C16_P_MixFld_pr_75_84,C16_P_MixFld_pr_85_ov,C16_P_MixFld_pr_Tot,C16_P_FldStu_ID_15_19,C16_P_FldStu_ID_20_24,C16_P_FldStu_ID_25_34,C16_P_FldStu_ID_35_44,C16_P_FldStu_ID_45_54,C16_P_FldStu_ID_55_64,C16_P_FldStu_ID_65_74,C16_P_FldStu_ID_75_84,C16_P_FldStu_ID_85o,C16_P_FldStu_ID_Tot,C16_P_FldStu_NS_15_19,C16_P_FldStu_NS_20_24,C16_P_FldStu_NS_25_34,C16_P_FldStu_NS_35_44,C16_P_FldStu_NS_45_54,C16_P_FldStu_NS_55_64,C16_P_FldStu_NS_65_74,C16_P_FldStu_NS_75_84,C16_P_FldStu_NS_85o,C16_P_FldStu_NS_T,C16_P_Tot_15_19,C16_P_Tot_20_24,C16_P_Tot_25_34,C16_P_Tot_35_44,C16_P_Tot_45_54,C16_P_Tot_55_64,C16_P_Tot_65_74,C16_P_Tot_75_84,C16_P_Tot_85o,C16_P_T_T
1,251,7590,22363,21738,19730,15934,10562,3842,1117,103139,902,7913,40832,40798,20258,10040,3276,486,78,124583,2303,24659,89233,89809,99717,92523,68860,35033,11705,513835,2154,13535,41510,39682,37354,29817,20079,10463,2888,197475,933,4570,13282,15181,14017,10810,6283,2711,715,68506,2072,17666,72009,62811,61015,58615,32604,15205,5488,327483,789,9989,47265,48768,47457,56468,35775,13957,4116,264578,5481,51767,199366,183912,147457,104990,62109,21069,7849,783993,4016,30495,96188,91998,80095,62893,34099,10588,2876,413253,1726,16034,44142,32430,21402,13995,7977,3250,1072,142020,4637,16577,44362,35773,27703,17242,11781,4053,1465,163599,944,1287,1275,933,1134,1364,1513,1274,541,10266,514,2751,8916,10429,9532,6926,4306,1960,794,46131,36713,39878,91772,78035,76229,71604,66226,53781,36986,551216,63430,244719,812517,752300,663104,553219,365449,177682,77686,3710095
2,282,9429,22174,21083,16489,12388,7571,2589,882,92894,631,6849,37543,34957,16482,8164,2476,298,65,107465,2353,20040,74181,72104,77521,66958,48837,24571,8275,394844,2132,14342,42535,31477,27883,21135,13210,7174,2039,161925,736,3931,12342,13021,11219,7589,3981,1647,497,54962,1207,16298,67640,54116,49995,43817,24951,11737,4140,273896,600,7758,40299,40238,40525,44682,31072,11681,3283,220143,3495,39764,150575,134715,100240,64654,34639,11978,4957,545015,3870,27072,80931,75553,65766,51474,26949,7483,2071,341164,1876,15168,40344,26426,15811,10062,5637,2148,851,118332,3557,15633,42942,29638,23296,13824,9315,3296,1143,142636,757,1049,997,675,814,907,1144,980,347,7663,366,3064,9868,10713,8790,6235,3646,1550,704,44936,28584,31509,71458,60004,58482,53643,50432,40680,25397,420187,50447,211904,693843,604704,513320,405528,263848,127814,54646,2926054
3,315,4324,12281,11627,9495,7130,4767,1591,418,51948,1382,4576,14146,14593,8505,4380,1555,224,23,49383,3537,19590,65441,65139,67704,60144,44476,20628,5531,352200,1594,8615,29900,27430,25363,22760,15466,7078,1726,139929,939,3017,8738,10470,8807,6235,3314,1347,338,43207,1621,13841,47685,43896,43850,37122,20455,8803,2803,220075,707,5515,27644,35555,35631,32916,20663,7585,1880,168108,8043,31032,94450,91760,77014,51680,27452,8720,2680,392830,6333,20770,54144,53193,45844,35560,18539,4879,1068,240326,2362,9376,19469,14154,9559,6208,3843,1571,508,67061,6570,14209,31515,26145,20533,12552,8442,2476,735,123168,788,788,720,519,598,752,920,814,383,6284,515,1377,4743,5952,5536,3979,2412,1091,413,26022,26303,28489,59386,53062,53717,47769,41900,30380,19582,360581,61015,165535,470255,453484,412164,329183,214206,97196,38077,2241124
4,38,1524,5172,5042,4053,3381,2299,793,235,22545,276,1191,5495,5064,2940,1773,600,92,10,17436,930,6363,21082,20952,23496,21206,17039,8951,3037,123055,662,3214,8381,6282,6607,6064,4484,2503,774,38974,346,1332,4033,4274,3729,2614,1437,506,196,18470,445,4846,18393,16237,16852,16790,8789,3697,1495,87549,135,1980,9796,10224,9970,13080,10060,3110,1090,59446,1360,8401,31171,31201,25760,18418,10568,3705,1399,131983,1546,6856,20514,19853,18737,15676,8762,2359,652,94965,470,2392,6225,4743,3346,2441,1531,605,232,21985,1395,4417,10387,8165,6869,4469,3142,1062,335,40247,145,206,236,226,300,282,386,379,187,2353,113,453,1824,2077,1827,1347,974,452,231,9304,7595,7217,15508,14302,15744,15279,14456,11910,8115,110117,15459,50385,158224,148651,140237,122817,84531,40121,17989,778427
5,124,3521,10141,9305,7256,5031,2979,898,285,39547,593,2103,8534,8032,4491,2185,695,106,7,26747,2019,13773,48164,45029,42311,34531,22432,10053,2662,220963,993,5238,16800,12659,11849,9455,6320,3377,825,67502,443,1606,5476,5810,4704,3298,1929,822,210,24293,904,7091,27455,23599,22154,18818,10726,4882,1509,117138,514,3332,15547,18738,19642,18417,10249,4070,1086,91593,2787,13363,51537,48591,39735,26156,15216,5628,1758,204777,2245,8919,28693,26323,21997,17649,9259,2663,688,118437,1093,4438,10623,7459,4863,3276,2076,832,269,34924,1832,6204,17634,13154,10645,6465,3944,1284,431,61599,331,357,424,352,333,382,482,416,147,3231,147,795,2899,2943,2858,1942,1057,556,187,13379,12689,14334,37524,30966,29144,24555,20019,16055,10433,195720,26707,85057,281458,252950,221993,172151,107384,51656,20491,1219843
6,6,323,1270,1439,1292,1111,800,253,92,6589,64,453,1349,1027,720,480,207,36,4,4350,258,1725,4913,5420,6462,6709,5097,2549,757,33894,169,1101,2853,2195,2624,2756,1741,914,246,14599,119,474,1352,1626,1563,1111,552,246,63,7098,109,1112,3931,3759,4566,5013,3049,1331,473,23330,34,388,2553,3286,3457,4499,3249,1461,417,19353,429,2225,7050,6980,6733,5564,3230,1102,447,33750,346,1919,5129,5432,5829,5322,2880,768,204,27837,69,499,1467,1384,1188,1045,804,300,93,6839,438,1460,3293,2839,2293,1601,1025,341,89,13387,51,68,61,52,55,121,161,113,53,746,28,119,449,550,606,574,349,151,57,2880,3035,2339,4574,4606,5681,6090,6284,4558,2135,39309,5162,14218,40239,40597,43065,41993,29422,14120,5137,233961
7,5,128,520,572,431,302,139,29,6,2126,41,163,625,547,269,174,47,8,0,1872,177,1150,4541,3624,3399,2388,1132,329,62,16804,48,301,1613,1138,928,735,390,132,21,5313,75,217,666,683,515,302,111,25,6,2601,33,502,2881,2174,1772,1413,540,171,44,9519,22,184,1590,1667,1636,1506,708,166,23,7507,193,999,4413,3672,3003,1841,666,131,25,14945,141,708,3065,2603,2242,1659,554,143,18,11139,52,183,690,518,328,249,119,25,8,2173,191,545,1544,1017,794,394,163,45,11,4700,35,36,68,40,41,39,31,7,0,298,29,85,377,367,332,174,79,12,3,1468,2663,3192,7673,5737,5184,3774,1965,686,221,31092,3685,8402,30253,24366,20883,14961,6638,1903,445,111547
8,36,1001,2839,2555,2356,1899,1331,470,181,12676,137,841,3921,4086,2746,1604,473,48,0,13851,67,1018,4145,3958,3617,3079,2258,1142,422,19703,81,708,2319,1789,1464,1144,826,449,135,8917,18,234,824,874,707,510,292,144,34,3632,46,890,4427,3611,3028,2748,1504,797,269,17318,41,507,2787,2986,2535,2715,2144,949,229,14896,256,2920,10628,10217,8193,5528,3126,968,362,42199,295,2874,11034,9353,7514,6227,4191,1335,384,43204,117,868,2786,2154,1480,889,455,173,68,8993,227,843,2218,1676,1124,662,384,145,44,7319,44,66,31,29,20,39,45,42,22,341,27,155,757,886,748,507,347,177,78,3686,1356,2088,4702,3703,3183,2642,2167,1741,1324,22907,2752,15007,53433,47867,38713,30188,19543,8579,3556,219643
9,0,0,12,18,7,9,4,3,0,55,0,0,11,6,4,3,0,0,0,22,5,14,43,58,83,76,44,15,5,340,3,0,16,24,29,42,11,11,0,135,3,4,9,20,11,13,3,0,0,61,0,3,16,22,15,31,22,8,0,121,0,4,21,35,28,26,16,9,0,147,3,14,61,85,67,51,34,5,0,321,7,3,47,40,29,22,16,6,0,168,0,4,5,9,11,3,6,0,0,33,0,9,28,33,24,18,4,0,0,112,0,0,0,0,0,3,0,0,0,3,0,3,0,8,7,3,3,0,0,27,45,69,174,127,140,120,82,40,11,815,68,132,439,482,458,421,239,97,26,2374
