STE_CODE_2016,C16_AP_75_79_NCB_4,C16_AP_75_79_NCB_5,C16_AP_75_79_NCB_6m,C16_AP_75_79_NCB_NS,C16_AP_75_79_Tot,C16_AP_80_84_NCB_0,C16_AP_80_84_NCB_1,C16_AP_80_84_NCB_2,C16_AP_80_84_NCB_3,C16_AP_80_84_NCB_4,C16_AP_80_84_NCB_5,C16_AP_80_84_NCB_6m,C16_AP_80_84_NCB_NS,C16_AP_80_84_Tot,C16_AP_85andover_N_c_b_0,C16_AP_85andover_N_c_b_1,C16_AP_85andover_N_c_b_2,C16_AP_85andover_N_c_b_3,C16_AP_85andover_N_c_b_4,C16_AP_85andover_N_c_b_5,C16_AP_85ov_N_c_b_6mor,C16_AP_85andover_N_c_b_NS,C16_AP_85_and_over_Tot,C16_AP_Tot_NCB_0,C16_AP_Tot_NCB_1,C16_AP_Tot_NCB_2,C16_AP_Tot_NCB_3,C16_AP_Tot_NCB_4,C16_AP_Tot_NCB_5,C16_AP_Tot_N_ch_b_6mor,C16_AP_Tot_NCB_NS,C16_AP_T_T
1,15412,6199,5254,10886,115280,6734,6278,20640,19524,12148,5729,5800,10067,86922,8545,9009,23530,19874,12655,6097,7269,18788,105755,940549,372209,794321,463524,186506,62845,46880,253000,3119834
2,12501,5046,4441,8070,88198,4464,4511,16208,15473,9921,4553,4804,7425,67356,6046,6755,18227,16116,10267,5099,5891,12030,80427,793634,289321,631813,359856,139270,45780,35456,197066,2492203
3,9790,4353,3394,6196,65259,3514,2973,9348,10106,7180,3647,3612,5473,45851,4011,4204,10493,9992,7000,3784,4097,10180,53759,563920,223474,489954,295953,126220,44880,34020,158700,1937126
4,4150,1606,1070,2209,28879,1333,1406,5204,5508,3564,1569,1340,2011,21938,1939,2264,6623,6103,3847,1955,1793,3618,28143,201677,83084,199483,109977,42257,14070,10056,47470,708074
5,5077,1904,1365,3248,32451,1387,1309,4956,5777,4015,1853,1533,2959,23782,1505,1731,5322,5356,3791,1853,1885,5135,26579,294208,116203,263771,152307,60050,19461,13830,84206,1004041
6,1453,663,484,872,9279,456,382,1351,1550,1106,601,480,728,6648,593,598,1532,1509,1083,583,603,917,7413,56309,24562,57712,36233,15625,5824,4002,16237,216496
7,151,91,113,160,1197,58,39,112,90,105,64,107,106,688,42,52,78,83,74,40,83,99,545,25871,10936,17306,10487,4897,2102,1801,12861,86254
8,633,253,182,387,4623,229,237,789,794,487,210,195,347,3292,214,317,794,759,496,244,242,776,3841,59109,20285,41841,21580,7686,2403,1516,11278,165694
9,9,4,3,9,54,0,5,3,9,8,3,7,8,38,3,0,5,8,7,0,3,3,33,415,198,430,274,118,41,27,225,1730
