STE_CODE_2016,C16_85o_SOL_SE_To,C16_85o_LPE_NS,C16_85o_Tot,C16_Tot_SEO,C16_To_SOL_SE_Vw_w,C16_To_SOL_SE_Nw_Na,C16_To_SOL_SE_P_E_n,C16_Tot_SOL_SE_Tot,C16_Tot_LPE_NS,C16_T_T
1,30440,18405,167506,5126633,1549005,336410,18745,1904164,449435,7480228
2,28454,12865,127993,4026811,1274184,266080,16216,1556485,343327,5926624
3,7118,10946,85528,3820632,480525,83675,6714,570913,311644,4703193
4,7320,3898,44479,1311533,227946,48258,3108,279304,85815,1676653
5,5998,5552,42420,1861041,376555,61311,5048,442918,170458,2474410
6,662,1150,11767,450411,24015,4345,365,28722,30834,509965
7,238,122,938,132634,58422,8850,1397,68669,27529,228833
8,1072,884,6158,288986,76254,10565,827,87640,20769,397397
9,25,5,58,1732,1697,437,41,2167,684,4587
