STE_CODE_2016,C16_650_799_1PF_1C,C16_650_799_1PF_2C,C16_650_799_1PF_3C,C16_650_799_1PF_4mC,C16_650_799_1PF_T,C16_800_999_1PF_1C,C16_800_999_1PF_2C,C16_800_999_1PF_3C,C16_800_999_1PF_4mC,C16_800_999_1PF_T,C16_1000_1499_1PF_1C,C16_1000_1499_1PF_2C,C16_1000_1499_1PF_3C,C16_1000_1499_1PF_4mC,C16_1000_1499_1PF_T,C16_1500_1999_1PF_1C,C16_1500_1999_1PF_2C,C16_1500_1999_1PF_3C,C16_1500_1999_1PF_4mC,C16_1500_1999_1PF_T,C16_2000_2499_1PF_1C,C16_2000_2499_1PF_2C,C16_2000_2499_1PF_3C,C16_2000_2499_1PF_4mC,C16_2000_2499_1PF_T,C16_2500_2999_1PF_1C,C16_2500_2999_1PF_2C,C16_2500_2999_1PF_3C,C16_2500_2999_1PF_4mC,C16_2500_2999_1PF_T,C16_3000_3999_1PF_1C,C16_3000_3999_1PF_2C,C16_3000_3999_1PF_3C,C16_3000_3999_1PF_4mC,C16_3000_3999_1PF_T,C16_4000m_1PF_1C,C16_4000m_1PF_2C,C16_4000m_1PF_3C,C16_4000m_1PF_4mo_ch,C16_4000m_1PF_T,C16_Par_inc_st_1PF_1C,C16_Par_inc_st_1PF_2C,C16_Par_inc_st_1PF_3C,C16_Par_inc_st_1PF_4mC,C16_Par_inc_st_1PF_T,C16_All_inc_ns_1PF_1Ch,C16_All_inc_ns_1PF_2C,C16_All_inc_ns_1PF_3C,C16_All_inc_ns_1PF_4mC,C16_All_inc_ns_1PF_T,C16_Tot_1PF_1C,C16_Tot_1PF_2C,C16_Tot_1PF_3C,C16_Tot_1PF_4mC,C16_Tot_1PF_T
1,17072,8135,3876,1674,30754,19799,7705,2874,1586,31969,35810,15602,4833,2022,58269,20388,10110,2800,1002,34295,12570,6873,1777,605,21823,5325,3123,857,275,9572,4201,3689,1121,375,9385,2557,1779,599,233,5169,12701,9531,3915,1900,28047,4082,1800,646,389,6923,176032,90703,31078,13089,310906
2,13046,6436,2601,1052,23135,15186,6363,2244,1051,24840,27300,12475,3586,1317,44683,14879,7754,2091,705,25423,8573,4880,1263,369,15090,3246,2137,633,162,6174,2442,2357,682,229,5710,1529,1025,378,109,3044,9991,7863,3128,1388,22376,3197,1363,476,315,5354,132197,70760,22760,8875,234596
3,11522,6258,3146,1481,22408,13338,6009,2278,1347,22967,24244,11222,3478,1707,40652,12525,6512,1833,671,21541,6989,3732,1004,357,12088,2643,1410,397,150,4597,1760,1494,469,148,3871,1026,590,210,72,1907,7239,5426,2247,1271,16179,2274,1057,424,249,4002,111431,59480,20782,9606,201308
4,4511,2399,1056,388,8362,5078,2124,760,376,8340,8686,3888,1111,399,14088,4440,2318,583,177,7520,2257,1259,318,76,3913,767,515,138,52,1472,510,440,127,41,1116,324,161,72,20,578,3018,2345,928,394,6676,916,386,146,101,1551,41594,21744,7084,2708,73128
5,4670,2569,1086,478,8800,5096,2467,846,464,8873,10113,4906,1465,591,17075,6048,3042,782,264,10138,4052,2118,516,156,6845,1663,859,220,70,2805,1319,1013,282,86,2696,746,479,169,41,1436,4001,2912,1235,580,8728,1044,470,209,137,1862,51717,28341,9396,3898,93344
6,1540,834,380,153,2899,1647,708,265,135,2751,2662,1183,367,159,4379,1206,648,161,60,2070,597,337,92,33,1051,205,94,23,3,331,130,86,27,13,260,78,31,10,3,123,983,742,308,137,2172,297,133,48,27,505,13136,6931,2405,953,23423
7,311,173,73,51,612,354,175,64,72,660,736,382,136,108,1356,534,254,94,44,927,407,169,53,22,650,173,68,18,13,275,145,83,31,7,264,74,43,6,7,137,332,249,125,131,837,200,140,53,61,453,4525,2395,976,665,8558
8,490,249,97,46,885,566,255,75,43,934,1481,691,177,73,2425,1360,656,181,51,2252,1071,592,114,28,1810,521,195,60,14,794,414,295,79,16,803,193,144,36,16,392,591,496,131,62,1279,81,39,19,10,154,8060,4330,1245,495,14129
9,3,3,0,3,9,10,3,0,0,17,11,6,4,0,25,14,3,0,0,15,10,0,3,0,14,3,0,0,0,3,4,0,0,0,4,0,0,0,0,0,12,7,0,3,23,4,4,0,3,9,85,39,7,8,145
