STE_CODE_2016,Pakistan_C06_P,Pakistan_C11_M,Pakistan_C11_F,Pakistan_C11_P,Pakistan_C16_M,Pakistan_C16_F,Pakistan_C16_P,Philippines_C06_M,Philippines_C06_F,Philippines_C06_P,Philippines_C11_M,Philippines_C11_F,Philippines_C11_P,Philippines_C16_M,Philippines_C16_F,Philippines_C16_P,Poland_C06_M,Poland_C06_F,Poland_C06_P,Poland_C11_M,Poland_C11_F,Poland_C11_P,Poland_C16_M,Poland_C16_F,Poland_C16_P,Singapore_C06_M,Singapore_C06_F,Singapore_C06_P,Singapore_C11_M,Singapore_C11_F,Singapore_C11_P,Singapore_C16_M,Singapore_C16_F,Singapore_C16_P,South_Africa_C06_M,South_Africa_C06_F,South_Africa_C06_P,South_Africa_C11_M,South_Africa_C11_F,South_Africa_C11_P,South_Africa_C16_M,South_Africa_C16_F,South_Africa_C16_P,Sri_Lanka_C06_M,Sri_Lanka_C06_F,Sri_Lanka_C06_P,Sri_Lanka_C11_M,Sri_Lanka_C11_F,Sri_Lanka_C11_P,Sri_Lanka_C16_M,Sri_Lanka_C16_F,Sri_Lanka_C16_P,Thailand_C06_M,Thailand_C06_F,Thailand_C06_P,Thailand_C11_M,Thailand_C11_F,Thailand_C11_P,Thailand_C16_M,Thailand_C16_F,Thailand_C16_P,F_Y_R_o_Macedonia_C06_M,F_Y_R_o_Macedonia_C06_F,F_Y_R_o_Macedonia_C06_P,F_Y_R_o_Macedonia_C11_M,F_Y_R_o_Macedonia_C11_F,F_Y_R_o_Macedonia_C11_P,F_Y_R_o_Macedonia_C16_M,F_Y_R_o_Macedonia_C16_F,F_Y_R_o_Macedonia_C16_P,Turkey_C06_M,Turkey_C06_F,Turkey_C06_P,Turkey_C11_M,Turkey_C11_F,Turkey_C11_P,Turkey_C16_M,Turkey_C16_F,Turkey_C16_P,Unitd_Kingdom_C06_M,Unitd_Kingdom_C06_F,Unitd_Kingdom_C06_P,Unitd_Kingdom_C11_M,Unitd_Kingdom_C11_F,Unitd_Kingdom_C11_P,Unitd_Kingdom_C16_M,Unitd_Kingdom_C16_F,Unitd_Kingdom_C16_P,Unit_Sts_Amer_C06_M,Unit_Sts_Amer_C06_F,Unit_Sts_Amer_C06_P,Unit_Sts_Amer_C11_M,Unit_Sts_Amer_C11_F,Unit_Sts_Amer_C11_P,Unit_Sts_Amer_C16_M,Unit_Sts_Amer_C16_F,Unit_Sts_Amer_C16_P,Vietnam_C06_M,Vietnam_C06_F,Vietnam_C06_P,Vietnam_C11_M,Vietnam_C11_F,Vietnam_C11_P,Vietnam_C16_M,Vietnam_C16_F,Vietnam_C16_P,Zimbabwe_C06_M,Zimbabwe_C06_F,Zimbabwe_C06_P,Zimbabwe_C11_M,Zimbabwe_C11_F,Zimbabwe_C11_P,Zimbabwe_C16_M,Zimbabwe_C16_F,Zimbabwe_C16_P,Born_elsewhere_C06_M,Born_elsewhere_C06_F,Born_elsewhere_C06_P,Born_elsewhere_C11_M,Born_elsewhere_C11_F,Born_elsewhere_C11_P,Born_elsewhere_C16_M,Born_elsewhere_C16_F,Born_elsewhere_C16_P,Country_birt_ns_C06_M,Country_birt_ns_C06_F,Country_birt_ns_C06_P,Country_birt_ns_C11_M,Country_birt_ns_C11_F,Country_birt_ns_C11_P,Country_birt_ns_C16_M,Country_birt_ns_C16_F,Country_birt_ns_C16_P,Tot_C06_M,Tot_C06_F,Tot_C06_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P
1,8637,7583,5800,13382,14739,9788,24524,22470,35252,57719,27643,42747,70388,34270,52478,86749,6872,8350,15228,6210,8118,14331,5796,7653,13451,4422,5254,9674,5121,6104,11226,5809,6929,12730,16099,16853,32950,19811,20432,40247,21237,21822,43058,9478,9607,19090,11852,11852,23704,15035,13696,28732,4377,7908,12284,5933,11607,17542,8929,17789,26719,8971,8708,17682,8578,8619,17195,8189,8313,16501,6392,6073,12468,6689,6289,12978,6629,6181,12808,135572,130277,265855,140832,133993,274821,139416,131466,270877,10769,10979,21750,12959,13572,26530,14592,15489,30081,29826,33964,63791,32832,39012,71838,37687,46442,84130,1984,2132,4115,2725,2916,5640,3181,3308,6495,135063,136662,271733,156582,158204,314785,190054,191686,381747,241554,230630,472177,201768,189968,391737,252739,255832,508571,3228451,3320726,6549174,3408880,3508782,6917656,3686014,3794217,7480228
2,4706,5641,3548,9187,13363,7756,21125,10144,17191,27338,14647,23360,38002,20164,31123,51290,8102,9970,18071,7085,9300,16383,6224,8485,14706,4764,5716,10477,6177,7523,13696,7279,8786,16063,9420,9932,19348,11917,12532,24446,13290,13892,27184,15934,15547,31480,22486,21508,43991,29048,26787,55830,2543,4512,7056,3749,7012,10767,5448,10535,15979,9316,9001,18315,9201,9109,18307,8701,8923,17631,7773,7517,15285,8320,8175,16488,8065,7683,15744,101758,103082,204837,106873,106502,213377,105500,104269,209769,6536,6799,13341,8245,8601,16845,9517,10183,19695,27651,31226,58873,31280,37011,68296,36033,44760,80787,1166,1210,2369,1849,1935,3780,2259,2435,4694,99726,103594,203321,118574,122649,241220,145263,150073,295334,164641,160105,324745,142600,135173,277772,197207,203644,400856,2420415,2512009,4932422,2632617,2721423,5354039,2908077,3018549,5926624
3,1146,1352,1005,2357,2754,1916,4675,4825,13888,18711,9298,20163,29462,12979,26680,39661,2306,2762,5073,2224,2831,5053,2171,2858,5030,2252,2648,4897,2730,3252,5983,3008,3707,6716,11290,11419,22714,17623,17925,35549,19889,20244,40131,2402,2410,4806,4065,3630,7696,5055,4701,9752,1371,3138,4509,2088,4930,7023,2876,7104,9978,422,433,852,437,482,916,459,494,953,628,497,1123,813,572,1385,878,616,1493,98144,94917,193060,108886,105442,214330,108477,105893,214366,6252,5943,12198,7944,7859,15811,8349,8708,17053,6253,6828,13086,7439,8833,16269,8666,10883,19544,2874,2872,5749,4143,4200,8342,4461,4423,8881,52974,55123,108104,67569,71012,138579,82225,89501,171724,141359,128464,269828,134900,117083,251988,174439,169061,343501,1935378,1969151,3904531,2148221,2184520,4332737,2321889,2381308,4703193
4,643,784,572,1359,1945,1495,3445,1636,3806,5441,3106,5753,8858,4581,7887,12465,2880,3355,6235,2464,3083,5550,2148,2809,4954,817,945,1766,939,1159,2104,1137,1350,2491,2143,2346,4490,2974,3232,6210,3184,3425,6610,758,727,1485,1337,1334,2670,2010,1775,3787,701,993,1694,775,1436,2212,933,1916,2846,209,192,397,195,189,383,188,201,388,308,297,600,325,300,624,325,273,593,58647,62402,121049,59400,62856,122259,55897,59210,115106,1738,1700,3441,1998,2033,4031,2162,2196,4360,5060,5489,10546,5569,6461,12025,6507,7835,14337,447,477,926,596,640,1240,711,777,1486,20540,20469,41016,25942,26104,52048,31600,31878,63478,44223,42351,86572,37715,35068,72777,49815,50190,100005,745209,769131,1514340,787217,809351,1596569,825997,850652,1676653
5,1172,1551,972,2520,3328,2110,5437,2185,4649,6831,7328,9908,17231,13563,17272,30835,2629,3100,5728,2475,3092,5568,2413,3157,5573,5372,6437,11812,6345,7628,13972,6778,8208,14987,10839,11215,22050,17463,17862,35326,20166,20844,41008,1705,1585,3286,2882,2458,5339,4166,3634,7796,991,2428,3421,1592,4074,5663,2181,5625,7806,1524,1461,2993,1515,1476,2988,1522,1531,3058,427,335,764,598,445,1047,678,524,1198,103758,104627,208387,115735,114678,230419,117034,116012,233047,3576,3174,6746,4624,4237,8860,4729,4575,9301,5047,5437,10489,5892,6824,12715,7116,8729,15845,3087,3067,6149,4924,4892,9818,5796,5850,11649,31627,32779,64414,47871,45108,92975,55129,57117,112249,78717,69405,148121,79488,63661,143147,95951,87905,183857,976122,982963,1959087,1126175,1112991,2239171,1238419,1235994,2474410
6,64,59,53,110,214,131,347,192,770,960,274,1000,1267,355,1263,1616,339,396,737,286,374,663,243,336,579,133,184,311,191,256,447,246,322,567,505,563,1069,724,789,1512,733,795,1524,121,115,232,136,154,295,190,200,391,98,210,305,150,325,476,176,435,609,10,14,27,16,10,20,12,6,16,24,19,43,41,30,75,41,32,72,11327,11304,22628,11815,11463,23279,11187,10983,22167,629,529,1160,723,738,1461,814,818,1630,73,67,138,132,139,263,167,235,400,117,121,235,151,168,317,147,139,291,3167,2977,6146,3941,3955,7896,4548,4669,9222,14577,14703,29279,11906,11528,23439,18274,18960,37234,233383,243100,476481,242675,252677,495351,249478,260482,509965
7,83,128,59,194,223,126,354,648,1225,1871,1418,2163,3586,2562,3352,5914,38,56,101,55,49,102,61,65,124,125,130,263,95,139,240,136,166,302,225,224,450,383,372,749,468,422,889,151,121,271,245,201,447,403,372,779,127,385,514,169,557,731,254,705,959,15,5,19,17,12,27,20,9,28,17,7,28,24,16,44,33,11,48,3234,2944,6169,3314,3107,6421,3561,3159,6719,612,480,1092,578,481,1054,651,565,1211,273,280,556,324,346,670,408,522,935,134,153,282,274,301,579,331,345,672,2645,2455,5103,3399,3075,6470,4481,4268,8745,9987,8205,18196,10549,8184,18735,14253,11649,25897,99372,93532,192899,109519,102428,211943,118570,110266,228833
8,539,627,453,1083,1142,860,1996,591,1072,1663,902,1526,2422,1492,2307,3798,467,612,1082,422,602,1026,402,544,943,332,389,719,449,472,916,493,532,1026,517,543,1065,819,813,1631,986,1026,2012,779,826,1608,1108,1154,2268,1363,1411,2771,291,482,769,381,668,1045,439,864,1309,188,184,373,192,179,372,197,209,407,103,78,175,122,97,212,133,98,226,8144,7980,16122,8216,7898,16112,7932,7634,15565,957,1030,1985,1157,1254,2416,1340,1441,2781,1108,1263,2371,1352,1605,2956,1469,1876,3338,161,164,327,263,269,538,300,319,623,6724,7239,13969,8191,8807,16999,9892,10584,20479,8975,8245,17213,8507,7333,15842,11110,11083,22194,159654,164382,324034,176747,180477,357218,195739,201653,397397
9,0,23,0,23,8,0,8,0,3,3,9,3,13,24,42,69,0,0,3,0,0,3,0,0,0,31,15,51,37,21,54,37,18,51,0,0,3,6,4,7,20,15,34,0,0,0,4,0,3,3,0,3,0,4,4,5,6,17,8,13,24,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,32,22,58,33,31,69,78,58,140,3,3,8,0,3,5,5,5,11,0,0,0,3,0,5,26,5,33,0,0,0,0,0,4,0,3,4,14,13,27,151,11,166,97,31,131,126,47,167,227,71,294,318,255,573,1261,1052,2320,1967,1061,3029,2462,2120,4587
