STE_CODE_2016,C06_0_4_Indig_M,C06_0_4_Indig_F,C06_0_4_Indig_P,C06_0_4_NonInd_M,C06_0_4_NonInd_F,C06_0_4_NonInd_P,C06_0_4_Indig_st_ns_M,C06_0_4_Indig_st_ns_F,C06_0_4_Indig_st_ns_P,C06_0_4_T_M,C06_0_4_T_F,C06_0_4_T_P,C06_5_9_Indig_M,C06_5_9_Indig_F,C06_5_9_Indig_P,C06_5_9_NonInd_M,C06_5_9_NonInd_F,C06_5_9_NonInd_P,C06_5_9_Indig_st_ns_M,C06_5_9_Indig_st_ns_F,C06_5_9_Indig_st_ns_P,C06_5_9_T_M,C06_5_9_T_F,C06_5_9_T_P,C06_10_14_Indigen_M,C06_10_14_Indigen_F,C06_10_14_Indigen_P,C06_10_14_NonInd_M,C06_10_14_NonInd_F,C06_10_14_NonInd_P,C06_10_14_Ind_st_ns_M,C06_10_14_Ind_st_ns_F,C06_10_14_Ind_st_ns_P,C06_10_14_T_M,C06_10_14_T_F,C06_10_14_T_P,C06_15_19_Indigen_M,C06_15_19_Indigen_F,C06_15_19_Indigen_P,C06_15_19_NonInd_M,C06_15_19_NonInd_F,C06_15_19_NonInd_P,C06_15_19_Ind_st_ns_M,C06_15_19_Ind_st_ns_F,C06_15_19_Ind_st_ns_P,C06_15_19_T_M,C06_15_19_T_F,C06_15_19_T_P,C06_20_24_Indigen_M,C06_20_24_Indigen_F,C06_20_24_Indigen_P,C06_20_24_NonInd_M,C06_20_24_NonInd_F,C06_20_24_NonInd_P,C06_20_24_Ind_st_ns_M,C06_20_24_Ind_st_ns_F,C06_20_24_Ind_st_ns_P,C06_20_24_T_M,C06_20_24_T_F,C06_20_24_T_P,C06_25_29_Indigen_M,C06_25_29_Indigen_F,C06_25_29_Indigen_P,C06_25_29_NonInd_M,C06_25_29_NonInd_F,C06_25_29_NonInd_P,C06_25_29_Ind_st_ns_M,C06_25_29_Ind_st_ns_F,C06_25_29_Ind_st_ns_P,C06_25_29_T_M,C06_25_29_T_F,C06_25_29_T_P,C06_30_34_Indigen_M,C06_30_34_Indigen_F,C06_30_34_Indigen_P,C06_30_34_NonInd_M,C06_30_34_NonInd_F,C06_30_34_NonInd_P,C06_30_34_Ind_st_ns_M,C06_30_34_Ind_st_ns_F,C06_30_34_Ind_st_ns_P,C06_30_34_T_M,C06_30_34_T_F,C06_30_34_T_P,C06_35_39_Indigen_M,C06_35_39_Indigen_F,C06_35_39_Indigen_P,C06_35_39_NonInd_M,C06_35_39_NonInd_F,C06_35_39_NonInd_P,C06_35_39_Ind_st_ns_M,C06_35_39_Ind_st_ns_F,C06_35_39_Ind_st_ns_P,C06_35_39_T_M,C06_35_39_T_F,C06_35_39_T_P,C06_40_44_Indigen_M,C06_40_44_Indigen_F,C06_40_44_Indigen_P,C06_40_44_NonInd_M,C06_40_44_NonInd_F,C06_40_44_NonInd_P,C06_40_44_Ind_st_ns_M,C06_40_44_Ind_st_ns_F,C06_40_44_Ind_st_ns_P,C06_40_44_T_M,C06_40_44_T_F,C06_40_44_T_P,C06_45_49_Indigen_M,C06_45_49_Indigen_F,C06_45_49_Indigen_P,C06_45_49_NonInd_M,C06_45_49_NonInd_F,C06_45_49_NonInd_P,C06_45_49_Ind_st_ns_M,C06_45_49_Ind_st_ns_F,C06_45_49_Ind_st_ns_P,C06_45_49_T_M,C06_45_49_T_F,C06_45_49_T_P,C06_50_54_Indigen_M,C06_50_54_Indigen_F,C06_50_54_Indigen_P,C06_50_54_NonInd_M,C06_50_54_NonInd_F,C06_50_54_NonInd_P,C06_50_54_Ind_st_ns_M,C06_50_54_Ind_st_ns_F,C06_50_54_Ind_st_ns_P,C06_50_54_T_M,C06_50_54_T_F,C06_50_54_T_P,C06_55_59_Indigen_M,C06_55_59_Indigen_F,C06_55_59_Indigen_P,C06_55_59_NonInd_M,C06_55_59_NonInd_F,C06_55_59_NonInd_P,C06_55_59_Ind_st_ns_M,C06_55_59_Ind_st_ns_F,C06_55_59_Ind_st_ns_P,C06_55_59_T_M,C06_55_59_T_F,C06_55_59_T_P,C06_60_64_Indigen_M,C06_60_64_Indigen_F,C06_60_64_Indigen_P,C06_60_64_NonInd_M,C06_60_64_NonInd_F,C06_60_64_NonInd_P,C06_60_64_Ind_st_ns_M,C06_60_64_Ind_st_ns_F,C06_60_64_Ind_st_ns_P,C06_60_64_T_M,C06_60_64_T_F,C06_60_64_T_P,C06_65_over_Indigen_M,C06_65_over_Indigen_F,C06_65_over_Indigen_P,C06_65ove_NonInd_M,C06_65ove_NonInd_F,C06_65ove_NonInd_P,C06_65ove_Indig_st_ns_M,C06_65ove_Indig_st_ns_F,C06_65ove_Indig_st_ns_P,C06_65_over_T_M,C06_65_over_T_F,C06_65_over_T_P,C06_Tot_Indig_M,C06_Tot_Indig_F,C06_Tot_Indig_P,C06_Tot_NonInd_M,C06_Tot_NonInd_F,C06_Tot_NonInd_P,C06_Tot_Indig_st_ns_M,C06_Tot_Indig_st_ns_F,C06_Tot_Indig_st_ns_P,C06_Tot_T_M,C06_Tot_T_F,C06_Tot_T_P,C11_0_4_Indig_M,C11_0_4_Indig_F,C11_0_4_Indig_P,C11_0_4_NonInd_M,C11_0_4_NonInd_F,C11_0_4_NonInd_P,C11_0_4_Indig_st_ns_M,C11_0_4_Indig_st_ns_F,C11_0_4_Indig_st_ns_P,C11_0_4_T_M,C11_0_4_T_F,C11_0_4_T_P,C11_5_9_Indig_M,C11_5_9_Indig_F,C11_5_9_Indig_P,C11_5_9_NonInd_M,C11_5_9_NonInd_F,C11_5_9_NonInd_P,C11_5_9_Indig_st_ns_M,C11_5_9_Indig_st_ns_F
1,8883,8338,17223,194136,182781,376910,13503,12795,26303,216514,203914,420434,9105,8596,17702,199545,189033,388578,13102,12540,25644,221753,210171,431927,9327,8937,18266,207030,196521,403549,12958,11787,24750,229319,217242,446564,7765,7139,14906,205055,196102,401161,12755,11043,23794,225577,214291,439863,5518,5352,10872,195837,194762,390603,16822,13555,30383,218178,213675,431855,4100,4367,8464,189312,195465,384774,16998,13909,30912,210414,213738,424153,4154,4773,8930,208045,220275,428317,15983,13659,29644,228182,238705,466887,4170,4904,9072,212357,226158,438510,14549,12555,27106,231071,243615,474681,3753,4464,8222,219894,228852,448746,14273,11916,26192,237925,245236,483155,3326,3737,7060,216944,226316,443256,13675,11245,24917,233943,241289,475231,2726,2917,5640,197093,204248,401342,11859,10258,22122,211672,217424,429105,2063,2246,4314,187441,189060,376503,11468,9638,21111,200974,200945,401922,1451,1490,2949,148585,148822,297404,9139,8139,17278,159174,158454,317623,2143,2753,4901,374565,465169,839740,27036,34096,61135,403752,502027,905778,68478,70029,138509,2955842,3063553,6019396,204132,187144,391273,3228451,3320726,6549174,10848,10567,21408,212482,201660,414139,12010,11173,23180,235335,223400,458736,10516,9875,20391,202274,190884,393159,10896,10160
2,1770,1807,3581,146211,139160,285376,8681,8297,16979,156664,149270,305939,1868,1935,3801,151172,142936,294105,8674,8243,16918,161713,153115,314825,1926,1817,3743,158533,150384,308910,8696,8279,16973,169151,160477,329626,1568,1621,3185,160956,154118,315076,9057,7868,16918,171578,163607,335183,1252,1229,2483,158038,157218,315258,11844,9134,20972,171130,167582,338711,980,1036,2015,149459,153145,302607,10776,8429,19207,161217,162607,323828,943,1064,2004,161683,171855,333536,9947,8564,18511,172573,181478,354053,959,1065,2028,170957,183981,354940,9686,8388,18074,181602,193440,375041,855,939,1796,168593,178919,347515,9239,7757,16995,178692,187615,366304,716,764,1485,165045,173640,338686,8850,7478,16332,174622,181878,356498,624,614,1236,150007,156719,306723,8034,7020,15055,158666,164353,323017,464,494,952,139587,145735,285323,7653,6958,14608,147702,153181,300888,300,332,627,109327,111524,220852,6268,5856,12124,115891,117713,233598,520,694,1214,278580,348754,627334,20122,26247,46366,299222,375689,674910,14742,15397,30143,2268143,2368106,4636251,137525,128506,266027,2420415,2512009,4932422,2383,2311,4692,166242,157437,323678,8478,7892,16366,177098,167636,344733,2184,2099,4286,157282,149626,306909,7766,7158
3,8305,8157,16460,116142,109499,225642,7726,7251,14974,132171,124911,257076,8434,8196,16632,120905,114995,235898,7878,7509,15386,137221,130693,267918,8507,8023,16530,127808,121637,249444,8176,7388,15565,144489,137053,281541,6853,6539,13387,123393,119017,242409,7933,6573,14506,138175,132125,270300,5052,5170,10223,119958,120797,240754,10235,7693,17924,135243,133663,268905,4209,4459,8667,110836,113934,224771,8876,6639,15513,123915,125033,248949,4278,4672,8951,121893,128793,250687,8319,6694,15017,134494,140158,274655,4038,4606,8641,127500,135935,263433,8268,6798,15061,139805,147331,287141,3525,3932,7459,128557,137024,265576,8519,6870,15390,140603,147822,288429,2853,3158,6018,127154,133948,261097,8378,6457,14831,138385,143561,281948,2250,2550,4804,117422,121297,238715,7694,6018,13715,127368,129869,257241,1694,1924,3619,114679,114534,229207,7194,5716,12908,123571,122170,245734,1077,1282,2358,90556,88568,179125,5648,4681,10332,97287,94529,191810,1609,2218,3830,205612,239659,445265,15440,18360,33795,222654,260233,482887,62690,64893,127581,1752415,1799628,3552044,120281,104633,224909,1935378,1969151,3904531,10472,9910,20385,134911,127388,262299,7836,7374,15207,153228,144670,297895,9755,9458,19219,130416,123065,253476,7414,6874
4,1522,1459,2980,41127,39055,80180,2228,1940,4170,44882,42455,87332,1613,1565,3178,43945,42170,86121,2275,2046,4316,47829,45785,93613,1561,1568,3133,47417,44869,92286,2298,2153,4455,51288,48592,99877,1416,1415,2829,48184,45413,93591,2402,1939,4340,51999,48760,100757,1084,1119,2202,47068,46134,93205,2780,1913,4698,50933,49171,100106,816,924,1738,41789,41426,83220,2273,1621,3897,44882,43973,88855,871,930,1805,45136,46050,91191,2123,1770,3894,48132,48758,96890,814,927,1736,50091,51489,101582,2449,1901,4353,53354,54312,107673,732,826,1559,51848,53586,105433,2479,1920,4400,55057,56338,111393,594,678,1269,52494,54390,106880,2514,2007,4522,55606,57070,112671,508,515,1029,48411,50657,99070,2287,1829,4116,51210,53005,104216,324,365,691,46794,48453,95240,2110,1882,3992,49227,50693,99921,230,273,505,36374,37604,73976,1714,1709,3422,38312,39587,77902,367,543,908,95973,121512,217484,6152,8588,14735,102494,130634,233128,12451,13110,25554,696662,722801,1419461,36103,33218,69315,745209,769131,1514340,1833,1746,3579,45359,43388,88749,1947,1869,3819,49137,47000,96143,1794,1670,3467,44221,41839,86057,1910,1765
5,3473,3485,6958,55892,53295,109196,4506,4149,8663,63876,60935,124812,3898,3651,7549,59340,56294,115632,4632,4354,8989,67873,64297,132166,3688,3505,7186,63396,59784,123182,4783,4301,9087,71863,67591,139457,3155,3055,6215,64048,61160,125211,4678,3893,8568,71879,68109,139994,2447,2495,4948,61665,59749,121415,5622,4047,9661,69727,66289,136019,2113,2144,4258,55633,56115,111746,5047,3764,8808,62792,62025,124816,2089,2122,4211,60555,63124,123679,4900,3837,8731,67536,69083,136620,1906,2167,4073,66054,68402,134456,5254,4095,9347,73206,74668,147875,1665,1797,3458,66766,69406,136168,5087,4049,9132,73517,75249,148762,1418,1526,2943,65788,68459,134244,4947,3794,8736,72144,73777,145926,1085,1228,2318,60584,62843,123428,4578,3451,8033,66252,67527,133778,750,858,1606,57474,56547,114024,3972,3207,7183,62197,60609,122808,495,591,1082,42679,41189,83867,3055,2488,5548,46226,44268,90497,815,1095,1911,98452,118350,216800,7755,9087,16844,107024,128530,235557,28989,29721,58709,878324,894725,1773046,68810,58516,127326,976122,982963,1959087,4184,4053,8237,69129,65083,134211,4543,4273,8814,77856,73409,151263,4094,4130,8221,64983,61745,126727,4023,3804
6,967,918,1881,13051,12238,25289,789,704,1495,14803,13860,28662,1058,961,2016,14340,13635,27973,850,782,1630,16240,15377,31620,1099,1088,2184,15481,14493,29977,788,802,1585,17363,16378,33743,1055,938,1999,14976,14361,29331,826,664,1491,16859,15962,32821,682,744,1423,13066,13154,26222,738,566,1302,14489,14457,28945,492,540,1028,11199,11979,23181,564,485,1051,12256,13004,25255,452,540,993,12753,13875,26628,601,566,1169,13803,14982,28783,515,606,1120,14498,15705,30202,683,629,1310,15698,16942,32641,452,554,1000,15508,16396,31907,707,641,1355,16667,17586,34255,432,506,934,16425,17408,33834,796,635,1428,17653,18545,36199,369,336,701,15585,16250,31835,688,607,1299,16642,17192,33832,289,278,571,15215,15563,30775,704,626,1333,16208,16467,32677,198,162,359,12130,12211,24346,613,591,1203,12941,12963,25909,258,309,565,29338,35983,65319,2169,3084,5255,31764,39382,71144,8307,8460,16768,213559,223249,436809,11518,11382,22901,233383,243100,476481,1193,1215,2404,14182,13298,27482,644,647,1298,16016,15164,31184,1130,1044,2176,13797,13055,26848,618,587
7,3117,2899,6013,4350,4215,8561,656,640,1299,8121,7749,15866,3399,3187,6589,4269,4048,8316,703,576,1275,8366,7808,16178,3119,2935,6051,4210,4000,8211,700,602,1299,8027,7533,15564,2854,2711,5560,3976,3603,7576,631,518,1146,7457,6827,14283,2442,2532,4977,4573,4250,8825,708,571,1283,7726,7355,15084,2077,2282,4353,4992,5051,10046,685,605,1293,7752,7938,15689,2055,2234,4283,5320,5380,10703,758,623,1381,8128,8235,16370,1864,2028,3890,5577,5369,10946,708,613,1325,8145,8016,16166,1531,1615,3151,5489,5020,10508,760,574,1335,7778,7209,14994,1257,1356,2621,5255,4908,10163,739,565,1308,7251,6834,14088,943,1127,2073,4745,4427,9173,676,476,1147,6362,6028,12390,619,742,1358,4468,3532,7997,558,357,912,5637,4628,10269,445,590,1032,2887,2123,5016,409,235,639,3739,2950,6686,659,1056,1708,3706,3004,6705,507,358,868,4864,4414,9279,26369,27295,53661,63806,58922,122734,9193,7310,16503,99372,93532,192899,3128,2988,6118,5018,4699,9717,687,600,1291,8831,8286,17119,3412,3194,6600,4316,4330,8640,611,561
8,204,242,450,9619,9114,18729,486,459,945,10311,9818,20126,239,234,473,9606,9432,19035,459,457,909,10298,10123,20422,268,209,480,10226,9803,20032,437,441,870,10932,10451,21382,217,197,418,11402,10718,22122,590,454,1048,12211,11376,23584,187,178,366,13100,12611,25708,846,657,1507,14133,13447,27578,134,146,285,11591,11983,23572,764,614,1382,12492,12746,25239,147,142,294,11532,12081,23613,640,512,1159,12322,12735,25060,130,165,291,11474,11970,23444,575,458,1026,12176,12591,24770,113,127,243,11021,11848,22870,580,457,1039,11711,12438,24147,85,105,194,10885,11905,22784,526,463,992,11499,12478,23971,91,79,175,10039,10914,20950,475,434,911,10607,11423,22030,53,42,95,9420,9861,19277,456,382,842,9923,10289,20214,25,28,58,6592,6723,13312,312,266,580,6926,7019,13946,24,35,62,13279,16394,29676,790,1024,1818,14100,17454,31557,1927,1943,3876,149784,155359,305137,7944,7083,15025,159654,164382,324034,321,252,571,11570,10802,22369,500,403,902,12388,11458,23843,285,269,553,10413,9746,20161,367,329
9,14,12,25,56,78,128,3,0,3,72,86,154,12,16,20,83,85,171,9,3,11,100,102,206,11,6,17,81,80,164,11,3,12,98,90,190,9,10,21,45,47,86,13,3,14,66,56,121,9,10,18,62,55,114,20,0,20,86,67,155,12,11,18,51,52,104,17,0,17,79,62,143,4,12,19,59,62,122,13,0,13,77,71,152,10,9,18,84,90,181,3,4,9,97,106,203,4,4,11,98,82,181,15,8,21,120,94,211,13,8,19,83,83,164,9,0,10,100,90,191,9,4,11,89,83,171,8,4,6,103,86,191,5,7,13,102,42,145,7,3,8,117,53,169,6,3,9,59,32,89,5,0,4,69,38,106,4,3,7,71,47,118,8,0,9,86,52,133,116,111,225,1025,907,1931,123,30,153,1261,1052,2320,8,12,22,61,45,102,6,6,12,79,66,142,15,11,28,67,71,132,8,6
