STE_CODE_2016,C11_F_65_69_Tot_LF,C11_F_65_69_Notin_LF,C11_F_65_69_LF_NS,C11_F_65_69_Tot,C11_F_70_74_Em_FT,C11_F_70_74_Em_PT,C11_F_70_74_Em_AFW,C11_F_70_74_Em_Hrs_NS,C11_F_70_74_Em_Tot,C11_F_70_74_Unem_Look_FT,C11_F_70_74_Unem_Look_PT,C11_F_70_74_Unem_Tot,C11_F_70_74_Tot_LF,C11_F_70_74_Notin_LF,C11_F_70_74_LF_NS,C11_F_70_74_Tot,C11_F_75ov_Em_FT,C11_F_75ov_Em_PT,C11_F_75ov_Emp_A_fr_wo,C11_F_75ov_Em_Hou_wor_ns,C11_F_75over_Em_Tot,C11_F_75ov_Unem_Lo_ft_wor,C11_F_75ov_Unem_Lo_pt_wor,C11_F_75over_Unem_Tot,C11_F_75ov_Tot_LF,C11_F_75over_N_lab_forc,C11_F_75ov_LF_NS,C11_F_75andOver_Tot,C11_F_Tot_Em_FT,C11_F_Tot_Em_PT,C11_F_Tot_Em_AFW,C11_F_Tot_Em_Hrs_NS,C11_F_Tot_Em_Tot,C11_F_Tot_Unem_Look_FT,C11_F_Tot_Unem_Look_PT,C11_F_Tot_Unem_Tot,C11_F_T_T_labo_for,C11_F_Tot_Notin_LF,C11_F_Tot_LF_NS,C11_F_T_T,C16_F_15_19_Em_FT,C16_F_15_19_Em_PT,C16_F_15_19_Em_AFW,C16_F_15_19_Em_Hrs_NS,C16_F_15_19_Em_Tot,C16_F_15_19_Unem_Look_FT,C16_F_15_19_Unem_Look_PT,C16_F_15_19_Unem_Tot,C16_F_15_19_Tot_LF,C16_F_15_19_Notin_LF,C16_F_15_19_LF_NS,C16_F_15_19_Tot,C16_F_20_24_Em_FT,C16_F_20_24_Em_PT,C16_F_20_24_Em_AFW,C16_F_20_24_Em_Hrs_NS,C16_F_20_24_Em_Tot,C16_F_20_24_Unem_Look_FT,C16_F_20_24_Unem_Look_PT,C16_F_20_24_Unem_Tot,C16_F_20_24_Tot_LF,C16_F_20_24_Notin_LF,C16_F_20_24_LF_NS,C16_F_20_24_Tot,C16_F_25_29_Em_FT,C16_F_25_29_Em_PT,C16_F_25_29_Em_AFW,C16_F_25_29_Em_Hrs_NS,C16_F_25_29_Em_Tot,C16_F_25_29_Unem_Look_FT,C16_F_25_29_Unem_Look_PT,C16_F_25_29_Unem_Tot,C16_F_25_29_Tot_LF,C16_F_25_29_Notin_LF,C16_F_25_29_LF_NS,C16_F_25_29_Tot,C16_F_30_34_Em_FT,C16_F_30_34_Em_PT,C16_F_30_34_Em_AFW,C16_F_30_34_Em_Hrs_NS,C16_F_30_34_Em_Tot,C16_F_30_34_Unem_Look_FT,C16_F_30_34_Unem_Look_PT,C16_F_30_34_Unem_Tot,C16_F_30_34_Tot_LF,C16_F_30_34_Notin_LF,C16_F_30_34_LF_NS,C16_F_30_34_Tot,C16_F_35_39_Em_FT,C16_F_35_39_Em_PT,C16_F_35_39_Em_AFW,C16_F_35_39_Em_Hrs_NS,C16_F_35_39_Em_Tot,C16_F_35_39_Unem_Look_FT,C16_F_35_39_Unem_Look_PT,C16_F_35_39_Unem_Tot,C16_F_35_39_Tot_LF,C16_F_35_39_Notin_LF,C16_F_35_39_LF_NS,C16_F_35_39_Tot,C16_F_40_44_Em_FT,C16_F_40_44_Em_PT,C16_F_40_44_Em_AFW,C16_F_40_44_Em_Hrs_NS,C16_F_40_44_Em_Tot,C16_F_40_44_Unem_Look_FT,C16_F_40_44_Unem_Look_PT,C16_F_40_44_Unem_Tot,C16_F_40_44_Tot_LF,C16_F_40_44_Notin_LF,C16_F_40_44_LF_NS,C16_F_40_44_Tot,C16_F_45_49_Em_FT,C16_F_45_49_Em_PT,C16_F_45_49_Em_AFW,C16_F_45_49_Em_Hrs_NS,C16_F_45_49_Em_Tot,C16_F_45_49_Unem_Look_FT,C16_F_45_49_Unem_Look_PT,C16_F_45_49_Unem_Tot,C16_F_45_49_Tot_LF,C16_F_45_49_Notin_LF,C16_F_45_49_LF_NS,C16_F_45_49_Tot,C16_F_50_54_Em_FT,C16_F_50_54_Em_PT,C16_F_50_54_Em_AFW,C16_F_50_54_Em_Hrs_NS,C16_F_50_54_Em_Tot,C16_F_50_54_Unem_Look_FT,C16_F_50_54_Unem_Look_PT,C16_F_50_54_Unem_Tot,C16_F_50_54_Tot_LF,C16_F_50_54_Notin_LF,C16_F_50_54_LF_NS,C16_F_50_54_Tot,C16_F_55_59_Em_FT,C16_F_55_59_Em_PT,C16_F_55_59_Em_AFW,C16_F_55_59_Em_Hrs_NS,C16_F_55_59_Em_Tot,C16_F_55_59_Unem_Look_FT,C16_F_55_59_Unem_Look_PT,C16_F_55_59_Unem_Tot,C16_F_55_59_Tot_LF,C16_F_55_59_Notin_LF,C16_F_55_59_LF_NS,C16_F_55_59_Tot,C16_F_60_64_Em_FT,C16_F_60_64_Em_PT,C16_F_60_64_Em_AFW,C16_F_60_64_Em_Hrs_NS,C16_F_60_64_Em_Tot,C16_F_60_64_Unem_Look_FT,C16_F_60_64_Unem_Look_PT,C16_F_60_64_Unem_Tot,C16_F_60_64_Tot_LF,C16_F_60_64_Notin_LF,C16_F_60_64_LF_NS,C16_F_60_64_Tot,C16_F_65_69_Em_FT,C16_F_65_69_Em_PT,C16_F_65_69_Em_AFW,C16_F_65_69_Em_Hrs_NS,C16_F_65_69_Em_Tot,C16_F_65_69_Unem_Look_FT,C16_F_65_69_Unem_Look_PT,C16_F_65_69_Unem_Tot,C16_F_65_69_Tot_LF,C16_F_65_69_Notin_LF,C16_F_65_69_LF_NS,C16_F_65_69_Tot,C16_F_70_74_Em_FT,C16_F_70_74_Em_PT,C16_F_70_74_Em_AFW,C16_F_70_74_Em_Hrs_NS,C16_F_70_74_Em_Tot,C16_F_70_74_Unem_Look_FT,C16_F_70_74_Unem_Look_PT,C16_F_70_74_Unem_Tot,C16_F_70_74_Tot_LF,C16_F_70_74_Notin_LF,C16_F_70_74_LF_NS,C16_F_70_74_Tot,C16_F_75ov_Em_FT,C16_F_75ov_Em_PT,C16_F_75ov_Emp_Aw_fr_w,C16_F_75ov_Emp_Hou_w_ns,C16_F_75over_Em_Tot,C16_F_75ov_Unem_Lo_ft_wor,C16_F_75ov_Unem_Lo_pt_wor,C16_F_75ov_Unemp_Tot,C16_F_75ov_Tot_lab_for,C16_F_75ov_N_lab_forc,C16_F_75ov_LF_NS,C16_F_75ov_yr_Tot,C16_F_Tot_Em_FT,C16_F_Tot_Em_PT,C16_F_Tot_Em_AFW,C16_F_Tot_Em_Hrs_NS
1,26851,118597,8212,153666,1985,5232,554,354,8126,24,95,117,8251,106707,7984,122935,925,2456,443,525,4352,27,90,122,4473,243302,30129,277905,736381,630626,68712,28196,1463918,43100,48051,91144,1555066,1152321,153459,2860841,11224,67000,3497,2385,84110,4098,13280,17376,101483,106442,10392,218321,68782,74555,4853,3759,151949,7195,9335,16529,168479,57753,14958,241181,115705,54944,8261,3392,182304,6614,5589,12201,194503,54120,17957,266576,102581,66651,13430,2983,185644,5420,5221,10639,196282,61045,17056,274381,86629,73798,8934,2537,171902,4633,5150,9784,181683,56433,14238,252361,94405,79294,4789,2582,181070,4467,5190,9662,190730,51845,13689,256264,98710,74542,3976,2550,179773,4624,4499,9120,188890,50382,13566,252842,93417,68789,4636,2462,169302,4332,3962,8295,177597,55511,13574,246685,75610,62755,5248,2051,145662,3303,3656,6956,152622,74735,13599,240946,40266,45830,4136,1460,91696,1862,2627,4481,96178,106828,12759,215760,12939,22971,2016,807,38735,185,567,750,39489,143783,12831,196098,3271,8466,710,493,12943,51,198,247,13188,126229,11035,150452,1409,3658,371,768,6205,84,122,206,6408,265912,35637,307961,804943,703243,64865,28228
2,19909,88714,6271,114894,1204,3821,396,328,5746,25,63,89,5834,80372,6216,92421,617,1699,342,413,3067,32,47,82,3149,182836,23738,209718,560290,539519,56372,22932,1179113,30993,37936,68930,1248043,876083,111293,2235423,5359,55607,2362,1946,65277,2638,13098,15731,81008,85215,8269,174492,49640,68503,4063,3032,125234,6438,9754,16191,141425,50644,11994,204065,95705,48486,6702,2775,153672,6145,5049,11192,164866,44503,14337,223709,83149,57085,11677,2380,154288,4893,4361,9251,163543,50980,13798,228322,64012,64166,8012,1957,138149,3756,4214,7967,146113,46839,11155,204112,67661,70564,4258,2075,144547,3971,4613,8582,153136,41878,10815,205832,73870,68983,3649,2158,148659,3701,3891,7587,156242,40114,10911,207268,68840,60183,4133,1949,135108,3330,3025,6356,141462,41833,10485,193778,53899,53889,4510,1613,113909,2529,2681,5205,119121,54976,10355,184447,28787,39489,3713,1156,73148,1344,2016,3362,76501,79099,9836,165445,8829,18877,1793,647,30140,131,483,605,30753,110641,9915,151307,2062,6281,586,400,9328,37,148,193,9523,95466,8471,113466,972,2688,332,559,4546,62,103,165,4711,205671,25595,235981,602794,614789,55788,22643
3,16081,71667,4899,92644,1173,2776,274,227,4448,28,58,86,4533,59852,4754,69142,513,1129,197,304,2139,22,37,58,2199,121001,17710,140901,477301,418656,44168,17667,957791,31191,30883,62080,1019870,643662,94867,1758400,9320,53525,2101,1693,66639,4439,11058,15495,82134,55107,7850,145089,47713,48027,3275,1932,100947,6539,6000,12541,113491,33154,10922,157576,64366,37134,5788,1808,109100,4994,3930,8929,118024,32993,11603,162626,57230,44548,8235,1583,111588,4079,3746,7820,119413,36044,10762,166214,51597,48601,5181,1455,106826,3456,3542,6994,113823,32713,9237,155774,60720,52560,3113,1735,118128,3890,3535,7424,125555,30055,9595,165197,65677,49658,2932,1627,119889,3949,2994,6941,126835,28810,9815,165460,60808,44368,3489,1439,110110,3612,2490,6107,116213,31841,9653,157709,47584,39192,3593,1200,91570,2794,2225,5015,96585,43583,9309,149472,25678,28346,2767,879,57667,1558,1800,3352,61018,63383,8725,133128,7951,13642,1190,493,23272,141,405,549,23819,90188,8515,122526,1967,4781,369,311,7426,43,145,184,7618,76863,7006,91484,796,1874,194,451,3317,59,43,105,3417,140747,20705,164865,501391,466256,42229,16602
4,6310,30399,1642,38348,392,1148,160,72,1765,9,19,32,1795,27185,1760,30738,152,498,105,127,888,8,14,22,907,64765,7225,72892,155054,169222,17963,5842,348085,9465,10608,20077,368159,272852,28380,669388,1772,17050,702,464,19982,1012,3869,4883,24860,22310,1989,49169,12484,18777,1272,634,33165,2014,2277,4293,37460,12772,2531,52766,20087,13404,2174,596,36261,1660,1354,3016,39280,11871,2709,53854,17169,16918,3290,525,37911,1308,1147,2453,40364,12930,2689,55981,14594,18412,2016,420,35436,1252,1250,2501,37941,11436,2322,51696,17257,19809,1201,466,38725,1131,1096,2229,40954,10339,2291,53580,20448,20133,1110,486,42184,1215,1047,2259,44443,10417,2577,57433,20335,18688,1372,463,40855,1047,872,1922,42776,11918,2639,57339,16942,17399,1561,382,36288,786,758,1542,37825,16554,2845,57228,9613,12706,1247,319,23880,422,569,991,24868,25048,2607,52525,2846,5891,603,189,9520,32,113,141,9662,37273,2700,49640,644,2000,176,127,2942,14,41,53,2992,32479,2422,37896,315,817,97,194,1425,17,32,48,1467,70273,7214,78962,154498,182009,16808,5271
5,8646,31899,2214,42757,493,1654,169,93,2414,13,25,31,2448,29312,2186,33944,196,645,115,116,1073,5,27,28,1102,61457,8147,70701,239235,223758,25525,8622,497142,11931,13760,25690,522836,324861,51165,898860,4040,24720,981,723,30463,1784,5540,7325,37784,31434,3666,72882,23397,25005,1690,1085,51170,2976,3074,6054,57221,15319,5231,77777,37529,19813,3113,990,61450,2722,2348,5072,66527,18567,6850,91940,31397,25249,4541,869,62055,2349,2422,4767,66825,22888,6568,96284,24542,27556,2919,737,55756,2062,2323,4385,60142,20407,5183,85735,27338,29408,1780,798,59322,2152,2271,4420,63739,16969,5076,85786,31176,28203,1753,854,61985,2174,1748,3919,65905,15013,5024,85943,29649,24647,2005,752,57056,1885,1396,3279,60340,15710,4842,80893,23471,22012,2152,634,48266,1331,1238,2571,50833,20217,4735,75781,12950,16901,1666,407,31921,730,922,1648,33573,29503,4233,67311,3905,8044,801,223,12974,76,228,305,13274,41576,3997,58856,822,2748,249,132,3952,22,77,98,4054,34712,3295,42054,342,1132,114,175,1768,30,38,66,1830,70349,10640,82814,250575,255437,23754,8375
6,1837,10261,614,12713,111,383,34,21,544,0,4,4,547,8809,610,9961,36,130,28,26,226,0,4,7,231,18580,2080,20894,44305,52536,5709,1673,104226,3129,3191,6315,110538,87561,8837,206939,782,5166,283,175,6413,353,972,1324,7738,6617,767,15118,3750,4854,405,157,9168,532,508,1046,10210,3530,830,14574,4765,3961,626,134,9488,355,369,724,10219,3562,835,14611,4122,4973,867,120,10078,274,317,582,10663,3598,824,15083,3821,5630,573,115,10142,253,286,538,10675,3345,788,14811,5056,6251,418,139,11862,292,297,589,12458,3104,858,16419,6099,6251,435,182,12958,323,272,596,13555,3407,900,17863,6209,5902,531,156,12796,318,260,574,13371,3885,1028,18291,5206,5785,636,155,11789,222,241,464,12250,5909,1146,19309,2659,4134,463,110,7363,126,229,356,7720,8944,1120,17781,731,1768,184,67,2744,17,42,58,2807,12806,1157,16768,175,588,51,42,859,3,3,5,867,10675,993,12539,74,264,31,60,433,6,10,15,444,20544,2352,23341,43443,55547,5494,1611
7,632,1499,234,2362,67,88,18,5,172,0,6,3,183,1128,165,1475,27,44,4,10,85,0,0,0,86,1500,280,1865,28749,13135,2594,1137,45616,1522,899,2417,48031,22928,7549,78510,628,1394,64,97,2179,261,232,496,2675,3171,756,6597,2677,1240,164,155,4233,371,133,506,4740,2045,1013,7795,4389,1434,351,153,6327,311,154,467,6792,2393,1391,10571,4002,1768,453,154,6374,258,170,434,6804,2432,1233,10471,3360,1666,307,103,5441,236,145,383,5823,1973,953,8746,3470,1490,194,90,5242,220,106,326,5571,1578,888,8039,3670,1314,197,118,5291,202,83,284,5576,1430,914,7920,3365,1036,210,105,4720,179,78,262,4983,1352,828,7155,2694,966,198,68,3925,98,41,140,4064,1465,766,6289,1556,697,132,45,2430,49,55,102,2536,1765,606,4899,553,384,61,34,1034,22,23,38,1068,1894,399,3364,116,141,10,11,281,4,3,8,282,1452,243,1985,40,61,9,13,118,0,0,3,117,2006,303,2427,30527,13580,2350,1135
8,1432,4802,250,6489,69,247,21,8,350,4,7,8,361,4149,252,4759,20,95,7,10,139,0,0,0,139,8560,949,9648,54878,33150,6035,1240,95298,1342,1981,3323,98622,43798,5918,148336,799,4562,201,181,5738,133,992,1128,6868,4787,488,12145,4932,4849,399,256,10435,306,554,860,11295,3401,867,15565,8898,2938,734,144,12718,283,225,513,13223,2334,975,16542,7697,3982,1362,150,13194,278,230,508,13708,2516,920,17142,6518,4352,863,125,11853,238,186,417,12273,2171,724,15176,6954,3999,434,102,11487,191,173,364,11847,1798,643,14288,7098,3370,317,118,10904,164,125,290,11194,1582,615,13394,6614,2789,378,89,9875,152,118,269,10144,1882,562,12590,4737,2361,369,73,7539,113,133,248,7788,3188,585,11559,2321,1879,267,54,4523,55,75,129,4653,4826,558,10037,669,1046,115,30,1859,12,44,54,1917,6699,462,9078,141,343,34,15,532,3,16,20,556,5451,432,6435,42,153,23,19,236,5,11,12,250,10036,1476,11756,57431,36623,5493,1348
9,3,22,0,26,0,0,0,0,0,0,0,0,0,13,0,14,0,0,0,0,0,0,0,0,0,15,0,19,301,135,23,15,473,12,9,17,492,282,41,822,4,26,3,9,43,3,0,3,46,48,12,110,29,15,3,0,44,3,0,3,45,15,6,72,46,16,6,0,64,3,0,3,71,15,12,99,43,43,12,0,93,4,0,4,100,34,18,142,53,32,8,3,96,3,0,3,99,32,5,143,60,42,8,0,114,3,3,5,117,23,12,152,70,41,7,4,116,3,0,4,124,25,18,161,72,34,5,8,116,0,0,0,116,28,27,170,63,39,11,0,118,3,4,7,125,36,27,184,43,34,3,3,80,0,0,0,82,63,20,162,26,24,3,3,53,0,0,0,53,51,19,124,11,14,0,0,22,0,0,0,22,55,5,86,0,9,0,0,14,0,0,0,14,93,16,121,524,361,62,33
