STE_CODE_2016,C16_1500_1999_R100_149,C16_1500_1999_R150_199,C16_1500_1999_R200_224,C16_1500_1999_R225_274,C16_1500_1999_R275_349,C16_1500_1999_R350_449,C16_1500_1999_R450_549,C16_1500_1999_R550_649,C16_1500_1999_R650m,C16_1500_1999_R_NS,C16_1500_1999_R_Tot,C16_2000_2499_R0_74,C16_2000_2499_R75_99,C16_2000_2499_R100_149,C16_2000_2499_R150_199,C16_2000_2499_R200_224,C16_2000_2499_R225_274,C16_2000_2499_R275_349,C16_2000_2499_R350_449,C16_2000_2499_R450_549,C16_2000_2499_R550_649,C16_2000_2499_R650m,C16_2000_2499_R_NS,C16_2000_2499_R_Tot,C16_2500_2999_R0_74,C16_2500_2999_R75_99,C16_2500_2999_R100_149,C16_2500_2999_R150_199,C16_2500_2999_R200_224,C16_2500_2999_R225_274,C16_2500_2999_R275_349,C16_2500_2999_R350_449,C16_2500_2999_R450_549,C16_2500_2999_R550_649,C16_2500_2999_R650m,C16_2500_2999_R_NS,C16_2500_2999_R_Tot,C16_3000_3999_R0_74,C16_3000_3999_R75_99,C16_3000_3999_R100_149,C16_3000_3999_R150_199,C16_3000_3999_R200_224,C16_3000_3999_R225_274,C16_3000_3999_R275_349,C16_3000_3999_R350_449,C16_3000_3999_R450_549,C16_3000_3999_R550_649,C16_3000_3999_R650m,C16_3000_3999_R_NS,C16_3000_3999_R_Tot,C16_4000m_R0_74,C16_4000m_R75_99,C16_4000m_R100_149,C16_4000m_R150_199,C16_4000m_R200_224,C16_4000m_R225_274,C16_4000m_R275_349,C16_4000m_R350_449,C16_4000m_R450_549,C16_4000m_R550_649,C16_4000m_R650m,C16_4000m_R_NS,C16_4000m_R_Tot,C16_PI_S_R0_74,C16_PI_S_R75_99,C16_PI_S_R100_149,C16_PI_S_R150_199,C16_PI_S_R200_224,C16_PI_S_R225_274,C16_PI_S_R275_349,C16_PI_S_R350_449,C16_PI_S_R450_549,C16_PI_S_R550_649,C16_PI_S_R650m,C16_PI_S_R_NS,C16_PI_S_R_Tot,C16_AI_NS_R0_74,C16_AI_NS_R75_99,C16_AI_NS_R100_149,C16_AI_NS_R150_199,C16_AI_NS_R200_224,C16_AI_NS_R225_274,C16_AI_NS_R275_349,C16_AI_NS_R350_449,C16_AI_NS_R450_549,C16_AI_NS_R550_649,C16_AI_NS_R650m,C16_AI_NS_R_NS,C16_AI_NS_R_Tot,C16_Tot_R0_74,C16_Tot_R75_99,C16_Tot_R100_149,C16_Tot_R150_199,C16_Tot_R200_224,C16_Tot_R225_274,C16_Tot_R275_349,C16_Tot_R350_449,C16_Tot_R450_549,C16_Tot_R550_649,C16_Tot_R650m,C16_Tot_R_NS,C16_Tot_R_Tot
1,1060,2068,2195,5181,12858,29966,20456,9684,8234,1995,96933,2335,137,634,1245,1245,3018,7818,21779,21076,12453,11019,1580,84326,1194,47,271,433,481,1336,2957,9516,11034,7819,8108,763,43959,1363,106,464,533,462,1118,2457,7742,11855,11135,19002,1062,57299,839,58,196,292,210,470,1025,2817,4891,6446,22858,755,40866,1839,266,1606,2274,1711,3414,6152,11543,9131,6113,10577,2815,57434,1093,354,2928,2015,983,1192,1701,1858,1103,638,1169,3986,19033,34076,7882,52911,51274,34325,56753,104426,174858,122678,73537,98392,27609,838716
2,983,1848,1910,6334,21708,24876,7527,2535,2360,1561,73892,1562,99,566,967,997,3402,13787,22512,9427,3369,2852,1203,60749,783,69,246,356,362,1211,5591,10962,5918,2430,2033,571,30525,892,74,343,375,338,909,3944,9663,8062,4578,4860,690,34731,558,27,149,190,158,359,1339,3600,4184,3596,6708,466,21328,1261,203,1109,1734,1355,3198,8708,10222,5156,2832,3521,2091,41399,815,279,1815,1278,802,1293,1769,1498,616,318,540,3022,14042,24569,5252,34496,36566,28690,63906,144686,143048,58177,26562,29577,20995,616533
3,1067,1732,1846,5831,16690,28474,9846,2521,1500,1288,73482,2274,264,743,1088,1084,3293,9968,22448,10122,2881,1913,1023,57110,1132,138,313,406,395,1263,3744,10360,6115,2152,1318,478,27811,1631,191,442,455,394,985,2661,7573,6457,3182,2814,636,27417,1066,101,196,192,188,370,1036,2595,2854,2128,3389,387,14505,1467,237,1121,1648,1311,3358,7605,12230,6151,2402,2063,1625,41209,709,346,1208,1149,735,1237,1547,1386,552,231,341,2561,12001,25418,7078,28643,34127,27114,60826,121632,156913,60268,20406,16961,16894,576278
4,525,1001,893,2861,6249,4757,879,226,173,367,18720,543,51,352,517,518,1406,3660,3968,1052,255,205,273,12796,281,20,116,224,188,480,1344,1820,640,167,127,105,5509,266,49,192,241,154,352,893,1626,845,329,319,148,5415,121,14,80,114,73,118,292,598,468,283,407,89,2658,393,164,547,762,622,1559,2767,2341,748,245,251,510,10907,321,498,792,576,308,454,462,234,100,41,64,1083,4933,9597,8035,17435,18907,12631,28735,44653,27491,6856,2194,2208,6601,185343
5,626,849,810,1819,5685,11530,4219,1024,755,763,29801,1767,133,535,678,588,1205,3670,9778,4818,1462,1065,725,26421,705,57,272,309,273,482,1403,4672,3098,942,691,326,13232,1344,117,453,397,302,532,1272,4154,3729,1828,2130,630,16878,1237,90,386,296,187,286,522,1644,2092,1466,2659,390,11260,1175,152,745,773,605,1080,2878,6449,3659,1394,1301,919,21143,512,172,829,473,230,318,596,669,232,82,205,1276,5594,16998,3582,16998,14416,9378,17422,42644,70319,29799,9998,10484,9192,251242
6,129,321,381,961,1468,822,158,40,24,107,4724,218,17,83,153,167,459,846,648,185,40,23,65,2905,101,0,35,39,67,132,308,332,90,24,13,35,1181,103,14,51,61,42,118,221,283,151,51,24,48,1165,36,0,15,23,36,43,75,128,85,33,40,19,536,155,34,175,319,332,569,732,471,158,54,30,131,3136,98,103,253,257,178,190,105,39,13,8,21,289,1557,3467,1818,5645,8262,6400,10410,10558,4823,1193,363,316,1755,55010
7,145,142,102,352,384,870,691,304,212,299,4363,643,78,117,87,64,306,322,822,888,463,335,312,4442,330,39,56,48,32,208,144,399,502,311,223,121,2419,517,67,50,47,33,158,157,371,707,519,629,275,3526,312,53,34,26,16,50,93,178,395,479,737,157,2531,575,138,210,109,67,191,181,377,448,298,280,282,3158,326,76,66,37,22,32,37,49,39,22,48,374,1132,6693,1632,1976,1369,812,1986,2436,4624,4586,2766,2744,2689,34323
8,65,114,81,294,1034,2812,1202,290,141,112,6292,111,8,50,65,58,208,726,2623,1614,470,233,104,6262,42,5,14,23,26,132,287,1297,1044,315,146,48,3383,63,9,26,25,31,105,318,1096,1415,659,409,54,4223,46,0,10,23,11,38,187,401,657,550,553,32,2512,71,36,93,101,58,156,306,855,714,304,253,129,3065,40,57,93,29,13,18,46,91,49,17,30,163,654,1567,1386,2961,1943,1097,2215,6008,14140,8353,3053,2105,1351,46182
9,10,8,3,8,3,4,4,0,3,14,84,23,0,3,7,4,3,12,3,6,0,0,6,73,16,3,0,3,0,0,9,7,0,0,0,3,39,17,7,0,3,0,5,9,0,3,0,0,3,45,17,4,0,3,0,0,0,3,4,0,3,3,34,8,3,8,9,3,3,3,0,3,0,0,3,45,3,0,3,0,4,0,0,0,0,0,0,12,27,168,31,77,94,44,34,40,28,17,3,8,64,608
