STE_CODE_2016,C16_75_79_N_mar_M,C16_75_79_N_mar_F,C16_75_79_T_M,C16_75_79_T_F,C16_75_79_T_P,C16_80_84_Mar_RegM_M,C16_80_84_Mar_RegM_F,C16_80_84_Mar_DFM_M,C16_80_84_Mar_DFM_F,C16_80_84_N_mar_M,C16_80_84_N_mar_F,C16_80_84_T_M,C16_80_84_T_F,C16_80_84_T_P,C16_85o_Mar_RegM_M,C16_85o_Mar_RegM_F,C16_85o_Mar_DFM_M,C16_85o_Mar_DFM_F,C16_85o_N_mar_M,C16_85o_N_mar_F,C16_85o_T_M,C16_85o_T_F,C16_85o_T_P,C16_T_Marr_reg_marr_M,C16_T_Marr_reg_marr_F,C16_T_Mar_de_fa_mar_M,C16_T_Mar_de_fa_mar_F,C16_Tot_N_mar_M,C16_Tot_N_mar_F,C16_Tot_T_M,C16_Tot_T_F,C16_Tot_T_P
1,22303,50404,88728,100371,189098,40202,25314,1350,783,16891,45736,58440,71832,130274,26149,11806,789,446,19087,56645,46026,68887,114920,1299229,1313401,252827,253306,1073597,1217290,2625656,2783989,5409647
2,15478,37835,65348,75497,140850,30803,19597,880,490,12134,34619,43824,54712,98532,20114,9242,532,301,14253,41539,34905,51076,85988,1025357,1035409,210379,211879,854270,975958,2090010,2223245,4313251
3,13635,28347,52897,56752,109650,21611,13456,792,405,9751,24133,32158,37999,70157,13309,6112,418,218,10137,28617,23855,34948,58809,763346,783156,193786,200953,640819,726207,1597952,1710316,3308266
4,5033,12231,21764,25342,47104,10459,6683,297,201,4195,11237,14941,18122,33066,7006,3339,181,120,4927,14499,12110,17963,30075,288751,293485,61918,64102,245430,275109,596104,632699,1228808
5,5867,13746,25038,28073,53105,11221,7316,373,214,4297,12123,15891,19653,35540,7159,3240,213,112,4684,14121,12053,17480,29532,409863,426075,97790,103919,331051,357817,838705,887812,1726516
6,1858,4136,7099,7899,14997,2883,1843,106,63,1421,3567,4413,5479,9888,1798,825,62,33,1423,3963,3280,4824,8107,83202,84196,22514,23013,70241,82150,175955,189355,365314
7,409,633,1045,985,2030,239,126,22,8,205,410,465,548,1007,117,45,5,6,153,309,279,356,639,29068,29515,11076,11461,30696,29649,70838,70627,141467
8,699,1978,3286,3923,7204,1530,992,45,36,534,1632,2108,2658,4771,1020,484,29,10,671,1957,1717,2450,4167,67493,68210,16057,16444,52959,60773,136508,145427,281932
9,15,23,45,46,96,13,8,0,0,8,19,22,29,53,14,4,0,0,6,18,24,23,46,693,689,150,163,460,493,1300,1340,2639
