STE_CODE_2016,C16_Aus_Bplace_NS,C16_Aus_Tot_resp,C16_Aus_Ab_BP_B_OS,C16_Aus_Ab_Fa_O_B_OS,C16_Aus_Ab_Mo_O_B_OS,C16_Aus_Ab_BP_B_Aus,C16_Aus_Abor_Bplace_NS,C16_Aus_Abor_Tot_respons,C16_Chi_BP_B_OS,C16_Chi_Fa_O_B_OS,C16_Chi_Mo_O_B_OS,C16_Chi_BP_B_Aus,C16_Chi_Bplace_NS,C16_Chi_Tot_resp,C16_Cro_BP_B_OS,C16_Cro_Fa_O_B_OS,C16_Cro_Mo_O_B_OS,C16_Cro_BP_B_Aus,C16_Cro_Bplace_NS,C16_Cro_Tot_resp,C16_Dut_BP_B_OS,C16_Dut_Fa_O_B_OS,C16_Dut_Mo_O_B_OS,C16_Dut_BP_B_Aus,C16_Dut_Bplace_NS,C16_Dut_Tot_resp,C16_Eng_BP_B_OS,C16_Eng_Fa_O_B_OS,C16_Eng_Mo_O_B_OS,C16_Eng_BP_B_Aus,C16_Eng_Bplace_NS,C16_Eng_Tot_resp,C16_Fil_BP_B_OS,C16_Fil_Fa_O_B_OS,C16_Fil_Mo_O_B_OS,C16_Fil_BP_B_Aus,C16_Fil_Bplace_NS,C16_Fil_Tot_resp,C16_Fre_BP_B_OS,C16_Fre_Fa_O_B_OS,C16_Fre_Mo_O_B_OS,C16_Fre_BP_B_Aus,C16_Fre_Bplace_NS,C16_Fre_Tot_resp,C16_Ger_BP_B_OS,C16_Ger_Fa_O_B_OS,C16_Ger_Mo_O_B_OS,C16_Ger_BP_B_Aus,C16_Ger_Bplace_NS,C16_Ger_Tot_resp,C16_Gre_BP_B_OS,C16_Gre_Fa_O_B_OS,C16_Gre_Mo_O_B_OS,C16_Gre_BP_B_Aus,C16_Gre_Bplace_NS,C16_Gre_Tot_resp,C16_Hun_BP_B_OS,C16_Hun_Fa_O_B_OS,C16_Hun_Mo_O_B_OS,C16_Hun_BP_B_Aus,C16_Hun_Bplace_NS,C16_Hun_Tot_resp,C16_Ind_BP_B_OS,C16_Ind_Fa_O_B_OS,C16_Ind_Mo_O_B_OS,C16_Ind_BP_B_Aus,C16_Ind_Bplace_NS,C16_Ind_Tot_resp,C16_Iri_BP_B_OS,C16_Iri_Fa_O_B_OS,C16_Iri_Mo_O_B_OS,C16_Iri_BP_B_Aus,C16_Iri_Bplace_NS,C16_Iri_Tot_resp,C16_Ita_BP_B_OS,C16_Ita_Fa_O_B_OS,C16_Ita_Mo_O_B_OS,C16_Ita_BP_B_Aus,C16_Ita_Bplace_NS,C16_Ita_Tot_resp,C16_Kor_BP_B_OS,C16_Kor_Fa_O_B_OS,C16_Kor_Mo_O_B_OS,C16_Kor_BP_B_Aus,C16_Kor_Bplace_NS,C16_Kor_Tot_resp,C16_Leb_BP_B_OS,C16_Leb_Fa_O_B_OS,C16_Leb_Mo_O_B_OS,C16_Leb_BP_B_Aus,C16_Leb_Bplace_NS,C16_Leb_Tot_resp,C16_Mac_BP_B_OS,C16_Mac_Fa_O_B_OS,C16_Mac_Mo_O_B_OS,C16_Mac_BP_B_Aus,C16_Mac_Bplace_NS,C16_Mac_Tot_resp,C16_Mal_BP_B_OS,C16_Mal_Fa_O_B_OS,C16_Mal_Mo_O_B_OS,C16_Mal_BP_B_Aus,C16_Mal_Bplace_NS,C16_Mal_Tot_resp,C16_Mao_BP_B_OS,C16_Mao_Fa_O_B_OS,C16_Mao_Mo_O_B_OS,C16_Mao_BP_B_Aus,C16_Mao_Bplace_NS,C16_Mao_Tot_resp,C16_NZ_BP_B_OS,C16_NZ_Fa_O_B_OS,C16_NZ_Mo_O_B_OS,C16_NZ_BP_B_Aus,C16_NZ_Bplace_NS,C16_NZ_Tot_resp,C16_Pol_BP_B_OS,C16_Pol_Fa_O_B_OS,C16_Pol_Mo_O_B_OS,C16_Pol_BP_B_Aus,C16_Pol_Bplace_NS,C16_Pol_Tot_resp,C16_Rus_BP_B_OS,C16_Rus_Fa_O_B_OS,C16_Rus_Mo_O_B_OS,C16_Rus_BP_B_Aus,C16_Rus_Birthplac_ns,C16_Rus_Tot_resp,C16_Sco_BP_B_OS,C16_Sco_Fa_O_B_OS,C16_Sco_Mo_O_B_OS,C16_Sco_BP_B_Aus,C16_Sco_Birthplac_ns,C16_Sco_Tot_resp,C16_Ser_BP_B_OS,C16_Ser_Fa_O_B_OS,C16_Ser_Mo_O_B_OS,C16_Ser_BP_B_Aus,C16_Ser_Bplace_NS,C16_Ser_Tot_resp,C16_SAf_BP_B_OS,C16_SAf_Fa_O_B_OS,C16_SAf_Mo_O_B_OS,C16_SAf_BP_B_Aus,C16_SAf_Bplace_NS,C16_SAf_Tot_resp,C16_Span_BP_B_OS,C16_Span_Fa_O_B_OS,C16_Span_Mo_O_B_OS,C16_Span_BP_B_Aus,C16_Span_Bplace_NS,C16_Span_Tot_resp,C16_SriL_BP_B_OS,C16_SriL_Fa_O_B_OS,C16_SriL_Mo_O_B_OS,C16_SriL_BP_B_Aus,C16_SriL_Bplace_NS,C16_SriL_Tot_resp,C16_Turk_BP_B_OS,C16_Turk_Fa_O_B_OS,C16_Turk_Mo_O_B_OS,C16_Turk_BP_B_Aus,C16_Turk_Bplace_NS,C16_Turk_Tot_resp,C16_Viet_BP_B_OS,C16_Viet_Fa_O_B_OS,C16_Viet_Mo_O_B_OS,C16_Viet_BP_B_Aus,C16_Viet_Bplace_NS,C16_Viet_Tot_resp,C16_Wel_BP_B_OS,C16_Wel_Fa_O_B_OS,C16_Wel_Mo_O_B_OS,C16_Wel_BP_B_Aus,C16_Wel_Bplace_NS,C16_Wel_Tot_resp,C16_Oth_BP_B_OS,C16_Oth_Fa_O_B_OS,C16_Oth_Mo_O_B_OS,C16_Oth_BP_B_Aus,C16_Oth_Bplace_NS,C16_Oth_Tot_resp,C16_Anc_ns_BP_B_OS,C16_Anc_ns_Fa_O_B_OS,C16_Anc_ns_Mo_O_B_OS,C16_Anc_ns_BP_B_Aus,C16_Anc_ns_Bplace_NS,C16_Anc_NS_T_resp,C16_T_P_BP_B_OS,C16_T_P_Fa_only_bor_os,C16_T_P_Mo_O_B_OS,C16_T_P_BP_B_Aus,C16_T_P_Bplace_NS,C16_T_P_Tot_resp
1,36106,2261062,290,1584,691,27544,733,30849,474485,7740,12611,15657,4094,514594,29734,4223,2437,8493,408,45305,37707,11808,7265,20741,707,78231,426119,197852,142074,1500912,35521,2302481,102242,2599,9608,1708,1198,117356,23389,3561,2541,14385,472,44335,66292,18933,13274,134673,2980,236146,74920,13477,6880,36165,1386,132829,15815,2970,1499,4151,237,24670,201620,3610,2998,2468,1236,211927,101544,51107,34912,544950,9160,741671,124960,32613,14505,97015,3024,272124,63899,461,1389,547,311,66613,110629,21815,9937,22449,1768,166591,28636,3348,1826,5468,350,39630,32820,8612,4853,22504,700,69490,22967,4280,2788,2582,555,33159,29248,11234,8290,5320,535,54623,32529,5090,3694,10801,435,52554,22930,2095,1957,4320,365,31663,99760,49478,35950,394703,7169,587052,22488,2039,1295,2476,351,28657,25847,3393,2591,1317,209,33358,37898,2565,2105,5552,491,48614,23651,1001,813,617,155,26239,22098,2300,1289,1551,266,27502,103201,1370,2619,1132,1272,109588,15855,4798,3050,18530,377,42611,725448,60073,46221,68425,8816,908989,29644,3653,2726,38022,436486,510541,2764170,458394,325182,3399725,532757,7480228
2,25340,1653291,302,503,209,5910,163,7081,344038,4782,8256,10821,2746,370644,29309,4003,2156,7229,440,43137,45667,14482,9063,27544,934,97690,332196,155360,114196,1140566,26898,1769214,59488,1238,5912,959,723,68314,17145,2462,1862,10966,353,32790,56285,17402,11788,113820,2558,201850,105091,15728,8016,39688,1932,170451,14740,2539,1483,4058,274,23092,199586,3675,2599,2083,1315,209257,76968,41723,27667,443544,7353,597249,168550,38481,18220,122892,4571,352711,16950,137,464,218,85,17848,31611,6219,2804,5101,601,46334,30904,3709,2096,6402,478,43582,39508,8506,5163,19987,706,73875,16082,1945,1440,1140,353,20969,22963,7497,5776,2942,390,39565,35142,5537,3956,11387,528,56548,18584,1522,1465,2878,254,24701,81818,39616,29717,335062,6068,492281,18726,1687,973,1872,284,23542,16716,2392,1691,965,154,21915,19815,1634,1342,3949,265,27012,52373,2516,1693,1673,333,58592,29932,3467,1625,2239,364,37631,102214,1282,2503,844,1305,108142,10764,3084,2082,13097,251,29288,557441,42600,34276,54698,7343,696359,27249,2948,2331,30315,330682,393525,2283741,365528,259832,2611265,406259,5926624
3,24194,1649284,205,1216,576,34457,513,36971,113727,3265,5078,13212,1102,136389,7429,1459,690,2448,122,12146,34983,10268,6731,18147,633,70757,392021,149124,113874,1114388,25598,1794999,42362,1124,7444,1320,599,52844,15055,2312,1831,9916,305,29411,50727,18456,13404,210137,3655,296387,11309,4224,1887,11843,340,29602,7675,1503,686,2149,116,12139,68252,2061,1495,1800,488,74094,83207,36860,26475,411092,6698,564334,41015,15832,7171,66120,1544,131687,20772,102,641,238,102,21863,3277,1108,545,2701,60,7690,1708,273,165,386,17,2547,6091,2536,1450,7866,172,18117,42528,4792,3514,2077,741,53649,41067,12379,9539,4267,571,67829,14143,2744,1897,7815,261,26858,8469,1179,1024,3419,133,14223,99650,37974,28512,314930,5583,486648,5467,614,366,689,80,7209,21988,2046,1699,833,135,26699,14936,1576,1149,4856,207,22728,8788,567,421,573,57,10407,2594,435,160,224,31,3442,26034,603,981,443,270,28325,12731,2979,2023,13387,303,31425,283385,32223,29598,69184,4650,419029,13726,2523,2046,31614,304993,354904,1225441,302904,234425,2575201,365225,4703193
4,9308,560374,59,334,140,7468,166,8169,47860,882,1364,1813,348,52268,5088,841,415,1767,70,8175,13024,3962,2640,6636,224,26489,146583,55799,44122,383332,9525,639350,13301,332,1739,320,193,15890,3183,595,457,3252,80,7572,19994,8306,5764,94146,1706,129923,20936,3902,1744,11182,423,38186,3441,715,275,1113,71,5617,31272,640,461,491,208,33069,23178,9720,6643,93150,1751,134437,44975,10982,4646,34203,1199,96010,3958,56,186,167,28,4392,2897,712,339,1224,52,5228,993,133,99,351,15,1593,3100,899,560,2179,86,6815,1873,523,357,347,62,3162,3403,1644,1048,645,62,6808,11202,1769,1119,4421,196,18710,4385,417,364,950,52,6172,30451,11775,9194,87301,1710,140424,4512,443,249,592,60,5856,3710,406,387,176,31,4709,3674,384,287,1008,58,5410,3356,176,153,115,34,3822,941,120,50,87,16,1212,18682,559,569,281,200,20291,5584,1247,870,4290,113,12102,104893,9762,7091,15316,1388,138458,4894,690,628,9409,82153,97771,513545,109094,79405,869207,105392,1676653
5,11070,760032,127,569,297,19387,327,20718,94552,2022,3273,3112,726,103677,9281,2202,1128,5785,170,18573,25461,6473,4334,10403,363,47039,341635,95669,76568,405013,12261,931150,32016,410,2323,378,333,35456,10529,1020,851,3053,149,15599,27419,6369,5190,33199,890,73062,6625,2143,1028,5133,179,15107,3290,545,354,753,45,4989,63715,1865,1364,1459,396,68796,74541,18564,13840,114834,2591,224372,49794,15768,7430,48509,1436,122943,7798,100,284,93,47,8330,2096,377,244,400,36,3142,6299,940,580,1942,90,9853,2151,740,384,1217,62,4554,22788,2032,1460,717,454,27451,20000,6045,3946,1475,330,31800,13119,1881,1501,4051,186,20731,4349,359,455,794,44,6000,78328,20661,15969,96867,2335,214154,5348,405,272,393,68,6487,25088,1678,1564,479,178,28984,8125,670,572,1912,106,11389,7094,413,290,224,43,8064,1993,202,116,104,18,2427,20322,336,649,209,169,21687,13102,2172,1512,5096,208,22091,210723,17086,16232,20329,2453,266823,9478,1287,1063,9737,166730,188302,1001150,184890,144217,947977,196180,2474410
6,4149,220382,0,63,31,1549,28,1669,5725,191,293,869,63,7137,486,158,33,271,18,973,4461,1481,1040,3200,91,10283,28795,14647,10230,169019,4383,227074,1547,46,468,80,21,2173,771,141,107,889,26,1935,4152,1475,912,11583,275,18391,1111,318,124,798,37,2394,460,208,62,242,16,989,2407,158,128,192,15,2906,5014,3046,1886,44844,914,55702,2170,1119,324,3628,111,7358,586,17,55,45,5,708,165,65,16,85,0,329,42,17,4,16,0,80,249,115,44,247,7,656,524,186,132,186,21,1048,1146,571,441,333,23,2515,1690,501,200,1066,34,3485,502,76,52,203,9,840,6853,3478,2357,34185,674,47546,192,42,12,47,3,300,817,116,91,63,3,1088,636,85,58,307,6,1093,338,30,14,20,8,410,95,30,17,10,0,159,425,29,25,16,5,499,1249,314,182,1228,30,3009,14829,2663,1845,4438,228,24008,651,202,151,4909,28162,34080,73757,27091,18595,353447,37073,509965
7,1271,65433,14,172,85,36752,538,37562,4599,254,316,1008,61,6228,142,55,22,102,6,333,1151,391,242,696,30,2518,11955,4638,4073,33461,844,54967,6042,99,546,173,92,6951,653,70,70,333,15,1142,2063,646,541,5372,116,8737,2223,633,244,930,50,4082,217,37,28,79,4,367,4301,67,58,84,30,4533,3380,1235,985,12638,230,18469,1351,526,235,1969,66,4148,427,10,23,22,3,479,91,17,4,39,3,163,36,9,4,17,0,66,116,73,19,184,4,392,1175,183,141,124,21,1641,1078,321,268,149,18,1832,422,93,67,290,10,882,217,18,38,102,0,378,3077,1140,982,9596,179,14971,97,12,3,14,4,130,500,77,32,52,6,664,693,38,39,137,12,924,671,36,14,31,0,756,80,5,0,17,0,105,1197,27,64,19,18,1324,409,91,86,400,11,992,15412,1262,1496,2442,277,20893,733,100,90,1742,26738,29400,54687,10761,9473,124021,29897,228833
8,1196,127285,12,72,36,938,16,1066,20068,460,913,896,141,22472,2879,451,225,1025,42,4617,2732,1057,719,1954,42,6495,23268,13944,10718,82846,1259,132031,4253,95,485,99,39,4969,1254,230,198,873,18,2581,4838,1681,1230,9740,154,17633,2459,528,276,1496,26,4781,913,238,164,417,17,1745,13823,258,254,159,59,14559,5372,3913,2935,38923,473,51611,5133,1628,797,5302,125,12984,2559,38,117,47,16,2784,765,223,95,288,24,1397,753,106,58,164,11,1086,630,227,162,613,12,1642,565,159,120,115,17,980,1312,593,461,268,20,2652,2438,421,356,956,21,4190,1104,125,135,280,20,1665,6424,3809,2954,26645,323,40160,1250,203,73,178,9,1711,1174,159,130,65,3,1525,1953,250,155,391,37,2782,2335,106,113,65,6,2626,384,45,21,38,6,495,4534,83,193,89,40,4933,1055,361,235,1392,20,3063,36850,3938,3730,4883,399,49805,1209,149,106,1468,20467,23400,133304,29113,23121,187955,23908,397397
9,21,1095,0,0,0,87,6,94,432,11,19,23,15,492,0,0,3,0,0,5,25,10,3,7,0,45,323,103,107,411,14,955,66,0,5,0,0,74,10,0,0,3,0,19,41,12,7,39,5,101,0,0,0,0,0,3,5,0,0,0,0,5,19,4,0,0,0,22,63,15,16,121,5,213,17,5,7,18,3,48,3,0,0,0,0,3,0,3,0,0,0,6,0,0,0,0,0,0,4,3,3,8,0,22,39,3,3,3,0,48,59,13,26,3,0,107,3,0,0,3,0,10,3,0,0,0,0,4,92,17,14,100,0,224,0,0,0,0,0,0,17,0,0,0,0,18,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,10,3,0,3,0,0,8,372,172,167,599,35,1346,31,0,13,52,682,772,1411,328,345,1738,764,4587
