STE_CODE_2016,Per_age_15ov_C06_M,Per_age_15ov_C06_F,Per_age_15ov_C06_P,Per_age_15ov_C11_M,Per_age_15ov_C11_F,Per_age_15ov_C11_P,Per_age_15ov_C16_M,Per_age_15ov_C16_F,Per_age_15ov_C16_P,Lfs_Em_FT_C06_M,Lfs_Em_FT_C06_F,Lfs_Em_FT_C06_P,Lfs_Em_FT_C11_M,Lfs_Em_FT_C11_F,Lfs_Em_FT_C11_P,Lfs_Em_FT_C16_M,Lfs_Em_FT_C16_F,Lfs_Em_FT_C16_P,Lfs_Em_PT_C06_M,Lfs_Em_PT_C06_F,Lfs_Em_PT_C06_P,Lfs_Em_PT_C11_M,Lfs_Em_PT_C11_F,Lfs_Em_PT_C11_P,Lfs_Em_PT_C16_M,Lfs_Em_PT_C16_F,Lfs_Em_PT_C16_P,Lfs_Em_AFWr_C06_M,Lfs_Em_AFWr_C06_F,Lfs_Em_AFWr_C06_P,Lfs_Em_AFWr_C11_M,Lfs_Em_AFWr_C11_F,Lfs_Em_AFWr_C11_P,Lfs_Em_AFWr_C16_M,Lfs_Em_AFWr_C16_F,Lfs_Em_AFWr_C16_P,Lfs_Unem_LFW_C06_M,Lfs_Unem_LFW_C06_F,Lfs_Unem_LFW_C06_P,Lfs_Unem_LFW_C11_M,Lfs_Unem_LFW_C11_F,Lfs_Unem_LFW_C11_P,Lfs_Unem_LFW_C16_M,Lfs_Unem_LFW_C16_F,Lfs_Unem_LFW_C16_P,Lfs_Tot_LForc_C06_M,Lfs_Tot_LForc_C06_F,Lfs_Tot_LForc_C06_P,Lfs_Tot_LForc_C11_M,Lfs_Tot_LForc_C11_F,Lfs_Tot_LForc_C11_P,Lfs_Tot_LForc_C16_M,Lfs_Tot_LForc_C16_F,Lfs_Tot_LForc_C16_P,N_LForc_C06_M,N_LForc_C06_F,N_LForc_C06_P,N_LForc_C11_M,N_LForc_C11_F,N_LForc_C11_P,N_LForc_C16_M,N_LForc_C16_F,N_LForc_C16_P,Pcnt_Unemp_C06_M,Pcnt_Unemp_C06_F,Pcnt_Unemp_C06_P,Pcnt_Unemp_C11_M,Pcnt_Unemp_C11_F,Pcnt_Unemp_C11_P,Pcnt_Unemp_C16_M,Pcnt_Unemp_C16_F,Pcnt_Unemp_C16_P,Pcnt_LForc_prt_C06_M,Pcnt_LForc_prt_C06_F,Pcnt_LForc_prt_C06_P,Pcnt_LForc_prt_C11_M,Pcnt_LForc_prt_C11_F,Pcnt_LForc_prt_C11_P,Pcnt_LForc_prt_C16_M,Pcnt_LForc_prt_C16_F,Pcnt_LForc_prt_C16_P,Pcnt_Emp_to_pop_C06_M,Pcnt_Emp_to_pop_C06_F,Pcnt_Emp_to_pop_C06_P,Pcnt_Emp_to_pop_C11_M,Pcnt_Emp_to_pop_C11_F,Pcnt_Emp_to_pop_C11_P,Pcnt_Emp_to_pop_C16_M,Pcnt_Emp_to_pop_C16_F,Pcnt_Emp_to_pop_C16_P,No_sc_qu_Po_De_C06_M,No_sc_qu_Po_De_C06_F,No_sc_qu_Po_De_C06_P,No_sc_qu_Po_De_C11_M,No_sc_qu_Po_De_C11_F,No_sc_qu_Po_De_C11_P,No_sc_qu_Po_De_C16_M,No_sc_qu_Po_De_C16_F,No_sc_qu_Po_De_C16_P,N_s_q_Gr_D_G_Ce_C06_M,N_s_q_Gr_D_G_Ce_C06_F,N_s_q_Gr_D_G_Ce_C06_P,N_s_q_Gr_D_G_Ce_C11_M,N_s_q_Gr_D_G_Ce_C11_F,N_s_q_Gr_D_G_Ce_C11_P,N_s_q_Gr_D_G_Ce_C16_M,N_s_q_Gr_D_G_Ce_C16_F,N_s_q_Gr_D_G_Ce_C16_P,N_s_q_BD_C06_M,N_s_q_BD_C06_F,N_s_q_BD_C06_P,N_s_q_BD_C11_M,N_s_q_BD_C11_F,N_s_q_BD_C11_P,N_s_q_BD_C16_M,N_s_q_BD_C16_F,N_s_q_BD_C16_P,N_s_q_AdDip_DL_C06_M,N_s_q_AdDip_DL_C06_F,N_s_q_AdDip_DL_C06_P,N_s_q_AdDip_DL_C11_M,N_s_q_AdDip_DL_C11_F,N_s_q_AdDip_DL_C11_P,N_s_q_AdDip_DL_C16_M,N_s_q_AdDip_DL_C16_F,N_s_q_AdDip_DL_C16_P,N_s_q_Cert_III_IV_C06_M,N_s_q_Cert_III_IV_C06_F,N_s_q_Cert_III_IV_C06_P,N_s_q_Cert_III_IV_C11_M,N_s_q_Cert_III_IV_C11_F,N_s_q_Cert_III_IV_C11_P,N_s_q_Cert_III_IV_C16_M,N_s_q_Cert_III_IV_C16_F,N_s_q_Cert_III_IV_C16_P,N_s_q_Cert_I_II_C06_M,N_s_q_Cert_I_II_C06_F,N_s_q_Cert_I_II_C06_P,N_s_q_Cert_I_II_C11_M,N_s_q_Cert_I_II_C11_F,N_s_q_Cert_I_II_C11_P,N_s_q_Cert_I_II_C16_M,N_s_q_Cert_I_II_C16_F,N_s_q_Cert_I_II_C16_P,N_s_q_Cert_Lev_nfd_C06_M,N_s_q_Cert_Lev_nfd_C06_F,N_s_q_Cert_Lev_nfd_C06_P,N_s_q_Cert_Lev_nfd_C11_M,N_s_q_Cert_Lev_nfd_C11_F,N_s_q_Cert_Lev_nfd_C11_P,N_s_q_Cert_Lev_nfd_C16_M,N_s_q_Cert_Lev_nfd_C16_F,N_s_q_Cert_Lev_nfd_C16_P,N_s_q_Cert_Lev_Tot_C06_M,N_s_q_Cert_Lev_Tot_C06_F,N_s_q_Cert_Lev_Tot_C06_P,N_s_q_Cert_Lev_Tot_C11_M,N_s_q_Cert_Lev_Tot_C11_F,N_s_q_Cert_Lev_Tot_C11_P,N_s_q_Cert_Lev_Tot_C16_M,N_s_q_Cert_Lev_Tot_C16_F,N_s_q_Cert_Lev_Tot_C16_P,Mi_Liv_SA_1yr_ag_C06_M,Mi_Liv_SA_1yr_ag_C06_F,Mi_Liv_SA_1yr_ag_C06_P,Mi_Liv_SA_1yr_ag_C11_M,Mi_Liv_SA_1yr_ag_C11_F,Mi_Liv_SA_1yr_ag_C11_P,Mi_Liv_SA_1yr_ag_C16_M,Mi_Liv_SA_1yr_ag_C16_F,Mi_Liv_SA_1yr_ag_C16_P,Mi_Liv_DA_1yr_ag_C06_M,Mi_Liv_DA_1yr_ag_C06_F,Mi_Liv_DA_1yr_ag_C06_P,Mi_Liv_DA_1yr_ag_C11_M,Mi_Liv_DA_1yr_ag_C11_F,Mi_Liv_DA_1yr_ag_C11_P,Mi_Liv_DA_1yr_ag_C16_M,Mi_Liv_DA_1yr_ag_C16_F,Mi_Liv_DA_1yr_ag_C16_P,Mi_Liv_SA_5yrs_ag_C06_M,Mi_Liv_SA_5yrs_ag_C06_F,Mi_Liv_SA_5yrs_ag_C06_P,Mi_Liv_SA_5yrs_ag_C11_M,Mi_Liv_SA_5yrs_ag_C11_F,Mi_Liv_SA_5yrs_ag_C11_P,Mi_Liv_SA_5yrs_ag_C16_M,Mi_Liv_SA_5yrs_ag_C16_F,Mi_Liv_SA_5yrs_ag_C16_P,Mi_Liv_DA_5yrs_ag_C06_M,Mi_Liv_DA_5yrs_ag_C06_F,Mi_Liv_DA_5yrs_ag_C06_P,Mi_Liv_DA_5yrs_ag_C11_M,Mi_Liv_DA_5yrs_ag_C11_F,Mi_Liv_DA_5yrs_ag_C11_P,Mi_Liv_DA_5yrs_ag_C16_M,Mi_Liv_DA_5yrs_ag_C16_F,Mi_Liv_DA_5yrs_ag_C16_P
1,2560866,2689393,5250262,2724304,2860841,5585150,2974063,3119834,6093895,1200491,679139,1879627,1271541,736381,2007927,1329576,804943,2134521,272048,570666,842713,308833,630626,939466,367907,703243,1071151,97912,89191,187103,94040,96903,190944,81562,93094,174654,100146,83010,183156,105377,91144,196527,119299,106247,225546,1670596,1422006,3092604,1779793,1555066,3334856,1898353,1707533,3605881,707500,1093506,1801010,780957,1152321,1933275,877226,1211012,2088240,6,5.8,5.9,5.9,5.9,5.9,6.3,6.2,6.3,65.2,52.9,58.9,65.3,54.4,59.7,63.8,54.7,59.2,61.3,49.8,55.4,61.5,51.2,56.2,59.8,51.3,55.5,92241,70675,162915,127829,111019,238855,174102,170384,344490,24503,41329,65829,31164,51453,82616,38346,64998,103340,291940,343088,635026,353785,433551,787335,432949,543936,976888,159856,227797,387652,194390,267669,462061,225035,318103,543142,534320,184157,718478,576279,243504,819779,611985,287068,899055,20741,43276,64017,22783,46185,68974,22406,44517,66918,34152,66597,100747,32805,65149,97952,49518,85464,134981,589206,294027,883233,631872,354836,986706,683907,417050,1100959,2519582,2620244,5139827,2714201,2818653,5532852,2808418,2910549,5718965,453054,473963,927019,461493,484516,946007,525120,545160,1070271,1650095,1718941,3369033,1809522,1882003,3691523,1853321,1922206,3775527,1129875,1191429,2321297,1159045,1221634,2380679,1337700,1397148,2734848
2,1932887,2049149,3982037,2119823,2235423,4355243,2353499,2492203,4845710,939739,505723,1445460,1022982,560290,1583264,1067762,602794,1670556,210354,472251,682602,252320,539519,791835,306086,614789,920875,75440,70947,146384,76224,79309,155527,66269,78431,144696,69673,60483,130159,75914,68930,144843,101072,92396,193465,1295204,1109398,2404604,1427433,1248043,2675477,1541194,1388406,2929593,513856,816513,1330370,575509,876083,1451593,662276,947863,1610130,5.4,5.5,5.4,5.3,5.5,5.4,6.6,6.7,6.6,67,54.1,60.4,67.3,55.8,61.4,65.5,55.7,60.5,63.4,51.2,57.1,63.8,52.7,58.1,61.2,52,56.5,61910,46212,108120,90256,80120,170382,129212,130829,260039,26904,47146,74048,34133,61224,95352,41542,77681,119226,225590,276925,502514,285513,355699,641219,352775,445493,798270,125735,163909,289647,159595,205163,364758,191424,255598,447023,382590,133900,516487,428198,182996,611192,470796,223341,694138,12413,25146,37558,14723,28782,43505,15649,28371,44019,19919,36447,56365,20545,38949,59495,31307,48977,80289,414930,195491,610420,463466,250722,714187,517755,300691,818449,1920624,2007075,3927694,2109486,2196063,4305548,2217757,2309805,4527557,328328,347372,675699,360298,379164,739460,419606,441013,860618,1286169,1345608,2631774,1410755,1474043,2884794,1470918,1535667,3006585,822674,873098,1695771,902287,950964,1853247,1054022,1108529,2162553
3,1521500,1576497,3097997,1698472,1758400,3456876,1853368,1937126,3790497,761645,419245,1180891,825654,477301,1302955,831801,501391,1333193,162452,368052,530501,192645,418656,611294,225498,466256,691751,60473,53133,113608,63188,61840,125023,52685,58829,111509,45637,45316,90951,69719,62080,131800,94194,81469,175665,1030204,885743,1915945,1151202,1019870,2171073,1204176,1107939,2312114,381036,590793,971827,435634,643662,1079304,510549,695490,1206040,4.4,5.1,4.7,6.1,6.1,6.1,7.8,7.4,7.6,67.7,56.2,61.8,67.8,58,62.8,65,57.2,61,64.7,53.3,58.9,63.7,54.5,59,59.9,53,56.4,33999,26399,60399,50210,44434,94643,67014,67232,134242,13468,22712,36176,17870,31606,49478,23342,43400,66741,132773,176555,309326,170290,234481,404770,202370,290053,492427,87102,116936,204042,108845,151932,260780,135808,194814,330619,351394,120380,471769,416073,172923,589004,464294,224130,688423,12404,23334,35735,16638,30138,46780,17904,29113,47018,16375,30362,46740,17635,33577,51209,28329,43337,71665,380172,174074,554244,450348,236644,686994,510527,296581,807105,1406337,1449394,2855734,1617122,1661066,3278190,1687291,1736699,3423989,372323,386808,759133,372896,391805,764693,394559,418483,813045,811289,833129,1644415,966891,992027,1958912,1048012,1070146,2118153,846206,888488,1734696,884499,930636,1815134,942997,999929,1942926
4,601214,632304,1233516,640247,669388,1309638,675578,708074,1383650,279530,146645,426181,290020,155054,445075,280612,154498,435110,66339,152200,218542,78374,169222,247599,88403,182009,270409,23589,21585,45173,22883,23805,46682,18508,22076,40582,21551,16627,38176,24897,20077,44968,34158,26328,60488,391015,337059,728073,416169,368159,784327,421680,384911,806596,177979,263836,441818,193578,272852,466428,216360,285630,501988,5.5,4.9,5.2,6,5.5,5.7,8.1,6.8,7.5,65,53.3,59,65,55,59.9,62.4,54.4,58.3,61.5,50.7,55.9,61.1,52,56.5,57.4,50.6,53.9,13304,9591,22895,19511,16489,35998,25568,25426,50993,6044,10058,16097,7331,12938,20275,8979,16155,25129,53298,67675,120980,65635,86554,152185,75993,104390,180390,35204,44494,79696,41386,54304,95692,48941,66159,115102,128495,47570,176066,142808,63041,205850,153873,77770,231643,5702,9638,15344,6762,11621,18387,7688,11938,19628,8249,12922,21171,8067,13453,21519,11244,15979,27225,142450,70133,212578,157636,88111,245756,172808,105691,278498,595857,620092,1215949,638061,660922,1298987,645506,667988,1313493,102891,107827,210723,104895,110131,215028,108116,113371,221485,406679,421971,828651,435060,449750,884816,448818,461635,910448,250307,265907,516216,262864,277727,540598,274927,291405,566335
5,772508,790142,1562653,900239,898860,1799102,993685,1004041,1997726,393441,200236,593676,460179,239235,699412,464714,250575,715287,83312,192636,275951,100495,223758,324256,121151,255437,376590,36743,29768,66508,40062,34151,74207,33735,32128,65859,18966,17691,36660,28628,25690,54315,54061,43906,97966,532466,440326,972791,629367,522836,1152197,673657,582044,1255702,180372,297878,478243,204697,324861,529554,242787,352667,595448,3.6,4,3.8,4.5,4.9,4.7,8,7.5,7.8,68.9,55.7,62.3,69.9,58.2,64,67.8,58,62.9,66.5,53.5,59.9,66.7,55.3,61,62.4,53.6,58,18766,12905,31668,28894,22734,51627,40017,36649,76660,7611,13089,20698,10689,18793,29483,13535,25052,38581,78296,94950,173244,103736,130666,234398,127017,168006,295027,49576,66585,116164,62809,83474,146283,77449,100181,177631,172698,57922,230621,215531,84291,299823,238718,103483,342195,5935,11256,17192,7721,14272,21998,9329,16110,25437,8365,18324,26690,8791,19489,28275,14614,25451,40060,186998,87505,274505,232042,118055,350094,262654,145041,407695,713284,730776,1444062,845537,857041,1702573,909650,920040,1829692,176932,180801,357739,185231,183961,369200,195261,198235,393496,432395,441801,874196,519510,530089,1049602,564486,572692,1137181,399640,414318,813957,441966,445462,887428,491508,499232,990739
6,184974,197480,382453,194545,206939,401482,203256,216496,419752,80987,41826,122815,82166,44305,126465,78377,43443,121822,20327,47058,67383,23844,52536,76384,26054,55547,81601,7497,7048,14540,7062,7382,14450,6056,7107,13162,8016,6398,14423,8511,6315,14825,9493,6875,16365,116826,102331,219159,121587,110538,232126,119978,112972,232948,58068,85035,143108,63815,87561,151380,70118,89930,160050,6.9,6.3,6.6,7,5.7,6.4,7.9,6.1,7,63.2,51.8,57.3,62.5,53.4,57.8,59,52.2,55.5,58.8,48.6,53.5,58.1,50.4,54.1,54.4,49,51.6,3614,2719,6338,4949,4586,9538,6411,6998,13408,1628,2684,4312,2125,3844,5968,2643,4883,7529,14535,20327,34867,16968,24555,41516,18908,28018,46931,9879,12773,22657,11441,15168,26609,13058,18429,31487,41811,15357,57170,47899,21452,69352,49936,24333,74272,1649,3347,4996,2053,4298,6350,2290,4377,6665,1835,3888,5725,1669,3608,5275,3039,5587,8630,45297,22598,67886,51621,29358,80975,55266,34297,89567,185365,193443,378805,196581,205385,401966,193382,202099,395478,33279,36009,69282,32615,35269,67891,32120,34693,66816,122919,127338,250260,133740,138697,272435,136218,140649,276867,82146,89293,171432,80697,87871,168568,80622,87666,168282
7,74854,70441,145290,84290,78510,162803,93101,86254,179359,35813,24278,60090,40801,28749,69544,43576,30527,74100,7924,12253,20179,7742,13135,20876,7913,13580,21493,3666,3246,6912,4319,3735,8054,3625,3484,7112,2147,1852,4006,3070,2417,5489,4245,3439,7685,49549,41633,91182,55929,48031,103967,59357,51039,110391,16017,21132,37147,18761,22928,41688,21067,24940,46008,4.3,4.4,4.4,5.5,5,5.3,7.2,6.7,7,66.2,59.1,62.8,66.4,61.2,63.9,63.8,59.2,61.5,63.3,56.5,60,62.7,58.1,60.5,59.2,55.2,57.3,1449,1423,2873,2063,2243,4311,2863,3438,6298,773,1421,2196,980,1943,2919,1108,2407,3519,5103,7808,12909,6590,10372,16961,8299,12600,20899,3800,4677,8477,4858,5797,10654,5922,6939,12854,15494,5224,20721,18547,7594,26138,20843,8751,29592,833,1494,2326,1125,1718,2841,1176,1585,2765,708,1266,1977,747,1014,1767,1386,1742,3132,17041,7979,25024,20420,10330,30749,23412,12078,35487,66996,63997,130995,75299,72676,147972,77829,74303,152140,19432,19495,38930,20043,19775,39816,21666,21135,42802,41451,39662,81114,46362,44925,91286,48046,46405,94453,37897,37146,75043,41491,40434,81923,45553,43375,88928
8,128117,133989,262107,142538,148336,290878,157220,165694,322917,69499,48443,117945,77161,54878,132042,79627,57431,137058,16147,30960,47106,17877,33150,51028,20435,36623,57064,5079,6158,11234,5547,7274,12821,4660,6849,11506,3505,2694,6207,3991,3323,7316,5394,4808,10205,94231,88260,182487,104583,98622,203206,110115,105719,215832,27198,39880,67078,31089,43798,74891,37909,50674,88580,3.7,3.1,3.4,3.8,3.4,3.6,4.9,4.5,4.7,73.6,65.9,69.6,73.4,66.5,69.9,70,63.8,66.8,70.8,63.9,67.3,70.6,64.2,67.3,66.6,60.9,63.7,10775,7080,17862,14704,11031,25733,18775,16045,34819,3748,5428,9178,4450,6705,11160,5280,8136,13412,24411,27252,51657,28500,33453,61953,32332,39359,71685,9545,12497,22050,11499,14585,26088,13283,16476,29758,18892,7918,26814,21372,10329,31701,22699,12529,35224,1059,1811,2867,1179,1932,3107,1186,1812,2997,1505,3387,4898,1374,2929,4302,1763,3637,5399,21451,13119,34574,23926,15192,39117,25643,17978,43625,122671,128047,250718,135901,140692,276596,144510,150072,294585,26840,27420,54264,30342,31067,61408,33071,34104,67174,78099,82620,160717,85418,89809,175231,88366,93546,181911,62180,64027,126206,70278,72077,142356,82026,84037,166068
9,991,773,1762,1713,822,2530,2037,1730,3773,550,210,763,564,301,869,885,524,1413,84,129,216,95,135,230,206,361,571,52,34,89,48,35,83,93,98,188,38,38,68,26,17,50,28,34,58,722,410,1135,733,492,1228,1215,1014,2228,178,335,512,923,282,1202,594,513,1108,5.3,9.3,6,3.5,3.5,4.1,2.3,3.4,2.6,72.9,53,64.4,42.8,59.9,48.5,59.6,58.6,59.1,69.2,48.3,60.6,41.3,57.3,46.7,58.1,56.8,57.6,14,9,26,24,11,34,33,43,76,6,13,24,11,26,36,22,33,56,64,71,138,81,94,169,135,195,328,53,39,90,67,61,124,100,171,279,189,53,248,198,90,283,462,148,609,11,17,29,12,22,33,27,30,58,15,22,32,5,10,12,38,60,99,218,97,311,210,123,334,527,236,765,937,845,1786,940,823,1758,1614,1578,3194,188,165,350,211,174,381,302,273,581,664,604,1271,645,592,1242,1223,1197,2416,402,321,729,428,342,765,579,563,1144
