STE_CODE_2016,C06_N_in_1PF_1C,C06_N_in_1PF_2C,C06_N_in_1PF_3C,C06_N_in_1PF_4mor_c,C06_N_in_1PF_T,C06_1_149_1PF_1C,C06_1_149_1PF_2C,C06_1_149_1PF_3C,C06_1_149_1PF_4mC,C06_1_149_1PF_T,C06_150_299_1PF_1C,C06_150_299_1PF_2C,C06_150_299_1PF_3C,C06_150_299_1PF_4mC,C06_150_299_1PF_T,C06_300_399_1PF_1C,C06_300_399_1PF_2C,C06_300_399_1PF_3C,C06_300_399_1PF_4mC,C06_300_399_1PF_T,C06_400_499_1PF_1C,C06_400_499_1PF_2C,C06_400_499_1PF_3C,C06_400_499_1PF_4mC,C06_400_499_1PF_T,C06_500_649_1PF_1C,C06_500_649_1PF_2C,C06_500_649_1PF_3C,C06_500_649_1PF_4mC,C06_500_649_1PF_T,C06_650_799_1PF_1C,C06_650_799_1PF_2C,C06_650_799_1PF_3C,C06_650_799_1PF_4mC,C06_650_799_1PF_T,C06_800_999_1PF_1C,C06_800_999_1PF_2C,C06_800_999_1PF_3C,C06_800_999_1PF_4mC,C06_800_999_1PF_T,C06_1000_1499_1PF_1C,C06_1000_1499_1PF_2C,C06_1000_1499_1PF_3C,C06_1000_1499_1PF_4mC,C06_1000_1499_1PF_T,C06_1500_1999_1PF_1C,C06_1500_1999_1PF_2C,C06_1500_1999_1PF_3C,C06_1500_1999_1PF_4mC,C06_1500_1999_1PF_T,C06_2000_2499_1PF_1C,C06_2000_2499_1PF_2C,C06_2000_2499_1PF_3C,C06_2000_2499_1PF_4mC,C06_2000_2499_1PF_T,C06_2500_2999_1PF_1C,C06_2500_2999_1PF_2C,C06_2500_2999_1PF_3C,C06_2500_2999_1PF_4mC,C06_2500_2999_1PF_T,C06_3000_3999_1PF_1C,C06_3000_3999_1PF_2C,C06_3000_3999_1PF_3C,C06_3000_3999_1PF_4mC,C06_3000_3999_1PF_T,C06_4000m_1PF_1C,C06_4000m_1PF_2C,C06_4000m_1PF_3C,C06_4000m_1PF_4mo_ch,C06_4000m_1PF_T,C06_Par_inc_st_1PF_1C,C06_Par_inc_st_1PF_2C,C06_Par_inc_st_1PF_3C,C06_Par_inc_st_1PF_4mC,C06_Par_inc_st_1PF_T,C06_All_inc_ns_1PF_1Ch,C06_All_inc_ns_1PF_2C,C06_All_inc_ns_1PF_3C,C06_All_inc_ns_1PF_4mC,C06_All_inc_ns_1PF_T,C06_Tot_1PF_1C,C06_Tot_1PF_2C,C06_Tot_1PF_3C,C06_Tot_1PF_4mC,C06_Tot_1PF_T,C11_N_in_1PF_1C,C11_N_in_1PF_2C,C11_N_in_1PF_3C,C11_N_in_1PF_4mor_c,C11_N_in_1PF_T,C11_1_149_1PF_1C,C11_1_149_1PF_2C,C11_1_149_1PF_3C,C11_1_149_1PF_4mC,C11_1_149_1PF_T,C11_150_299_1PF_1C,C11_150_299_1PF_2C,C11_150_299_1PF_3C,C11_150_299_1PF_4mC,C11_150_299_1PF_T,C11_300_399_1PF_1C,C11_300_399_1PF_2C,C11_300_399_1PF_3C,C11_300_399_1PF_4mC,C11_300_399_1PF_T,C11_400_499_1PF_1C,C11_400_499_1PF_2C,C11_400_499_1PF_3C,C11_400_499_1PF_4mC,C11_400_499_1PF_T,C11_500_649_1PF_1C,C11_500_649_1PF_2C,C11_500_649_1PF_3C,C11_500_649_1PF_4mC,C11_500_649_1PF_T,C11_650_799_1PF_1C,C11_650_799_1PF_2C,C11_650_799_1PF_3C,C11_650_799_1PF_4mC,C11_650_799_1PF_T,C11_800_999_1PF_1C,C11_800_999_1PF_2C,C11_800_999_1PF_3C,C11_800_999_1PF_4mC,C11_800_999_1PF_T,C11_1000_1499_1PF_1C,C11_1000_1499_1PF_2C,C11_1000_1499_1PF_3C,C11_1000_1499_1PF_4mC,C11_1000_1499_1PF_T,C11_1500_1999_1PF_1C,C11_1500_1999_1PF_2C,C11_1500_1999_1PF_3C,C11_1500_1999_1PF_4mC,C11_1500_1999_1PF_T,C11_2000_2499_1PF_1C,C11_2000_2499_1PF_2C,C11_2000_2499_1PF_3C,C11_2000_2499_1PF_4mC,C11_2000_2499_1PF_T,C11_2500_2999_1PF_1C,C11_2500_2999_1PF_2C,C11_2500_2999_1PF_3C,C11_2500_2999_1PF_4mC,C11_2500_2999_1PF_T,C11_3000_3999_1PF_1C,C11_3000_3999_1PF_2C,C11_3000_3999_1PF_3C,C11_3000_3999_1PF_4mC,C11_3000_3999_1PF_T,C11_4000m_1PF_1C,C11_4000m_1PF_2C,C11_4000m_1PF_3C,C11_4000m_1PF_4mo_ch,C11_4000m_1PF_T,C11_Par_inc_st_1PF_1C,C11_Par_inc_st_1PF_2C,C11_Par_inc_st_1PF_3C,C11_Par_inc_st_1PF_4mC,C11_Par_inc_st_1PF_T,C11_All_inc_ns_1PF_1Ch,C11_All_inc_ns_1PF_2C,C11_All_inc_ns_1PF_3C,C11_All_inc_ns_1PF_4mC,C11_All_inc_ns_1PF_T,C11_Tot_1PF_1C,C11_Tot_1PF_2C,C11_Tot_1PF_3C,C11_Tot_1PF_4mC,C11_Tot_1PF_T,C16_N_in_1PF_1C,C16_N_in_1PF_2C,C16_N_in_1PF_3C,C16_N_in_1PF_4mor_c,C16_N_in_1PF_T,C16_1_149_1PF_1C,C16_1_149_1PF_2C,C16_1_149_1PF_3C,C16_1_149_1PF_4mC,C16_1_149_1PF_T,C16_150_299_1PF_1C,C16_150_299_1PF_2C,C16_150_299_1PF_3C,C16_150_299_1PF_4mC,C16_150_299_1PF_T,C16_300_399_1PF_1C,C16_300_399_1PF_2C,C16_300_399_1PF_3C,C16_300_399_1PF_4mC,C16_300_399_1PF_T,C16_400_499_1PF_1C,C16_400_499_1PF_2C,C16_400_499_1PF_3C,C16_400_499_1PF_4mC,C16_400_499_1PF_T,C16_500_649_1PF_1C,C16_500_649_1PF_2C,C16_500_649_1PF_3C,C16_500_649_1PF_4mC,C16_500_649_1PF_T
1,2138,1079,317,114,3648,2866,1092,324,132,4416,10584,4649,1409,498,17138,18946,10283,3242,975,33446,6575,1116,375,209,8279,27130,16724,6995,2749,53603,13533,7482,2739,1496,25248,13747,6239,2011,764,22763,27396,11044,3328,1194,42966,8608,4828,1328,451,15220,2919,2035,619,190,5771,2937,1847,567,165,5524,1023,709,238,91,2067,195,210,92,42,538,11054,8679,4097,2166,25993,5112,2292,1072,673,9149,154768,80302,28777,11920,275769,2733,1336,387,180,4635,2402,1133,338,106,3984,7343,3437,1066,380,12226,11676,5356,1837,714,19584,17401,12554,4498,1610,36064,9246,3061,1257,685,14248,21423,9630,4341,2334,37731,18298,7709,2575,1298,29873,30217,13709,3927,1622,49473,14722,7873,2210,700,25503,6791,3415,944,319,11471,5905,3921,1023,292,11141,2480,1681,549,189,4900,453,533,248,89,1317,11886,9213,4118,2007,27227,4888,2204,903,545,8535,167861,86759,30229,13064,297906,3740,1766,603,284,6389,1713,693,231,82,2727,5292,2352,734,295,8675,5748,3282,1214,452,10694,10676,4879,1596,616,17771,14361,9370,3404,1285,28424
2,1334,727,189,84,2334,2011,773,224,69,3084,7205,3429,964,316,11916,13094,7404,2074,523,23088,4542,814,281,136,5770,19750,12150,4929,1708,38537,10426,5776,2083,1003,19289,10667,4883,1577,565,17689,20559,8561,2443,791,32359,5586,3627,1051,329,10596,1744,1382,440,131,3696,1660,1192,350,83,3290,560,387,160,55,1156,110,82,28,20,250,8313,6583,3055,1525,19481,3598,1798,674,373,6442,111168,59564,20530,7704,198971,2052,1003,284,114,3455,1794,904,233,72,3009,5202,2660,767,252,8880,8149,3913,1274,397,13728,12190,8977,3063,985,25218,6593,2346,943,418,10302,15719,7419,2984,1332,27458,14356,6133,1915,766,23164,23450,10906,3067,1028,38453,10476,5891,1639,490,18503,4691,2634,755,228,8311,3596,2670,719,188,7173,1469,1050,393,114,3029,243,295,119,61,723,9361,7266,3215,1300,21140,3660,1671,656,403,6393,123018,65738,22026,8149,218930,3322,1644,499,238,5704,1489,651,200,81,2422,4098,2048,617,245,7012,4477,2700,858,327,8368,8126,3730,1119,457,13436,11296,7326,2388,817,21833
3,1025,508,135,76,1746,1336,495,159,61,2049,5134,2097,632,234,8100,11985,5735,1591,543,19858,3019,464,171,72,3726,18731,11715,4783,1899,37135,9409,5451,2062,1173,18100,8821,4338,1507,628,15290,16164,6791,2160,832,25957,4089,2608,690,275,7658,1336,802,248,98,2488,1094,702,233,62,2094,385,209,76,30,707,75,56,24,17,177,6056,4443,2191,1250,13936,2868,1388,579,350,5186,91536,47809,17248,7611,164195,1373,700,213,85,2366,1411,598,196,54,2259,4169,1796,565,229,6759,7150,2947,1029,405,11533,12323,8577,2989,1062,24951,4960,1764,783,424,7934,14073,7063,3269,1795,26201,12180,5410,1822,993,20405,19542,9216,2837,1203,32795,8638,4638,1272,507,15052,3628,1743,504,168,6041,2832,1883,534,168,5411,1163,661,210,60,2094,207,166,68,35,476,6730,4808,2149,1138,14829,3059,1458,568,349,5438,103434,53424,19004,8683,184548,1884,1105,339,185,3514,982,441,164,74,1651,3102,1447,450,192,5192,3957,2176,769,299,7192,7311,3357,1066,472,12199,10642,7241,2533,934,21349
4,314,149,56,17,528,604,214,51,19,883,2695,1085,297,100,4181,5034,2543,662,219,8455,1572,259,88,38,1956,7286,4669,1738,562,14256,3665,2101,686,318,6771,3544,1605,519,187,5851,6455,2661,726,246,10091,1528,983,253,74,2840,422,358,92,20,890,373,275,73,26,747,126,84,22,9,235,24,12,10,3,46,2603,2004,904,425,5945,1102,514,207,103,1925,37341,19509,6376,2367,65593,514,208,68,23,813,548,248,57,24,872,1791,748,209,85,2832,2989,1341,394,139,4861,4857,3425,1078,335,9692,2275,767,331,165,3537,5550,2632,1151,484,9808,4740,2011,646,293,7684,7383,3449,934,327,12096,3094,1662,425,138,5322,1220,690,160,55,2128,868,616,144,41,1668,298,213,68,18,600,54,34,30,4,126,2843,2120,893,386,6240,1019,450,196,130,1795,40038,20620,6784,2642,70082,601,299,115,46,1063,384,177,66,16,638,1315,566,170,69,2122,1535,940,284,110,2874,2975,1213,396,130,4718,4280,2706,815,303,8095
5,499,278,78,37,887,686,299,103,34,1124,2549,1075,342,117,4090,5133,2715,762,259,8867,1267,224,104,48,1648,7540,4844,1910,690,14983,3858,2403,831,436,7532,3925,2018,650,233,6826,7857,3363,896,361,12480,2367,1399,387,132,4290,749,513,163,44,1470,725,474,172,36,1413,263,156,49,10,481,37,44,10,8,92,3220,2385,1165,604,7378,1292,681,268,209,2443,41950,22872,7905,3260,75987,804,419,161,56,1434,708,371,100,36,1225,1925,924,307,148,3305,3082,1436,502,210,5224,4855,3465,1190,426,9934,1969,706,320,169,3164,5340,2881,1148,581,9952,4743,2305,736,343,8127,8828,4088,1173,445,14536,4542,2440,672,186,7840,2293,992,272,85,3643,2076,1284,364,79,3812,921,546,168,53,1685,166,180,87,22,455,3641,2835,1220,612,8310,1298,613,289,209,2407,47198,25486,8715,3671,85065,1154,740,253,92,2238,530,313,88,47,972,1746,855,267,114,2981,1895,1153,401,161,3609,3259,1500,527,224,5509,4379,2953,1036,402,8777
6,81,33,12,0,129,163,57,18,4,238,888,374,91,34,1394,1972,1047,225,82,3330,554,93,30,14,689,2660,1597,649,230,5134,1093,670,240,122,2120,1089,508,164,65,1831,1841,784,211,71,2902,363,196,64,23,642,96,61,20,0,184,67,50,21,11,154,27,7,9,4,39,6,3,0,0,15,893,645,319,145,2001,385,174,63,55,676,12175,6295,2136,861,21467,119,48,9,6,185,143,65,8,6,221,609,281,88,37,1016,1147,527,164,58,1893,1838,1293,468,135,3735,781,272,94,48,1190,1855,859,459,225,3395,1523,611,199,91,2426,2225,997,289,99,3613,870,467,97,27,1465,303,152,24,6,492,192,121,41,8,360,73,42,6,0,126,14,5,0,4,26,923,689,278,165,2064,347,167,62,43,616,12962,6590,2301,972,22822,111,64,37,8,217,100,29,7,0,141,424,189,43,20,677,615,342,121,44,1122,1030,469,174,46,1722,1497,1039,353,104,2996
7,62,28,15,13,115,88,26,8,8,128,452,221,98,47,819,484,257,143,75,956,160,63,34,33,295,555,357,182,116,1211,413,235,104,68,822,370,210,85,60,722,743,399,138,91,1365,241,122,28,26,417,72,34,18,9,131,63,40,17,8,122,14,4,4,4,26,3,3,3,0,6,269,209,130,125,739,174,112,71,62,415,4159,2327,1070,737,8299,64,28,14,15,122,192,107,44,13,352,361,223,95,42,717,312,177,77,49,615,325,220,108,72,722,182,78,56,39,355,360,205,126,69,766,375,185,79,37,674,757,402,146,112,1421,473,223,74,42,812,227,85,25,21,367,186,106,30,22,343,79,51,13,9,147,11,10,7,11,34,298,219,137,123,785,188,97,51,38,377,4387,2422,1093,712,8613,72,35,15,7,130,109,58,19,3,181,369,158,86,29,631,174,97,52,20,347,274,139,67,34,523,266,173,94,45,572
8,60,27,6,0,92,88,36,7,4,138,324,165,51,7,547,552,398,105,29,1072,131,30,10,8,177,775,499,184,93,1559,511,336,109,63,1021,684,344,107,20,1150,1812,878,215,48,2952,788,424,109,26,1348,353,134,37,6,537,280,202,52,9,539,87,68,23,0,182,5,19,0,3,24,525,433,211,82,1252,115,51,26,10,201,7091,4044,1255,407,12787,56,35,14,3,114,74,28,7,3,118,253,119,34,15,417,354,234,67,16,674,471,318,142,56,984,204,66,36,14,320,595,301,89,72,1052,621,321,82,29,1063,1544,746,219,49,2564,1188,643,128,22,1989,618,247,63,3,925,636,468,108,21,1238,294,179,57,12,538,41,57,17,6,125,569,459,192,60,1289,105,63,23,14,202,7632,4295,1269,406,13601,95,38,12,6,157,60,24,11,3,95,181,89,9,22,298,215,123,59,17,413,328,179,54,25,584,419,254,125,56,858
9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,3,0,0,4,5,0,0,0,4,4,5,0,0,9,0,0,0,0,4,3,0,0,0,5,6,3,0,0,17,3,0,0,0,7,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,30,19,5,3,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7,0,3,0,0,7,4,0,0,0,4,4,0,0,0,8,3,0,0,0,8,7,9,0,0,16,3,0,0,0,7,7,0,0,0,7,3,0,0,0,3,3,0,0,0,3,0,0,0,0,0,3,4,4,0,6,0,0,0,0,0,40,25,5,5,71,0,3,0,0,3,0,0,0,0,3,0,0,0,0,3,3,0,0,0,8,0,3,0,0,3,8,3,0,0,10
