STE_CODE_2016,C06_SH_FH_CF_no_ch,C06_SH_FH_CF_w_ch,C06_SH_FH_One_PFam,C06_SH_FH_oth_fa,C06_SH_FH_Tot,C06_SH_LP_H,C06_SH_GH,C06_SH_OH,C06_SH_Tot,C06_SDRTHT1S_FH_CF_no_ch,C06_SDRTHT1S_FH_CF_w_ch,C06_SDRTHT1S_FH_One_PFam,C06_SDRTHT1S_FH_oth_fa,C06_SDRTHT1S_FH_Tot,C06_SDRTHT1S_LP_H,C06_SDRTHT1S_GH,C06_SDRTHT1S_OH,C06_SDRTHT1S_Tot,C06_SDRTHT2S_FH_CF_no_ch,C06_SDRTHT2S_FH_CF_w_ch,C06_SDRTHT2S_FH_One_PFam,C06_SDRTHT2S_FH_oth_fa,C06_SDRTHT2S_FH_Tot,C06_SDRTHT2S_LP_H,C06_SDRTHT2S_GH,C06_SDRTHT2S_OH,C06_SDRTHT2S_Tot,C06_SDRTHT_FH_CF_no_ch,C06_SDRTHT_FH_CF_w_ch,C06_SDRTHT_FH_One_PFam,C06_SDRTHT_FH_oth_fa,C06_SDRTHT_FH_Tot,C06_SDRTHT_LP_H,C06_SDRTHT_GH,C06_SDRTHT_OH,C06_SDRTHT_Tot,C06_F_u_a_1_2_FH_CF_no_ch,C06_F_u_a_1_2_FH_CF_w_ch,C06_F_u_a_1_2_FH_One_PFam,C06_F_u_a_1_2_FH_oth_fa,C06_F_u_a_1_2_FH_Tot,C06_F_u_a_1_2_LP_H,C06_F_u_a_1_2_GH,C06_F_u_a_1_2_OH,C06_F_u_a_1_2_Tot,C06_F_u_a_3_FH_CF_no_ch,C06_F_u_a_3_FH_CF_w_ch,C06_F_u_a_3_FH_One_PFam,C06_F_u_a_3_FH_oth_fa,C06_F_u_a_3_FH_Tot,C06_F_u_a_3_LP_H,C06_F_u_a_3_GH,C06_F_u_a_3_OH,C06_F_u_a_3_Tot,C06_F_u_a_4m_FH_CF_no_ch,C06_F_u_a_4m_FH_CF_w_ch,C06_F_u_a_4m_FH_One_PFam,C06_F_u_a_4m_FH_oth_fa,C06_F_u_a_4m_FH_Tot,C06_F_u_a_4m_LP_H,C06_F_u_a_4m_GH,C06_F_u_a_4m_OH,C06_F_u_a_4m_Tot,C06_F_u_a_a_h_FH_CF_no_ch,C06_F_u_a_a_h_FH_CF_w_ch,C06_F_u_a_a_h_FH_One_PFam,C06_F_u_a_a_h_FH_oth_fa,C06_F_u_a_a_h_FH_Tot,C06_F_u_a_a_h_LP_H,C06_F_u_a_a_h_GH,C06_F_u_a_a_h_OH,C06_F_u_a_a_h_Tot,C06_F_u_a_T_FH_CF_no_ch,C06_F_u_a_T_FH_CF_w_ch,C06_F_u_a_T_FH_One_PFam,C06_F_u_a_T_FH_oth_fa,C06_F_u_a_T_FH_Tot,C06_F_u_a_T_LP_H,C06_F_u_a_T_GH,C06_F_u_a_T_OH,C06_F_u_a_T_Tot,C06_OD_C_c_hb_FH_CF_no_ch,C06_OD_C_c_hb_FH_CF_w_ch,C06_OD_C_c_hb_FH_One_PFam,C06_OD_C_c_hb_FH_oth_fa,C06_OD_C_c_hb_FH_Tot,C06_OD_C_c_hb_LP_H,C06_OD_C_c_hb_GH,C06_OD_C_c_hb_OH,C06_OD_C_c_hb_Tot,C06_OD_Ih_t_s_FH_CF_no_ch,C06_OD_Ih_t_s_FH_CF_w_ch,C06_OD_Ih_t_s_FH_One_PFam,C06_OD_Ih_t_s_FH_oth_fa,C06_OD_Ih_t_s_FH_Tot,C06_OD_Ih_t_s_LP_H,C06_OD_Ih_t_s_GH,C06_OD_Ih_t_s_OH,C06_OD_Ih_t_s_Tot,C06_OD_H_f_so_FH_CF_no_ch,C06_OD_H_f_so_FH_CF_w_ch,C06_OD_H_f_so_FH_One_PFam,C06_OD_H_f_so_FH_oth_fa,C06_OD_H_f_so_FH_Tot,C06_OD_H_f_so_LP_H,C06_OD_H_f_so_GH,C06_OD_H_f_so_OH,C06_OD_H_f_so_Tot,C06_OD_T_FH_CF_no_ch,C06_OD_T_FH_CF_w_ch,C06_OD_T_FH_One_PFam,C06_OD_T_FH_oth_fa,C06_OD_T_FH_Tot,C06_OD_Tot_LP_H,C06_OD_Tot_GH,C06_OD_Tot_OH,C06_OD_T_T,C06_DS_ns_FH_CF_no_ch,C06_DS_ns_FH_CF_w_ch,C06_DS_ns_FH_One_PFam,C06_DS_ns_FH_oth_fa,C06_DS_ns_FH_Tot,C06_DS_ns_LP_H,C06_DS_ns_GH,C06_DS_ns_OH,C06_DS_NS_T,C06_T_FH_CF_no_ch,C06_T_FH_CF_w_ch,C06_T_FH_One_PFam,C06_T_FH_oth_fa,C06_T_FH_Tot,C06_Tot_LP_H,C06_Tot_GH,C06_Tot_OH,C06_T_T,C11_SH_FH_CF_no_ch,C11_SH_FH_CF_w_ch,C11_SH_FH_One_PFam,C11_SH_FH_oth_fa,C11_SH_FH_Tot,C11_SH_LP_H,C11_SH_GH,C11_SH_OH,C11_SH_Tot,C11_Sd_r_t_1_FH_CF_no_ch,C11_Sd_r_t_1_FH_CF_w_ch,C11_Sd_r_t_1_FH_One_PFam,C11_Sd_r_t_1_FH_oth_fa,C11_Sd_r_t_1_FH_Tot,C11_Sd_r_t_1_LP_H,C11_Sd_r_t_1_GH,C11_Sd_r_t_1_OH,C11_Sd_r_t_1_Tot,C11_Sd_r_t_2m_FH_CF_no_ch,C11_Sd_r_t_2m_FH_CF_w_ch,C11_Sd_r_t_2m_FH_One_PFam,C11_Sd_r_t_2m_FH_oth_fa,C11_Sd_r_t_2m_FH_Tot,C11_Sd_r_t_2m_LP_H,C11_Sd_r_t_2m_GH,C11_Sd_r_t_2m_OH,C11_Sd_r_t_2m_Tot,C11_Sd_r_t_T_FH_CF_no_ch,C11_Sd_r_t_T_FH_CF_w_ch,C11_Sd_r_t_T_FH_One_PFam,C11_Sd_r_t_T_FH_oth_fa,C11_Sd_r_t_T_FH_Tot,C11_Sd_r_t_T_LP_H,C11_Sd_r_t_T_GH,C11_Sd_r_t_T_OH,C11_Sd_r_t_T_Tot,C11_F_u_a_1_2_FH_CF_no_ch,C11_F_u_a_1_2_FH_CF_w_ch,C11_F_u_a_1_2_FH_One_PFam,C11_F_u_a_1_2_FH_oth_fa,C11_F_u_a_1_2_FH_Tot,C11_F_u_a_1_2_LP_H,C11_F_u_a_1_2_GH,C11_F_u_a_1_2_OH,C11_F_u_a_1_2_Tot,C11_F_u_a_3_FH_CF_no_ch,C11_F_u_a_3_FH_CF_w_ch,C11_F_u_a_3_FH_One_PFam,C11_F_u_a_3_FH_oth_fa,C11_F_u_a_3_FH_Tot,C11_F_u_a_3_LP_H,C11_F_u_a_3_GH,C11_F_u_a_3_OH,C11_F_u_a_3_Tot,C11_F_u_a_4m_FH_CF_no_ch,C11_F_u_a_4m_FH_CF_w_ch,C11_F_u_a_4m_FH_One_PFam,C11_F_u_a_4m_FH_oth_fa,C11_F_u_a_4m_FH_Tot,C11_F_u_a_4m_LP_H,C11_F_u_a_4m_GH,C11_F_u_a_4m_OH,C11_F_u_a_4m_Tot,C11_F_u_a_a_h_FH_CF_no_ch,C11_F_u_a_a_h_FH_CF_w_ch
1,440603,676779,198324,17182,1332891,290867,38857,59154,1721779,27905,22026,14354,1443,65727,45248,4987,6008,121969,26718,29672,16349,1766,74502,28578,7506,8789,119382,54624,51705,30698,3210,140233,73824,12497,14796,241353,27700,16851,14594,2303,61439,76912,9739,15419,163508,30388,20247,12704,2861,66198,53028,11459,16356,147045,35400,16312,8809,3280,63799,51802,13171,26510,155292,770,667,410,39,1888,2140,207,417,4655,94255,54074,36517,8485,193329,183885,34581,58706,470498,3973,1136,967,108,6181,9396,438,7469,23489,422,293,104,13,835,1527,35,586,2981,1585,1622,755,138,4096,2623,567,1064,8354,5978,3045,1828,256,11113,13542,1044,9115,34819,348,410,146,27,930,505,115,457,2008,595813,786020,267515,29154,1678500,562629,87087,142233,2470453,456762,684323,209335,18048,1368469,308054,41179,55831,1773531,29938,25802,15838,1633,73208,52231,5497,6173,137109,30754,39817,18853,1949,91367,33042,8581,7614,140607,60694,65612,34690,3576,164578,85267,14080,13790,277710,29811,19539,14357,2228,65939,75337,9433,12944,163656,36402,26049,14507,2916,79874,54835,12424,12963,160095,47498,24065,10834,3698,86099,60764,16189,20664,183720,790,599
2,363379,552169,158468,15058,1089081,253906,37930,48209,1429129,28227,18377,11698,1882,60185,49678,7583,6293,123745,12506,11681,5021,1031,30231,10649,4635,3420,48938,40727,30053,16717,2913,90416,60332,12222,9715,172688,29083,14137,14104,3005,60325,81157,11218,12670,165365,7118,1684,1570,1020,11388,17622,4811,5573,39386,8683,2607,2598,1831,15724,15754,4817,8328,44617,342,222,141,21,734,916,84,141,1877,45225,18655,18413,5879,88176,115441,20926,26703,251248,1350,514,372,48,2281,4550,208,2356,9392,176,222,63,12,467,640,16,145,1269,1169,1210,415,63,2863,1437,390,541,5230,2695,1943,850,122,5609,6627,609,3044,15894,92,88,35,3,221,149,25,49,436,452123,602913,194482,23971,1273493,436458,71714,87723,1869388,393156,582932,173578,17011,1166680,284320,44971,48515,1544492,29549,20894,12093,1851,64391,51136,7745,5878,129154,17463,16898,6829,1293,42495,14091,5879,3800,66263,47016,37794,18928,3144,106886,65223,13625,9676,195411,33931,17211,13688,2810,67640,78071,11481,10799,167994,10122,2663,1970,1003,15759,19407,5423,4834,45418,13353,3946,3343,1910,22556,22442,6345,8386,59721,259,177
3,324120,417105,129679,12307,883205,185029,38644,47525,1154403,14869,6536,6476,647,28529,25484,2640,3086,59739,12408,7376,7813,1052,28647,15501,5116,4457,53720,27273,13906,14292,1705,57177,40987,7753,7540,113460,17300,5668,9400,1622,33988,52021,8032,12435,106478,8058,1959,2250,807,13075,14644,4385,9178,41280,10071,2392,1426,597,14480,11101,3202,18546,47329,264,137,136,18,556,731,82,129,1496,35693,10154,13210,3049,62104,78495,15698,40289,196588,4183,1096,907,102,6289,9740,516,19399,35946,468,382,146,19,1012,1452,74,1719,4259,732,620,208,33,1591,699,130,269,2687,5379,2098,1256,150,8888,11887,722,21387,42891,244,247,106,12,603,389,49,145,1188,392711,443509,158537,17222,1011976,316788,62865,116888,1508520,356250,452371,142679,13686,964983,205867,44450,47541,1262842,15497,7141,7346,771,30753,29331,3116,3152,66362,16592,11412,10287,1380,39669,19974,6584,4842,71062,32092,18549,17634,2147,70423,49308,9703,7999,137427,18146,7447,9923,1633,37148,51697,7739,8916,105504,10947,3103,2982,935,17972,18224,5487,5396,47072,14281,3781,2342,773,21176,15977,4730,7661,49543,324,176
4,137148,161922,52475,4782,356321,97643,12453,15730,482144,10933,5285,6969,673,23854,25446,2125,2529,53960,2715,1380,1125,252,5471,3568,935,814,10788,13643,6666,8096,922,29328,29016,3060,3337,64746,7241,2052,3188,654,13136,29006,2628,3052,47827,508,154,152,87,906,1958,443,526,3830,724,199,167,79,1168,1780,410,576,3934,100,51,52,12,215,296,24,53,581,8571,2462,3552,836,15422,33040,3502,4205,56172,637,245,99,19,999,1472,56,2213,4738,70,45,23,3,141,317,11,376,846,212,258,70,13,552,255,45,78,922,921,546,190,28,1697,2047,108,2664,6504,74,104,37,3,224,77,14,23,345,160366,171701,64357,6567,402992,161818,19136,25961,609908,145688,165451,56144,5118,372405,107554,14514,14847,509317,11375,5603,6693,744,24417,26493,2468,2143,55514,3633,2211,1460,272,7577,4238,1284,816,13907,15008,7811,8155,1020,31989,30724,3745,2963,69430,8211,3388,3324,697,15623,27972,2539,2574,48713,708,310,143,71,1236,2051,429,433,4144,1097,269,186,122,1669,2363,650,1022,5708,67,37
5,161181,217170,62966,6585,447894,104029,16893,30253,599068,13606,6251,5833,904,26598,28527,2960,4084,62168,4320,2166,1472,391,8353,5470,1412,1908,17140,17928,8422,7308,1291,34944,34005,4375,5991,79307,6577,1860,2506,557,11493,20215,2116,3881,37706,1714,419,413,209,2746,5888,840,1945,11421,2033,518,359,182,3087,5048,623,2735,11490,115,120,54,5,300,233,25,73,625,10432,2914,3324,951,17624,31388,3598,8639,61241,1913,471,256,28,2665,3270,140,8861,14937,197,164,66,8,435,700,32,845,2013,240,214,61,8,515,251,39,157,958,2348,845,379,36,3615,4226,208,9864,17914,87,95,35,3,216,142,12,75,450,191980,229438,74005,8870,504295,173784,25088,54824,757988,181266,242773,69596,7822,501461,116292,21020,29839,668608,15037,8316,6220,1007,30590,29219,3629,4199,67637,6163,3774,1802,458,12196,6734,1968,2007,22906,21206,12087,8027,1473,42787,35951,5600,6205,90546,8130,3489,3099,628,15342,19822,2476,3843,41491,3014,837,500,259,4610,6217,1199,1926,13955,3920,985,430,230,5565,6055,1074,2707,15407,132,71
6,46976,51522,18932,1425,118855,34587,4348,5253,163034,1042,405,577,65,2090,3279,280,292,5936,408,186,183,35,816,675,247,189,1925,1453,592,766,98,2904,3952,522,478,7862,2186,584,1137,177,4087,8497,655,762,14003,136,20,51,15,224,546,87,89,941,126,34,27,11,197,369,68,163,791,80,44,38,10,170,303,42,63,575,2530,684,1253,209,4676,9713,849,1067,16311,193,93,44,0,329,403,21,272,1021,35,42,15,0,90,77,3,27,203,149,130,44,13,330,186,33,63,614,384,262,103,10,755,669,51,359,1838,11,3,5,0,17,5,0,4,22,51344,53064,21056,1742,127206,48923,5768,7163,189068,50748,51134,19734,1427,123047,38729,4733,5181,171695,1505,572,871,78,3022,4850,335,385,8593,503,256,242,36,1035,836,254,145,2263,2016,828,1106,114,4058,5679,591,526,10857,2104,703,1202,133,4142,7759,630,764,13295,199,50,25,14,296,567,108,126,1095,156,30,28,11,233,343,60,82,715,67,27
7,9262,17346,5507,569,32689,5141,1489,3742,43056,807,459,473,43,1781,1665,240,485,4163,533,262,283,16,1096,681,187,384,2351,1338,721,749,62,2877,2342,421,872,6518,952,472,542,82,2059,2443,403,953,5864,477,130,147,38,792,745,246,358,2139,543,145,106,26,816,670,240,453,2169,8,8,4,0,20,46,10,33,105,1986,758,804,144,3684,3904,895,1796,10281,456,176,75,22,732,606,47,3714,5107,69,55,28,10,165,693,9,994,1857,62,38,7,0,106,72,9,57,248,589,270,108,33,1003,1374,67,4769,7207,10,0,3,0,15,18,4,65,101,13185,19096,7171,807,40265,12785,2881,11233,67161,9824,17921,5468,574,33792,5612,1782,3676,44865,1051,725,456,56,2291,1799,293,595,4976,729,507,232,34,1509,738,255,303,2803,1788,1231,686,92,3796,2538,545,893,7779,1316,851,641,97,2909,2559,427,971,6868,520,221,106,20,867,584,274,451,2173,832,299,125,30,1289,752,359,570,2964,15,17
8,23457,36647,10183,901,71177,14555,3481,2934,92150,2335,1230,1029,138,4730,4388,643,500,10260,1637,968,729,126,3458,1718,720,462,6361,3975,2197,1758,265,8187,6112,1363,961,16622,898,305,285,63,1552,2559,460,563,5135,879,229,217,85,1405,2224,605,812,5048,702,139,95,39,977,1282,359,605,3229,71,32,20,0,124,214,20,52,405,2553,708,613,184,4055,6284,1442,2037,13827,18,19,4,0,46,81,3,48,177,3,3,5,0,11,44,0,3,62,7,9,0,0,15,12,0,4,25,26,25,15,0,73,136,4,52,262,0,7,0,0,7,35,0,0,43,30012,39584,12562,1347,83504,27121,6295,5984,122900,25304,38475,10263,990,75029,15481,3755,2508,96769,2878,1808,1198,139,6028,5158,686,471,12347,1890,1430,883,99,4308,1770,860,377,7311,4773,3235,2086,246,10337,6928,1544,845,19659,1167,490,389,79,2122,2770,505,471,5860,1506,420,280,80,2291,2755,783,704,6531,1478,290,133,57,1955,1976,585,865,5387,87,27
9,122,266,49,7,450,102,10,60,618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,12,0,0,0,0,0,4,0,4,12,10,4,0,0,10,49,4,8,78,13,18,6,0,41,13,0,0,55,0,7,0,0,10,3,0,0,10,0,5,0,0,11,0,0,0,6,29,32,5,0,68,66,4,13,157,5,3,0,0,7,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,7,3,0,0,11,0,0,0,0,0,0,0,0,0,154,307,57,7,522,177,14,75,795,103,199,42,4,350,36,5,35,432,19,13,9,0,41,22,3,14,77,3,0,3,0,4,0,0,0,6,16,13,7,0,42,18,3,14,85,15,22,7,0,41,50,3,35,124,35,39,9,3,87,21,8,14,131,0,3,0,0,3,3,0,4,5,0,0
