STE_CODE_2016,C11_AP_45_49_NCB_2,C11_AP_45_49_NCB_3,C11_AP_45_49_NCB_4,C11_AP_45_49_NCB_5,C11_AP_45_49_NCB_6m,C11_AP_45_49_NCB_NS,C11_AP_45_49_Tot,C11_AP_50_54_NCB_0,C11_AP_50_54_NCB_1,C11_AP_50_54_NCB_2,C11_AP_50_54_NCB_3,C11_AP_50_54_NCB_4,C11_AP_50_54_NCB_5,C11_AP_50_54_NCB_6m,C11_AP_50_54_NCB_NS,C11_AP_50_54_Tot,C11_AP_55_59_NCB_0,C11_AP_55_59_NCB_1,C11_AP_55_59_NCB_2,C11_AP_55_59_NCB_3,C11_AP_55_59_NCB_4,C11_AP_55_59_NCB_5,C11_AP_55_59_NCB_6m,C11_AP_55_59_NCB_NS,C11_AP_55_59_Tot,C11_AP_60_64_NCB_0,C11_AP_60_64_NCB_1,C11_AP_60_64_NCB_2,C11_AP_60_64_NCB_3,C11_AP_60_64_NCB_4,C11_AP_60_64_NCB_5,C11_AP_60_64_NCB_6m,C11_AP_60_64_NCB_NS,C11_AP_60_64_Tot,C11_AP_65_69_NCB_0,C11_AP_65_69_NCB_1,C11_AP_65_69_NCB_2,C11_AP_65_69_NCB_3,C11_AP_65_69_NCB_4,C11_AP_65_69_NCB_5,C11_AP_65_69_NCB_6m,C11_AP_65_69_NCB_NS,C11_AP_65_69_Tot,C11_AP_70_74_NCB_0,C11_AP_70_74_NCB_1,C11_AP_70_74_NCB_2,C11_AP_70_74_NCB_3,C11_AP_70_74_NCB_4,C11_AP_70_74_NCB_5,C11_AP_70_74_NCB_6m,C11_AP_70_74_NCB_NS,C11_AP_70_74_Tot,C11_AP_75_79_NCB_0,C11_AP_75_79_NCB_1,C11_AP_75_79_NCB_2,C11_AP_75_79_NCB_3,C11_AP_75_79_NCB_4,C11_AP_75_79_NCB_5,C11_AP_75_79_NCB_6m,C11_AP_75_79_NCB_NS,C11_AP_75_79_Tot,C11_AP_80_84_NCB_0,C11_AP_80_84_NCB_1,C11_AP_80_84_NCB_2,C11_AP_80_84_NCB_3,C11_AP_80_84_NCB_4,C11_AP_80_84_NCB_5,C11_AP_80_84_NCB_6m,C11_AP_80_84_NCB_NS,C11_AP_80_84_Tot,C11_AP_85andover_N_c_b_0,C11_AP_85andover_N_c_b_1,C11_AP_85andover_N_c_b_2,C11_AP_85andover_N_c_b_3,C11_AP_85andover_N_c_b_4,C11_AP_85andover_N_c_b_5,C11_AP_85ov_N_c_b_6mor,C11_AP_85andover_N_c_b_NS,C11_AP_85_andover_Tot,C11_AP_Tot_NCB_0,C11_AP_Tot_NCB_1,C11_AP_Tot_NCB_2,C11_AP_Tot_NCB_3,C11_AP_Tot_NCB_4,C11_AP_Tot_NCB_5,C11_AP_Tot_N_c_b_6mor,C11_AP_Tot_NCB_NS,C11_AP_T_T,C16_AP_15_19_NCB_0,C16_AP_15_19_NCB_1,C16_AP_15_19_NCB_2,C16_AP_15_19_NCB_3,C16_AP_15_19_NCB_4,C16_AP_15_19_NCB_5,C16_AP_15_19_NCB_6m,C16_AP_15_19_NCB_NS,C16_AP_15_19_Tot,C16_AP_20_24_NCB_0,C16_AP_20_24_NCB_1,C16_AP_20_24_NCB_2,C16_AP_20_24_NCB_3,C16_AP_20_24_NCB_4,C16_AP_20_24_NCB_5,C16_AP_20_24_NCB_6m,C16_AP_20_24_NCB_NS,C16_AP_20_24_Tot,C16_AP_25_29_NCB_0,C16_AP_25_29_NCB_1,C16_AP_25_29_NCB_2,C16_AP_25_29_NCB_3,C16_AP_25_29_NCB_4,C16_AP_25_29_NCB_5,C16_AP_25_29_NCB_6m,C16_AP_25_29_NCB_NS,C16_AP_25_29_Tot,C16_AP_30_34_NCB_0,C16_AP_30_34_NCB_1,C16_AP_30_34_NCB_2,C16_AP_30_34_NCB_3,C16_AP_30_34_NCB_4,C16_AP_30_34_NCB_5,C16_AP_30_34_NCB_6m,C16_AP_30_34_NCB_NS,C16_AP_30_34_Tot,C16_AP_35_39_NCB_0,C16_AP_35_39_NCB_1,C16_AP_35_39_NCB_2,C16_AP_35_39_NCB_3,C16_AP_35_39_NCB_4,C16_AP_35_39_NCB_5,C16_AP_35_39_NCB_6m,C16_AP_35_39_NCB_NS,C16_AP_35_39_Tot,C16_AP_40_44_NCB_0,C16_AP_40_44_NCB_1,C16_AP_40_44_NCB_2,C16_AP_40_44_NCB_3,C16_AP_40_44_NCB_4,C16_AP_40_44_NCB_5,C16_AP_40_44_NCB_6m,C16_AP_40_44_NCB_NS,C16_AP_40_44_Tot,C16_AP_45_49_NCB_0,C16_AP_45_49_NCB_1,C16_AP_45_49_NCB_2,C16_AP_45_49_NCB_3,C16_AP_45_49_NCB_4,C16_AP_45_49_NCB_5,C16_AP_45_49_NCB_6m,C16_AP_45_49_NCB_NS,C16_AP_45_49_Tot,C16_AP_50_54_NCB_0,C16_AP_50_54_NCB_1,C16_AP_50_54_NCB_2,C16_AP_50_54_NCB_3,C16_AP_50_54_NCB_4,C16_AP_50_54_NCB_5,C16_AP_50_54_NCB_6m,C16_AP_50_54_NCB_NS,C16_AP_50_54_Tot,C16_AP_55_59_NCB_0,C16_AP_55_59_NCB_1,C16_AP_55_59_NCB_2,C16_AP_55_59_NCB_3,C16_AP_55_59_NCB_4,C16_AP_55_59_NCB_5,C16_AP_55_59_NCB_6m,C16_AP_55_59_NCB_NS,C16_AP_55_59_Tot,C16_AP_60_64_NCB_0,C16_AP_60_64_NCB_1,C16_AP_60_64_NCB_2,C16_AP_60_64_NCB_3,C16_AP_60_64_NCB_4,C16_AP_60_64_NCB_5,C16_AP_60_64_NCB_6m,C16_AP_60_64_NCB_NS,C16_AP_60_64_Tot,C16_AP_65_69_NCB_0,C16_AP_65_69_NCB_1,C16_AP_65_69_NCB_2,C16_AP_65_69_NCB_3,C16_AP_65_69_NCB_4,C16_AP_65_69_NCB_5,C16_AP_65_69_NCB_6m,C16_AP_65_69_NCB_NS,C16_AP_65_69_Tot,C16_AP_70_74_NCB_0,C16_AP_70_74_NCB_1,C16_AP_70_74_NCB_2,C16_AP_70_74_NCB_3,C16_AP_70_74_NCB_4,C16_AP_70_74_NCB_5,C16_AP_70_74_NCB_6m,C16_AP_70_74_NCB_NS,C16_AP_70_74_Tot,C16_AP_75_79_NCB_0,C16_AP_75_79_NCB_1,C16_AP_75_79_NCB_2,C16_AP_75_79_NCB_3
1,88843,49649,17782,5195,3345,11189,244548,33382,29711,84122,51845,19531,5640,3338,11129,238693,27488,24567,75075,48770,18862,5426,3140,10178,213508,22180,19680,71362,46702,18382,5468,3272,9612,196652,15569,13454,51986,37869,16920,5568,3803,8495,153666,11268,9302,35256,30433,16660,6600,5589,7825,122935,8915,7640,24611,23226,14433,6656,6727,7775,99984,7964,7469,20559,18031,11519,5671,6332,8530,86072,9091,10145,22199,16461,9733,4775,5520,13925,91852,873173,334703,735032,445671,184176,62938,48620,176532,2860841,190012,2036,311,75,25,11,66,25781,218321,193991,15085,6439,1453,254,71,92,23797,241181,169395,37226,24551,8313,2213,601,308,23977,266576,104272,58485,58768,22402,6940,2031,1094,20387,274381,54147,43878,82116,37346,12455,3761,2369,16286,252361,40504,36123,92421,47231,16163,4936,3336,15546,256264,37176,34797,91060,48609,16914,5280,3445,15570,252842,34825,32512,87550,49346,17931,5447,3538,15531,246685,31558,30606,82727,51222,19695,5943,3535,15670,240946,25775,25728,73488,48311,18945,5616,3418,14478,215760,20171,19526,69179,45415,18380,5684,3515,14227,196098,13975,12750,49675,36390,16371,5441,3840,12009,150452,9464,8164,31875,28016
2,71133,39693,12840,3419,2174,7831,190276,25836,20819,66018,40694,14206,3630,2222,7559,180994,20527,17389,59729,38125,13823,3764,2092,6946,162397,15684,13929,55826,37345,14451,4183,2313,6889,150621,10219,9044,38988,29639,13276,4520,3023,6193,114894,7404,6348,25988,23552,13280,5359,4557,5936,92421,5829,5377,18554,17938,11515,5293,5546,5804,75864,5321,5377,15207,13899,9119,4527,5183,6494,65128,6300,6973,16575,12828,7695,3782,4329,10244,68727,724351,249308,572375,343380,136544,45791,36004,127662,2235423,152012,1029,170,36,22,8,41,21175,174492,169364,10029,3832,820,153,31,70,19762,204065,150499,29861,16727,5175,1357,315,188,19579,223709,93230,50534,46416,15139,4390,1262,724,16633,228322,47933,36489,67709,27352,7967,2281,1592,12783,204112,35767,29923,75285,36176,10880,3227,2281,12282,205832,32302,27948,77278,38963,12356,3507,2490,12428,207268,28185,24505,70485,39520,13121,3602,2397,11960,193778,24477,21525,65062,40445,14608,3994,2471,11865,184447,19367,18167,58644,37693,14212,3981,2327,11059,165445,14449,13701,54357,36430,14419,4357,2580,11018,151307,9209,8498,37364,28628,13104,4511,3167,8993,113466,6334,5845,24054,21902
3,54931,32227,12308,3943,2627,7153,154090,18821,16326,51070,33600,13341,3923,2442,6953,146485,15297,13446,45889,30940,12633,3749,2262,6251,130477,12325,11397,43253,29710,12602,3762,2365,5984,121406,8902,7765,29507,23432,11188,4080,2715,5050,92644,6228,4873,17509,17187,10563,4631,3651,4514,69142,4472,3624,11043,11899,8394,4294,4179,4424,52328,3758,3428,8946,8894,6322,3489,3766,4823,43420,3905,4365,9295,7909,5294,2831,3146,8403,45152,524428,202807,444642,279146,122073,44183,33791,107334,1758400,126668,1943,281,53,34,10,33,16062,145089,121342,13294,6026,1458,304,46,98,15013,157576,93486,25552,19233,7039,2137,590,292,14294,162626,56053,33578,39525,16316,5486,1790,1161,12306,166214,30739,25180,51129,24433,8864,2951,2212,10262,155774,24851,23042,58245,30518,11169,3757,3015,10593,165197,23588,21988,58488,31648,11793,3913,3077,10962,165460,21490,19214,54563,32242,12513,4091,2831,10762,157709,18361,16218,50732,33535,13473,4098,2636,10423,149472,14653,13524,45457,30802,12851,3867,2386,9588,133128,11655,11140,42105,29372,12673,3996,2438,9144,122526,8101,7315,28247,22690,10950,3992,2742,7442,91484,5390,4325,16072,15735
4,22059,11195,3758,1109,700,2003,57012,8093,6728,22169,11931,4075,1145,616,1986,56735,6653,5904,20939,11378,3908,977,511,1864,52128,5188,4978,20429,11642,3928,1043,536,1989,49743,3403,3072,14425,10034,3869,1163,717,1665,38348,2297,2059,9019,8328,4486,1682,1140,1718,30738,1737,1715,6159,6369,4142,1781,1512,1707,25115,1655,1814,5344,5077,3385,1676,1621,2052,22634,2087,2467,6083,4988,3025,1490,1431,3572,25146,194151,78021,188492,107938,42642,14430,10357,33362,669388,43408,458,85,24,9,3,9,5171,49169,43020,3554,1578,297,71,9,25,4219,52766,33198,8554,5879,1841,520,131,78,3650,53854,19300,12486,13808,4911,1477,481,286,3231,55981,10162,8982,18184,7985,2382,767,540,2707,51696,8136,7927,20572,9524,3093,969,698,2657,53580,8449,7925,21876,10908,3457,986,792,3042,57433,8510,7330,21533,11129,3793,1181,754,3108,57339,7726,6720,21782,11706,4154,1149,714,3277,57228,6382,5899,20502,11218,3963,1025,583,2949,52525,4925,4834,19823,11393,3966,1054,621,3024,49640,3169,2917,13766,9706,3809,1182,746,2598,37896,2011,1818,8278,7729
5,29788,16942,5831,1665,1061,3902,79362,9085,7885,27896,17346,6344,1781,1004,3712,75059,7242,6653,25216,16253,6071,1584,971,3347,67336,5348,5279,22921,14985,5748,1549,863,3068,59773,3367,3218,14760,11482,5138,1545,952,2292,42757,2378,2158,9043,9399,5394,1984,1431,2153,33944,1784,1552,5909,6780,4700,2172,1694,2177,26761,1428,1415,4649,4933,3596,1718,1682,2224,21648,1636,1964,4892,4355,2992,1423,1483,3550,22296,270679,99968,236193,142737,58742,19272,13771,57487,898860,63595,772,94,25,4,7,13,8370,72882,60847,6079,2436,510,119,19,39,7726,77777,55169,14178,9537,3236,860,228,120,8615,91940,34540,20364,22103,8105,2420,681,391,7689,96284,17212,14585,29176,13007,3980,1180,793,5811,85735,12671,11884,32160,15623,5067,1572,1162,5643,85786,11800,11326,32378,16375,5509,1658,1245,5656,85943,10399,9449,29612,16941,6055,1756,1226,5451,80893,8539,7863,27402,17274,6464,1875,1099,5256,75781,6709,6672,24445,16012,6052,1678,1043,4702,67311,4795,5007,21994,14422,5678,1623,925,4409,58856,3041,3047,13897,11012,4970,1569,985,3535,42054,1992,1948,8277,8635
6,6631,3785,1375,478,303,579,17944,2606,2090,6762,4230,1637,512,292,652,18782,2131,1837,6245,4154,1659,466,246,654,17385,1791,1547,5901,4157,1678,528,260,633,16493,1268,994,4050,3287,1602,545,372,604,12713,821,676,2474,2558,1575,717,570,578,9961,606,518,1671,1841,1346,700,584,567,7837,553,503,1292,1344,968,522,594,557,6320,660,690,1454,1329,828,427,492,855,6736,55234,23938,55848,35871,15911,5946,4370,9823,206939,13107,245,30,6,4,0,9,1721,15118,10923,1567,673,156,29,4,12,1209,14574,7902,2535,2081,768,215,68,26,1008,14611,4417,3022,3973,1834,607,184,107,942,15083,2705,2375,5016,2409,913,305,209,871,14811,2541,2257,5826,3049,1098,413,277,955,16419,2614,2405,6360,3493,1270,431,275,1005,17863,2618,2208,6471,3683,1347,472,326,1160,18291,2657,2104,6570,4227,1665,509,296,1279,19309,2139,1834,6118,4058,1655,482,274,1231,17781,1766,1524,5731,3989,1645,544,282,1299,16768,1158,937,3805,3165,1529,547,350,1048,12539,713,576,2174,2341
7,1988,1331,594,244,188,777,7189,952,748,1965,1327,642,259,189,656,6747,683,584,1633,1161,573,218,145,550,5552,454,390,1173,858,405,200,190,409,4098,263,189,619,499,261,122,156,257,2362,163,92,303,258,201,107,142,208,1475,75,40,128,131,135,75,136,139,858,39,49,86,83,65,53,91,98,567,34,42,78,53,49,24,53,102,441,24587,9881,16111,10076,4917,2125,1836,8976,78510,4722,271,29,9,3,0,7,1558,6597,4637,1098,532,106,21,4,10,1392,7795,5302,1619,1225,527,146,42,21,1689,10571,3432,1953,2043,985,388,152,76,1434,10471,1790,1339,2327,1277,533,236,147,1102,8746,1418,1047,2224,1260,620,218,186,1055,8039,1275,970,2172,1344,632,285,209,1039,7920,1170,792,1882,1283,596,273,201,955,7155,809,690,1675,1262,591,229,190,847,6289,553,509,1356,937,471,207,167,700,4899,345,319,902,698,345,169,145,443,3364,195,155,500,388,234,95,131,277,1985,117,87,237,232
8,4867,2451,772,197,104,386,12653,1954,1536,4455,2604,820,187,110,403,12072,1389,1177,3968,2487,866,225,87,336,10530,1062,1022,3582,2284,819,199,138,297,9406,655,584,2299,1667,699,207,114,262,6489,387,393,1367,1242,671,270,182,247,4759,307,281,902,908,538,232,215,205,3575,211,251,665,643,414,212,210,293,2895,217,355,737,652,363,186,173,488,3174,54841,17419,37204,20515,7545,2310,1557,6961,148336,10972,53,12,0,0,0,4,1103,12145,13384,624,217,52,6,0,3,1278,15565,11650,2128,1118,297,88,24,4,1232,16542,7144,3932,3635,1002,218,73,44,1093,17142,3650,2817,5277,1950,456,148,69,801,15176,2602,2091,5558,2325,690,178,103,733,14288,2305,1924,5147,2337,722,164,109,689,13394,2068,1642,4688,2444,787,212,98,645,12590,1724,1501,4124,2403,828,208,132,642,11559,1244,1145,3622,2263,837,227,86,603,10037,974,969,3344,2148,789,230,132,501,9078,587,548,2241,1607,660,225,121,441,6435,351,362,1273,1188
9,32,14,10,3,3,3,93,4,11,31,28,13,0,3,0,94,9,4,28,20,9,4,3,4,87,3,7,9,10,7,0,0,8,47,3,4,3,0,0,5,5,0,26,0,0,9,6,0,0,0,3,14,0,0,0,3,0,3,5,0,10,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,230,105,198,135,48,29,22,59,822,80,0,0,0,0,0,0,23,110,49,9,0,0,0,0,0,9,72,46,19,13,7,0,0,0,9,99,46,31,30,20,3,0,0,15,142,28,18,42,30,3,0,4,9,143,34,25,42,24,8,3,0,18,152,29,18,50,23,10,3,3,15,161,27,19,53,26,16,6,0,29,170,19,15,58,42,14,4,0,29,184,23,13,52,24,13,6,4,25,162,18,10,32,30,12,0,3,20,124,13,13,19,18,8,10,0,8,86,8,3,12,9
