STE_CODE_2016,C06_0_74_REA,C06_0_74_ST_HA,C06_0_74_Per_no_sa_ho,C06_0_74_Ho_co_op_c_c_g,C06_0_74_Oth_land_typ,C06_0_74_LLT_NS,C06_0_74_Tot,C06_75_99_REA,C06_75_99_ST_HA,C06_75_99_Pe_no_sa_ho,C06_75_99_H_c_op_c_c_gr,C06_75_99_Oth_lan_typ,C06_75_99_Lan_type_ns,C06_75_99_Tot,C06_100_149_REA,C06_100_149_ST_HA,C06_100_149_Pe_no_sa_ho,C06_100_149_H_c_o_c_c_g,C06_100_149_Ot_lan_ty,C06_100_149_Lan_typ_ns,C06_100_149_Tot,C06_150_199_REA,C06_150_199_ST_HA,C06_150_199_Pe_no_sa_ho,C06_150_199_H_c_o_c_c_g,C06_150_199_Ot_lan_ty,C06_150_199_Lan_ty_ns,C06_150_199_Tot,C06_200_224_REA,C06_200_224_ST_HA,C06_200_224_Pe_no_sa_ho,C06_200_224_H_c_o_c_c_g,C06_200_224_Ot_lan_ty,C06_200_224_Lan_ty_ns,C06_200_224_Tot,C06_225_274_REA,C06_225_274_ST_HA,C06_225_274_Pe_no_sa_ho,C06_225_274_H_c_o_c_c_g,C06_225_274_Ot_la_typ,C06_225_274_Lan_ty_ns,C06_225_274_Tot,C06_275_349_REA,C06_275_349_ST_HA,C06_275_349_Pe_no_sa_ho,C06_275_349_H_c_o_c_c_g,C06_275_349_Ot_lan_ty,C06_275_349_Lan_ty_ns,C06_275_349_Tot,C06_350_449_REA,C06_350_449_ST_HA,C06_350_449_Pe_no_sa_ho,C06_350_449_H_c_o_c_c_g,C06_350_449_Ot_lan_ty,C06_350_449_Lan_ty_ns,C06_350_449_Tot,C06_450_549_REA,C06_450_549_ST_HA,C06_450_549_Pe_no_sa_ho,C06_450_549_H_c_o_c_c_g,C06_450_549_Oth_lan_typ,C06_450_549_Lan_ty_ns,C06_450_549_Tot,C06_550_649_REA,C06_550_649_ST_HA,C06_550_649_Pe_no_sa_ho,C06_550_649_H_c_o_c_c_g,C06_550_649_Ot_lan_ty,C06_550_649_Lan_ty_ns,C06_550_649_Tot,C06_650_749_REA,C06_650_749_ST_HA,C06_650_749_Pe_no_sa_ho,C06_650_749_H_co_op_c_ch_gr,C06_650_749_Oth_lan_typ,C06_650_749_LLT_NS,C06_650_749_Tot,C06_750_849_REA,C06_750_849_ST_HA,C06_750_849_Pe_no_sa_ho,C06_750_849_H_co_op_c_ch_gr,C06_750_849_Oth_lan_typ,C06_750_849_LLT_NS,C06_750_849_Tot,C06_850_950_REA,C06_850_949_ST_HA,C06_850_949_Pe_no_sa_ho,C06_850_949_H_co_op_c_ch_gr,C06_850_949_Oth_lan_typ,C06_850_949_LLT_NS,C06_850_949_Tot,C06_950_over_REA,C06_950_over_ST_HA,C06_950over_Pe_no_sa_ho,C06_950ov_H_co_op_c_ch_gr,C06_950over_Oth_lan_typ,C06_950over_LLT_NS,C06_950_over_Tot,C06_R_NS_REA,C06_R_NS_ST_HA,C06_R_NS_Pe_no_sa_ho,C06_R_NS_H_co_op_c_ch_gr,C06_R_NS_Oth_lan_typ,C06_R_NS_Land_typ_ns,C06_Rent_not_statd_Tot,C06_Tot_REA,C06_Tot_ST_HA,C06_T_Pe_no_sa_ho,C06_Tot_Ho_co_op_co_ch_gr,C06_Tot_Oth_lan_typ,C06_Tot_LLT_NS,C06_T_T,C11_0_74_REA,C11_0_74_ST_HA,C11_0_74_Per_no_sa_ho,C11_0_74_Ho_co_op_c_c_g,C11_0_74_Oth_land_typ,C11_0_74_LLT_NS,C11_0_74_Tot,C11_75_99_REA,C11_75_99_ST_HA,C11_75_99_Pe_no_sa_ho,C11_75_99_H_c_op_c_c_gr,C11_75_99_Oth_lan_typ,C11_75_99_Lan_type_ns,C11_75_99_Tot,C11_100_149_REA,C11_100_149_ST_HA,C11_100_149_Pe_no_sa_ho,C11_100_149_H_c_o_c_c_g,C11_100_149_Ot_lan_ty,C11_100_149_Lan_typ_ns,C11_100_149_Tot,C11_150_199_REA,C11_150_199_ST_HA,C11_150_199_Pe_no_sa_ho,C11_150_199_H_c_o_c_c_g,C11_150_199_Ot_lan_ty,C11_150_199_Lan_ty_ns,C11_150_199_Tot,C11_200_224_REA,C11_200_224_ST_HA,C11_200_224_Pe_no_sa_ho,C11_200_224_H_c_o_c_c_g,C11_200_224_Ot_lan_ty,C11_200_224_Lan_ty_ns,C11_200_224_Tot,C11_225_274_REA,C11_225_274_ST_HA,C11_225_274_Pe_no_sa_ho,C11_225_274_H_c_o_c_c_g,C11_225_274_Ot_la_typ,C11_225_274_Lan_ty_ns,C11_225_274_Tot,C11_275_349_REA,C11_275_349_ST_HA,C11_275_349_Pe_no_sa_ho,C11_275_349_H_c_o_c_c_g,C11_275_349_Ot_lan_ty,C11_275_349_Lan_ty_ns,C11_275_349_Tot,C11_350_449_REA,C11_350_449_ST_HA,C11_350_449_Pe_no_sa_ho,C11_350_449_H_c_o_c_c_g,C11_350_449_Ot_lan_ty,C11_350_449_Lan_ty_ns,C11_350_449_Tot,C11_450_549_REA,C11_450_549_ST_HA,C11_450_549_Pe_no_sa_ho,C11_450_549_H_c_o_c_c_g,C11_450_549_Oth_lan_typ,C11_450_549_Lan_ty_ns,C11_450_549_Tot,C11_550_649_REA,C11_550_649_ST_HA,C11_550_649_Pe_no_sa_ho,C11_550_649_H_co_op_c_ch_gr,C11_550_649_Oth_lan_typ,C11_550_649_LLT_NS,C11_550_649_Tot,C11_650_749_REA,C11_650_749_ST_HA,C11_650_749_Pe_no_sa_ho,C11_650_749_H_co_op_c_ch_gr,C11_650_749_Oth_lan_typ,C11_650_749_LLT_NS,C11_650_749_Tot,C11_750_849_REA,C11_750_849_ST_HA,C11_750_849_Pe_no_sa_ho,C11_750_849_H_co_op_c_ch_gr,C11_750_849_Oth_lan_typ,C11_750_849_LLT_NS,C11_750_849_Tot,C11_850_950_REA,C11_850_949_ST_HA,C11_850_949_Pe_no_sa_ho,C11_850_949_H_co_op_c_ch_gr
1,1714,37590,12323,4540,5696,14128,76002,2873,15806,3332,2711,1459,505,26681,25565,26068,17980,3563,6111,1093,80378,66102,11751,23676,1125,5518,824,108999,49247,4249,16650,443,1749,451,72790,85061,3188,18358,461,1887,563,109517,75002,1182,15006,249,1231,392,93058,48726,415,10045,167,733,240,60327,18441,144,4271,72,318,97,23347,7679,283,1929,41,159,74,10170,3558,72,1011,36,93,35,4802,1878,57,580,26,61,18,2620,1049,60,335,7,44,8,1506,3238,1970,1374,117,244,137,7076,6110,6662,5512,1250,2516,1322,23374,396245,109490,132381,14826,27817,19894,700657,1375,12167,12673,2101,5033,10704,44050,825,30617,1708,1938,924,309,36325,9493,23991,10598,4787,3406,561,52832,24453,16479,15524,3018,3875,528,63877,19397,5701,12384,1035,3283,276,42086,46851,6346,16848,1215,2894,391,74538,91894,4428,23451,898,2878,591,124137,109616,1664,21364,437,2251,548,135878,58708,421,10920,159,883,266,71359,30057,240,5763,106,431,122,36714,15291,127,3088,55,244,62,18874,8097,281,1951,55,142,48,10567,4460,83,1052,28
2,1399,19423,10522,2095,2941,9665,46040,2588,9438,3449,1496,963,276,18207,26038,13071,18602,1626,3380,644,63367,71462,5875,26131,891,3944,694,108991,38070,1406,11873,259,954,268,52837,48555,625,10526,254,772,261,60991,33744,205,7300,152,529,169,42100,17086,107,3628,63,299,90,21275,5132,53,1398,30,129,42,6784,1965,127,586,17,71,24,2787,1091,55,335,12,54,15,1557,760,42,257,8,38,7,1115,482,30,167,8,11,3,700,1961,897,905,61,165,71,4057,4793,3620,4700,665,1557,922,16259,255121,54970,100378,7631,15819,13149,447073,1049,5579,10584,1061,2476,8033,28789,723,16191,1685,1113,633,177,20519,7564,12728,10297,2256,2186,397,35422,22565,8286,14764,1749,2639,398,50402,19751,2610,10766,608,1835,199,35772,52775,3459,15492,629,2040,404,74789,92152,1750,19031,461,2166,517,116080,69405,405,11421,217,875,281,82605,25687,139,4877,83,364,114,31274,10362,71,2059,44,198,47,12780,4841,69,1060,21,91,27,6103,2362,145,600,12,81,17,3207,1366,43,333,10
3,971,16206,8055,3009,9257,9584,47080,1023,7646,2703,1427,1800,283,14872,16034,12355,17973,2627,6153,721,55861,43489,6073,25284,979,5118,575,81519,29322,1405,15487,353,1711,334,48607,58726,837,20614,563,2297,591,83631,46822,187,13649,304,1549,424,62935,17486,54,5617,128,781,216,24280,4252,47,2101,51,553,78,7078,1557,79,1017,23,378,57,3118,642,18,719,20,210,29,1632,379,24,569,12,162,22,1167,201,13,306,8,94,22,642,1190,703,1661,53,544,119,4281,3748,2583,4560,750,3024,1230,15899,225845,48227,120314,10317,33622,14282,452595,878,11536,7666,1388,8965,7787,38223,286,11466,1053,1007,1449,148,15404,3088,14265,7350,2217,3081,351,30358,13147,7256,12388,1771,4013,410,38995,12962,2161,10572,609,3556,255,30108,37218,2131,16447,621,2997,404,59817,83394,1259,26986,756,3363,765,116523,92884,395,23285,547,2503,567,120182,27118,89,6895,129,786,149,35158,8648,70,2514,50,386,49,11711,3579,104,1101,28,257,14,5080,1524,54,572,7,157,22,2331,724,23,282,4
4,337,15735,3878,2629,1858,3477,27923,867,6256,1654,1021,703,149,10657,8463,9885,10072,1257,2119,305,32102,17010,4382,13725,529,1504,309,37462,7562,664,6259,120,515,115,15228,8431,245,4996,148,360,89,14267,4231,57,2290,42,219,32,6867,1585,33,853,22,128,16,2638,441,40,249,7,66,8,809,154,73,118,12,40,5,401,75,28,86,5,29,3,226,39,15,29,7,14,0,105,11,12,25,4,7,5,69,154,831,171,38,61,38,1284,778,2225,1537,596,754,362,6244,50143,40474,45940,6443,8373,4919,156287,233,5576,3366,1205,1553,2646,14576,208,11435,742,1478,415,136,14413,2442,9330,4610,1733,1384,186,19683,7446,4890,7301,883,1438,188,22136,6036,1617,5978,295,930,96,14963,15649,1890,9453,362,1103,182,28639,20560,671,10062,232,977,173,32669,10115,137,4204,72,389,75,14991,2501,39,924,11,128,15,3615,844,69,325,9,78,7,1333,335,35,155,17,48,3,582,156,67,99,14,33,8,378,66,37,47,10
5,522,11123,4700,2597,5267,4840,29051,832,5726,1552,815,1207,157,10291,9443,6787,11959,839,3201,326,32558,24809,2111,18919,203,2256,298,48594,12243,288,8237,54,681,140,21647,15474,196,7075,54,527,124,23443,8891,76,3657,26,356,56,13064,3657,33,1375,8,244,24,5350,1255,34,526,14,158,14,1996,548,51,226,9,107,14,953,333,21,113,6,87,9,569,193,30,105,20,58,3,411,112,24,64,0,33,5,239,348,577,272,43,157,27,1418,1316,1822,2043,485,1345,398,7411,79976,28901,60827,5168,15684,6423,196983,490,5460,4874,1431,6025,4163,22447,115,8230,551,669,716,104,10383,1065,8007,3842,1418,2605,196,17140,3262,4393,5700,585,1999,137,16086,3583,1437,5430,154,1207,80,11895,11214,1309,8699,196,1302,135,22850,28962,683,16242,182,1748,235,48057,33423,281,14446,92,1304,215,49762,10926,100,4220,26,404,55,15735,4071,55,1356,14,171,17,5678,1888,66,619,6,130,13,2725,1061,41,425,13,95,13,1648,599,24,213,7
6,133,4560,1469,378,873,1338,8757,423,1999,944,238,206,68,3881,3364,2906,4989,299,665,161,12386,5264,213,4445,62,421,60,10470,1681,36,1543,19,112,9,3402,1838,42,1270,10,93,14,3262,882,9,617,20,43,11,1584,347,17,189,7,21,6,576,90,12,69,9,18,4,201,32,7,13,0,11,0,68,3,3,20,4,0,3,31,4,5,17,0,3,0,29,0,3,7,0,0,0,7,43,150,55,8,16,13,289,197,490,476,50,237,108,1555,14298,10452,16116,1108,2717,1796,46485,74,1105,1254,201,697,1040,4379,86,3568,347,262,135,58,4464,1015,2459,2132,455,424,78,6575,3238,1653,3363,260,440,78,9039,2297,534,2316,54,250,43,5489,4654,406,3070,50,318,58,8548,4355,121,2563,77,234,38,7393,1885,31,1009,10,68,15,3017,474,14,216,7,24,8,733,130,9,62,5,5,3,223,36,6,21,6,7,3,78,15,14,31,0,7,0,75,4,6,5,0
7,95,1992,279,3737,1998,810,8915,32,637,62,341,278,18,1359,332,716,542,311,1220,18,3138,1163,410,868,160,1069,28,3696,850,162,585,33,116,7,1753,1564,305,849,37,152,18,2922,1632,33,619,12,92,13,2407,949,9,315,7,63,6,1352,222,5,86,0,54,3,370,73,3,25,0,28,0,136,19,4,8,7,20,0,64,11,4,4,0,13,0,33,0,0,7,0,7,0,17,27,53,46,3,32,4,167,141,368,222,526,629,67,1954,7120,4710,4517,5178,5762,994,28285,119,3456,309,1174,2426,782,8265,25,852,23,106,315,9,1330,34,1067,202,214,394,20,1929,91,528,303,75,726,16,1737,145,236,301,21,711,11,1422,412,213,459,19,491,17,1606,1115,344,777,21,310,21,2588,2493,97,1283,18,197,32,4112,2268,21,877,5,127,15,3319,1128,11,373,6,58,9,1574,499,5,155,0,44,3,708,229,0,92,0,38,0,363,106,5,32,0
8,35,2734,382,141,94,407,3790,13,1234,70,59,22,21,1416,160,1794,394,96,269,11,2728,633,1018,798,41,606,23,3125,640,399,779,26,100,13,1955,2868,1226,1719,28,162,19,6016,5990,259,2710,8,171,28,9166,2899,37,1255,8,80,15,4295,654,16,258,0,20,0,942,169,13,79,3,7,0,274,75,0,36,0,4,0,120,32,3,9,0,0,0,52,13,4,6,0,0,0,26,46,88,32,5,6,4,177,182,482,234,32,92,40,1073,14410,9313,8760,457,1621,580,35140,37,1137,460,96,93,321,2137,7,2212,20,77,16,18,2346,36,1861,230,120,83,11,2342,100,1157,343,64,124,16,1812,156,412,343,30,286,3,1225,378,539,555,44,383,6,1907,1476,564,1403,73,376,17,3897,7457,919,3564,27,259,33,12252,4826,85,2158,13,140,29,7241,1623,27,754,3,53,10,2468,570,13,200,4,18,0,812,223,13,103,0,6,0,357,119,4,43,0
9,0,56,3,26,78,3,167,0,14,3,0,8,0,25,13,59,4,0,13,6,91,6,13,12,0,15,0,50,0,3,10,0,0,0,13,3,0,7,0,0,0,7,3,0,6,0,3,0,13,0,0,11,0,0,0,18,0,0,6,0,3,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,8,7,8,16,0,52,28,160,70,33,138,13,447,0,40,11,31,55,14,153,0,20,0,0,7,0,31,8,37,0,0,7,0,47,4,33,3,0,0,3,43,0,6,6,0,0,0,18,3,7,6,0,9,0,25,5,3,9,0,0,0,22,0,0,7,0,3,0,6,0,0,11,0,3,0,8,0,0,0,0,3,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
