STE_CODE_2016,C16_CFNC_1F1P_1000_1499,C16_CFNC_1F1P_1500_1999,C16_CFNC_1F1P_2000_2499,C16_CFNC_1F1P_2500_2999,C16_CFNC_1F1P_3000_3999,C16_CFNC_1F1P_4000m,C16_CFNC_1F1P_Ns,C16_CFNC_1F1P_T,C16_CFNC_1E1A_N,C16_CFNC_1E1A_1_149,C16_CFNC_1E1A_150_299,C16_CFNC_1E1A_300_399,C16_CFNC_1E1A_400_499,C16_CFNC_1E1A_500_649,C16_CFNC_1E1A_650_799,C16_CFNC_1E1A_800_999,C16_CFNC_1E1A_1000_1499,C16_CFNC_1E1A_1500_1999,C16_CFNC_1E1A_2000_2499,C16_CFNC_1E1A_2500_2999,C16_CFNC_1E1A_3000_3999,C16_CFNC_1E1A_4000m,C16_CFNC_1E1A_Ns,C16_CFNC_1E1A_T,C16_CFNC_1F1NW_N,C16_CFNC_1F1NW_1_149,C16_CFNC_1F1NW_150_299,C16_CFNC_1F1NW_300_399,C16_CFNC_1F1NW_400_499,C16_CFNC_1F1NW_500_649,C16_CFNC_1F1NW_650_799,C16_CFNC_1F1NW_800_999,C16_CFNC_1F1NW_1000_1499,C16_CFNC_1F1NW_1500_1999,C16_CFNC_1F1NW_2000_2499,C16_CFNC_1F1NW_2500_2999,C16_CFNC_1F1NW_3000_3999,C16_CFNC_1F1NW_4000m,C16_CFNC_1F1NW_Ns,C16_CFNC_1F1NW_Tot,C16_CFNC_1P1NW_N,C16_CFNC_1P1NW_1_149,C16_CFNC_1P1NW_150_299,C16_CFNC_1P1NW_300_399,C16_CFNC_1P1NW_400_499,C16_CFNC_1P1NW_500_649,C16_CFNC_1P1NW_650_799,C16_CFNC_1P1NW_800_999,C16_CFNC_1P1NW_1000_1499,C16_CFNC_1P1NW_1500_1999,C16_CFNC_1P1NW_2000_2499,C16_CFNC_1P1NW_2500_2999,C16_CFNC_1P1NW_3000_3999,C16_CFNC_1P1NW_4000_mr,C16_CFNC_1P1NW_Ns,C16_CFNC_1P1NW_Tot,C16_CFNC_1A1NW_N,C16_CFNC_1A1NW_1_149,C16_CFNC_1A1NW_150_299,C16_CFNC_1A1NW_300_399,C16_CFNC_1A1NW_400_499,C16_CFNC_1A1NW_500_649,C16_CFNC_1A1NW_650_799,C16_CFNC_1A1NW_800_999,C16_CFNC_1A1NW_1000_1499,C16_CFNC_1A1NW_1500_1999,C16_CFNC_1A1NW_2000_2499,C16_CFNC_1A1NW_2500_2999,C16_CFNC_1A1NW_3000_3999,C16_CFNC_1A1NW_4000m,C16_CFNC_1A1NW_Ns,C16_CFNC_1A1NW_T,C16_CFNC_BA_N,C16_CFNC_BA_1_149,C16_CFNC_BA_150_299,C16_CFNC_BA_300_399,C16_CFNC_BA_400_499,C16_CFNC_BA_500_649,C16_CFNC_BA_650_799,C16_CFNC_BA_800_999,C16_CFNC_BA_1000_1499,C16_CFNC_BA_1500_1999,C16_CFNC_BA_2000_2499,C16_CFNC_BA_2500_2999,C16_CFNC_BA_3000_3999,C16_CFNC_BA_4000m,C16_CFNC_BA_Ns,C16_CFNC_BA_Tot,C16_CFNC_BNW_N,C16_CFNC_BNW_1_149,C16_CFNC_BNW_150_299,C16_CFNC_BNW_300_399,C16_CFNC_BNW_400_499,C16_CFNC_BNW_500_649,C16_CFNC_BNW_650_799,C16_CFNC_BNW_800_999,C16_CFNC_BNW_1000_1499,C16_CFNC_BNW_1500_1999,C16_CFNC_BNW_2000_2499,C16_CFNC_BNW_2500_2999,C16_CFNC_BNW_3000_3999,C16_CFNC_BNW_4000m,C16_CFNC_BNW_Ns,C16_CFNC_BNW_T,C16_CFNC_LFns_N,C16_CFNC_LFns_1_149,C16_CFNC_LFns_150_299,C16_CFNC_LFns_300_399,C16_CFNC_LFns_400_499,C16_CFNC_LFns_500_649,C16_CFNC_LFns_650_799,C16_CFNC_LFns_800_999,C16_CFNC_LFns_1000_1499,C16_CFNC_LFns_1500_1999,C16_CFNC_LFns_2000_2499,C16_CFNC_LFns_2500_2999,C16_CFNC_LFns_3000_3999,C16_CFNC_LFns_4000mo,C16_CFNC_LFns_Ns,C16_CFNC_LFns_T,C16_CFNC_T_N,C16_CFNC_T_1_149,C16_CFNC_T_150_299,C16_CFNC_T_300_399,C16_CFNC_T_400_499,C16_CFNC_T_500_649,C16_CFNC_T_650_799,C16_CFNC_T_800_999,C16_CFNC_T_1000_1499,C16_CFNC_T_1500_1999,C16_CFNC_T_2000_2499,C16_CFNC_T_2500_2999,C16_CFNC_T_3000_3999,C16_CFNC_T_4000m,C16_CFNC_T_Ns,C16_CFNC_T_T,C16_CF_BFT_N,C16_CF_BFT_1_149,C16_CF_BFT_150_299,C16_CF_BFT_300_399,C16_CF_BFT_400_499,C16_CF_BFT_500_649,C16_CF_BFT_650_799,C16_CF_BFT_800_999,C16_CF_BFT_1000_1499,C16_CF_BFT_1500_1999,C16_CF_BFT_2000_2499,C16_CF_BFT_2500_2999,C16_CF_BFT_3000_3999,C16_CF_BFT_4000_mr,C16_CF_BFT_Ns,C16_CF_BFT_Tot,C16_CF_BPT_N,C16_CF_BPT_1_149,C16_CF_BPT_150_299,C16_CF_BPT_300_399,C16_CF_BPT_400_499,C16_CF_BPT_500_649,C16_CF_BPT_650_799,C16_CF_BPT_800_999,C16_CF_BPT_1000_1499,C16_CF_BPT_1500_1999,C16_CF_BPT_2000_2499,C16_CF_BPT_2500_2999,C16_CF_BPT_3000_3999,C16_CF_BPT_4000_mr,C16_CF_BPT_Ns,C16_CF_BPT_Tot,C16_CF_1F1P_N,C16_CF_1F1P_1_149,C16_CF_1F1P_150_299,C16_CF_1F1P_300_399,C16_CF_1F1P_400_499,C16_CF_1F1P_500_649,C16_CF_1F1P_650_799,C16_CF_1F1P_800_999,C16_CF_1F1P_1000_1499,C16_CF_1F1P_1500_1999,C16_CF_1F1P_2000_2499,C16_CF_1F1P_2500_2999,C16_CF_1F1P_3000_3999,C16_CF_1F1P_4000mo,C16_CF_1F1P_Ns,C16_CF_1F1P_T,C16_CF_1E1A_N,C16_CF_1E1A_1_149,C16_CF_1E1A_150_299,C16_CF_1E1A_300_399,C16_CF_1E1A_400_499,C16_CF_1E1A_500_649,C16_CF_1E1A_650_799,C16_CF_1E1A_800_999,C16_CF_1E1A_1000_1499,C16_CF_1E1A_1500_1999,C16_CF_1E1A_2000_2499,C16_CF_1E1A_2500_2999,C16_CF_1E1A_3000_3999,C16_CF_1E1A_4000_mr,C16_CF_1E1A_Ns,C16_CF_1E1A_Tot
1,18076,18741,15459,10442,7592,8349,1409,84566,34,31,33,11,94,119,286,469,2137,2096,2316,1744,1592,1499,707,13168,190,97,167,166,560,1627,3808,7311,17700,12707,10055,3583,5297,4646,1806,69716,200,503,1174,962,2517,4082,6324,7098,11204,4944,3019,1517,1343,1853,1224,47959,94,68,103,55,280,346,723,784,1657,950,722,311,359,290,559,7305,50,24,13,3,87,45,210,175,731,632,778,545,593,558,592,5044,13106,4967,3177,1953,24951,9082,71692,26606,49440,13101,8593,3790,3202,4290,11250,249212,187,81,49,31,387,127,1059,397,812,277,252,93,91,120,38959,42930,14430,6152,5038,3254,30281,16805,88669,49651,121788,76628,78539,51275,55054,52215,59744,709524,284,98,79,32,150,176,476,895,7256,15743,29322,29725,45837,55127,16197,201401,32,45,82,36,266,475,1137,1979,7218,5580,4580,3077,2921,2859,2698,32988,166,95,125,47,212,495,1063,2935,24333,37865,41638,37918,36736,45340,16039,245001,36,18,26,14,57,141,226,521,3173,4647,6024,5529,7148,6795,2659,37014
2,16332,16917,14156,9221,6060,5736,1383,73994,36,21,32,9,77,103,290,435,1902,1867,2123,1489,1326,956,578,11234,199,114,154,160,496,1360,3391,6376,15273,10633,7445,2648,3632,3197,1610,56682,183,491,1093,824,2227,3448,5352,6087,9204,3642,2197,1096,928,1428,1079,39277,75,74,90,59,240,340,587,718,1401,784,568,216,215,244,514,6119,54,32,13,0,76,38,177,170,676,574,695,484,484,431,551,4456,10381,4024,2429,1322,19460,6574,52554,20130,35150,8538,5619,2465,2251,2962,9450,183315,158,77,42,22,323,106,892,323,710,224,232,98,71,95,29806,33161,11593,5223,4176,2472,24125,13202,66980,40108,96831,63194,66461,42761,41151,33642,47791,559717,276,91,83,29,159,196,531,836,6225,12733,22444,21240,29858,31255,12144,138106,49,50,103,25,229,499,1042,1834,6527,4987,3966,2490,2094,2014,2381,28283,209,95,154,40,279,508,1146,3105,23844,37137,39257,33732,29650,33349,14913,217425,43,17,25,15,53,123,258,542,3137,4415,5468,4771,5201,4433,2300,30808
3,14634,15330,12602,7963,5107,4419,1089,64697,22,25,27,10,72,103,219,373,1642,1693,1900,1339,1256,850,450,9977,172,91,120,112,389,1025,2681,5480,13496,9348,6692,2128,3210,2293,1289,48524,133,327,721,499,1730,2909,4628,5428,7574,2940,1703,767,628,785,748,31528,55,37,72,42,172,228,489,594,1246,785,594,204,230,179,341,5269,51,24,12,0,49,24,140,124,540,428,577,456,438,283,428,3574,5591,2704,1961,1315,15072,6567,48922,18914,32765,7890,4595,1958,1734,2157,6808,158959,106,32,26,12,232,84,696,267,547,154,164,51,54,75,29335,31848,6692,3575,3187,2058,18801,11959,61099,36213,87646,57238,57565,35257,33380,23960,42828,481451,232,82,69,32,134,139,391,623,5066,11278,20513,19615,27558,22862,9194,117787,34,36,65,15,148,250,643,1126,4556,3523,2846,1798,1597,1284,1452,19365,103,66,87,32,154,323,715,1762,16385,26908,27967,24299,20452,20060,8515,147820,21,12,14,9,37,75,149,335,2146,3217,4312,3865,4100,2856,1593,22752
4,5816,5933,4820,2781,1700,1311,379,24202,10,5,11,0,25,40,88,154,680,629,716,457,380,246,131,3594,48,37,40,30,148,384,990,1964,4857,3156,2015,737,816,726,384,16335,52,142,277,201,762,1133,2037,2263,3302,1205,723,321,251,346,277,13289,19,21,30,16,55,83,203,225,482,271,169,70,56,62,106,1863,10,10,4,0,27,10,51,54,205,183,226,157,121,93,112,1267,1903,1036,689,410,6322,2572,21420,8657,14327,3133,1776,737,591,793,2826,67192,27,23,13,7,89,28,313,96,230,90,82,20,21,21,9649,10710,2203,1378,1147,686,7876,4656,26333,15499,35302,20767,19939,11704,9882,6703,14512,178588,63,22,32,6,42,57,126,249,1657,3506,6176,5789,7805,6265,3089,34876,13,17,32,4,85,126,343,538,2181,1675,1185,712,577,497,628,8621,57,33,42,12,69,135,322,865,7526,11363,11734,9251,7964,6226,3777,59371,7,4,11,0,12,26,73,172,1009,1293,1660,1415,1295,872,569,8418
5,5491,7199,6806,5177,3766,3568,557,33899,11,7,7,3,41,51,101,156,653,759,1009,888,970,820,247,5738,58,41,60,35,145,420,1038,2097,6370,5242,4445,1434,2511,1833,678,26413,73,223,410,333,885,1363,2307,2507,4001,1818,1070,570,455,648,408,17055,36,30,35,20,87,127,212,283,619,484,363,112,190,143,192,2935,14,16,6,0,12,13,53,59,257,252,329,247,308,293,218,2075,3280,1368,1050,636,6844,2708,20648,8585,14995,3769,2325,971,1050,1294,3186,72706,53,17,16,6,107,29,265,98,279,108,97,38,49,43,19368,20571,3743,1829,1706,1067,8555,5136,25952,15862,38695,26925,29873,20651,23127,18768,25942,247841,87,27,26,4,55,65,136,238,1516,3406,7240,7726,12505,13907,4615,51552,22,17,27,6,67,136,301,554,2186,1835,1644,1151,1104,1179,908,11133,64,37,53,21,71,138,280,732,6738,12328,14963,14837,13657,16676,5424,86009,16,5,9,5,19,30,66,122,850,1396,1977,1935,2543,2438,943,12356
6,2032,1942,1490,795,506,389,132,7843,0,4,3,0,6,16,30,56,258,234,234,132,115,77,31,1199,11,11,23,10,36,130,327,677,1431,1035,566,238,218,172,142,5025,14,48,91,40,275,450,820,833,1154,457,219,105,67,83,119,4778,5,4,11,3,34,39,83,95,177,118,46,21,21,19,48,729,3,3,4,0,9,5,26,29,83,58,76,57,38,31,29,453,446,282,215,148,2211,919,7441,2700,4496,1012,525,199,155,204,1001,21960,23,7,4,0,46,18,142,47,104,34,25,11,9,14,3235,3718,549,395,402,218,2761,1756,9347,5195,11686,6927,6004,3299,2654,1738,4920,57849,12,9,7,4,21,15,37,81,510,1048,1788,1550,1984,1235,930,9226,3,3,3,5,23,37,103,181,735,523,402,216,161,108,210,2706,8,7,12,3,21,35,91,275,2460,3602,3390,2493,1966,1317,1219,16906,0,0,0,0,9,17,26,73,352,468,506,383,333,167,157,2488
7,285,471,481,360,277,271,36,2250,0,0,3,0,3,0,8,13,44,49,109,111,117,108,27,593,4,3,10,4,12,42,78,154,423,348,342,130,214,137,74,1972,3,7,19,10,51,63,78,86,152,73,51,22,22,31,33,702,0,4,3,0,9,9,8,19,38,35,34,10,18,13,22,220,3,0,0,0,3,0,3,6,16,23,50,30,44,42,29,247,135,154,100,22,554,148,508,272,482,178,95,43,35,34,212,2973,8,5,0,0,5,0,12,11,18,11,7,5,4,3,1595,1689,185,188,151,40,669,284,764,678,1874,1859,2647,2116,2530,2002,2156,18138,10,4,3,0,3,3,15,24,180,409,982,1067,1848,1781,610,6941,0,0,5,3,11,10,30,37,109,75,90,54,68,53,70,613,0,4,3,0,3,7,15,32,328,645,768,788,740,816,242,4393,0,0,3,0,0,3,3,12,47,86,183,166,282,263,75,1134
8,626,859,817,687,706,665,63,4521,0,0,0,0,0,4,10,16,67,82,128,137,211,186,30,878,4,5,4,3,18,31,96,220,700,681,786,364,525,470,51,3966,0,14,29,28,66,107,169,202,522,368,313,189,172,168,37,2385,5,0,0,0,4,7,12,20,80,54,60,44,65,36,14,406,3,0,0,0,3,0,3,6,22,29,36,36,54,55,20,268,393,117,85,41,507,215,1364,1033,2693,1415,1051,565,438,352,282,10543,8,3,3,0,14,3,24,9,31,14,17,9,11,12,2325,2480,424,155,133,70,636,408,1787,1704,5398,4452,5424,4496,5600,4769,2987,38438,5,5,0,0,0,8,10,21,196,520,1345,1779,3948,5832,965,14630,0,0,0,3,8,9,35,58,229,215,221,259,333,248,77,1699,8,3,4,0,0,17,30,50,651,1270,1909,2327,3259,3267,582,13370,3,0,0,0,0,0,10,18,101,180,405,535,866,772,142,3033
9,29,8,7,5,9,3,0,85,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,7,0,0,0,0,0,4,5,8,12,6,9,3,3,0,3,54,0,0,0,0,0,4,4,6,6,3,0,0,0,0,0,32,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,13,0,0,0,0,14,3,25,7,17,3,3,0,3,0,4,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,31,4,3,4,0,17,19,45,40,102,49,48,30,23,17,41,443,0,0,0,0,0,0,0,0,17,23,19,18,20,10,15,119,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,20,0,0,0,0,0,0,3,3,18,25,15,11,10,10,5,102,0,0,0,0,0,0,0,0,5,3,0,3,0,3,4,23
