STE_CODE_2016,C06_P_FoodHos_PS_15_19,C06_P_FoodHos_PS_20_24,C06_P_FoodHos_PS_25_34,C06_P_FoodHos_PS_35_44,C06_P_FoodHos_PS_45_54,C06_P_FoodHos_PS_55_64,C06_P_FoodHos_PS_65_74,C06_P_FoodHos_PS_75_84,C06_P_FoodHos_PS_85o,C06_P_Foo_hos_pers_S_Tot,C06_P_MixFld_pr_15_19,C06_P_MixFld_pr_20_24,C06_P_MixFld_pr_25_34,C06_P_MixFld_pr_35_44,C06_P_MixFld_pr_45_54,C06_P_MixFld_pr_55_64,C06_P_MixFld_pr_65_74,C06_P_MixFld_pr_75_84,C06_P_MixFld_pr_85_ov,C06_P_MixFld_pr_Tot,C06_P_FldStu_ID_15_19,C06_P_FldStu_ID_20_24,C06_P_FldStu_ID_25_34,C06_P_FldStu_ID_35_44,C06_P_FldStu_ID_45_54,C06_P_FldStu_ID_55_64,C06_P_FldStu_ID_65_74,C06_P_FldStu_ID_75_84,C06_P_FldStu_ID_85o,C06_P_FldStu_ID_Tot,C06_P_FldStu_NS_15_19,C06_P_FldStu_NS_20_24,C06_P_FldStu_NS_25_34,C06_P_FldStu_NS_35_44,C06_P_FldStu_NS_45_54,C06_P_FldStu_NS_55_64,C06_P_FldStu_NS_65_74,C06_P_FldStu_NS_75_84,C06_P_FldStu_NS_85o,C06_P_FldStu_NS_T,C06_P_Tot_15_19,C06_P_Tot_20_24,C06_P_Tot_25_34,C06_P_Tot_35_44,C06_P_Tot_45_54,C06_P_Tot_55_64,C06_P_Tot_65_74,C06_P_Tot_75_84,C06_P_Tot_85o,C06_P_T_T,C11_P_NatPhy_sci_15_19,C11_P_NatPhy_sci_20_24,C11_P_NatPhy_sci_25_34,C11_P_NatPhy_sci_35_44,C11_P_NatPhy_sci_45_54,C11_P_NatPhy_sci_55_64,C11_P_NatPhy_sci_65_74,C11_P_NatPhy_sci_75_84,C11_P_NatPhy_sci_85_ov,C11_P_NatPhy_sci_Tot,C11_P_InfTec_15_19,C11_P_InfTec_20_24,C11_P_InfTec_25_34,C11_P_InfTec_35_44,C11_P_InfTec_45_54,C11_P_InfTec_55_64,C11_P_InfTec_65_74,C11_P_InfTec_75_84,C11_P_InfTec_85_ov,C11_P_InfTec_Tot,C11_P_EngRT_15_19,C11_P_EngRT_20_24,C11_P_EngRT_25_34,C11_P_EngRT_35_44,C11_P_EngRT_45_54,C11_P_EngRT_55_64,C11_P_EngRT_65_74,C11_P_EngRT_75_84,C11_P_EngRT_85_ov,C11_P_EngRT_Tot,C11_P_ArchBuild_15_19,C11_P_ArchBuild_20_24,C11_P_ArchBuild_25_34,C11_P_ArchBuild_35_44,C11_P_ArchBuild_45_54,C11_P_ArchBuild_55_64,C11_P_ArchBuild_65_74,C11_P_ArchBuild_75_84,C11_P_ArchBuild_85o,C11_P_Arch_building_Tot,C11_P_AgEnv_RS_15_19,C11_P_AgEnv_RS_20_24,C11_P_AgEnv_RS_25_34,C11_P_AgEnv_RS_35_44,C11_P_AgEnv_RS_45_54,C11_P_AgEnv_RS_55_64,C11_P_AgEnv_RS_65_74,C11_P_AgEnv_RS_75_84,C11_P_AgEnv_RS_85o,C11_P_AgEnv_RS_Tot,C11_P_Health_15_19,C11_P_Health_20_24,C11_P_Health_25_34,C11_P_Health_35_44,C11_P_Health_45_54,C11_P_Health_55_64,C11_P_Health_65_74,C11_P_Health_75_84,C11_P_Health_85o,C11_P_Healt_To,C11_P_Educ_15_19,C11_P_Educ_20_24,C11_P_Educ_25_34,C11_P_Educ_35_44,C11_P_Educ_45_54,C11_P_Educ_55_64,C11_P_Educ_65_74,C11_P_Educ_75_84,C11_P_Educ_85o,C11_P_Educ_Tot,C11_P_MngtCom_15_19,C11_P_MngtCom_20_24,C11_P_MngtCom_25_34,C11_P_MngtCom_35_44,C11_P_MngtCom_45_54,C11_P_MngtCom_55_64,C11_P_MngtCom_65_74,C11_P_MngtCom_75_84,C11_P_MngtCom_85o,C11_P_MngtCom_T,C11_P_Soc_cult_15_19,C11_P_Soc_cult_20_24,C11_P_Soc_cult_25_34,C11_P_Soc_cult_35_44,C11_P_Soc_cult_45_54,C11_P_Soc_cult_55_64,C11_P_Soc_cult_65_74,C11_P_Soc_cult_75_84,C11_P_Soc_cult_85o,C11_P_Soc_cult_T,C11_P_Creative_art_15_19,C11_P_Creative_art_20_24,C11_P_Creative_art_25_34,C11_P_Creative_art_35_44,C11_P_Creative_art_45_54,C11_P_Creative_art_55_64,C11_P_Creative_art_65_74,C11_P_Creative_art_75_84,C11_P_Creative_arts_85o,C11_P_Creative_arts_Tot,C11_P_FoodHos_PS_15_19,C11_P_FoodHos_PS_20_24,C11_P_FoodHos_PS_25_34,C11_P_FoodHos_PS_35_44,C11_P_FoodHos_PS_45_54,C11_P_FoodHos_PS_55_64,C11_P_FoodHos_PS_65_74,C11_P_FoodHos_PS_75_84,C11_P_FoodHos_PS_85o,C11_P_FoodHos_PS_Tot,C11_P_MixFld_pr_15_19,C11_P_MixFld_pr_20_24,C11_P_MixFld_pr_25_34,C11_P_MixFld_pr_35_44,C11_P_MixFld_pr_45_54,C11_P_MixFld_pr_55_64,C11_P_MixFld_pr_65_74,C11_P_MixFld_pr_75_84,C11_P_MixFld_pr_85_ov,C11_P_MixFld_pr_Tot,C11_P_FldStu_ID_15_19,C11_P_FldStu_ID_20_24,C11_P_FldStu_ID_25_34,C11_P_FldStu_ID_35_44,C11_P_FldStu_ID_45_54,C11_P_FldStu_ID_55_64,C11_P_FldStu_ID_65_74,C11_P_FldStu_ID_75_84,C11_P_FldStu_ID_85o,C11_P_FldStu_ID_T,C11_P_FldStu_NS_15_19,C11_P_FldStu_NS_20_24,C11_P_FldStu_NS_25_34,C11_P_FldStu_NS_35_44,C11_P_FldStu_NS_45_54,C11_P_FldStu_NS_55_64,C11_P_FldStu_NS_65_74,C11_P_FldStu_NS_75_84,C11_P_FldStu_NS_85o,C11_P_FldStu_NS_T,C11_P_Tot_15_19,C11_P_Tot_20_24,C11_P_Tot_25_34,C11_P_Tot_35_44,C11_P_Tot_45_54,C11_P_Tot_55_64,C11_P_Tot_65_74,C11_P_Tot_75_84,C11_P_Tot_85o,C11_P_T_T
1,4796,16450,33599,27679,17836,12510,5108,2795,776,121550,452,676,493,658,689,504,330,263,110,4184,499,2445,7427,7886,6715,4292,2029,1267,430,32989,54407,45930,89698,90235,81719,71030,66422,71212,30706,601366,79150,219236,610615,613476,546091,378555,214347,149501,49498,2860461,170,5711,18943,20158,17569,13305,6935,2512,726,86018,1138,7326,40081,27708,15826,6592,1460,238,27,100402,2753,23296,75803,92356,103472,83652,54261,27770,8373,471738,1736,12231,34024,37219,33995,25911,15968,7983,2080,171144,1042,4317,13357,14644,12778,8395,4341,1847,440,61168,1431,14109,52366,57573,61060,45962,23456,11671,3779,271406,323,7611,38087,44820,49226,51480,24098,10049,2701,228395,6553,50545,168776,156932,122519,83549,38035,15352,5612,647874,3522,25320,78733,77553,64413,47423,19540,7070,1833,325401,1477,14234,37134,26571,17562,10845,5187,2359,770,116142,4285,18377,39883,33407,22472,14747,7745,3196,943,145055,559,731,587,595,710,600,367,254,117,4525,357,2302,7656,8890,7563,5353,2596,1329,538,36582,43986,38531,77583,74149,73515,66477,62179,60133,34526,531077,69330,224641,683014,672575,602684,464292,266171,151768,62456,3196922
2,3862,14017,26668,22952,13953,9852,4037,2056,544,97935,334,570,351,354,387,292,226,185,71,2772,299,2664,7650,7355,6155,3621,1577,1036,284,30637,39724,32020,56668,61361,56536,51528,50891,57373,26552,432646,57045,169972,458134,448620,388558,268337,152105,110345,39295,2092408,141,5824,18961,18038,14013,10048,4726,1738,602,74094,676,5864,34900,22910,12393,5118,932,113,24,82917,2314,18623,62801,73692,75071,59774,37847,19219,5588,354934,2231,13448,30903,29340,23845,17000,10652,5199,1274,133897,709,3636,11987,11855,9598,5436,2586,1091,281,47180,745,13632,48041,48105,47299,35100,17551,8837,2795,222102,232,5276,30355,34514,39429,41567,21427,7623,2125,182543,4669,38323,125876,108265,76282,48216,20767,8929,3397,434724,3031,20653,64030,61800,51076,38120,14650,4807,1186,259368,1360,12718,31895,20760,12215,7633,3582,1589,551,92300,4284,17695,36614,27564,18498,11819,6103,2465,657,125691,347,581,488,373,384,307,242,190,82,3000,277,2672,8935,9168,7027,4946,2234,1130,446,36846,33352,29246,55811,53356,52282,48428,46903,47087,27485,393938,54356,188193,561607,519741,439416,333502,190203,110013,46501,2443532
3,3872,11126,23756,19602,12214,8621,3071,1333,392,83989,244,337,283,329,327,272,236,146,46,2219,287,1441,3717,4256,3851,2689,1223,609,189,18252,32230,26805,47261,50314,47023,41596,37256,38954,18606,340044,51257,130954,322130,330112,297041,211613,116115,74995,26649,1560869,199,3868,11032,9958,7809,5948,2937,992,244,42976,1944,3712,14249,11064,6421,2919,650,77,20,41053,3155,19029,56977,63878,66049,53929,33195,14709,3698,314628,1655,9740,24485,26084,24212,19903,11762,4915,1118,123878,1121,2795,9552,9624,7484,4359,2227,817,187,38162,986,9907,34513,38661,39881,27869,14085,6220,1870,173988,312,4497,25039,31157,31345,28002,13804,4549,1281,139977,7437,28123,79941,75330,58381,38179,15875,5801,1732,310800,4143,15378,44763,42602,34738,25561,9870,2870,628,180558,1751,7622,16215,11691,7261,4850,2517,1142,316,53375,4896,13783,27737,25036,15826,10641,5041,1682,439,105084,433,475,427,334,336,312,272,162,82,2832,331,1164,4145,5142,4430,3138,1632,729,235,20940,29004,25524,48394,48507,46275,40723,36154,33108,19383,327068,57372,145619,397460,399059,350450,266333,150016,77783,31230,1875323
4,1386,4292,8085,6999,4578,3287,1288,625,175,30721,110,127,112,165,145,133,91,94,46,1019,109,560,1348,1388,1301,960,456,269,99,6503,10901,7882,13457,15884,15524,14151,14686,18232,8062,118793,16984,46328,112594,119772,116672,85518,48021,36743,12744,595381,39,1386,4814,4358,3558,3011,1449,502,157,19283,235,1210,5592,3710,2375,1241,248,25,3,14643,816,6323,18858,22349,23198,20259,13242,7123,2136,114301,566,3072,6163,6441,6310,5253,3602,1922,544,33871,295,1439,3987,3947,3147,1968,841,363,107,16108,310,3883,14092,15110,17222,12845,5879,2960,998,73302,53,1479,7611,8499,10112,12896,6328,2087,765,49827,1663,9188,28366,26097,20818,14355,6296,2641,960,110386,1038,5943,17070,16490,15318,12224,4779,1543,386,74784,254,2412,5715,4090,2832,1937,1030,418,147,18842,1398,4625,9296,8070,5549,3845,1947,761,215,35701,86,163,160,173,173,136,93,76,33,1085,93,446,1710,1844,1583,1235,628,361,134,8047,9141,7183,13140,13742,14759,13810,13675,15146,9458,110044,15996,48748,136580,134918,126953,105009,60042,35923,16047,680209
5,1604,5121,10610,9896,6356,4236,1540,764,219,40350,159,135,164,192,190,154,85,71,22,1166,172,486,1528,1933,1737,1235,567,331,117,8113,17435,14458,26096,28878,26378,21771,18685,18894,8267,180862,28076,68329,166993,179871,164211,112426,60862,38063,12792,831622,103,2548,8603,7887,6073,4066,1814,630,175,31900,695,2001,8244,5629,3431,1420,305,28,6,21762,2185,13167,38589,40142,39547,30442,16378,7293,1876,189628,1185,5704,11940,11286,10872,8511,5191,2448,554,57694,521,1703,5706,5117,3929,2544,1296,548,109,21469,509,5632,18938,19618,20243,14495,7602,3390,970,91391,451,2889,12950,16844,18060,15148,7084,2616,835,76870,2764,14030,42035,39271,30532,20576,9630,3757,1207,163807,1720,7800,22244,20983,18019,13551,5302,1805,400,91833,861,4083,8925,6002,3875,2826,1361,563,169,28670,1819,6756,13719,12314,8305,5224,2508,899,245,51787,191,220,197,189,194,189,141,74,44,1449,125,609,2043,2376,2097,1456,784,357,139,9987,14840,15193,31615,29430,26215,22056,17112,16372,9099,181938,27968,82331,225750,217092,191409,142512,76513,40783,15824,1020180
6,434,1444,2602,2300,1542,1075,379,152,60,9981,33,20,22,31,43,38,27,17,10,243,27,172,376,458,465,342,129,94,19,2072,3817,2315,3980,5115,5269,5291,5719,6142,2525,40181,5772,13120,30608,36090,37605,27679,16833,11712,3820,183244,9,298,1135,1360,1163,993,477,195,51,5680,98,447,1373,839,643,338,75,15,0,3834,332,1790,4749,6164,7031,6047,4057,1950,529,32642,234,1244,2063,2538,2914,2205,1440,691,174,13501,121,429,1404,1589,1363,783,367,177,48,6278,55,905,2961,3638,4781,4173,2101,941,344,19909,19,324,2306,2804,3738,4131,2356,964,304,16933,543,2425,6729,6382,5970,4464,1884,833,258,29478,339,1530,4294,5031,4978,4058,1458,455,111,22249,69,482,1262,1247,1069,949,496,208,71,5848,531,1646,3011,2749,1886,1349,670,207,60,12115,25,32,28,20,28,30,36,16,17,226,24,137,424,495,494,459,239,99,39,2420,3018,1958,3415,4082,4581,4969,5265,4912,2448,34646,5404,13648,35154,38948,40642,34958,20909,11651,4444,205761
7,172,546,1037,826,468,246,59,17,3,3377,9,18,29,20,19,10,6,3,0,112,26,67,254,277,210,137,30,11,0,1013,2702,2400,4798,4617,3943,2548,1187,583,155,22935,3521,6663,18465,18405,15569,9327,3113,1075,229,76372,3,95,547,488,395,266,100,21,0,1917,45,172,628,394,263,136,21,6,0,1662,162,1142,3146,3302,3008,2089,834,210,27,13912,71,404,1129,961,882,699,291,73,5,4514,83,228,712,666,480,223,79,17,5,2488,33,390,2084,1802,1755,1169,340,109,19,7714,20,220,1314,1477,1613,1389,474,77,9,6602,188,1009,3522,3188,2374,1496,346,58,17,12195,114,652,2302,2180,1822,1209,363,69,15,8728,32,177,636,453,345,230,77,9,3,1967,178,630,1306,999,668,319,97,25,10,4233,11,17,34,34,19,16,5,9,0,138,12,80,321,352,227,146,49,8,4,1206,2608,2591,5564,4912,3916,2829,1454,674,212,24761,3566,7800,23250,21206,17781,12214,4531,1361,330,92039
8,247,824,1653,1189,729,463,209,110,30,5464,20,39,38,32,28,9,8,11,7,181,14,162,583,606,584,382,183,95,25,2647,2320,1991,3388,3049,2835,2308,1764,1715,733,20114,3495,13158,36915,34420,32579,22386,10002,5866,1772,160594,14,807,2558,2350,2225,1795,878,336,107,11072,158,780,3938,3097,2386,1056,203,15,0,11650,81,963,3644,3748,3654,2960,1737,949,252,17985,70,786,1703,1646,1412,1152,706,350,102,7944,26,205,823,887,640,444,215,107,20,3369,30,678,2818,2854,3068,2277,1139,560,206,13631,19,367,2339,2417,2584,2803,1621,559,143,12846,278,2945,9239,8527,6949,4780,1851,659,314,35541,179,2696,9633,7733,6781,5649,2584,897,243,36388,99,984,2655,1722,1163,692,287,129,52,7789,243,955,1848,1551,912,511,270,125,26,6440,25,54,24,18,16,17,12,9,4,168,21,197,684,752,684,474,228,125,48,3218,1930,2273,3467,2843,2486,2056,1711,1631,1105,19507,3178,14699,45381,40157,34964,26666,13439,6447,2625,187558
9,0,4,3,11,5,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,3,0,0,0,13,18,35,54,47,36,43,20,3,0,258,32,83,186,242,195,104,32,7,0,867,0,3,5,8,0,3,0,0,0,25,0,3,8,3,0,0,0,0,0,11,3,7,27,37,50,35,6,0,0,168,0,4,10,4,15,10,3,0,0,47,0,3,6,11,11,3,0,0,0,26,0,0,7,14,11,14,0,0,0,53,3,0,17,29,25,13,0,0,0,100,5,9,35,33,33,9,4,0,0,132,0,6,25,30,22,4,0,0,0,86,0,3,4,0,7,0,0,0,0,13,0,6,13,11,4,0,0,0,0,34,0,0,0,0,0,3,0,0,0,3,0,0,0,0,8,0,0,0,0,11,57,156,466,162,72,49,14,13,0,990,69,204,623,344,262,160,32,14,0,1709
