STE_CODE_2016,C06_PI_S_R225_274,C06_PI_S_R275_349,C06_PI_S_R350_449,C06_PI_S_R450_549,C06_PI_S_R550_649,C06_PI_S_R650m,C06_PI_S_R_NS,C06_PI_S_R_Tot,C06_AI_NS_R0_74,C06_AI_NS_R75_99,C06_AI_NS_R100_149,C06_AI_NS_R150_199,C06_AI_NS_R200_224,C06_AI_NS_R225_274,C06_AI_NS_R275_349,C06_AI_NS_R350_449,C06_AI_NS_R450_549,C06_AI_NS_R550_649,C06_AI_NS_R650m,C06_AI_NS_R_NS,C06_AI_NS_R_Tot,C06_Tot_R0_74,C06_Tot_R75_99,C06_Tot_R100_149,C06_Tot_R150_199,C06_Tot_R200_224,C06_Tot_R225_274,C06_Tot_R275_349,C06_Tot_R350_449,C06_Tot_R450_549,C06_Tot_R550_649,C06_Tot_R650m,C06_Tot_R_NS,C06_Tot_R_Tot,C11_N_inc_R0_74,C11_N_inc_R75_99,C11_Ne_Ni_inc_R100_149,C11_Ne_Ni_inc_R150_199,C11_Ne_Ni_inc_R200_224,C11_Ne_Ni_inc_R225_274,C11_Ne_Ni_inc_R275_349,C11_Ne_Ni_inc_R350_449,C11_Ne_Ni_inc_R450_549,C11_Ne_Ni_inc_R550_649,C11_Ne_Ni_inc_R650m,C11_Ne_Ni_inc_R_NS,C11_N_inc_R_Tot,C11_1_149_R0_74,C11_1_149_R75_99,C11_1_149_R100_149,C11_1_149_R150_199,C11_1_149_R200_224,C11_1_149_R225_274,C11_1_149_R275_349,C11_1_149_R350_449,C11_1_149_R450_549,C11_1_149_R550_649,C11_1_149_R650m,C11_1_149_R_NS,C11_1_149_R_Tot,C11_150_299_R0_74,C11_150_299_R75_99,C11_150_299_R100_149,C11_150_299_R150_199,C11_150_299_R200_224,C11_150_299_R225_274,C11_150_299_R275_349,C11_150_299_R350_449,C11_150_299_R450_549,C11_150_299_R550_649,C11_150_299_R650m,C11_150_299_R_NS,C11_150_299_R_Tot,C11_300_399_R0_74,C11_300_399_R75_99,C11_300_399_R100_149,C11_300_399_R150_199,C11_300_399_R200_224,C11_300_399_R225_274,C11_300_399_R275_349,C11_300_399_R350_449,C11_300_399_R450_549,C11_300_399_R550_649,C11_300_399_R650m,C11_300_399_R_NS,C11_300_399_R_Tot,C11_400_499_R0_74,C11_400_499_R75_99,C11_400_499_R100_149,C11_400_499_R150_199,C11_400_499_R200_224,C11_400_499_R225_274,C11_400_499_R275_349,C11_400_499_R350_449,C11_400_499_R450_549,C11_400_499_R550_649,C11_400_499_R650m,C11_400_499_R_NS,C11_400_499_R_Tot,C11_500_649_R0_74,C11_500_649_R75_99,C11_500_649_R100_149,C11_500_649_R150_199,C11_500_649_R200_224,C11_500_649_R225_274,C11_500_649_R275_349,C11_500_649_R350_449,C11_500_649_R450_549,C11_500_649_R550_649,C11_500_649_R650m,C11_500_649_R_NS,C11_500_649_R_Tot,C11_650_799_R0_74,C11_650_799_R75_99,C11_650_799_R100_149,C11_650_799_R150_199,C11_650_799_R200_224,C11_650_799_R225_274,C11_650_799_R275_349,C11_650_799_R350_449,C11_650_799_R450_549,C11_650_799_R550_649,C11_650_799_R650m,C11_650_799_R_NS,C11_650_799_R_Tot,C11_800_999_R0_74,C11_800_999_R75_99,C11_800_999_R100_149,C11_800_999_R150_199,C11_800_999_R200_224,C11_800_999_R225_274,C11_800_999_R275_349,C11_800_999_R350_449,C11_800_999_R450_549,C11_800_999_R550_649,C11_800_999_R650m,C11_800_999_R_NS,C11_800_999_R_Tot,C11_1000_1249_R0_74,C11_1000_1249_R75_99,C11_1000_1249_R100_149,C11_1000_1249_R150_199,C11_1000_1249_R200_224,C11_1000_1249_R225_274,C11_1000_1249_R275_349,C11_1000_1249_R350_449,C11_1000_1249_R450_549,C11_1000_1249_R550_649,C11_1000_1249_R650m,C11_1000_1249_R_NS,C11_1000_1249_R_Tot,C11_1250_1499_R0_74,C11_1250_1499_R75_99,C11_1250_1499_R100_149,C11_1250_1499_R150_199,C11_1250_1499_R200_224,C11_1250_1499_R225_274,C11_1250_1499_R275_349,C11_1250_1499_R350_449,C11_1250_1499_R450_549,C11_1250_1499_R550_649,C11_1250_1499_R650m,C11_1250_1499_R_NS,C11_1250_1499_R_Tot,C11_1500_1999_R0_74,C11_1500_1999_R75_99,C11_1500_1999_R100_149,C11_1500_1999_R150_199,C11_1500_1999_R200_224,C11_1500_1999_R225_274,C11_1500_1999_R275_349,C11_1500_1999_R350_449,C11_1500_1999_R450_549,C11_1500_1999_R550_649,C11_1500_1999_R650m,C11_1500_1999_R_NS,C11_1500_1999_R_Tot,C11_2000_2499_R0_74,C11_2000_2499_R75_99,C11_2000_2499_R100_149,C11_2000_2499_R150_199,C11_2000_2499_R200_224,C11_2000_2499_R225_274,C11_2000_2499_R275_349,C11_2000_2499_R350_449,C11_2000_2499_R450_549,C11_2000_2499_R550_649,C11_2000_2499_R650m,C11_2000_2499_R_NS,C11_2000_2499_R_Tot,C11_2500_2999_R0_74,C11_2500_2999_R75_99,C11_2500_2999_R100_149,C11_2500_2999_R150_199,C11_2500_2999_R200_224,C11_2500_2999_R225_274,C11_2500_2999_R275_349,C11_2500_2999_R350_449,C11_2500_2999_R450_549,C11_2500_2999_R550_649
1,8016,7668,5981,2836,1316,1839,2194,50627,3294,1204,2658,2430,1316,1714,1322,935,407,283,833,3952,20345,75952,26637,80305,108903,72745,109431,92986,60291,23335,10170,15981,23291,700017,1184,501,782,875,609,992,1856,2356,1677,968,1183,1460,14446,2092,1580,1290,1044,505,654,924,878,438,214,278,803,10688,6150,9110,6457,5140,2178,2818,2959,2177,844,412,649,2203,41078,6892,14981,9601,7519,3170,4089,4159,2648,844,370,662,2458,57382,3063,2579,7982,9454,5386,7894,8836,5515,1680,626,767,1780,55555,2150,1009,6922,5547,2534,4102,4906,3566,1055,367,416,1072,33641,3342,1668,5196,9684,6009,10370,13953,9867,3077,1042,1129,1997,67336,2922,754,3499,6235,4835,9489,14580,11932,4108,1481,1408,1624,62866,2760,503,2365,4676,4295,8991,16293,15040,5453,2060,1777,1517,65738,2229,293,1406,2948,2954,6004,13126,14474,5719,2189,1882,1190,54405,2977,311,1432,2956,3117,6980,16304,22338,11103,4437,3751,1609,77332,1654,120,566,1284,1509,3131,7977,14186,8773,4002,3077,859,47138,1494,169,545,885,901,1907,4968,11254,9928,6155
2,4851,4095,2472,916,336,745,1700,31088,1981,782,1938,2235,943,885,646,391,167,108,397,2710,13170,46006,18177,63329,108916,52805,60965,42090,21265,6775,2783,7421,16211,446748,903,294,664,799,673,1631,2543,2317,1142,521,492,1197,13171,1275,882,958,866,458,775,985,654,292,93,173,620,8031,3367,4870,4286,3613,1703,2448,2508,1223,424,164,334,1379,26315,4212,8401,6082,5335,2326,3296,3087,1270,337,128,346,1508,36341,2174,1494,5936,7589,4350,6797,6182,2346,628,181,424,1275,39371,1394,545,3576,3512,1776,3086,3474,1472,364,135,193,675,20214,2471,1037,3554,7707,5174,9546,10345,4258,1048,345,585,1461,47540,2215,511,2460,5392,4432,9641,12154,5370,1345,473,713,1288,45991,1967,356,1808,4323,4207,9755,14670,7368,1780,573,820,1121,48752,1619,197,1096,2714,2786,7201,12755,7652,1924,634,807,944,40329,1961,225,1073,2528,2908,7793,17475,13631,3759,1199,1320,1207,55073,1157,112,513,1111,1268,3898,10475,10431,3400,1024,951,695,35035,916,120,356,651,669,2025,5846,9144,5022,2202
3,6825,6498,2818,709,275,402,1477,34680,1719,589,1908,1780,820,1255,980,644,403,298,1258,3021,14683,47049,14863,55812,81448,48564,83575,62890,24264,7068,3113,7709,15822,452173,648,154,402,511,319,755,1268,1575,705,303,285,751,7676,931,402,555,603,313,449,707,625,187,78,91,394,5331,3937,2468,2761,2696,1429,1999,2300,1488,383,135,196,1094,20892,6640,5089,4338,4575,2419,3370,3522,1727,361,102,251,1322,33715,2244,1621,4766,5936,4021,6849,8094,3967,665,182,267,1089,39705,1731,639,3535,2428,1498,3055,3924,2334,497,132,166,653,20588,2676,1054,3549,5658,4220,8737,12929,7634,1300,376,416,1299,49841,2423,642,2387,4140,3468,7681,13638,9557,1755,466,479,1189,47816,2445,501,1678,3155,3220,7168,15972,13138,2366,580,563,1188,51965,1990,316,1077,2049,2179,5048,12729,12916,2586,664,607,984,43146,2921,410,1147,2013,2387,5214,15908,21232,5152,1302,1039,1249,59980,1707,253,572,919,1147,2289,8186,14605,4420,1125,857,652,36728,2581,320,454,542,607,1332,4295,9407,4891,2110
4,1261,758,320,91,35,88,464,9342,1072,384,821,616,219,232,118,59,34,24,163,1042,4791,27907,10645,32087,37437,15216,14269,6863,2638,813,401,1685,6233,156180,319,136,237,303,214,438,543,416,161,56,72,344,3240,758,557,468,345,151,279,231,148,29,20,26,251,3270,2447,2992,2064,1470,671,900,671,214,61,43,77,686,12295,3247,6515,3065,2085,949,1249,893,262,39,31,116,821,19276,1003,1087,3030,3145,1887,2880,2171,419,83,29,90,522,16352,608,444,2754,1616,777,1283,992,271,58,14,47,304,9171,1113,778,2122,3562,2307,4030,3380,845,142,51,95,539,18971,887,344,1527,2545,1974,3959,3634,1025,152,49,101,431,16617,790,254,976,2052,1743,3862,4204,1479,197,60,89,383,16101,543,123,609,1158,1194,2665,3572,1392,217,73,85,338,11967,741,134,614,1174,1093,2769,4673,2525,453,140,154,309,14773,417,68,298,502,528,1242,2615,1733,358,96,83,175,8123,407,73,242,302,243,616,1350,1512,568,226
5,2521,1614,710,231,120,264,721,15743,1070,395,936,991,360,383,266,168,76,58,220,1181,6108,29018,10280,32536,48560,21629,23421,13053,5347,1996,946,2628,7390,196809,410,128,227,253,181,311,671,737,312,108,178,411,3928,574,352,294,233,116,202,348,310,88,31,38,201,2788,2002,2032,1533,929,507,813,954,605,137,50,93,526,10179,2945,3767,2290,1495,791,1118,1383,712,152,45,133,645,15462,1101,975,2194,1891,1297,2277,3146,1584,257,67,121,514,15429,820,315,1876,1040,500,769,1215,692,142,37,78,294,7775,1389,547,1519,1972,1442,2674,4528,2598,439,119,176,568,17985,1297,293,1152,1524,1297,2747,5026,3343,630,167,220,584,18289,1341,223,902,1290,1275,2698,5637,4495,848,228,278,563,19779,1173,184,751,975,885,1944,5046,4679,968,249,313,490,17663,1818,255,846,1135,1090,2392,6655,7916,1978,565,681,743,26077,1030,114,497,577,586,1175,3769,5766,1629,442,463,392,16448,2235,165,604,605,440,993,2720,5169,2747,1229
6,304,203,94,20,6,22,116,2795,338,121,336,191,45,38,15,11,18,3,41,283,1439,8744,3873,12374,10453,3397,3256,1583,576,201,68,351,1550,46421,76,49,77,84,56,91,80,44,6,12,13,57,645,224,155,136,139,53,71,51,25,5,0,5,43,917,618,958,737,734,282,284,135,51,15,12,25,151,3991,724,1990,1178,1033,423,424,231,58,12,0,32,180,6291,339,343,1194,1418,773,924,538,80,13,9,21,131,5799,220,141,738,790,380,514,311,71,16,3,12,75,3276,375,260,732,1373,828,1197,806,174,31,10,36,147,5969,295,99,512,1019,702,1186,840,215,26,11,20,92,5026,256,45,319,723,596,1187,963,302,48,4,22,106,4572,228,36,156,430,385,713,844,308,48,11,22,74,3255,322,31,168,369,371,746,987,516,83,16,25,86,3712,140,18,81,153,116,332,512,354,80,15,22,40,1849,148,19,49,75,55,147,265,259,115,42
7,335,304,198,54,13,30,206,2795,371,54,81,75,27,46,32,32,17,5,41,291,1053,8912,1358,3134,3695,1753,2922,2407,1350,367,136,276,1947,28256,71,11,15,12,7,20,15,40,19,8,13,38,264,128,24,24,14,3,10,6,14,10,0,5,30,259,600,106,113,45,17,19,34,33,7,6,13,124,1113,747,129,138,58,36,26,58,38,22,11,5,88,1358,295,108,161,101,45,72,97,100,33,13,12,75,1126,529,104,148,60,18,21,33,29,18,3,9,66,1030,552,104,198,155,107,126,189,195,84,26,21,125,1876,494,95,138,158,133,152,253,284,135,35,36,147,2070,656,95,144,198,167,188,315,384,229,69,50,176,2676,557,79,144,147,137,154,285,462,293,88,59,163,2564,914,102,193,215,217,194,433,771,545,220,137,241,4177,529,60,112,179,198,174,285,625,559,216,125,145,3217,658,78,89,90,95,154,153,380,428,231
8,403,721,557,141,41,30,112,2683,123,32,62,43,20,60,76,34,8,7,23,131,617,3791,1406,2724,3123,1955,6016,9159,4295,944,274,365,1067,35107,40,20,35,27,13,17,54,105,61,30,32,48,478,154,85,49,33,4,8,22,44,20,7,5,36,478,400,477,245,120,37,42,54,97,41,11,15,115,1649,421,1042,390,160,41,52,64,87,48,13,23,111,2440,139,257,454,245,65,88,145,234,88,7,16,72,1809,63,58,340,137,33,42,61,104,49,14,11,40,951,135,114,244,339,168,156,265,493,162,44,25,69,2216,106,58,122,168,132,221,380,727,244,57,30,77,2319,111,35,93,128,135,254,570,1199,368,90,60,71,3118,86,22,34,88,127,170,468,1454,476,111,67,70,3172,106,19,63,103,126,250,617,2423,1079,272,110,88,5256,57,4,37,64,103,121,329,1848,1041,225,107,62,3996,78,6,30,30,78,152,336,1405,1271,505
9,0,3,0,0,0,0,3,37,3,0,3,0,0,0,0,0,0,0,0,0,7,170,25,91,50,13,7,13,18,5,3,6,52,446,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,0,0,0,0,0,0,3,17,5,0,0,0,3,0,0,0,0,0,0,3,10,6,0,3,4,0,0,0,0,0,0,0,0,11,6,3,3,4,6,0,3,0,0,0,0,6,29,11,3,8,0,0,0,4,0,0,0,0,3,27,14,5,4,6,0,0,4,0,5,0,3,3,38,3,0,3,5,4,3,5,0,0,0,0,0,30,16,9,7,5,3,3,0,0,0,0,3,8,52,14,0,8,4,3,4,3,4,0,0,0,3,46,24,3,0,4,0,3,3,3,0,0
