STE_CODE_2016,C06_15_19_Married_M,C06_15_19_Married_F,C06_15_19_Sep_M,C06_15_19_Sep_F,C06_15_19_Div_M,C06_15_19_Div_F,C06_15_19_Wid_M,C06_15_19_Wid_F,C06_15_19_Nvr_marrd_M,C06_15_19_Nvr_marrd_F,C06_15_19_T_M,C06_15_19_T_F,C06_15_19_T_P,C06_20_24_Married_M,C06_20_24_Married_F,C06_20_24_Sep_M,C06_20_24_Sep_F,C06_20_24_Div_M,C06_20_24_Div_F,C06_20_24_Wid_M,C06_20_24_Wid_F,C06_20_24_Nvr_marrd_M,C06_20_24_Nvr_marrd_F,C06_20_24_T_M,C06_20_24_T_F,C06_20_24_T_P,C06_25_29_Married_M,C06_25_29_Married_F,C06_25_29_Sep_M,C06_25_29_Sep_F,C06_25_29_Div_M,C06_25_29_Div_F,C06_25_29_Wid_M,C06_25_29_Wid_F,C06_25_29_Nvr_marrd_M,C06_25_29_Nvr_marrd_F,C06_25_29_T_M,C06_25_29_T_F,C06_25_29_T_P,C06_30_34_Married_M,C06_30_34_Married_F,C06_30_34_Sep_M,C06_30_34_Sep_F,C06_30_34_Div_M,C06_30_34_Div_F,C06_30_34_Wid_M,C06_30_34_Wid_F,C06_30_34_Nvr_marrd_M,C06_30_34_Nvr_marrd_F,C06_30_34_T_M,C06_30_34_T_F,C06_30_34_T_P,C06_35_39_Married_M,C06_35_39_Married_F,C06_35_39_Sep_M,C06_35_39_Sep_F,C06_35_39_Div_M,C06_35_39_Div_F,C06_35_39_Wid_M,C06_35_39_Wid_F,C06_35_39_Nvr_marrd_M,C06_35_39_Nvr_marrd_F,C06_35_39_T_M,C06_35_39_T_F,C06_35_39_T_P,C06_40_44_Married_M,C06_40_44_Married_F,C06_40_44_Sep_M,C06_40_44_Sep_F,C06_40_44_Div_M,C06_40_44_Div_F,C06_40_44_Wid_M,C06_40_44_Wid_F,C06_40_44_Nvr_marrd_M,C06_40_44_Nvr_marrd_F,C06_40_44_T_M,C06_40_44_T_F,C06_40_44_T_P,C06_45_49_Married_M,C06_45_49_Married_F,C06_45_49_Sep_M,C06_45_49_Sep_F,C06_45_49_Div_M,C06_45_49_Div_F,C06_45_49_Wid_M,C06_45_49_Wid_F,C06_45_49_Nvr_marrd_M,C06_45_49_Nvr_marrd_F,C06_45_49_T_M,C06_45_49_T_F,C06_45_49_T_P,C06_50_54_Married_M,C06_50_54_Married_F,C06_50_54_Sep_M,C06_50_54_Sep_F,C06_50_54_Div_M,C06_50_54_Div_F,C06_50_54_Wid_M,C06_50_54_Wid_F,C06_50_54_Nvr_marrd_M,C06_50_54_Nvr_marrd_F,C06_50_54_T_M,C06_50_54_T_F,C06_50_54_T_P,C06_55_59_Married_M,C06_55_59_Married_F,C06_55_59_Sep_M,C06_55_59_Sep_F,C06_55_59_Div_M,C06_55_59_Div_F,C06_55_59_Wid_M,C06_55_59_Wid_F,C06_55_59_Nvr_marrd_M,C06_55_59_Nvr_marrd_F,C06_55_59_T_M,C06_55_59_T_F,C06_55_59_T_P,C06_60_64_Married_M,C06_60_64_Married_F,C06_60_64_Sep_M,C06_60_64_Sep_F,C06_60_64_Div_M,C06_60_64_Div_F,C06_60_64_Wid_M,C06_60_64_Wid_F,C06_60_64_Nvr_marrd_M,C06_60_64_Nvr_marrd_F,C06_60_64_T_M,C06_60_64_T_F,C06_60_64_T_P,C06_65_69_Married_M,C06_65_69_Married_F,C06_65_69_Sep_M,C06_65_69_Sep_F,C06_65_69_Div_M,C06_65_69_Div_F,C06_65_69_Wid_M,C06_65_69_Wid_F,C06_65_69_Nvr_marrd_M,C06_65_69_Nvr_marrd_F,C06_65_69_T_M,C06_65_69_T_F,C06_65_69_T_P,C06_70_74_Married_M,C06_70_74_Married_F,C06_70_74_Sep_M,C06_70_74_Sep_F,C06_70_74_Div_M,C06_70_74_Div_F,C06_70_74_Wid_M,C06_70_74_Wid_F,C06_70_74_Nvr_marrd_M,C06_70_74_Nvr_marrd_F,C06_70_74_T_M,C06_70_74_T_F,C06_70_74_T_P,C06_75_79_Married_M,C06_75_79_Married_F,C06_75_79_Sep_M,C06_75_79_Sep_F,C06_75_79_Div_M,C06_75_79_Div_F,C06_75_79_Wid_M,C06_75_79_Wid_F,C06_75_79_Nvr_marrd_M,C06_75_79_Nvr_marrd_F,C06_75_79_T_M,C06_75_79_T_F,C06_75_79_T_P,C06_80_84_Married_M,C06_80_84_Married_F,C06_80_84_Sep_M,C06_80_84_Sep_F,C06_80_84_Div_M,C06_80_84_Div_F,C06_80_84_Wid_M,C06_80_84_Wid_F,C06_80_84_Nvr_marrd_M,C06_80_84_Nvr_marrd_F,C06_80_84_T_M,C06_80_84_T_F,C06_80_84_T_P,C06_85o_Married_M,C06_85o_Married_F,C06_85o_Seprtd_M,C06_85o_Seprtd_F,C06_85o_Divorce_M,C06_85o_Divorce_F,C06_85o_Wid_M,C06_85o_Wid_F,C06_85o_Nvr_mard_M,C06_85o_Nvr_mard_F,C06_85o_T_M,C06_85o_T_F,C06_85o_T_P,C06_T_Married_M,C06_T_Married_F,C06_Tot_Sep_M,C06_Tot_Sep_F,C06_Tot_Div_M
1,513,1311,117,142,155,132,102,155,224687,212551,225577,214291,439863,9475,22381,566,1508,350,690,130,245,207660,188856,218178,213675,431855,53461,79727,2498,4992,2056,4263,182,393,152219,124366,210414,213738,424153,113223,136177,5490,8988,7437,12617,250,757,101788,80164,228182,238705,466887,138614,154990,7858,11969,14409,22174,365,1493,69826,52990,231071,243615,474681,152782,160129,9755,13499,21184,30287,834,2675,53366,38648,237925,245236,483155,155264,158268,10810,13686,26740,36365,1384,4561,39747,28407,233943,241289,475231,144656,144350,10140,11070,28061,35800,2073,7398,26750,18810,211672,217424,429105,142846,134588,8918,8651,27274,33368,3437,11818,18492,12518,200974,200945,401922,116476,104441,6076,5843,20082,23658,4271,16880,12274,7630,159174,158454,317623,92730,80823,4496,3684,13421,15396,5822,24097,8489,5461,124959,129462,254423,74450,60230,3022,2406,8427,9974,7916,33312,6737,4433,100549,110353,210902,60987,43946,2024,1534,5510,6964,11270,46171,5332,4354,85125,102966,188091,37957,24317,991,723,2762,4202,12370,50670,3010,3708,57083,83619,140701,18973,10002,539,370,1221,2338,13336,58869,1960,4045,36034,75625,111653,1312400,1315672,73296,89063,179087
2,330,780,84,93,124,104,59,112,170972,162514,171578,163607,335183,5538,13478,312,876,244,412,109,180,164930,152634,171130,167582,338711,37251,54884,1577,3132,1309,2793,107,281,120974,101520,161217,162607,323828,83577,100123,3880,6404,5284,8990,187,566,79653,65395,172573,181478,354053,109130,121870,6023,9159,11218,17399,347,1116,54892,43893,181602,193440,375041,116741,123074,7336,10215,16228,23271,618,1882,37765,29169,178692,187615,366304,118002,120259,8213,10153,19737,27178,1064,3379,27597,20913,174622,181878,356498,110517,110647,7458,8282,20580,26461,1643,5189,18467,13768,158666,164353,323017,108051,104797,6358,6558,18642,24507,2333,8715,12318,8606,147702,153181,300888,87379,79889,4425,4197,13396,16497,2930,11979,7761,5157,115891,117713,233598,70785,61876,3028,2679,8667,10587,3982,17599,5492,3656,91948,96395,188348,56818,46473,2066,1674,5435,6739,5653,25119,4211,2997,74177,83008,157179,46658,33636,1474,1084,3529,4424,8254,34773,3619,3005,63530,76917,140450,28697,18523,741,542,1628,2573,9286,38303,2131,2630,42486,62573,105057,14280,7713,371,241,726,1437,10158,44291,1537,3119,27075,56802,83872,993734,998021,53350,65284,126753
3,308,579,85,80,122,107,58,83,137598,131279,138175,132125,270300,6517,13028,390,974,222,345,82,141,128031,119183,135243,133663,268905,30729,44044,1654,3049,1429,2730,89,234,90012,74982,123915,125033,248949,63650,76706,3548,5693,5414,8771,151,435,61726,48550,134494,140158,274655,80924,90589,5301,7638,10420,15316,290,877,42867,32916,139805,147331,287141,87598,94055,6456,8852,15020,21173,521,1608,31012,22132,140603,147822,288429,89687,93240,7116,8503,19020,24301,823,2691,21740,14833,138385,143561,281948,85935,86079,6533,6759,19348,23525,1310,4229,14239,9281,127368,129869,257241,86638,82438,5783,5501,19206,21544,2091,6900,9850,5789,123571,122170,245734,70545,62959,4045,3564,13808,14960,2594,9554,6295,3483,97287,94529,191810,54247,45852,2720,2213,9055,9327,3377,12559,4443,2638,73839,72587,146426,40452,31770,1745,1236,5542,5600,4304,16748,3507,2107,55545,57454,113003,31640,22612,1158,805,3432,3717,5663,22778,2766,1906,44653,51827,96473,19311,12115,622,382,1665,1941,6169,24842,1676,1618,29437,40895,70329,10005,5343,314,212,726,1094,7026,29083,1111,1752,19179,37473,56657,758197,761416,47467,55443,124417
4,109,209,30,38,50,31,28,33,51780,48446,51999,48760,100757,1959,4171,122,302,58,105,31,54,48764,44537,50933,49171,100106,10421,15372,518,936,462,872,24,105,33462,26691,44882,43973,88855,21841,26611,1170,1849,1748,2874,56,183,23320,17236,48132,48758,96890,29688,32936,1817,2647,3896,5483,93,389,17870,12857,53354,54312,107673,33107,35128,2451,3177,5835,8055,239,654,13432,9330,55057,56338,111393,35146,36426,2703,3086,7697,9864,378,1103,9679,6595,55606,57070,112671,34173,34719,2440,2708,7940,9751,561,1683,6107,4144,51210,53005,104216,35157,34529,2126,1971,7301,8736,827,2940,3809,2519,49227,50693,99921,28855,26985,1323,1218,4896,5925,1026,3954,2213,1500,38312,39587,77902,23279,21185,920,762,3157,3597,1279,5799,1527,939,30169,32287,62454,19362,15768,576,516,2071,2560,1839,8068,1139,757,24979,27656,52642,16456,11984,453,345,1362,1721,2856,12198,1091,813,22219,27062,49280,10402,6915,277,197,702,1016,3273,14042,620,717,15268,22884,38150,5173,2745,132,78,306,563,3832,16439,427,909,9861,20739,30594,305122,305679,17051,19827,47470
5,202,362,32,57,51,43,26,34,71564,67610,71879,68109,139994,2756,5797,173,435,104,157,44,58,66651,59844,69727,66289,136019,14276,21186,703,1320,600,1229,47,102,47167,38180,62792,62025,124816,31197,38464,1574,2403,2286,3627,101,230,32387,24354,67536,69083,136620,42598,47129,2450,3452,4930,7045,171,408,23065,16624,73206,74668,147875,46603,49186,3099,4104,7392,10068,271,824,16147,11067,73517,75249,148762,47367,49011,3620,4284,9358,11721,453,1342,11348,7423,72144,73777,145926,45256,45605,3402,3454,9640,11754,702,1993,7255,4717,66252,67527,133778,44615,41559,2845,2716,9136,10447,932,3079,4672,2806,62197,60609,122808,34250,29978,1871,1643,6104,6904,1157,4087,2850,1652,46226,44268,90497,26734,22864,1236,1039,4058,4674,1401,5923,1952,1146,35381,35645,71026,20229,16474,800,622,2527,2871,1953,8201,1382,861,26886,29026,55917,16081,11443,563,371,1538,1866,2640,11072,1045,728,21877,25482,47359,9587,5870,275,191,743,1025,2837,12017,605,629,14051,19725,33778,4783,2552,141,91,344,557,3120,14734,441,723,8828,18652,27477,386548,387484,22789,26179,58801
6,44,56,19,10,22,18,18,25,16752,15860,16859,15962,32821,581,1220,44,101,22,34,14,21,13819,13077,14489,14457,28945,2847,4206,140,333,140,257,14,37,9115,8170,12256,13004,25255,6110,7739,357,619,513,871,21,68,6801,5687,13803,14982,28783,8762,9975,598,919,1149,1867,37,121,5146,4058,15698,16942,32641,9918,10768,797,1074,1964,2693,77,245,3903,2798,16667,17586,34255,11256,11747,890,1115,2546,3242,115,371,2849,2065,17653,18545,36199,11027,11416,850,821,2647,3152,199,576,1918,1229,16642,17192,33832,11537,11173,718,682,2429,2864,267,933,1254,807,16208,16467,32677,9497,8660,467,369,1783,1977,434,1441,765,510,12941,12963,25909,7691,6624,301,256,1123,1277,511,2043,602,362,10238,10568,20805,5874,4747,214,182,708,755,738,2686,460,291,7985,8659,16645,4694,3239,164,81,398,473,899,3706,340,297,6496,7805,14298,2869,1914,66,45,182,262,1021,4031,229,237,4358,6498,10854,1369,725,43,30,86,158,1051,4638,139,311,2688,5848,8539,94069,94212,5671,6649,15705
7,245,483,19,26,8,7,0,7,7178,6296,7457,6827,14283,1092,1474,56,120,42,43,13,21,6525,5700,7726,7355,15084,2271,2906,130,202,77,144,15,52,5267,4630,7752,7938,15689,3560,4009,225,303,264,397,22,67,4061,3466,8128,8235,16370,4030,4433,297,373,525,651,25,118,3269,2445,8145,8016,16166,4134,4052,336,437,809,766,59,161,2440,1798,7778,7209,14994,3964,3912,415,465,942,1011,72,248,1860,1201,7251,6834,14088,3625,3493,431,364,1077,1057,119,384,1116,735,6362,6028,12390,3375,2706,319,268,1066,839,144,437,726,375,5637,4628,10269,2248,1626,244,145,658,504,151,450,444,217,3739,2950,6686,1351,823,152,93,407,274,153,452,235,100,2294,1745,4037,651,409,82,41,186,117,127,406,146,110,1190,1086,2280,403,228,33,23,110,73,129,361,124,56,802,747,1549,194,93,18,16,29,39,73,285,43,27,357,461,823,86,64,10,8,16,27,66,262,43,28,218,380,594,31235,30710,2754,2889,6218
8,17,46,4,6,3,5,0,3,12182,11316,12211,11376,23584,455,939,32,54,13,31,10,13,13623,12418,14133,13447,27578,2774,4067,102,226,142,219,4,19,9475,8214,12492,12746,25239,5983,7037,270,386,392,719,16,28,5665,4561,12322,12735,25060,7248,7801,373,521,783,1210,29,58,3740,2997,12176,12591,24770,7593,7970,418,619,1133,1639,34,116,2529,2090,11711,12438,24147,7710,7961,552,672,1341,2036,54,207,1842,1596,11499,12478,23971,7481,7466,475,586,1391,2110,90,313,1171,944,10607,11423,22030,7386,6826,369,439,1335,1932,124,501,712,587,9923,10289,20214,5376,4499,242,253,779,1275,172,661,356,332,6926,7019,13946,3662,3128,144,151,511,779,212,849,197,163,4722,5069,9794,2704,2190,109,96,281,443,250,1045,170,157,3514,3935,7452,2143,1494,62,42,147,282,340,1377,103,99,2794,3293,6088,1369,866,31,25,63,183,389,1704,60,90,1909,2869,4778,620,337,16,12,34,89,449,1772,43,89,1154,2293,3446,62522,62629,3218,4095,8358
9,0,3,0,0,0,0,0,0,63,56,66,56,121,10,17,0,0,0,0,0,0,80,51,86,67,155,23,37,0,0,0,0,0,0,60,24,79,62,143,45,46,0,0,0,4,0,0,33,25,77,71,152,57,76,4,3,3,5,0,0,33,20,97,106,203,81,78,5,3,10,0,0,0,27,10,120,94,211,67,65,0,3,13,3,0,4,26,12,100,90,191,71,62,11,3,13,12,0,0,6,8,103,86,191,87,43,3,3,16,0,4,9,8,3,117,53,169,51,33,3,0,6,3,3,0,4,0,69,38,106,30,19,0,0,6,0,10,4,0,0,46,21,68,15,5,0,0,0,0,3,4,3,0,20,15,36,6,0,0,0,0,0,0,7,0,3,6,7,11,0,0,0,0,0,0,0,3,0,0,3,3,4,0,0,0,0,0,0,0,3,3,0,10,4,11,546,484,21,13,60
