STE_CODE_2016,C11_85o_No_need_assist_M,C11_85o_No_need_assist_F,C11_85o_Need_assist_ns_M,C11_85o_Need_assist_ns_F,C11_85o_T_M,C11_85o_T_F,C11_85o_T_P,C11_Total_Need_assist_M,C11_Total_Need_assist_F,C11_Total_No_need_assist_M,C11_Total_No_need_assist_F,C11_Total_Need_assist_ns_M,C11_Total_Need_assist_ns_F,C11_Total_T_M,C11_Total_T_F,C11_Total_T_P,C16_0_4_Need_assist_M,C16_0_4_Need_assist_F,C16_0_4_No_need_assist_M,C16_0_4_No_need_assist_F,C16_0_4_Need_assist_ns_M,C16_0_4_Need_assist_ns_F,C16_0_4_T_M,C16_0_4_T_F,C16_0_4_T_P,C16_5_14_Need_assist_M,C16_5_14_Need_assist_F,C16_5_14_No_need_assist_M,C16_5_14_No_need_assist_F,C16_5_14_Need_assist_ns_M,C16_5_14_Need_assist_ns_F,C16_5_14_T_M,C16_5_14_T_F,C16_5_14_T_P,C16_15_19_Need_assist_M,C16_15_19_Need_assist_F,C16_15_19_No_need_assist_M,C16_15_19_No_need_assist_F,C16_15_19_Need_assist_ns_M,C16_15_19_Need_assist_ns_F,C16_15_19_T_M,C16_15_19_T_F,C16_15_19_T_P,C16_20_24_Need_assist_M,C16_20_24_Need_assist_F,C16_20_24_No_need_assist_M,C16_20_24_No_need_assist_F,C16_20_24_Need_assist_ns_M,C16_20_24_Need_assist_ns_F,C16_20_24_T_M,C16_20_24_T_F,C16_20_24_T_P,C16_25_34_Need_assist_M,C16_25_34_Need_assist_F,C16_25_34_No_need_assist_M,C16_25_34_No_need_assist_F,C16_25_34_Need_assist_ns_M,C16_25_34_Need_assist_ns_F,C16_25_34_T_M,C16_25_34_T_F,C16_25_34_T_P,C16_35_44_Need_assist_M,C16_35_44_Need_assist_F,C16_35_44_No_need_assist_M,C16_35_44_No_need_assist_F,C16_35_44_Need_assist_ns_M,C16_35_44_Need_assist_ns_F,C16_35_44_T_M,C16_35_44_T_F,C16_35_44_T_P,C16_45_54_Need_assist_M,C16_45_54_Need_assist_F,C16_45_54_No_need_assist_M,C16_45_54_No_need_assist_F,C16_45_54_Need_assist_ns_M,C16_45_54_Need_assist_ns_F,C16_45_54_T_M,C16_45_54_T_F,C16_45_54_T_P,C16_55_64_Need_assist_M,C16_55_64_Need_assist_F,C16_55_64_No_need_assist_M,C16_55_64_No_need_assist_F,C16_55_64_Need_assist_ns_M,C16_55_64_Need_assist_ns_F,C16_55_64_T_M,C16_55_64_T_F,C16_55_64_T_P,C16_65_74_Need_assist_M,C16_65_74_Need_assist_F,C16_65_74_No_need_assist_M,C16_65_74_No_need_assist_F,C16_65_74_Need_assist_ns_M,C16_65_74_Need_assist_ns_F,C16_65_74_T_M,C16_65_74_T_F,C16_65_74_T_P,C16_75_84_Need_assist_M,C16_75_84_Need_assist_F,C16_75_84_No_need_assist_M,C16_75_84_No_need_assist_F,C16_75_84_Need_assist_ns_M,C16_75_84_Need_assist_ns_F,C16_75_84_T_M,C16_75_84_T_F,C16_75_84_T_P,C16_85o_Need_assist_M,C16_85o_Need_assist_F,C16_85o_No_need_assist_M,C16_85o_No_need_assist_F,C16_85o_Need_assist_ns_M,C16_85o_Need_assist_ns_F,C16_85o_T_M,C16_85o_T_F,C16_85o_T_P,C16_Total_Need_assist_M,C16_Total_Need_assist_F,C16_Total_No_need_assist_M,C16_Total_No_need_assist_F,C16_Total_Need_assist_ns_M,C16_Total_Need_assist_ns_F,C16_Total_T_M,C16_Total_T_F,C16_Total_T_P
1,24412,35701,4147,7947,47883,91852,139732,153540,184824,3044122,3139341,211217,184614,3408880,3508782,6917656,3449,1866,220324,210018,15085,14391,238859,226279,465135,19925,8985,427462,414418,25703,24705,473094,448106,921195,7311,4254,209384,201878,13410,12187,230103,218321,448425,5371,3578,224202,221052,18919,16558,248490,241181,489673,8679,7501,473885,494511,43993,38949,526560,540962,1067524,10749,10877,446039,464992,37475,32753,494264,508625,1002886,16960,18855,426664,448952,34829,31723,478458,499528,977984,25130,27832,376911,398738,31020,30135,433059,456703,889763,31286,31840,274666,289840,24515,24876,330471,346555,677020,31483,46421,125463,138994,13970,16786,170912,202200,373115,24878,54822,30702,39622,6174,11310,61753,105755,167506,185226,216823,3235706,3323019,265084,254369,3686014,3794217,7480228
2,18650,26652,3219,6109,36269,68727,104994,114144,141354,2371875,2449524,146596,130548,2632617,2721423,5354039,2728,1445,175682,167533,12183,11647,190593,180626,371220,15844,7243,328244,319784,19896,18693,363984,345717,709702,5667,3336,166124,161381,10052,9777,181849,174492,356340,4208,3124,191123,187629,14403,13309,209733,204065,413792,6760,6071,396961,414444,33446,31520,437167,452031,889190,8261,8781,359468,375253,28249,25905,395979,409936,805920,12381,14545,340805,361567,26182,24928,379374,401040,780420,17225,20386,287482,306496,22862,23007,327567,349886,677453,22147,23984,204481,221523,18195,19271,244826,264772,509599,23827,36841,94815,105737,10809,12976,129451,155554,285006,18948,41190,23760,30583,4858,8649,47567,80427,127993,137990,166947,2568943,2651925,201139,199677,2908077,3018549,5926624
3,12194,17028,2699,5405,24650,45152,69799,92642,99378,1912518,1967878,143065,117257,2148221,2184520,4332737,2234,1301,139369,133187,10429,9939,152036,144432,296466,15022,7149,282721,274666,18746,17929,316486,299749,616236,5408,3014,136159,133002,9625,9077,151196,145089,296287,3885,2619,141804,143051,13594,11905,159280,157576,316860,6228,5149,282492,298684,29135,25002,317852,328837,646694,7307,7596,273685,291417,26154,21966,307148,320977,628124,11013,12210,271672,288173,25855,22789,308537,323168,631705,16105,16512,232266,245563,21911,20530,270282,282601,552886,20665,18393,171226,179324,16705,16295,208597,214009,422601,17848,23766,72324,77558,8532,9788,98704,111109,209818,12594,27249,15490,19839,3681,6664,31767,53759,85528,118309,124956,2019213,2084458,184367,171893,2321889,2381308,4703193
4,6830,9980,932,1798,13008,25146,38155,39217,47904,708588,727728,39410,33724,787217,809351,1596569,964,496,46087,44003,2857,2659,49910,47163,97072,5698,2590,89765,88102,5038,4729,100505,95419,195930,1933,1059,47071,45707,2513,2402,51516,49169,100686,1314,952,50538,48888,3371,2928,55223,52766,107986,2292,2016,98403,101457,7575,6365,108274,109837,218107,2739,2815,94260,96609,7185,5855,104188,105275,209468,4379,4986,100275,103238,7463,6547,112117,114770,226891,6165,6672,91328,96634,6677,6453,104169,109756,213923,7311,7255,68713,74689,5291,5589,81316,87533,168852,7116,11142,32329,36074,2987,3607,42437,50821,93258,6416,14333,8490,11237,1435,2577,16340,28143,44479,46337,54318,727279,746636,52387,49707,825997,850652,1676653
5,6306,8867,1198,2250,11922,22296,34217,36134,42941,1003145,1005620,86899,64434,1126175,1112991,2239171,986,564,76391,72638,5774,5373,83155,78574,161727,5543,2676,146483,141634,9548,9073,161574,153378,314955,1979,1130,70409,67556,4726,4202,77112,72882,149997,1461,955,74074,71030,7024,5793,82563,77777,160332,2411,2023,168803,171294,19741,14902,190956,188224,379178,2451,2751,154641,156896,16426,11872,173520,171523,345038,3736,4296,149667,151182,14725,11352,168121,166831,334959,5419,6260,121964,126709,11565,10112,138950,143084,282042,7294,7151,83552,86007,7909,7750,98758,100911,199669,7450,11007,35997,39858,4411,5377,47859,56237,104095,5616,12490,8226,10291,2003,3795,15846,26579,42420,44354,51303,1090205,1095085,103858,89607,1238419,1235994,2474410
6,1806,2664,301,422,3513,6736,10247,13403,15327,217403,226811,11867,10539,242675,252677,495351,204,125,13398,12874,941,932,14544,13929,28469,1549,782,28255,27522,1874,1751,31685,30056,61739,649,351,14403,13840,912,925,15960,15118,31078,478,322,13701,13285,1115,964,15289,14574,29865,778,657,25373,27056,2183,1978,28338,29695,58034,939,1004,25535,28166,2125,2058,28598,31227,59830,1618,1825,29695,31939,2583,2384,33896,36154,70050,2416,2480,30024,31990,2630,2613,35070,37087,72160,2836,2650,23011,24402,2228,2255,28078,29305,57381,2308,3218,10203,11380,1167,1333,13679,15926,29604,1651,3801,2272,2906,427,715,4347,7413,11767,15415,17215,215884,225365,18184,17906,249478,260482,509965
7,102,127,48,57,255,441,693,2918,2856,92613,89505,13984,10066,109519,102428,211943,88,62,7736,7455,1179,1113,9005,8623,17630,460,202,14210,13496,1795,1685,16463,15386,31845,162,102,6322,5668,995,827,7476,6597,14077,100,69,7182,6598,1562,1123,8850,7795,16644,244,180,17839,18009,3913,2860,21992,21045,43036,253,222,14684,14468,2913,2093,17847,16781,34630,428,461,13261,12683,2552,1929,16238,15072,31310,538,600,9750,9141,1812,1453,12108,11193,23296,628,614,4817,4074,874,663,6312,5349,11661,396,562,1245,1096,247,219,1891,1878,3771,177,319,156,144,52,82,392,545,938,3470,3388,97205,92829,17892,14052,118570,110266,228833
8,885,1260,139,300,1657,3174,4830,5311,6646,162436,166476,8996,7346,176747,180477,357218,173,106,13013,12181,715,610,13901,12898,26795,1101,516,22526,21642,990,899,24619,23063,47684,369,285,11418,11302,573,554,12366,12145,24507,254,218,14558,14403,1050,939,15863,15565,31430,433,483,29648,31142,2360,2058,32435,33679,66119,509,644,26537,27237,1898,1585,28940,29460,58407,681,867,22747,23735,1579,1382,25003,25979,50989,768,1058,17952,19260,1183,1277,19908,21597,41506,1019,1193,12047,13380,876,935,13946,15506,29453,1146,1814,4792,5546,511,557,6445,7916,14363,989,2131,1173,1398,161,301,2316,3841,6158,7437,9316,176412,181242,11896,11099,195739,201653,397397
9,0,0,0,0,5,0,3,34,31,1130,966,807,65,1967,1061,3029,4,0,131,116,8,8,140,126,262,5,0,250,244,22,24,281,269,547,7,0,89,90,14,12,106,110,215,0,0,77,63,58,6,136,72,210,0,3,188,208,141,33,330,244,573,0,0,260,262,92,29,345,296,642,3,7,296,286,75,44,376,334,711,7,10,302,283,53,51,364,350,709,20,18,208,172,35,25,263,214,478,19,13,58,60,15,9,95,91,182,14,13,15,10,0,7,28,33,58,78,70,1868,1805,513,248,2462,2120,4587
