STE_CODE_2016,C11_F_u_a_a_h_FH_One_PFam,C11_F_u_a_a_h_FH_oth_fa,C11_F_u_a_a_h_FH_Tot,C11_F_u_a_a_h_LP_H,C11_F_u_a_a_h_GH,C11_F_u_a_a_h_OH,C11_F_u_a_a_h_Tot,C11_F_u_a_T_FH_CF_no_ch,C11_F_u_a_T_FH_CF_w_ch,C11_F_u_a_T_FH_One_PFam,C11_F_u_a_T_FH_oth_fa,C11_F_u_a_T_FH_Tot,C11_F_u_a_T_LP_H,C11_F_u_a_T_GH,C11_F_u_a_T_OH,C11_F_u_a_T_Tot,C11_OD_C_c_hb_FH_CF_no_ch,C11_OD_C_c_hb_FH_CF_w_ch,C11_OD_C_c_hb_FH_One_PFam,C11_OD_C_c_hb_FH_oth_fa,C11_OD_C_c_hb_FH_Tot,C11_OD_C_c_hb_LP_H,C11_OD_C_c_hb_GH,C11_OD_C_c_hb_OH,C11_OD_C_c_hb_Tot,C11_OD_Ih_t_s_FH_CF_no_ch,C11_OD_Ih_t_s_FH_CF_w_ch,C11_OD_Ih_t_s_FH_One_PFam,C11_OD_Ih_t_s_FH_oth_fa,C11_OD_Ih_t_s_FH_Tot,C11_OD_Ih_t_s_LP_H,C11_OD_Ih_t_s_GH,C11_OD_Ih_t_s_OH,C11_OD_Ih_t_s_Tot,C11_OD_H_f_so_FH_CF_no_ch,C11_OD_H_f_so_FH_CF_w_ch,C11_OD_H_f_so_FH_One_PFam,C11_OD_H_f_so_FH_oth_fa,C11_OD_H_f_so_FH_Tot,C11_OD_H_f_so_LP_H,C11_OD_H_f_so_GH,C11_OD_H_f_so_OH,C11_OD_H_f_so_Tot,C11_OD_T_FH_CF_no_ch,C11_OD_T_FH_CF_w_ch,C11_OD_T_FH_One_PFam,C11_OD_T_FH_oth_fa,C11_OD_T_FH_Tot,C11_OD_Tot_LP_H,C11_OD_Tot_GH,C11_OD_Tot_OH,C11_OD_T_T,C11_DS_ns_FH_CF_no_ch,C11_DS_ns_FH_CF_w_ch,C11_DS_ns_FH_One_PFam,C11_DS_ns_FH_oth_fa,C11_DS_ns_FH_Tot,C11_DS_ns_LP_H,C11_DS_ns_GH,C11_DS_ns_OH,C11_DS_NS_T,C11_T_FH_CF_no_ch,C11_T_FH_CF_w_ch,C11_T_FH_One_PFam,C11_T_FH_oth_fa,C11_T_FH_Tot,C11_Tot_LP_H,C11_Tot_GH,C11_Tot_OH,C11_T_T,C16_S_h_FH_CF_no_ch,C16_S_h_FH_CF_w_ch,C16_S_h_FH_One_PFam,C16_S_h_FH_oth_fa,C16_S_h_FH_Tot,C16_S_h_LP_H,C16_S_h_GH,C16_S_h_OH,C16_S_h_Tot,C16_Sd_r_t_1_FH_CF_no_ch,C16_Sd_r_t_1_FH_CF_w_ch,C16_Sd_r_t_1_FH_One_PFam,C16_Sd_r_t_1_FH_oth_fa,C16_Sd_r_t_1_FH_Tot,C16_Sd_r_t_1_LP_H,C16_Sd_r_t_1_GH,C16_Sd_r_t_1_OH,C16_Sd_r_t_1_Tot,C16_Sd_r_t_2m_FH_CF_no_ch,C16_Sd_r_t_2m_FH_CF_w_ch,C16_Sd_r_t_2m_FH_One_PFam,C16_Sd_r_t_2m_FH_oth_fa,C16_Sd_r_t_2m_FH_Tot,C16_Sd_r_t_2m_LP_H,C16_Sd_r_t_2m_GH,C16_Sd_r_t_2m_OH,C16_Sd_r_t_2m_Tot,C16_Sd_r_t_T_FH_CF_no_ch,C16_Sd_r_t_T_FH_CF_w_ch,C16_Sd_r_t_T_FH_One_PFam,C16_Sd_r_t_T_FH_oth_fa,C16_Sd_r_t_T_FH_Tot,C16_Sd_r_t_T_LP_H,C16_Sd_r_t_T_GH,C16_Sd_r_t_T_OH,C16_Sd_r_t_T_Tot,C16_F_u_a_1_2_FH_CF_no_ch,C16_F_u_a_1_2_FH_CF_w_ch,C16_F_u_a_1_2_FH_One_PFam,C16_F_u_a_1_2_FH_oth_fa,C16_F_u_a_1_2_FH_Tot,C16_F_u_a_1_2_LP_H,C16_F_u_a_1_2_GH,C16_F_u_a_1_2_OH,C16_F_u_a_1_2_Tot,C16_F_u_a_3_FH_CF_no_ch,C16_F_u_a_3_FH_CF_w_ch,C16_F_u_a_3_FH_One_PFam,C16_F_u_a_3_FH_oth_fa,C16_F_u_a_3_FH_Tot,C16_F_u_a_3_LP_H,C16_F_u_a_3_GH,C16_F_u_a_3_OH,C16_F_u_a_3_Tot,C16_F_u_a_4m_FH_CF_no_ch,C16_F_u_a_4m_FH_CF_w_ch,C16_F_u_a_4m_FH_One_PFam,C16_F_u_a_4m_FH_oth_fa,C16_F_u_a_4m_FH_Tot,C16_F_u_a_4m_LP_H,C16_F_u_a_4m_GH,C16_F_u_a_4m_OH,C16_F_u_a_4m_Tot,C16_F_u_a_a_h_FH_CF_no_ch,C16_F_u_a_a_h_FH_CF_w_ch,C16_F_u_a_a_h_FH_One_PFam,C16_F_u_a_a_h_FH_oth_fa,C16_F_u_a_a_h_FH_Tot,C16_F_u_a_a_h_LP_H,C16_F_u_a_a_h_GH,C16_F_u_a_a_h_OH,C16_F_u_a_a_h_Tot,C16_F_u_a_T_FH_CF_no_ch,C16_F_u_a_T_FH_CF_w_ch,C16_F_u_a_T_FH_One_PFam,C16_F_u_a_T_FH_oth_fa,C16_F_u_a_T_FH_Tot,C16_F_u_a_T_LP_H,C16_F_u_a_T_GH,C16_F_u_a_T_OH,C16_F_u_a_T_Tot,C16_OD_C_c_hb_FH_CF_no_ch,C16_OD_C_c_hb_FH_CF_w_ch,C16_OD_C_c_hb_FH_One_PFam,C16_OD_C_c_hb_FH_oth_fa,C16_OD_C_c_hb_FH_Tot,C16_OD_C_c_hb_LP_H,C16_OD_C_c_hb_GH,C16_OD_C_c_hb_OH,C16_OD_C_c_hb_Tot,C16_OD_Ih_t_s_FH_CF_no_ch,C16_OD_Ih_t_s_FH_CF_w_ch,C16_OD_Ih_t_s_FH_One_PFam,C16_OD_Ih_t_s_FH_oth_fa,C16_OD_Ih_t_s_FH_Tot,C16_OD_Ih_t_s_LP_H,C16_OD_Ih_t_s_GH,C16_OD_Ih_t_s_OH,C16_OD_Ih_t_s_Tot,C16_OD_H_f_so_FH_CF_no_ch,C16_OD_H_f_so_FH_CF_w_ch,C16_OD_H_f_so_FH_One_PFam,C16_OD_H_f_so_FH_oth_fa,C16_OD_H_f_so_FH_Tot,C16_OD_H_f_so_LP_H,C16_OD_H_f_so_GH,C16_OD_H_f_so_OH,C16_OD_H_f_so_Tot,C16_OD_T_FH_CF_no_ch,C16_OD_T_FH_CF_w_ch,C16_OD_T_FH_One_PFam,C16_OD_T_FH_oth_fa,C16_OD_T_FH_Tot,C16_OD_Tot_LP_H,C16_OD_Tot_GH,C16_OD_Tot_OH,C16_OD_T_T,C16_DS_ns_FH_CF_no_ch,C16_DS_ns_FH_CF_w_ch,C16_DS_ns_FH_One_PFam,C16_DS_ns_FH_oth_fa,C16_DS_ns_FH_Tot,C16_DS_ns_LP_H,C16_DS_ns_GH,C16_DS_ns_OH,C16_DS_NS_T,C16_T_FH_CF_no_ch,C16_T_FH_CF_w_ch,C16_T_FH_One_PFam,C16_T_FH_oth_fa
1,484,39,1918,2186,190,366,4656,114509,70259,40180,8880,233827,193121,38243,46939,512125,3121,564,762,93,4545,8329,351,7833,21060,113,144,64,7,328,386,19,1724,2459,1594,1455,762,116,3928,2576,670,926,8105,4821,2162,1592,221,8805,11295,1042,10480,31620,741,648,279,55,1723,1414,202,862,4207,637528,823011,286078,30783,1777399,599148,94746,127893,2599191,457894,692252,209016,19010,1378166,307344,44306,80890,1810711,30998,26989,16020,1652,75652,59908,6180,9545,151290,38563,57120,24012,2268,121960,43778,9969,10793,186497,69554,84110,40027,3924,197611,103683,16151,20336,337788,27442,21106,13247,1944,63730,63786,9099,14157,150772,40876,32187,15656,2849,91569,56611,14270,15340,177798,65762,39227,14665,4237,123895,71338,22846,24151,242224,480,415,227,36,1156,911,168,277,2510,134560,92931,43793,9068,280350,192643,46386,53927,573304,2926,619,686,93,4325,7621,376,9320,21637,250,241,118,7,621,642,49,2481,3791,2344,2265,1215,190,6006,2964,989,1427,11386,5517,3126,2009,297,10949,11227,1409,13236,36821,3336,2852,1100,148,7442,5883,751,2154,16234,670868,875268,295954,32437
2,115,17,574,720,78,133,1508,57667,23998,19123,5734,106525,120637,23330,24151,274640,1361,246,286,29,1928,4892,212,2676,9709,87,98,27,0,218,229,12,934,1391,1088,1013,313,73,2480,1310,411,473,4676,2535,1357,626,105,4629,6430,637,4080,15771,214,179,66,13,475,260,62,115,913,500588,646262,212316,26014,1385187,476869,82628,86536,2031229,400567,606350,177606,17577,1202102,299077,45768,73899,1620846,43043,37286,19311,2585,102224,79236,10608,12022,204089,29006,32861,12220,1938,76021,23570,9264,7042,115899,72050,70145,31529,4522,178246,102798,19877,19071,319987,22689,13034,8101,1689,45505,48913,8183,10255,112857,13055,3878,2546,1008,20491,23016,6122,6539,56160,25414,6956,4759,2777,39906,39059,14467,13712,107145,85,52,36,3,183,179,26,45,428,61245,23915,15443,5476,106083,111162,28797,30547,276590,965,221,246,30,1461,3835,141,3197,8627,59,65,22,3,145,207,5,1077,1437,1309,1131,510,91,3045,1739,516,830,6138,2325,1421,779,123,4650,5783,659,5102,16199,1877,1628,601,103,4214,3012,483,956,8653,538064,703463,225960,27803
3,155,16,668,811,88,189,1765,43698,14504,15403,3363,76967,86704,18045,22167,203885,4343,711,686,83,5829,9829,534,20011,36199,294,231,94,17,635,589,59,2419,3704,611,411,195,23,1242,744,104,299,2392,5256,1350,985,117,7706,11166,699,22722,42296,394,242,96,10,742,466,72,810,2090,437690,487017,176789,19328,1120829,353509,72966,101234,1648540,369705,469307,150591,14012,1003613,220059,45979,68235,1337885,16818,7207,9027,881,33928,38743,3307,6031,82005,23190,18200,16321,1727,59443,31204,8362,8602,107608,40007,25403,25351,2605,93368,69940,11669,14629,189615,13364,6055,7365,1097,27873,39931,5690,8646,82141,13727,4576,4069,1014,23390,22103,6447,5994,57929,20911,5604,3407,986,30908,23078,6979,9638,70602,69,42,41,6,160,190,33,63,448,48069,16274,14887,3106,82330,85306,19148,24346,211127,3163,493,520,64,4241,8532,462,21282,34510,326,230,92,10,664,644,51,2681,4032,584,514,251,35,1380,694,158,451,2683,4072,1235,859,109,6278,9863,668,24410,41228,2058,1502,649,63,4273,3907,431,3290,11890,463903,513723,192335,19896
4,30,4,143,272,24,32,468,10083,4007,3678,901,18665,32656,3645,4060,59030,500,63,45,4,619,1235,50,2313,4210,51,30,11,3,95,104,4,327,536,196,138,59,11,410,251,42,62,771,751,231,115,21,1124,1587,100,2705,5515,87,57,23,0,165,140,17,289,609,171616,177550,68119,7066,424350,172667,22018,24856,643897,144753,165195,56991,5111,372050,110262,14496,20898,517696,14734,9144,8581,1010,33472,36451,3293,4684,77908,5552,4381,2544,441,12913,6507,1868,1479,22768,20285,13520,11128,1456,46384,42958,5163,6164,100674,5768,3391,2270,452,11888,18551,1782,2446,34657,820,393,195,83,1490,2116,430,574,4611,1502,406,236,124,2269,2614,761,753,6403,16,21,4,3,45,43,7,15,114,8108,4210,2713,668,15698,23326,2980,3785,45786,508,85,59,8,665,1168,52,2532,4415,35,27,14,0,82,143,7,787,1023,247,191,90,19,541,289,69,115,1021,792,310,162,29,1294,1604,126,3433,6459,632,529,212,17,1393,969,87,473,2930,174569,183766,71202,7277
5,49,7,258,330,26,71,686,15195,5384,4084,1129,25785,32424,4785,8545,71538,1972,347,184,30,2532,3320,170,9894,15913,108,92,23,7,235,206,27,1607,2077,288,174,64,12,529,301,63,200,1093,2371,610,279,47,3303,3825,254,11707,19085,206,121,32,7,375,279,37,938,1620,220236,260974,82017,10476,573706,188765,31691,57230,851393,193177,263754,74426,7999,539356,124789,21682,39711,725535,21656,14280,9651,1443,47027,40596,4575,7518,99717,8980,6183,2730,558,18451,9407,2503,2745,33109,30637,20463,12382,1997,65483,50005,7077,10262,132826,4540,1790,1282,279,7896,11306,1234,3009,23442,3038,941,531,228,4738,5858,999,1898,13495,5663,1456,597,297,8010,7589,1369,3314,20278,16,9,4,0,32,51,3,21,101,13261,4189,2412,804,20671,24809,3603,8236,57322,1368,174,150,17,1708,2867,108,9902,14592,160,103,32,3,299,243,21,1953,2519,305,268,101,14,687,312,68,196,1261,1828,543,289,31,2698,3428,197,12048,18369,801,637,204,35,1673,1182,129,1056,4036,239709,289587,89719,10871
6,22,3,121,226,28,27,406,2532,813,1278,165,4796,8894,820,997,15509,139,48,26,0,220,411,13,175,826,19,23,7,3,50,68,4,103,226,170,114,40,6,334,223,38,53,640,332,195,68,13,609,695,53,335,1691,30,41,8,0,73,34,6,17,129,55652,53011,22202,1721,132583,54040,6206,7052,199879,52586,49302,20634,1498,124022,44005,4974,9240,182236,1197,421,766,89,2476,5354,367,692,8889,734,403,310,54,1503,1387,298,261,3446,1929,829,1080,140,3980,6743,665,954,12336,1490,562,892,101,3048,5599,553,955,10151,211,49,46,21,327,636,121,145,1233,154,38,26,10,223,523,71,136,953,24,16,12,0,53,100,10,20,182,1878,665,977,136,3651,6855,750,1255,12516,168,33,28,0,229,382,22,345,977,29,20,0,0,49,52,3,105,215,115,98,50,5,265,153,42,72,535,318,146,77,10,544,592,67,519,1726,172,138,57,3,369,320,40,63,794,56879,51080,22827,1786
7,6,0,33,32,4,26,99,2684,1387,877,152,5096,3921,1062,2017,12103,591,237,94,23,942,756,58,4142,5894,91,50,23,21,185,314,45,590,1131,45,19,12,0,80,83,12,51,229,732,306,127,46,1204,1149,120,4782,7251,68,53,31,3,151,96,11,329,593,15091,20901,7185,865,44045,13317,3528,11702,72591,10869,18251,5473,715,35309,6023,1770,5048,48152,1191,1049,584,85,2911,1957,277,755,5902,702,654,253,41,1650,833,220,419,3128,1896,1703,836,123,4564,2789,496,1175,9028,1096,878,480,74,2519,2060,353,890,5830,574,323,118,27,1042,643,200,379,2268,1538,751,194,46,2536,1470,511,848,5363,7,0,3,0,15,12,0,11,38,3207,1957,792,150,6110,4191,1067,2125,13493,474,104,38,6,621,708,39,4498,5869,84,50,20,10,162,137,17,944,1257,119,142,51,3,321,142,29,108,602,669,299,104,24,1097,987,88,5554,7723,142,122,37,10,315,235,18,276,849,16791,22336,7255,1013
8,18,0,140,179,18,48,382,4232,1230,819,218,6505,7683,1883,2088,18158,33,9,18,4,64,123,4,133,324,0,0,0,0,0,3,0,25,37,7,6,0,0,11,10,6,6,35,39,13,24,4,75,145,10,166,393,17,10,3,3,33,17,3,6,54,34359,42976,13195,1454,91979,30249,7198,5607,135037,25336,40425,10022,866,76644,15810,3067,3594,99109,3062,2485,1505,153,7209,6050,612,827,14701,2942,2665,1240,163,7015,3276,1119,806,12215,6011,5150,2745,321,14222,9326,1734,1639,26915,1048,466,302,61,1880,2363,357,522,5122,1904,823,338,111,3171,3333,805,850,8158,2944,796,287,109,4142,4236,927,1274,10577,32,23,15,3,69,108,10,18,214,5931,2107,940,280,9259,10045,2105,2663,24069,12,9,11,0,35,87,15,59,188,0,0,0,0,0,6,0,51,63,7,17,7,0,36,12,0,4,48,19,32,24,0,67,106,15,116,300,57,38,18,0,116,126,25,29,302,37355,47747,13744,1467
9,0,0,0,0,0,0,0,48,63,14,3,129,75,11,49,265,0,0,0,0,0,3,0,15,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,3,3,0,15,24,6,5,0,0,11,3,0,3,13,180,283,69,6,536,138,21,122,814,364,346,111,9,835,282,11,117,1241,9,16,8,0,43,16,0,11,64,7,8,4,0,18,10,3,5,42,17,30,9,0,62,25,3,17,102,4,7,3,0,17,28,0,26,71,11,27,7,3,49,8,3,15,74,0,3,0,0,6,4,0,0,8,0,0,0,0,0,0,0,0,3,22,38,10,3,65,43,3,42,159,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,7,10,4,0,0,0,8,4,0,0,13,9,0,0,0,6,5,0,15,29,3,0,3,0,6,8,0,7,20,413,418,138,13
