STE_CODE_2016,C11_CFNC_BA_1000_1499,C11_CFNC_BA_1500_1999,C11_CFNC_BA_2000_2499,C11_CFNC_BA_2500_2999,C11_CFNC_BA_3000_3999,C11_CFNC_BA_4000_mr,C11_CFNC_BA_Ns,C11_CFNC_BA_Tot,C11_CFNC_BNW_Ne_Nil,C11_CFNC_BNW_1_149,C11_CFNC_BNW_150_299,C11_CFNC_BNW_300_399,C11_CFNC_BNW_400_499,C11_CFNC_BNW_500_649,C11_CFNC_BNW_650_799,C11_CFNC_BNW_800_999,C11_CFNC_BNW_1000_1499,C11_CFNC_BNW_1500_1999,C11_CFNC_BNW_2000_2499,C11_CFNC_BNW_2500_2999,C11_CFNC_BNW_3000_3999,C11_CFNC_BNW_4000mr,C11_CFNC_BNW_Ns,C11_CFNC_BNW_T,C11_CFNC_LFns_N,C11_CFNC_LFns_1_149,C11_CFNC_LFns_150_299,C11_CFNC_LFns_300_399,C11_CFNC_LFns_400_499,C11_CFNC_LFns_500_649,C11_CFNC_LFns_650_799,C11_CFNC_LFns_800_999,C11_CFNC_LFns_1000_1499,C11_CFNC_LFns_1500_1999,C11_CFNC_LFns_2000_2499,C11_CFNC_LFns_2500_2999,C11_CFNC_LFns_3000_3999,C11_CFNC_LFns_4000m,C11_CFNC_LFns_Ns,C11_CFNC_LFns_T,C11_CFNC_T_N,C11_CFNC_T_1_149,C11_CFNC_T_150_299,C11_CFNC_T_300_399,C11_CFNC_T_400_499,C11_CFNC_T_500_649,C11_CFNC_T_650_799,C11_CFNC_T_800_999,C11_CFNC_T_1000_1499,C11_CFNC_T_1500_1999,C11_CFNC_T_2000_2499,C11_CFNC_T_2500_2999,C11_CFNC_T_3000_3999,C11_CFNC_T_4000m,C11_CFNC_T_Ns,C11_CFNC_T_T,C11_CFC_BFT_N,C11_CFC_BFT_1_149,C11_CFC_BFT_150_299,C11_CFC_BFT_300_399,C11_CFC_BFT_400_499,C11_CFC_BFT_500_649,C11_CFC_BFT_650_799,C11_CFC_BFT_800_999,C11_CFC_BFT_1000_1499,C11_CFC_BFT_1500_1999,C11_CFC_BFT_2000_2499,C11_CFC_BFT_2500_2999,C11_CFC_BFT_3000_3999,C11_CFC_BFT_4000_mr,C11_CFC_BFT_Ns,C11_CFC_BFT_Tot,C11_CFC_BPT_N,C11_CFC_BPT_1_149,C11_CFC_BPT_150_299,C11_CFC_BPT_300_399,C11_CFC_BPT_400_499,C11_CFC_BPT_500_649,C11_CFC_BPT_650_799,C11_CFC_BPT_800_999,C11_CFC_BPT_1000_1499,C11_CFC_BPT_1500_1999,C11_CFC_BPT_2000_2499,C11_CFC_BPT_2500_2999,C11_CFC_BPT_3000_3999,C11_CFC_BPT_4000m,C11_CFC_BPT_Ns,C11_CFC_BPT_T,C11_CFC_1F1P_N,C11_CFC_1F1P_1_149,C11_CFC_1F1P_150_299,C11_CFC_1F1P_300_399,C11_CFC_1F1P_400_499,C11_CFC_1F1P_500_649,C11_CFC_1F1P_650_799,C11_CFC_1F1P_800_999,C11_CFC_1F1P_1000_1499,C11_CFC_1F1P_1500_1999,C11_CFC_1F1P_2000_2499,C11_CFC_1F1P_2500_2999,C11_CFC_1F1P_3000_3999,C11_CFC_1F1P_4000m,C11_CFC_1F1P_Ns,C11_CFC_1F1P_Tot,C11_CF_1E1A_N,C11_CF_1E1A_1_149,C11_CF_1E1A_150_299,C11_CF_1E1A_300_399,C11_CF_1E1A_400_499,C11_CF_1E1A_500_649,C11_CF_1E1A_650_799,C11_CF_1E1A_800_999,C11_CF_1E1A_1000_1499,C11_CF_1E1A_1500_1999,C11_CF_1E1A_2000_2499,C11_CF_1E1A_2500_2999,C11_CF_1E1A_3000_3999,C11_CF_1E1A_4000m,C11_CF_1E1A_Ns,C11_CF_1E1A_T,C11_CF_1F1NW_N,C11_CF_1F1NW_1_149,C11_CF_1F1NW_150_299,C11_CF_1F1NW_300_399,C11_CF_1F1NW_400_499,C11_CF_1F1NW_500_649,C11_CF_1F1NW_650_799,C11_CF_1F1NW_800_999,C11_CF_1F1NW_1000_1499,C11_CF_1F1NW_1500_1999,C11_CF_1F1NW_2000_2499,C11_CF_1F1NW_2500_2999,C11_CF_1F1NW_3000_3999,C11_CF_1F1NW_4000mo,C11_CF_1F1NW_Ns,C11_CF_1F1NW_T,C11_CF_1P1NW_N,C11_CF_1P1NW_1_149,C11_CF_1P1NW_150_299,C11_CF_1P1NW_300_399,C11_CF_1P1NW_400_499,C11_CF_1P1NW_500_649,C11_CF_1P1NW_650_799,C11_CF_1P1NW_800_999,C11_CF_1P1NW_1000_1499,C11_CF_1P1NW_1500_1999,C11_CF_1P1NW_2000_2499,C11_CF_1P1NW_2500_2999,C11_CF_1P1NW_3000_3999,C11_CF_1P1NW_4000_mr,C11_CF_1P1NW_Ns,C11_CF_1P1NW_Tot,C11_CF_1A1NW_N,C11_CF_1A1NW_1_149,C11_CF_1A1NW_150_299,C11_CF_1A1NW_300_399,C11_CF_1A1NW_400_499,C11_CF_1A1NW_500_649,C11_CF_1A1NW_650_799,C11_CF_1A1NW_800_999,C11_CF_1A1NW_1000_1499,C11_CF_1A1NW_1500_1999,C11_CF_1A1NW_2000_2499,C11_CF_1A1NW_2500_2999,C11_CF_1A1NW_3000_3999,C11_CF_1A1NW_4000m,C11_CF_1A1NW_Ns,C11_CF_1A1NW_Tot,C11_CF_BA_N,C11_CF_BA_1_149,C11_CF_BA_150_299,C11_CF_BA_300_399,C11_CF_BA_400_499,C11_CF_BA_500_649,C11_CF_BA_650_799,C11_CF_BA_800_999,C11_CF_BA_1000_1499,C11_CF_BA_1500_1999,C11_CF_BA_2000_2499,C11_CF_BA_2500_2999,C11_CF_BA_3000_3999,C11_CF_BA_4000_more,C11_CF_BA_Ns,C11_CF_BA_Tot,C11_CF_BNW_N,C11_CF_BNW_1_149,C11_CF_BNW_150_299,C11_CF_BNW_300_399,C11_CF_BNW_400_499,C11_CF_BNW_500_649,C11_CF_BNW_650_799,C11_CF_BNW_800_999,C11_CF_BNW_1000_1499,C11_CF_BNW_1500_1999,C11_CF_BNW_2000_2499,C11_CF_BNW_2500_2999,C11_CF_BNW_3000_3999,C11_CF_BNW_4000_more,C11_CF_BNW_Ns,C11_CF_BNW_Tot
1,843,765,825,477,765,478,596,5774,7850,915,10862,3318,2721,84957,33537,35711,22254,7589,4215,2221,2183,1823,8476,228632,249,24,305,92,107,1971,694,751,474,209,104,87,59,55,38381,43562,10340,1576,14069,6431,8140,99706,55752,67709,94063,70231,64837,40392,51761,27851,56166,669020,616,179,337,129,142,517,940,2655,12204,20641,31030,21856,36289,29374,16338,173245,97,47,172,157,192,902,1305,2801,6131,4584,3595,1925,2544,1390,2665,28501,418,259,414,214,301,1084,2454,6574,33290,40942,39887,27538,41790,15296,16756,227228,126,45,86,53,96,263,543,1145,4741,5901,6788,4666,6919,3819,3278,38462,554,368,631,627,1781,2542,8797,14108,39919,30462,10762,33608,10054,5133,11965,171303,191,234,743,1088,1832,3666,4805,5620,8545,4738,2534,2359,1687,856,3948,42841,134,66,175,198,334,544,935,1326,2897,1808,826,1428,578,291,2241,13762,67,22,36,19,23,111,153,294,1039,1121,1292,879,1317,840,1762,8967,1992,603,2792,1771,2098,9532,8098,7480,15985,8827,4584,2691,2611,1255,9291,79605
2,825,708,859,374,578,301,529,5045,5873,704,8336,2272,1940,62554,24932,26250,14637,4760,2738,1443,1400,1243,6659,165744,237,24,280,84,98,1608,611,640,369,170,83,81,36,38,28316,32674,7906,1298,11037,4860,6171,74541,43307,52965,74958,58148,55811,31062,36168,16886,43406,518537,449,123,283,110,122,467,799,2006,9495,16201,23165,15604,22941,17147,12523,121420,90,31,160,129,144,828,1144,2298,5200,3828,2824,1552,1806,865,2184,23080,365,200,344,217,308,995,2340,5974,31441,38674,34952,22478,31473,10501,15023,195279,88,45,58,54,72,228,490,1022,4279,5171,5484,3462,4699,2152,2898,30206,473,331,486,501,1286,2040,7237,12162,35429,25453,8236,24449,7219,3331,10463,139098,182,185,601,807,1372,2628,3489,4102,6729,3673,1805,1634,1134,493,3080,31906,117,55,115,139,236,395,742,1024,2337,1574,593,1101,397,173,1817,10822,59,14,37,10,20,86,133,253,911,1098,1073,670,950,550,1514,7373,1487,475,2253,1236,1396,6578,5652,5180,11919,6558,3179,1780,1537,668,6839,56729
3,652,646,702,360,503,209,499,4301,3741,543,5880,2143,1745,51570,22146,22661,13296,4055,2214,1244,1077,956,4994,138252,151,13,150,41,64,1150,446,481,290,145,54,64,29,34,31006,34109,5680,986,7940,4076,4936,61870,37425,45555,67870,53586,49422,27616,30687,12078,43379,453101,387,135,261,69,155,388,685,1660,7879,14632,22037,14450,21141,12506,9307,105691,61,23,98,86,113,507,697,1692,3944,2937,2338,1187,1288,602,1317,16887,248,154,272,153,196,659,1425,3744,22337,28413,26003,16584,21878,6274,8786,137128,62,32,50,28,33,142,283,711,3110,4102,4702,2976,4006,1421,1891,23536,268,191,315,233,580,1021,4414,8142,26824,19724,6050,18309,4716,1852,6432,99087,96,81,303,408,767,1731,2395,3067,5405,2670,1183,1052,569,225,1846,21808,50,29,74,77,118,210,479,798,2030,1348,448,979,313,107,1215,8276,50,10,21,12,9,50,61,156,684,795,847,509,676,299,1073,5254,872,245,1184,788,959,4675,4182,4072,7875,3598,1723,921,632,366,4021,36102
4,280,286,306,131,187,73,129,1683,1210,164,2332,758,631,24366,10390,10611,5645,1648,856,406,390,371,2006,61773,49,4,89,21,26,556,217,206,134,59,16,11,14,13,9738,11148,1800,333,3145,1495,1806,28909,16868,20161,27024,20275,17813,8800,9053,3332,13862,174669,117,41,78,37,25,162,238,521,2650,4910,6904,4619,6174,3477,3206,33149,21,14,48,34,34,266,369,792,1858,1351,876,413,459,183,618,7335,90,58,103,61,80,296,658,1836,10365,12577,11047,5977,7573,2217,3830,56773,22,10,19,11,24,62,140,333,1547,1712,1789,1029,1232,416,738,9086,93,74,102,81,275,449,1880,3196,9529,6228,1987,4462,1361,543,2140,32409,48,47,149,195,330,819,1112,1277,2067,971,479,318,207,79,777,8879,15,19,24,32,48,128,232,309,685,415,147,225,91,29,355,2757,19,6,7,7,6,21,35,83,301,348,354,187,262,114,323,2077,328,96,544,297,394,2252,1815,1677,3298,1540,628,311,240,104,1673,15190
5,375,340,469,279,467,217,214,2702,1864,204,2815,948,762,21914,9751,10264,6018,1948,1101,661,560,569,2197,61586,71,8,81,33,28,519,186,219,149,61,47,52,23,21,18712,20216,2810,396,3722,1796,2153,26094,15925,19628,29021,24897,25759,18247,22236,10013,24175,226878,204,40,85,42,42,127,198,507,2197,4537,7834,6097,11124,8476,4859,46377,48,11,37,38,48,208,337,695,1791,1492,1242,791,953,537,809,9042,165,78,107,76,80,250,535,1454,8698,13417,13838,11052,15847,5486,5511,76604,36,17,15,14,16,72,104,233,1190,1768,2090,1840,2525,1211,1142,12275,216,133,155,104,301,423,1714,3296,12079,11311,3363,15912,3835,1879,3788,58523,55,60,160,208,347,705,966,1215,2243,1422,684,957,490,227,1024,10783,33,23,34,51,45,111,226,298,973,829,292,1063,298,131,688,5094,25,3,7,6,7,24,33,73,322,414,495,404,575,316,607,3312,425,132,572,332,404,1815,1466,1482,2889,1631,824,632,489,246,1980,15327
6,87,82,62,30,44,24,35,475,306,57,782,304,223,8493,3242,3344,1880,534,250,108,130,86,653,20383,17,3,26,13,5,227,61,101,44,31,18,20,11,10,3439,4024,467,115,1070,613,697,10422,5563,6655,9135,6418,5027,2433,2346,729,4747,56434,22,5,15,12,3,40,63,151,846,1432,1988,1165,1550,673,1066,9031,5,5,8,12,11,88,127,309,716,507,364,138,140,46,202,2672,20,25,27,15,20,82,229,636,3524,3877,3240,1597,1695,466,1295,16745,4,3,3,0,4,28,57,145,556,576,504,271,287,88,232,2767,14,15,30,26,61,143,577,1056,3057,1781,515,903,248,84,690,9204,8,6,30,68,91,340,410,482,782,299,141,87,46,19,279,3097,8,5,6,9,15,57,83,122,217,121,36,46,28,12,115,883,0,0,0,0,0,3,12,26,85,93,78,52,64,17,102,539,59,19,155,109,128,945,732,626,1026,366,140,73,45,25,527,4979
7,24,45,72,30,55,21,24,293,104,19,219,77,34,742,295,273,271,86,42,33,19,9,92,2326,5,0,6,3,0,26,18,10,13,10,3,3,3,0,1572,1674,170,35,289,141,114,1009,662,838,1877,2143,2729,1641,1957,742,1957,16310,22,5,7,4,3,27,28,82,346,608,1283,942,1498,894,535,6280,0,0,22,4,4,59,45,82,129,105,101,57,60,37,76,792,8,5,8,0,0,18,43,84,478,795,764,514,759,238,252,3973,7,7,3,0,3,5,21,27,104,171,245,209,258,133,100,1278,16,11,13,15,38,100,171,270,899,708,260,582,184,55,234,3551,0,10,42,39,52,164,100,104,182,92,45,37,22,10,80,978,0,0,9,8,13,26,25,42,109,65,27,63,17,6,68,472,5,0,3,0,0,15,10,6,43,39,46,28,62,19,67,352,39,26,414,151,100,513,223,171,272,128,77,36,41,11,241,2443
8,12,30,71,50,109,77,11,369,180,20,218,56,72,1557,943,1328,1864,912,530,208,226,127,194,8443,3,0,4,5,6,43,20,24,25,14,4,6,6,0,2160,2320,237,40,291,115,208,1838,1425,2185,4507,4138,5320,3606,5626,3019,2592,35150,19,7,7,4,0,9,29,45,263,678,1647,1525,3604,3900,1022,12760,0,0,3,3,0,21,45,63,137,191,265,183,284,147,99,1445,13,6,13,5,7,18,44,124,754,1515,2134,1775,3496,1467,639,11999,0,3,5,3,0,4,12,33,181,280,540,457,893,541,165,3111,4,13,8,11,28,41,162,313,1235,1465,448,1792,653,327,424,6932,5,6,16,26,43,76,92,121,217,199,122,151,113,54,116,1346,0,0,3,4,8,9,13,24,81,73,45,95,44,30,66,513,0,0,0,0,0,0,7,16,22,45,93,64,174,101,73,584,40,18,48,35,45,145,126,135,374,251,221,147,145,66,223,2014
9,0,0,0,0,0,0,0,3,0,0,0,0,0,14,3,10,3,3,0,0,0,0,3,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,22,0,0,3,0,3,18,16,19,26,19,27,24,16,6,30,207,0,0,0,0,0,0,0,0,3,10,16,16,17,12,4,84,0,0,0,0,0,0,0,4,0,4,0,0,0,0,4,14,0,0,0,0,0,0,0,0,8,7,7,4,14,0,6,49,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,14,0,0,0,0,0,0,3,0,15,4,7,14,5,0,7,53,0,0,0,0,0,0,0,3,4,4,0,0,0,0,6,19,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,3,6,6,4,5,0,0,0,0,3,32
