STE_CODE_2016,C16_OTT_DS_FUA,C16_OTT_DS_OD,C16_OTT_DS_NS_,C16_OTT_Tot,C16_TT_NS_DS_Sep_house,C16_TT_NS_DS_SemiDRTHT,C16_TT_NS_DS_FUA,C16_TT_NS_DS_OD,C16_TT_NS_DS_NS_,C16_TT_NS_T,C16_Tot_DS_Sep_house,C16_Tot_DS_SemiDRTHT,C16_Tot_DS_FUA,C16_Tot_DS_OD,C16_Tot_DS_NS_,C16_T_T
1,6870,463,582,24987,111342,27786,62672,9498,3799,215097,1810711,337788,573304,36821,16234,2774855
2,2985,215,226,18010,103025,25554,33020,4503,1626,167735,1620846,319987,276590,16199,8653,2242283
3,3020,665,253,16728,86582,19061,26317,10149,3907,146024,1337885,189615,211127,41228,11890,1791739
4,1399,162,116,10260,27050,8276,4447,1719,453,41943,517696,100674,45786,6459,2930,673541
5,1726,408,106,9940,47338,12597,8569,4747,1103,74356,725535,132826,57322,18369,4036,938092
6,206,24,14,1796,11504,1299,1389,409,121,14718,182236,12336,12516,1726,794,209614
7,61,272,29,870,5758,1287,2100,2169,209,11532,48152,9028,13493,7723,849,79246
8,244,0,4,1021,4607,2012,2626,120,42,9408,99109,26915,24069,300,302,150693
9,3,5,0,55,104,10,32,13,3,163,1241,102,159,29,20,1556
