STE_CODE_2016,Spks_Engl_only_C06_M,Spks_Engl_only_C06_F,Spks_Engl_only_C06_P,Spks_Engl_only_C11_M,Spks_Engl_only_C11_F,Spks_Engl_only_C11_P,Spks_Engl_only_C16_M,Spks_Engl_only_C16_F,Spks_Engl_only_C16_P,SOL_Afrik_C06_M,SOL_Afrik_C06_F,SOL_Afrik_C06_P,SOL_Afrik_C11_M,SOL_Afrik_C11_F,SOL_Afrik_C11_P,SOL_Afrik_C16_M,SOL_Afrik_C16_F,SOL_Afrik_C16_P,SOL_Arabic_C06_M,SOL_Arabic_C06_F,SOL_Arabic_C06_P,SOL_Arabic_C11_M,SOL_Arabic_C11_F,SOL_Arabic_C11_P,SOL_Arabic_C16_M,SOL_Arabic_C16_F,SOL_Arabic_C16_P,SOL_Aus_In_La_C06_M,SOL_Aus_In_La_C06_F,SOL_Aus_In_La_C06_P,SOL_Aus_In_La_C11_M,SOL_Aus_In_La_C11_F,SOL_Aus_In_La_C11_P,SOL_Aus_In_La_C16_M,SOL_Aus_In_La_C16_F,SOL_Aus_In_La_C16_P,SOL_Bengali_C06_M,SOL_Bengali_C06_F,SOL_Bengali_C06_P,SOL_Bengali_C11_M,SOL_Bengali_C11_F,SOL_Bengali_C11_P,SOL_Bengali_C16_M,SOL_Bengali_C16_F,SOL_Bengali_C16_P,SOL_Canton_C06_M,SOL_Canton_C06_F,SOL_Canton_C06_P,SOL_Canton_C11_M,SOL_Canton_C11_F,SOL_Canton_C11_P,SOL_Canton_C16_M,SOL_Canton_C16_F,SOL_Canton_C16_P,SOL_Mandar_C06_M,SOL_Mandar_C06_F,SOL_Mandar_C06_P,SOL_Mandar_C11_M,SOL_Mandar_C11_F,SOL_Mandar_C11_P,SOL_Mandar_C16_M,SOL_Mandar_C16_F,SOL_Mandar_C16_P,SOL_CL_Oth_C06_M,SOL_CL_Oth_C06_F,SOL_CL_Oth_C06_P,SOL_CL_Oth_C11_M,SOL_CL_Oth_C11_F,SOL_CL_Oth_C11_P,SOL_CL_Oth_C16_M,SOL_CL_Oth_C16_F,SOL_CL_Oth_C16_P,SOL_CL_Tot_C06_M,SOL_CL_Tot_C06_F,SOL_CL_Tot_C06_P,SOL_CL_Tot_C11_M,SOL_CL_Tot_C11_F,SOL_CL_Tot_C11_P,SOL_CL_Tot_C16_M,SOL_CL_Tot_C16_F,SOL_CL_Tot_C16_P,SOL_Croatian_C06_M,SOL_Croatian_C06_F,SOL_Croatian_C06_P,SOL_Croatian_C11_M,SOL_Croatian_C11_F,SOL_Croatian_C11_P,SOL_Croatian_C16_M,SOL_Croatian_C16_F,SOL_Croatian_C16_P,SOL_Dut_C06_M,SOL_Dut_C06_F,SOL_Dut_C06_P,SOL_Dut_C11_M,SOL_Dut_C11_F,SOL_Dut_C11_P,SOL_Dut_C16_M,SOL_Dut_C16_F,SOL_Dut_C16_P,SOL_Filipino_C06_M,SOL_Filipino_C06_F,SOL_Filipino_C06_P,SOL_Filipino_C11_M,SOL_Filipino_C11_F,SOL_Filipino_C11_P,SOL_Filipino_C16_M,SOL_Filipino_C16_F,SOL_Filipino_C16_P,SOL_French_C06_M,SOL_French_C06_F,SOL_French_C06_P,SOL_French_C11_M,SOL_French_C11_F,SOL_French_C11_P,SOL_French_C16_M,SOL_French_C16_F,SOL_French_C16_P,SOL_German_C06_M,SOL_German_C06_F,SOL_German_C06_P,SOL_German_C11_M,SOL_German_C11_F,SOL_German_C11_P,SOL_German_C16_M,SOL_German_C16_F,SOL_German_C16_P,SOL_Gre_C06_M,SOL_Gre_C06_F,SOL_Gre_C06_P,SOL_Gre_C11_M,SOL_Gre_C11_F,SOL_Gre_C11_P,SOL_Gre_C16_M,SOL_Gre_C16_F,SOL_Gre_C16_P,SOL_Hindi_C06_M,SOL_Hindi_C06_F,SOL_Hindi_C06_P,SOL_Hindi_C11_M,SOL_Hindi_C11_F,SOL_Hindi_C11_P,SOL_Hindi_C16_M,SOL_Hindi_C16_F,SOL_Hindi_C16_P,SOL_Indon_C06_M,SOL_Indon_C06_F,SOL_Indon_C06_P,SOL_Indon_C11_M,SOL_Indon_C11_F,SOL_Indon_C11_P,SOL_Indon_C16_M,SOL_Indon_C16_F,SOL_Indon_C16_P,SOL_Italian_C06_M,SOL_Italian_C06_F,SOL_Italian_C06_P,SOL_Italian_C11_M,SOL_Italian_C11_F,SOL_Italian_C11_P,SOL_Italian_C16_M,SOL_Italian_C16_F,SOL_Italian_C16_P,SOL_Japanes_C06_M,SOL_Japanes_C06_F,SOL_Japanes_C06_P,SOL_Japanes_C11_M,SOL_Japanes_C11_F,SOL_Japanes_C11_P,SOL_Japanes_C16_M,SOL_Japanes_C16_F,SOL_Japanes_C16_P,SOL_Korean_C06_M,SOL_Korean_C06_F,SOL_Korean_C06_P,SOL_Korean_C11_M,SOL_Korean_C11_F,SOL_Korean_C11_P,SOL_Korean_C16_M,SOL_Korean_C16_F,SOL_Korean_C16_P,SOL_Mac_C06_M,SOL_Mac_C06_F,SOL_Mac_C06_P,SOL_Mac_C11_M,SOL_Mac_C11_F,SOL_Mac_C11_P,SOL_Mac_C16_M,SOL_Mac_C16_F,SOL_Mac_C16_P,SOL_Pe_in_Da_C06_M,SOL_Pe_in_Da_C06_F,SOL_Pe_in_Da_C06_P,SOL_Pe_in_Da_C11_M,SOL_Pe_in_Da_C11_F,SOL_Pe_in_Da_C11_P,SOL_Pe_in_Da_C16_M,SOL_Pe_in_Da_C16_F,SOL_Pe_in_Da_C16_P,SOL_Polish_C06_M,SOL_Polish_C06_F
1,2383863,2462813,4846669,2470013,2543331,5013345,2536108,2590527,5126633,1761,1837,3604,3092,3137,6228,3823,3911,7735,84142,80843,164988,93661,90595,184253,101993,98828,200825,977,967,1947,640,661,1299,921,1004,1922,7586,5407,12990,12035,9448,21485,17195,14496,31687,61039,68565,129604,63921,72451,136373,67153,76188,143333,47029,53564,100597,64134,75690,139822,109905,130044,239945,6228,7145,13371,9122,10156,19277,8525,9638,18169,114294,129275,243571,137179,158302,295479,185578,215869,401448,11727,11879,23602,11165,11719,22881,10215,10940,21156,3963,4750,8716,4175,5113,9294,3960,4727,8686,7566,10697,18259,8662,12448,21107,10040,14166,24214,7202,7987,15188,9098,9915,19012,11454,12288,23743,10106,12002,22104,10761,12663,23429,10551,12483,23033,42278,43878,86158,42288,44314,86602,39366,42321,81683,19323,18826,38148,26533,26251,52780,33693,33344,67034,8902,10158,19056,11711,13073,24783,14071,15966,30032,42703,44595,87297,40550,42627,83175,36730,38960,75694,5139,7385,12528,5817,8552,14369,7046,10277,17319,17342,19344,36683,22443,24975,47423,28618,31297,59912,14564,14381,28938,14744,14709,29453,13972,14174,28144,5566,5368,10939,7494,7216,14702,11662,10386,22044,6919,8577
2,1795947,1872334,3668284,1902396,1972464,3874861,1981356,2045460,4026811,1264,1276,2538,2154,2283,4438,2763,2795,5560,28493,27441,55931,34902,33534,68437,40267,39320,79589,573,567,1139,241,239,478,247,282,526,2262,1674,3943,3750,3154,6902,5791,5208,10992,31690,35163,66853,34260,38641,72902,36622,41459,78079,30139,34237,64374,47475,56269,103742,86562,105226,191793,6437,7078,13517,8752,9726,18481,9140,10191,19329,68270,76483,144752,90485,104642,195129,132323,156877,289200,11184,11778,22961,10631,11532,22167,9728,10776,20504,4257,5302,9557,4251,5264,9509,3831,4770,8600,4267,6391,10657,6001,8524,14526,7332,10450,17777,5589,6280,11864,7723,8563,16283,9101,10214,19313,8938,10671,19607,9112,10972,20081,9103,10616,19714,57959,59914,117873,56947,59857,116802,53275,57434,110707,10010,8170,18181,17710,14996,32704,26892,24348,51241,4978,5469,10448,6565,7314,13877,7673,9108,16782,64172,69154,133327,59330,65528,124856,52468,59798,112272,2698,3839,6536,3591,4957,8551,4777,6704,11480,2737,3240,5974,4793,5538,10325,7315,8206,15519,15390,15386,30771,15345,15599,30945,14473,15017,29487,2463,2339,4804,4145,3911,8061,8785,7644,16434,7847,9942
3,1666250,1705439,3371683,1817073,1858888,3675958,1889220,1931413,3820632,2446,2431,4878,5138,5077,10218,6184,6343,12525,4040,3243,7285,6301,5123,11421,7294,6347,13644,5899,6107,12012,5929,6218,12149,6569,6909,13474,633,500,1142,1166,1057,2223,1932,1755,3683,9353,10265,19627,10395,11855,22258,11603,13299,24900,11466,12982,24446,17116,21002,38116,30925,38552,69474,1175,1342,2519,2066,2279,4346,1958,2303,4253,21994,24593,46587,29583,35137,64721,44481,54149,98629,2198,2154,4357,2158,2245,4409,1914,2099,4009,3520,4184,7706,3568,4277,7844,3262,3890,7157,1483,3536,5024,3111,5579,8696,4197,7167,11371,3634,3891,7530,4803,5083,9888,5598,6391,11988,6960,7782,14744,7689,8659,16352,7628,8858,16488,5393,5605,10993,5602,5801,11403,5117,5416,10538,3968,3983,7956,6742,6443,13188,9165,8998,18163,1414,1828,3242,1991,2433,4429,2309,3240,5551,10909,11120,22031,10774,10941,21711,9860,10144,20009,4198,6019,10212,5304,7780,13086,6867,10010,16877,3416,3957,7369,6087,6652,12733,9541,10082,19620,562,579,1143,580,611,1194,595,665,1264,959,941,1899,1961,1753,3714,3517,3191,6713,2191,2810
4,620009,642772,1262778,641614,661447,1303066,646641,664893,1311533,542,533,1072,1035,1043,2080,1175,1180,2362,2901,2522,5427,4017,3449,7467,4903,4389,9292,1536,1695,3231,1725,1890,3613,1625,1765,3392,251,184,429,804,677,1480,1240,1167,2406,3801,4123,7921,4331,4671,9000,4723,4944,9666,4148,4806,8954,7578,8921,16497,13245,15538,28780,726,794,1520,1224,1387,2611,1116,1153,2266,8676,9717,18395,13136,14973,28108,19079,21636,40709,1852,1898,3751,1688,1744,3436,1478,1598,3075,1360,1791,3145,1355,1751,3105,1137,1415,2551,597,1151,1744,1135,1839,2973,1540,2314,3861,823,964,1786,1022,1123,2139,1251,1467,2720,3492,4464,7958,3286,4173,7460,2849,3603,6453,12893,13005,25902,12441,12808,25250,11195,11806,22993,1119,825,1941,2399,2018,4419,3826,3483,7310,489,592,1079,687,863,1553,823,997,1822,17397,18421,35814,15921,17367,33294,13711,15393,29106,554,830,1379,747,1028,1772,940,1267,2200,679,815,1494,1425,1631,3059,1675,1929,3600,354,347,703,366,364,727,319,315,633,1001,927,1923,1517,1386,2900,2506,2237,4745,3170,3745
5,795770,807269,1603043,887442,888504,1775951,931004,930034,1861041,2134,2130,4262,5449,5486,10928,7048,7164,14208,4114,3582,7694,6356,5605,11958,7484,6644,14132,3860,4088,7952,4623,4965,9589,4974,5278,10251,444,334,781,1029,879,1906,1695,1574,3263,7619,8432,16047,8443,9563,18006,9038,10306,19339,7837,8714,16551,13279,14754,28032,22368,25472,47840,1420,1672,3092,2177,2362,4539,2078,2272,4349,16876,18816,35693,23907,26677,50580,33483,38050,71533,2950,3141,6087,2866,3071,5934,2641,2912,5556,2360,2901,5259,2496,3072,5565,2235,2864,5100,746,1266,2008,2565,3109,5681,4763,5548,10317,2411,2595,5013,3726,3963,7685,4598,5000,9597,3352,3857,7211,4011,4703,8716,4302,5016,9320,2449,2574,5019,2620,2705,5324,2337,2456,4790,1051,878,1928,2846,2166,5010,5754,4992,10747,3010,3598,6608,4137,4950,9084,4782,6150,10934,15959,16935,32893,15225,16221,31449,14079,15317,29401,1339,2042,3377,1792,2627,4424,2400,3457,5859,886,1036,1919,1985,1957,3941,3574,3531,7107,2882,2786,5669,2949,2950,5897,2893,2959,5849,1372,1350,2720,2224,2072,4295,3486,3212,6703,2763,3337
6,214121,224043,438166,221986,232133,454119,220342,230075,450411,67,93,157,167,191,358,186,186,375,384,298,682,513,397,911,463,371,829,37,56,90,29,39,71,27,45,70,49,51,104,50,34,82,84,66,148,395,398,789,400,439,841,470,505,972,558,604,1164,989,1101,2087,1821,2152,3971,80,64,141,166,163,325,144,127,275,1033,1065,2100,1554,1702,3253,2433,2785,5223,156,132,291,134,127,259,130,135,270,446,584,1028,514,595,1108,393,510,903,53,153,205,79,257,333,76,246,321,232,259,490,332,373,698,376,439,820,705,844,1551,764,904,1666,715,861,1576,643,583,1221,629,572,1201,604,588,1191,160,162,318,249,253,504,320,315,639,39,54,90,73,96,171,109,139,253,706,648,1352,643,640,1288,549,549,1096,98,196,294,167,247,414,249,350,601,150,161,313,261,247,502,256,248,506,11,15,26,12,8,21,8,10,18,63,55,115,99,99,195,293,300,593,361,460
7,65750,61527,127282,68936,64083,133015,69200,63434,132634,50,55,107,149,158,304,141,171,308,162,106,271,204,99,300,237,125,361,14160,15029,29193,16613,17835,34443,16996,17965,34956,52,35,89,122,83,210,259,171,432,339,360,701,328,358,688,341,389,729,264,295,556,518,680,1199,952,1213,2163,341,356,700,386,401,782,322,337,654,937,1014,1956,1225,1438,2665,1618,1935,3552,18,16,33,33,25,57,24,17,43,95,95,187,112,108,227,128,114,243,243,425,662,501,769,1267,922,1123,2045,151,176,328,218,210,429,327,316,646,313,339,656,372,403,768,364,473,842,1344,1133,2484,1540,1312,2855,1739,1507,3245,93,64,157,251,179,431,494,362,852,331,442,777,396,551,949,508,686,1191,407,337,742,383,369,748,405,360,765,60,83,152,72,124,193,270,236,506,26,29,61,129,126,259,188,171,360,13,5,21,16,8,21,14,11,26,13,13,19,18,19,33,84,65,151,42,54
8,129246,133205,262450,137596,140446,278042,143048,145943,288986,99,94,192,233,238,471,318,331,652,742,650,1393,1278,1144,2421,1588,1451,3040,63,79,147,47,63,113,63,63,132,410,337,750,725,630,1357,1003,935,1941,1402,1484,2880,1630,1845,3474,1811,2041,3853,1705,1929,3635,3047,3628,6676,5760,6651,12408,178,236,412,404,436,839,454,490,953,3286,3644,6930,5087,5904,10993,8024,9190,17216,1225,1304,2532,1185,1215,2402,1082,1188,2272,241,336,580,256,338,592,257,328,582,195,285,477,337,480,824,538,768,1307,498,522,1016,751,842,1600,939,1108,2047,863,942,1804,875,1007,1885,857,1059,1913,1293,1285,2573,1387,1390,2777,1167,1266,2436,703,686,1388,1194,1123,2313,1816,1832,3646,314,399,714,466,550,1011,616,710,1325,1722,1703,3428,1606,1705,3312,1575,1674,3245,277,353,636,384,502,885,481,632,1116,363,442,802,739,807,1543,1151,1213,2370,275,284,558,293,291,579,288,303,599,221,206,423,320,342,663,495,442,937,515,654
9,549,428,972,524,418,945,896,833,1732,0,0,0,3,3,3,6,13,23,3,3,3,3,4,11,0,3,8,0,0,0,18,32,48,12,22,38,0,0,0,0,0,0,0,0,0,70,57,128,76,59,137,44,32,72,167,156,322,125,104,232,170,160,329,22,20,45,18,16,36,19,13,35,256,236,490,222,180,402,234,203,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,4,0,0,0,0,0,0,5,10,14,0,0,3,0,0,3,3,5,4,0,0,0,4,6,7,8,3,13,3,0,3,0,3,3,0,0,0,0,0,0,0,0,0,3,3,5,12,14,23,0,7,6,3,3,4,3,6,4,0,0,0,5,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
