STE_CODE_2016,C06_CFNC_0_299,C06_CFNC_300_449,C06_CFNC_450_599,C06_CFNC_600_799,C06_CFNC_800_999,C06_CFNC_1000_1399,C06_CFNC_1400_1799,C06_CFNC_1800_2399,C06_CFNC_2400_2999,C06_CFNC_3000_3999,C06_CFNC_4000ov,C06_CFNC_NS,C06_CFNC_Tot,C06_CF_Cu15DS_0_299,C06_CF_Cu15DS_300_449,C06_CF_Cu15DS_450_599,C06_CF_Cu15DS_600_799,C06_CF_Cu15DS_800_999,C06_CF_Cu15DS_1000_1399,C06_CF_Cu15DS_1400_1799,C06_CF_Cu15DS_1800_2399,C06_CF_Cu15DS_2400_2999,C06_CF_Cu15DS_3000_3999,C06_CF_Cu15DS_4000ov,C06_CF_Cu15DS_NS,C06_CF_Cu15DS_Tot,C06_CF_Cu15NDS_0_299,C06_CF_Cu15NDS_300_449,C06_CF_Cu15NDS_450_599,C06_CF_Cu15NDS_600_799,C06_CF_Cu15NDS_800_999,C06_CF_Cu15NDS_1000_1399,C06_CF_Cu15NDS_1400_1799,C06_CF_Cu15NDS_1800_2399,C06_CF_Cu15NDS_2400_2999,C06_CF_Cu15NDS_3000_3999,C06_CF_Cu15NDS_4000ov,C06_CF_Cu15NDS_NS,C06_CF_Cu15NDS_Tot,C06_CF_NCu15DS_0_299,C06_CF_NCu15DS_300_449,C06_CF_NCu15DS_450_599,C06_CF_NCu15DS_600_799,C06_CF_NCu15DS_800_999,C06_CF_NCu15DS_1000_1399,C06_CF_NCu15DS_1400_1799,C06_CF_NCu15DS_1800_2399,C06_CF_NCu15DS_2400_2999,C06_CF_NCu15DS_3000_3999,C06_CF_NCu15DS_4000ov,C06_CF_NCu15DS_NS,C06_CF_NCu15DS_Tot,C06_CF_NDCO_0_299,C06_CF_NDCO_300_449,C06_CF_NDCO_450_599,C06_CF_NDCO_600_799,C06_CF_NDCO_800_999,C06_CF_NDCO_1000_1399,C06_CF_NDCO_1400_1799,C06_CF_NDCO_1800_2399,C06_CF_NDCO_2400_2999,C06_CF_NDCO_3000_3999,C06_CF_NDCO_4000ov,C06_CF_NDCO_NS,C06_CF_NDCO_Tot,C06_CF_T_0_299,C06_CF_T_300_449,C06_CF_T_450_599,C06_CF_T_600_799,C06_CF_T_800_999,C06_CF_T_1000_1399,C06_CF_T_1400_1799,C06_CF_T_1800_2399,C06_CF_T_2400_2999,C06_CF_T_3000_3999,C06_CF_T_4000ov,C06_CF_T_NS,C06_CF_T_T,C06_1PF_Cu15DS_0_299,C06_1PF_Cu15DS_300_449,C06_1PF_Cu15DS_450_599,C06_1PF_Cu15DS_600_799,C06_1PF_Cu15DS_800_999,C06_1PF_Cu15DS_1000_1399,C06_1PF_Cu15DS_1400_1799,C06_1PF_Cu15DS_1800_2399,C06_1PF_Cu15DS_2400_2999,C06_1PF_Cu15DS_3000_3999,C06_1PF_Cu15DS_4000ov,C06_1PF_Cu15DS_NS,C06_1PF_Cu15DS_Tot,C06_1PF_CU15_NDS_0_299,C06_1PF_CU15_NDS_300_449,C06_1PF_CU15_NDS_450_599,C06_1PF_CU15_NDS_600_799,C06_1PF_CU15_NDS_800_999,C06_1PF_CU15_NDS_1000_1399,C06_1PF_CU15_NDS_1400_1799,C06_1PF_CU15_NDS_1800_2399,C06_1PF_CU15_NDS_2400_2999,C06_1PF_CU15_NDS_3000_3999,C06_1PF_CU15_NDS_4000ov,C06_1PF_CU15_NDS_NS,C06_1PF_CU15_NDS_Tot,C06_1PF_NCu15DS_0_299,C06_1PF_NCu15DS_300_449,C06_1PF_NCu15DS_450_599,C06_1PF_NCu15DS_600_799,C06_1PF_NCu15DS_800_999,C06_1PF_NCu15DS_1000_1399,C06_1PF_NCu15DS_1400_1799,C06_1PF_NCu15DS_1800_2399,C06_1PF_NCu15DS_2400_2999,C06_1PF_NCu15DS_3000_3999,C06_1PF_NCu15DS_4000ov,C06_1PF_NCu15DS_NS,C06_1PF_NCu15DS_Tot,C06_1PF_NDCO_0_299,C06_1PF_NDCO_300_449,C06_1PF_NDCO_450_599,C06_1PF_NDCO_600_799,C06_1PF_NDCO_800_999,C06_1PF_NDCO_1000_1399,C06_1PF_NDCO_1400_1799,C06_1PF_NDCO_1800_2399,C06_1PF_NDCO_2400_2999,C06_1PF_NDCO_3000_3999,C06_1PF_NDCO_4000ov,C06_1PF_NDCO_NS,C06_1PF_NDCO_Tot,C06_1PF_T0_299,C06_1PF_T300_449,C06_1PF_T450_599,C06_1PF_T600_799,C06_1PF_T800_999,C06_1PF_T1000_1399,C06_1PF_T1400_1799,C06_1PF_T1800_2399,C06_1PF_T2400_2999,C06_1PF_T3000_3999,C06_1PF_T4000ov,C06_1PF_TNS,C06_1PF_TT,C06_T_0_299,C06_T_300_449,C06_T_450_599,C06_T_600_799,C06_T_800_999,C06_T_1000_1399,C06_T_1400_1799,C06_T_1800_2399,C06_T_2400_2999,C06_T_3000_3999,C06_T_4000ov,C06_T_NS,C06_T_T,C11_CFNC_0_299,C11_CFNC_300_449,C11_CFNC_450_599,C11_CFNC_600_799,C11_CFNC_800_999,C11_CFNC_1000_1399,C11_CFNC_1400_1799,C11_CFNC_1800_2399,C11_CFNC_2400_2999,C11_CFNC_3000_3999,C11_CFNC_4000ov,C11_CFNC_NS,C11_CFNC_T,C11_CF_Cu15DS_0_299,C11_CF_Cu15DS_300_449,C11_CF_Cu15DS_450_599,C11_CF_Cu15DS_600_799,C11_CF_Cu15DS_800_999,C11_CF_Cu15DS_1000_1399,C11_CF_Cu15DS_1400_1799,C11_CF_Cu15DS_1800_2399,C11_CF_Cu15DS_2400_2999,C11_CF_Cu15DS_3000_3999,C11_CF_Cu15DS_4000ov,C11_CF_Cu15DS_NS,C11_CF_Cu15DS_T,C11_CF_Cu15NDS_0_299,C11_CF_Cu15NDS_300_449,C11_CF_Cu15NDS_450_599,C11_CF_Cu15NDS_600_799,C11_CF_Cu15NDS_800_999,C11_CF_Cu15NDS_1000_1399,C11_CF_Cu15NDS_1400_1799,C11_CF_Cu15NDS_1800_2399,C11_CF_Cu15NDS_2400_2999,C11_CF_Cu15NDS_3000_3999,C11_CF_Cu15NDS_4000ov,C11_CF_Cu15NDS_NS,C11_CF_Cu15NDS_Tot,C11_CF_NCu15DS_0_299,C11_CF_NCu15DS_300_449,C11_CF_NCu15DS_450_599,C11_CF_NCu15DS_600_799,C11_CF_NCu15DS_800_999
1,4673,5515,5079,8802,10872,23382,21854,29289,16079,13421,8325,13808,161107,1065,1639,1836,3597,4644,10535,8464,9025,4202,3810,3063,4247,56126,3257,4791,5430,11769,17175,45341,44417,52748,25626,21498,14579,16128,262750,1306,1872,1920,3597,4222,9186,7279,8076,3740,3599,2826,4483,52111,1579,2241,2189,3957,4619,9635,6891,7413,3343,2882,2171,5455,52378,7207,10539,11370,22922,30657,74709,67048,77271,36907,31793,22643,30310,423371,217,424,424,785,853,1536,943,796,303,203,181,596,7260,731,1499,1509,3027,3470,6438,4533,3820,1545,1119,789,2534,31025,360,688,660,1235,1290,2270,1545,1298,507,395,330,1013,11594,906,1222,1054,1863,2027,3753,2406,2127,796,671,451,2171,19452,2210,3831,3649,6915,7638,13993,9422,8047,3148,2398,1757,6320,69331,14092,19884,20106,38642,49167,112079,98326,114607,56139,47610,32718,50433,653808,9752,4241,3869,6721,8428,20868,22677,36488,23318,22988,17358,9530,186237,1716,845,860,1749,2604,7377,7964,11930,6922,7178,6071,2972,58188,5387,2402,2316,4962,7856,26398,36052,63435,40832,41497,32896,11738,275779,2620,1293,1306,2332,3200
2,4918,5725,5181,9449,11387,26296,23646,21546,7351,5361,3239,11141,135238,1113,1920,2120,4387,5204,10664,7076,5753,1961,1605,1303,3777,46885,3631,5621,6833,15035,20438,51020,40557,31788,10540,8028,5447,13402,212345,1600,2377,2297,4214,4722,9196,6125,5035,1831,1594,1124,4121,44240,1710,2423,2253,4013,4294,8228,4852,3736,1282,964,753,4340,38838,8053,12334,13505,27645,34658,79108,58610,46311,15614,12192,8625,25640,342303,248,479,584,1063,1061,1616,803,414,155,110,92,542,7164,803,1663,1805,3664,3962,6750,3594,1964,528,412,350,2135,27633,534,946,875,1624,1535,2263,1199,742,219,159,155,954,11193,1188,1481,1295,2147,2100,3279,1719,1065,324,233,209,1862,16910,2770,4569,4558,8496,8661,13905,7318,4187,1231,921,809,5491,62904,15743,22622,23245,45589,54701,119312,89573,72045,24190,18471,12680,42268,540442,8024,4107,3822,6429,7963,20260,21877,32094,17062,14448,8787,8110,152992,1684,988,1095,2106,2902,8012,7609,9505,4412,3773,3019,2667,47773,5129,2822,2836,6172,9397,30900,39208,55388,27100,21953,15607,10256,226770,2456,1517,1483,2771,3609
3,4361,5172,4828,9028,11258,24123,19851,18788,6459,4138,2572,10516,121097,673,1104,1235,2669,3326,6815,5111,4130,1466,1015,770,2184,30501,2430,3768,4554,10691,15730,37816,30469,25415,8246,5376,3312,9207,157009,794,1214,1178,2368,2910,5816,3886,3321,1196,869,650,2219,26427,1190,1569,1616,2940,3318,6544,4150,3164,1091,700,585,3157,30017,5085,7649,8583,18661,25281,56984,43621,36039,12000,7957,5309,16769,243954,120,247,311,556,595,918,533,310,87,69,49,321,4132,596,1175,1143,2460,2984,5044,2832,1719,573,321,252,1646,20744,277,458,424,801,864,1398,754,467,151,113,99,544,6345,668,856,786,1387,1487,2267,1251,797,233,158,138,1234,11271,1654,2735,2668,5208,5930,9634,5371,3300,1041,663,537,3746,42493,11097,15563,16082,32898,42476,90749,68841,58124,19499,12764,8418,31032,407539,7532,3660,3265,5691,6999,17296,18410,29217,19013,15502,7909,7887,142384,911,526,533,1079,1598,4524,4889,6994,4315,3684,2303,1742,33111,3260,1806,1812,3816,5921,18975,25183,43089,27416,21451,10911,7193,170832,1320,754,735,1413,1963
4,2417,3184,2959,4888,5297,10472,6977,4757,1377,993,608,3828,47748,363,757,859,1570,1652,2806,1564,1019,341,248,193,802,12176,1314,2491,3277,6966,8661,16020,9815,6107,1756,1190,820,3584,62007,532,932,899,1593,1551,2520,1399,1021,300,249,190,920,12115,690,1157,1073,1664,1711,2642,1260,802,233,196,143,1194,12763,2896,5341,6111,11792,13584,23989,14041,8947,2634,1879,1346,6494,99054,102,189,257,372,332,408,156,72,26,23,13,134,2073,297,808,1071,1774,1487,1993,825,418,83,74,68,584,9479,213,392,381,611,483,669,288,174,39,43,36,260,3582,471,659,589,867,748,1011,413,201,59,27,27,517,5581,1083,2043,2294,3625,3044,4080,1680,864,201,170,141,1496,20718,6389,10570,11360,20298,21924,38543,22698,14572,4217,3038,2099,11819,167519,3342,2131,2054,3219,3603,8140,8002,10293,4667,3216,1777,2254,52695,391,326,397,765,1033,2519,2181,2358,994,845,540,546,12895,1493,1023,1147,2611,3846,11053,12358,14596,6409,4468,2611,2201,63822,646,568,521,1033,1205
5,2393,2782,2576,4855,5976,13059,10818,9165,3203,2160,1365,5266,63620,370,585,676,1465,1732,3842,2518,2104,768,606,480,1118,16268,1444,2122,2683,6019,8592,21264,16195,12359,3911,2859,1969,4870,84285,506,744,749,1462,1632,3296,2198,1876,660,608,467,1320,15518,683,953,942,1808,2032,3886,2158,1694,570,441,296,1670,17126,2997,4397,5056,10754,13981,32294,23063,18034,5908,4517,3206,8980,133191,68,155,179,330,374,540,274,136,59,47,37,168,2368,306,720,809,1579,1632,2561,1305,756,235,160,139,806,11006,168,314,309,593,499,760,416,274,77,71,72,295,3852,427,586,554,929,898,1437,672,422,125,82,77,681,6891,971,1776,1849,3432,3403,5293,2675,1587,497,359,324,1954,24112,6360,8953,9479,19042,23361,50648,36556,28786,9608,7037,4897,16201,220931,3890,1707,1544,2826,3210,8253,8384,14061,11447,9970,6111,3486,74878,523,283,290,614,827,2228,2390,3499,2268,2291,1750,809,17769,1971,966,1006,2039,3052,10008,12579,21280,15483,13144,8515,3517,93562,751,431,409,822,1001
6,1012,1182,1174,1939,1751,2963,1619,1009,293,202,123,1131,14405,126,317,352,600,566,776,416,251,62,47,35,244,3800,500,1156,1447,2968,3305,4944,2323,1280,334,216,158,984,19609,163,325,327,533,443,685,326,210,55,40,38,245,3392,247,366,384,578,461,624,280,155,47,33,24,311,3507,1038,2165,2503,4681,4774,7026,3353,1895,500,335,247,1786,30302,30,76,107,158,114,114,39,28,5,7,5,37,728,169,413,442,690,561,549,203,99,19,21,14,223,3392,61,161,149,178,145,171,56,24,11,4,11,89,1057,177,212,167,273,193,185,82,28,16,8,7,141,1493,441,859,867,1305,1015,1025,379,183,49,34,39,487,6674,2489,4208,4545,7927,7542,11017,5340,3082,843,571,412,3402,51380,1086,842,688,1265,1287,3138,2874,2688,967,664,387,730,16611,116,131,146,313,412,910,739,610,221,164,106,133,3998,435,406,509,1124,1551,4379,4174,3808,1227,781,424,664,19486,185,152,192,315,382
7,98,124,131,284,442,1124,868,718,244,146,99,352,4634,9,23,23,67,88,256,198,136,62,36,17,48,977,52,86,126,285,453,1456,1286,941,264,177,99,282,5512,13,29,24,56,73,174,130,137,50,30,12,54,782,24,32,31,68,95,224,176,117,33,19,25,86,928,100,169,206,477,709,2113,1788,1338,408,265,153,466,8195,0,8,3,18,32,39,43,27,7,6,0,10,191,8,26,33,100,125,304,181,91,24,10,7,53,980,3,15,13,25,39,75,37,16,11,7,0,20,256,22,16,25,55,67,131,71,27,15,3,3,37,465,39,66,76,196,263,552,328,167,53,24,17,119,1901,234,365,416,954,1421,3794,2982,2225,707,437,266,938,14732,145,73,64,131,188,559,586,908,739,784,422,277,4874,17,12,11,30,37,110,136,216,153,160,109,60,1029,92,38,47,87,124,530,738,1326,979,1004,499,204,5672,22,5,11,13,39
8,435,298,266,494,681,1604,1721,2357,837,543,288,530,10057,77,82,73,178,252,639,525,567,262,167,100,154,3081,244,259,281,586,888,2801,3003,3332,1201,820,368,580,14359,129,148,120,228,290,609,516,477,179,143,86,207,3124,136,123,107,199,217,506,344,358,104,95,54,205,2451,588,611,582,1195,1649,4562,4392,4739,1747,1221,606,1139,23020,12,20,23,40,59,103,80,81,19,12,9,23,487,37,51,55,145,221,418,375,272,80,47,24,100,1818,31,50,44,93,99,229,136,100,27,19,15,50,904,63,67,68,130,148,263,180,118,36,21,14,83,1196,148,189,193,409,528,1016,775,569,162,97,61,259,4401,1167,1096,1041,2097,2857,7179,6887,7667,2744,1870,953,1924,37477,548,206,164,349,410,1018,1128,2529,2064,1931,1031,374,11751,94,47,37,60,106,343,394,640,466,530,322,89,3126,298,150,155,240,361,1164,1707,3890,3196,2953,1438,410,15967,154,102,72,128,166
9,0,0,3,0,0,3,0,0,0,0,0,4,15,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,3,5,4,5,8,7,0,0,0,3,34,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,3,7,4,9,8,7,0,3,0,3,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,4,10,5,6,0,3,3,11,57,4,0,0,0,0,3,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,17,0,0,0,0,0
