SA3_NAME16	Year	IndustryOfEmployment	workers
Queanbeyan	2006		601
Queanbeyan	2006	Accommodation and food services	1360
Queanbeyan	2006	Administrative and support services	759
Queanbeyan	2006	Agriculture forestry and fishing	564
Queanbeyan	2006	Arts and recreation services	379
Queanbeyan	2006	Construction	2262
Queanbeyan	2006	Education and training	1580
Queanbeyan	2006	Electricity gas water and waste services	306
Queanbeyan	2006	Financial and insurance services	454
Queanbeyan	2006	Health care and social assistance	2033
Queanbeyan	2006	Information media and telecommunications	463
Queanbeyan	2006	Manufacturing	1589
Queanbeyan	2006	Mining	32
Queanbeyan	2006	Other services	1022
Queanbeyan	2006	Professional scientific and technical services	1745
Queanbeyan	2006	Public administration and safety	6012
Queanbeyan	2006	Rental hiring and real estate services	390
Queanbeyan	2006	Retail trade	2427
Queanbeyan	2006	Transport postal and warehousing	1047
Queanbeyan	2006	Wholesale trade	709
Queanbeyan	2011		569
Queanbeyan	2011	Accommodation and food services	1448
Queanbeyan	2011	Administrative and support services	787
Queanbeyan	2011	Agriculture forestry and fishing	512
Queanbeyan	2011	Arts and recreation services	412
Queanbeyan	2011	Construction	2881
Queanbeyan	2011	Education and training	1806
Queanbeyan	2011	Electricity gas water and waste services	395
Queanbeyan	2011	Financial and insurance services	445
Queanbeyan	2011	Health care and social assistance	2455
Queanbeyan	2011	Information media and telecommunications	431
Queanbeyan	2011	Manufacturing	1438
Queanbeyan	2011	Mining	65
Queanbeyan	2011	Other services	1071
Queanbeyan	2011	Professional scientific and technical services	2077
Queanbeyan	2011	Public administration and safety	7705
Queanbeyan	2011	Rental hiring and real estate services	418
Queanbeyan	2011	Retail trade	2628
Queanbeyan	2011	Transport postal and warehousing	1077
Queanbeyan	2011	Wholesale trade	668
Queanbeyan	2016		1153
Queanbeyan	2016	Accommodation and food services	1582
Queanbeyan	2016	Administrative and support services	856
Queanbeyan	2016	Agriculture forestry and fishing	540
Queanbeyan	2016	Arts and recreation services	427
Queanbeyan	2016	Construction	3039
Queanbeyan	2016	Education and training	2154
Queanbeyan	2016	Electricity gas water and waste services	315
Queanbeyan	2016	Financial and insurance services	380
Queanbeyan	2016	Health care and social assistance	2866
Queanbeyan	2016	Information media and telecommunications	423
Queanbeyan	2016	Manufacturing	1088
Queanbeyan	2016	Mining	79
Queanbeyan	2016	Other services	1095
Queanbeyan	2016	Professional scientific and technical services	2015
Queanbeyan	2016	Public administration and safety	7589
Queanbeyan	2016	Rental hiring and real estate services	450
Queanbeyan	2016	Retail trade	2429
Queanbeyan	2016	Transport postal and warehousing	1042
Queanbeyan	2016	Wholesale trade	500
Snowy Mountains	2006		157
Snowy Mountains	2006	Accommodation and food services	1182
Snowy Mountains	2006	Administrative and support services	213
Snowy Mountains	2006	Agriculture forestry and fishing	969
Snowy Mountains	2006	Arts and recreation services	351
Snowy Mountains	2006	Construction	679
Snowy Mountains	2006	Education and training	544
Snowy Mountains	2006	Electricity gas water and waste services	296
Snowy Mountains	2006	Financial and insurance services	123
Snowy Mountains	2006	Health care and social assistance	686
Snowy Mountains	2006	Information media and telecommunications	79
Snowy Mountains	2006	Manufacturing	358
Snowy Mountains	2006	Mining	29
Snowy Mountains	2006	Other services	277
Snowy Mountains	2006	Professional scientific and technical services	392
Snowy Mountains	2006	Public administration and safety	636
Snowy Mountains	2006	Rental hiring and real estate services	172
Snowy Mountains	2006	Retail trade	935
Snowy Mountains	2006	Transport postal and warehousing	297
Snowy Mountains	2006	Wholesale trade	180
Snowy Mountains	2011		194
Snowy Mountains	2011	Accommodation and food services	1228
Snowy Mountains	2011	Administrative and support services	271
Snowy Mountains	2011	Agriculture forestry and fishing	917
Snowy Mountains	2011	Arts and recreation services	453
Snowy Mountains	2011	Construction	664
Snowy Mountains	2011	Education and training	624
Snowy Mountains	2011	Electricity gas water and waste services	329
Snowy Mountains	2011	Financial and insurance services	102
Snowy Mountains	2011	Health care and social assistance	754
Snowy Mountains	2011	Information media and telecommunications	78
Snowy Mountains	2011	Manufacturing	378
Snowy Mountains	2011	Mining	37
Snowy Mountains	2011	Other services	275
Snowy Mountains	2011	Professional scientific and technical services	385
Snowy Mountains	2011	Public administration and safety	759
Snowy Mountains	2011	Rental hiring and real estate services	181
Snowy Mountains	2011	Retail trade	930
Snowy Mountains	2011	Transport postal and warehousing	305
Snowy Mountains	2011	Wholesale trade	192
Snowy Mountains	2016		317
Snowy Mountains	2016	Accommodation and food services	1332
Snowy Mountains	2016	Administrative and support services	315
Snowy Mountains	2016	Agriculture forestry and fishing	941
Snowy Mountains	2016	Arts and recreation services	495
Snowy Mountains	2016	Construction	682
Snowy Mountains	2016	Education and training	710
Snowy Mountains	2016	Electricity gas water and waste services	318
Snowy Mountains	2016	Financial and insurance services	92
Snowy Mountains	2016	Health care and social assistance	762
Snowy Mountains	2016	Information media and telecommunications	83
Snowy Mountains	2016	Manufacturing	339
Snowy Mountains	2016	Mining	39
Snowy Mountains	2016	Other services	298
Snowy Mountains	2016	Professional scientific and technical services	356
Snowy Mountains	2016	Public administration and safety	785
Snowy Mountains	2016	Rental hiring and real estate services	210
Snowy Mountains	2016	Retail trade	874
Snowy Mountains	2016	Transport postal and warehousing	302
Snowy Mountains	2016	Wholesale trade	175
South Coast	2006		589
South Coast	2006	Accommodation and food services	2837
South Coast	2006	Administrative and support services	724
South Coast	2006	Agriculture forestry and fishing	1426
South Coast	2006	Arts and recreation services	440
South Coast	2006	Construction	2405
South Coast	2006	Education and training	1827
South Coast	2006	Electricity gas water and waste services	292
South Coast	2006	Financial and insurance services	376
South Coast	2006	Health care and social assistance	2758
South Coast	2006	Information media and telecommunications	282
South Coast	2006	Manufacturing	1864
South Coast	2006	Mining	41
South Coast	2006	Other services	887
South Coast	2006	Professional scientific and technical services	945
South Coast	2006	Public administration and safety	1306
South Coast	2006	Rental hiring and real estate services	445
South Coast	2006	Retail trade	3797
