SA3_NAME16	Year	IndigenousStatus	persons
Queanbeyan	2006	Aboriginal	995
Queanbeyan	2006	Both Aboriginal & Torres Strait Islander	16
Queanbeyan	2006	Non-indigenous	48028
Queanbeyan	2006	Torres Strait Islander	29
Queanbeyan	2011	Aboriginal	1334
Queanbeyan	2011	Both Aboriginal & Torres Strait Islander	32
Queanbeyan	2011	Non-indigenous	52122
Queanbeyan	2011	Torres Strait Islander	23
Queanbeyan	2016	Aboriginal	1693
Queanbeyan	2016	Both Aboriginal & Torres Strait Islander	28
Queanbeyan	2016	Non-indigenous	55581
Queanbeyan	2016	Torres Strait Islander	29
Snowy Mountains	2006	Aboriginal	227
Snowy Mountains	2006	Both Aboriginal & Torres Strait Islander	6
Snowy Mountains	2006	Non-indigenous	18236
Snowy Mountains	2006	Torres Strait Islander	20
Snowy Mountains	2011	Aboriginal	347
Snowy Mountains	2011	Both Aboriginal & Torres Strait Islander	11
Snowy Mountains	2011	Non-indigenous	18548
Snowy Mountains	2011	Torres Strait Islander	25
Snowy Mountains	2016	Aboriginal	394
Snowy Mountains	2016	Both Aboriginal & Torres Strait Islander	5
Snowy Mountains	2016	Non-indigenous	18945
Snowy Mountains	2016	Torres Strait Islander	22
South Coast	2006	Aboriginal	2282
South Coast	2006	Both Aboriginal & Torres Strait Islander	38
South Coast	2006	Non-indigenous	63701
South Coast	2006	Torres Strait Islander	47
South Coast	2011	Aboriginal	2637
South Coast	2011	Both Aboriginal & Torres Strait Islander	35
South Coast	2011	Non-indigenous	65158
South Coast	2011	Torres Strait Islander	50
South Coast	2016	Aboriginal	3022
South Coast	2016	Both Aboriginal & Torres Strait Islander	57
South Coast	2016	Non-indigenous	67515
South Coast	2016	Torres Strait Islander	44
Goulburn - Mulwaree	2006	Aboriginal	623
Goulburn - Mulwaree	2006	Both Aboriginal & Torres Strait Islander	8
Goulburn - Mulwaree	2006	Non-indigenous	31422
Goulburn - Mulwaree	2006	Torres Strait Islander	26
Goulburn - Mulwaree	2011	Aboriginal	827
Goulburn - Mulwaree	2011	Both Aboriginal & Torres Strait Islander	4
Goulburn - Mulwaree	2011	Non-indigenous	32229
Goulburn - Mulwaree	2011	Torres Strait Islander	39
Goulburn - Mulwaree	2016	Aboriginal	1263
Goulburn - Mulwaree	2016	Both Aboriginal & Torres Strait Islander	27
Goulburn - Mulwaree	2016	Non-indigenous	34237
Goulburn - Mulwaree	2016	Torres Strait Islander	32
Young - Yass	2006	Aboriginal	649
Young - Yass	2006	Both Aboriginal & Torres Strait Islander	12
Young - Yass	2006	Non-indigenous	31520
Young - Yass	2006	Torres Strait Islander	53
Young - Yass	2011	Aboriginal	864
Young - Yass	2011	Both Aboriginal & Torres Strait Islander	13
Young - Yass	2011	Non-indigenous	33505
Young - Yass	2011	Torres Strait Islander	15
Young - Yass	2016	Aboriginal	1204
Young - Yass	2016	Both Aboriginal & Torres Strait Islander	14
Young - Yass	2016	Non-indigenous	34695
Young - Yass	2016	Torres Strait Islander	29
Gosford	2006	Aboriginal	2483
Gosford	2006	Both Aboriginal & Torres Strait Islander	56
Gosford	2006	Non-indigenous	156280
Gosford	2006	Torres Strait Islander	119
Gosford	2011	Aboriginal	3400
Gosford	2011	Both Aboriginal & Torres Strait Islander	63
Gosford	2011	Non-indigenous	159532
Gosford	2011	Torres Strait Islander	115
Gosford	2016	Aboriginal	4575
Gosford	2016	Both Aboriginal & Torres Strait Islander	61
