SA3_NAME16	Year	DwellingStructure	occupied_private_dwellings
Queanbeyan	2006		0
Queanbeyan	2006	(Other)	208
Queanbeyan	2006	Flat/apartment	2285
Queanbeyan	2006	Semi-detached, row/terrace house, townhouse etc.	1715
Queanbeyan	2006	Separate house	13442
Queanbeyan	2011		18
Queanbeyan	2011	(Other)	239
Queanbeyan	2011	Flat/apartment	2398
Queanbeyan	2011	Semi-detached, row/terrace house, townhouse etc.	2231
Queanbeyan	2011	Separate house	14470
Queanbeyan	2016		81
Queanbeyan	2016	(Other)	100
Queanbeyan	2016	Flat/apartment	2374
Queanbeyan	2016	Semi-detached, row/terrace house, townhouse etc.	2821
Queanbeyan	2016	Separate house	15085
Snowy Mountains	2006		21
Snowy Mountains	2006	(Other)	96
Snowy Mountains	2006	Flat/apartment	429
Snowy Mountains	2006	Semi-detached, row/terrace house, townhouse etc.	169
Snowy Mountains	2006	Separate house	5795
Snowy Mountains	2011		71
Snowy Mountains	2011	(Other)	89
Snowy Mountains	2011	Flat/apartment	361
Snowy Mountains	2011	Semi-detached, row/terrace house, townhouse etc.	438
Snowy Mountains	2011	Separate house	5992
Snowy Mountains	2016		240
Snowy Mountains	2016	(Other)	111
Snowy Mountains	2016	Flat/apartment	414
Snowy Mountains	2016	Semi-detached, row/terrace house, townhouse etc.	342
Snowy Mountains	2016	Separate house	6145
South Coast	2006		18
South Coast	2006	(Other)	719
South Coast	2006	Flat/apartment	1824
South Coast	2006	Semi-detached, row/terrace house, townhouse etc.	1419
South Coast	2006	Separate house	21812
South Coast	2011		28
South Coast	2011	(Other)	563
South Coast	2011	Flat/apartment	1943
South Coast	2011	Semi-detached, row/terrace house, townhouse etc.	1894
South Coast	2011	Separate house	22648
South Coast	2016		234
South Coast	2016	(Other)	585
South Coast	2016	Flat/apartment	1516
South Coast	2016	Semi-detached, row/terrace house, townhouse etc.	2530
South Coast	2016	Separate house	23444
Goulburn - Mulwaree	2006		19
Goulburn - Mulwaree	2006	(Other)	140
Goulburn - Mulwaree	2006	Flat/apartment	522
Goulburn - Mulwaree	2006	Semi-detached, row/terrace house, townhouse etc.	603
Goulburn - Mulwaree	2006	Separate house	10657
Goulburn - Mulwaree	2011		28
Goulburn - Mulwaree	2011	(Other)	173
Goulburn - Mulwaree	2011	Flat/apartment	467
Goulburn - Mulwaree	2011	Semi-detached, row/terrace house, townhouse etc.	620
Goulburn - Mulwaree	2011	Separate house	11352
Goulburn - Mulwaree	2016		77
Goulburn - Mulwaree	2016	(Other)	138
Goulburn - Mulwaree	2016	Flat/apartment	361
Goulburn - Mulwaree	2016	Semi-detached, row/terrace house, townhouse etc.	921
Goulburn - Mulwaree	2016	Separate house	11671
Young - Yass	2006		5
Young - Yass	2006	(Other)	177
Young - Yass	2006	Flat/apartment	341
Young - Yass	2006	Semi-detached, row/terrace house, townhouse etc.	323
Young - Yass	2006	Separate house	11084
Young - Yass	2011		7
Young - Yass	2011	(Other)	127
Young - Yass	2011	Flat/apartment	304
Young - Yass	2011	Semi-detached, row/terrace house, townhouse etc.	400
Young - Yass	2011	Separate house	11769
Young - Yass	2016		106
