SA3_NAME16	Year	Sex	employmentToPopulation
Lord Howe Island	2011	M	78
Lord Howe Island	2016	F	63.8
Lord Howe Island	2016	M	71.5
Port Macquarie	2006	F	41.2
Port Macquarie	2006	M	49
Port Macquarie	2011	F	43.4
Port Macquarie	2011	M	49.4
Port Macquarie	2016	F	43
Port Macquarie	2016	M	47.9
Taree - Gloucester	2006	F	39.9
Taree - Gloucester	2006	M	49.7
Taree - Gloucester	2011	F	40.3
Taree - Gloucester	2011	M	47.5
Taree - Gloucester	2016	F	39
Taree - Gloucester	2016	M	43.5
Albury	2006	F	52.8
Albury	2006	M	65.3
Albury	2011	F	53.7
Albury	2011	M	63.3
Albury	2016	F	52.2
Albury	2016	M	59.1
Lower Murray	2006	F	51.2
Lower Murray	2006	M	64.1
Lower Murray	2011	F	49.7
Lower Murray	2011	M	60.8
Lower Murray	2016	F	48.5
Lower Murray	2016	M	55.4
Upper Murray exc. Albury	2006	F	48.7
Upper Murray exc. Albury	2006	M	61.6
Upper Murray exc. Albury	2011	F	47.9
Upper Murray exc. Albury	2011	M	57.9
Upper Murray exc. Albury	2016	F	46.6
Upper Murray exc. Albury	2016	M	53.6
Armidale	2006	F	49.5
Armidale	2006	M	59.4
Armidale	2011	F	50.9
Armidale	2011	M	59.3
Armidale	2016	F	49.1
Armidale	2016	M	55.9
Inverell - Tenterfield	2006	F	43.2
Inverell - Tenterfield	2006	M	55.2
Inverell - Tenterfield	2011	F	44.2
Inverell - Tenterfield	2011	M	53
Inverell - Tenterfield	2016	F	42.9
Inverell - Tenterfield	2016	M	48.8
Moree - Narrabri	2006	F	51.2
Moree - Narrabri	2006	M	65.4
Moree - Narrabri	2011	F	51.9
Moree - Narrabri	2011	M	64
Moree - Narrabri	2016	F	50.4
Moree - Narrabri	2016	M	59.4
Tamworth - Gunnedah	2006	F	48.2
Tamworth - Gunnedah	2006	M	60.6
Tamworth - Gunnedah	2011	F	50.2
Tamworth - Gunnedah	2011	M	60.5
Tamworth - Gunnedah	2016	F	49.9
Tamworth - Gunnedah	2016	M	58.5
Lake Macquarie - East	2006	F	48
Lake Macquarie - East	2006	M	59
Lake Macquarie - East	2011	F	51.2
Lake Macquarie - East	2011	M	60.5
Lake Macquarie - East	2016	F	50.9
Lake Macquarie - East	2016	M	57.4
Lake Macquarie - West	2006	F	44.2
Lake Macquarie - West	2006	M	56
Lake Macquarie - West	2011	F	47.1
Lake Macquarie - West	2011	M	57.3
Lake Macquarie - West	2016	F	47.7
Lake Macquarie - West	2016	M	54.4
Newcastle	2006	F	48.4
Newcastle	2006	M	57.8
Newcastle	2011	F	52.6
Newcastle	2011	M	60.9
Newcastle	2016	F	53.7
Newcastle	2016	M	58.3
Richmond Valley - Coastal	2006	F	47.2
Richmond Valley - Coastal	2006	M	55.1
Richmond Valley - Coastal	2011	F	48.7
Richmond Valley - Coastal	2011	M	54.6
Richmond Valley - Coastal	2016	F	48.1
Richmond Valley - Coastal	2016	M	52.7
Richmond Valley - Hinterland	2006	F	46.4
Richmond Valley - Hinterland	2006	M	55.9
Richmond Valley - Hinterland	2011	F	47.8
Richmond Valley - Hinterland	2011	M	54.7
Richmond Valley - Hinterland	2016	F	46.4
Richmond Valley - Hinterland	2016	M	51.1
Tweed Valley	2006	F	40.6
Tweed Valley	2006	M	50.1
Tweed Valley	2011	F	43.5
Tweed Valley	2011	M	50.2
Tweed Valley	2016	F	44.4
Tweed Valley	2016	M	49.8
Griffith - Murrumbidgee (West)	2006	F	52
Griffith - Murrumbidgee (West)	2006	M	65.7
Griffith - Murrumbidgee (West)	2011	F	51.8
Griffith - Murrumbidgee (West)	2011	M	64.1
Griffith - Murrumbidgee (West)	2016	F	51.1
Griffith - Murrumbidgee (West)	2016	M	60.8
Tumut - Tumbarumba	2006	F	46.9
Tumut - Tumbarumba	2006	M	61.4
Tumut - Tumbarumba	2011	F	48.3
Tumut - Tumbarumba	2011	M	61.4
Tumut - Tumbarumba	2016	F	46.5
Tumut - Tumbarumba	2016	M	55.1
Wagga Wagga	2006	F	52.3
Wagga Wagga	2006	M	64.4
Wagga Wagga	2011	F	53.1
Wagga Wagga	2011	M	63.4
Wagga Wagga	2016	F	53
Wagga Wagga	2016	M	59.5
Shoalhaven	2006	F	39.7
Shoalhaven	2006	M	48.2
Shoalhaven	2011	F	41.3
Shoalhaven	2011	M	47.4
Shoalhaven	2016	F	41.3
Shoalhaven	2016	M	46
Southern Highlands	2006	F	47.9
Southern Highlands	2006	M	61.4
Southern Highlands	2011	F	48.2
Southern Highlands	2011	M	60
Southern Highlands	2016	F	47.7
Southern Highlands	2016	M	57.4
Baulkham Hills	2006	F	60.7
Baulkham Hills	2006	M	73.5
Baulkham Hills	2011	F	59.3
Baulkham Hills	2011	M	70.9
Baulkham Hills	2016	F	57.9
Baulkham Hills	2016	M	68.3
Dural - Wisemans Ferry	2006	F	58.3
Dural - Wisemans Ferry	2006	M	70.4
Dural - Wisemans Ferry	2011	F	59
Dural - Wisemans Ferry	2011	M	69
Dural - Wisemans Ferry	2016	F	57.3
Dural - Wisemans Ferry	2016	M	66.4
Hawkesbury	2006	F	60.6
Hawkesbury	2006	M	70.5
Hawkesbury	2011	F	61.2
Hawkesbury	2011	M	69.6
Hawkesbury	2016	F	60.1
Hawkesbury	2016	M	68.1
Rouse Hill - McGraths Hill	2006	F	64
Rouse Hill - McGraths Hill	2006	M	77.3
Rouse Hill - McGraths Hill	2011	F	64.3
Rouse Hill - McGraths Hill	2011	M	75.5
Rouse Hill - McGraths Hill	2016	F	64.2
Rouse Hill - McGraths Hill	2016	M	74.5
Blacktown	2006	F	50.5
Blacktown	2006	M	65.1
Blacktown	2011	F	51.1
Blacktown	2011	M	64.6
Blacktown	2016	F	51.1
Blacktown	2016	M	63.6
Blacktown - North	2006	F	61.1
Blacktown - North	2006	M	72.7
Blacktown - North	2011	F	63
Blacktown - North	2011	M	73.4
Blacktown - North	2016	F	62.7
Blacktown - North	2016	M	71.3
Mount Druitt	2006	F	43.8
Mount Druitt	2006	M	60.2
Mount Druitt	2011	F	44.3
Mount Druitt	2011	M	59.9
Mount Druitt	2016	F	45.3
Mount Druitt	2016	M	59.5
Botany	2006	F	49.7
Botany	2006	M	62.4
Botany	2011	F	52.3
Botany	2011	M	62.2
Botany	2016	F	55.1
Botany	2016	M	63.5
Marrickville - Sydenham - Petersham	2006	F	57.2
Marrickville - Sydenham - Petersham	2006	M	62.5
Marrickville - Sydenham - Petersham	2011	F	61
Marrickville - Sydenham - Petersham	2011	M	64.5
Marrickville - Sydenham - Petersham	2016	F	63.1
Marrickville - Sydenham - Petersham	2016	M	65.9
Sydney Inner City	2006	F	52
Sydney Inner City	2006	M	55.2
Sydney Inner City	2011	F	59.5
Sydney Inner City	2011	M	64
Sydney Inner City	2016	F	58.4
Sydney Inner City	2016	M	62.9
Eastern Suburbs - North	2006	F	54.8
Eastern Suburbs - North	2006	M	62.8
Eastern Suburbs - North	2011	F	57.9
Eastern Suburbs - North	2011	M	67
Eastern Suburbs - North	2016	F	59.4
Eastern Suburbs - North	2016	M	68
Eastern Suburbs - South	2006	F	55.1
Eastern Suburbs - South	2006	M	60.6
Eastern Suburbs - South	2011	F	55.4
Eastern Suburbs - South	2011	M	59.9
Eastern Suburbs - South	2016	F	55.6
Eastern Suburbs - South	2016	M	58.6
Bankstown	2006	F	42.3
Bankstown	2006	M	57.9
Bankstown	2011	F	42.7
Bankstown	2011	M	56.9
Bankstown	2016	F	43.6
Bankstown	2016	M	56.7
Canterbury	2006	F	40.2
Canterbury	2006	M	56.2
Canterbury	2011	F	41.2
Canterbury	2011	M	56.7
Canterbury	2016	F	43.3
Canterbury	2016	M	57.9
Hurstville	2006	F	48.9
Hurstville	2006	M	62.1
Hurstville	2011	F	50.1
Hurstville	2011	M	61.8
Hurstville	2016	F	50.2
Hurstville	2016	M	60.8
Kogarah - Rockdale	2006	F	48.5
Kogarah - Rockdale	2006	M	61.2
Kogarah - Rockdale	2011	F	50.7
Kogarah - Rockdale	2011	M	62.6
Kogarah - Rockdale	2016	F	52.9
Kogarah - Rockdale	2016	M	62.9
Canada Bay	2006	F	57
Canada Bay	2006	M	67.1
Canada Bay	2011	F	57.1
Canada Bay	2011	M	66.4
Canada Bay	2016	F	56.3
