SA3_NAME16	Year	Sex	unemployment
Queanbeyan	2006	F	2.8
Queanbeyan	2006	M	2.9
Queanbeyan	2011	F	2.6
Queanbeyan	2011	M	3
Queanbeyan	2016	F	3.8
Queanbeyan	2016	M	4.2
Snowy Mountains	2006	F	3.8
Snowy Mountains	2006	M	4.2
Snowy Mountains	2011	F	3.2
Snowy Mountains	2011	M	3.8
Snowy Mountains	2016	F	3.2
Snowy Mountains	2016	M	3.5
South Coast	2006	F	6.8
South Coast	2006	M	9.1
South Coast	2011	F	5.8
South Coast	2011	M	7.6
South Coast	2016	F	5.5
South Coast	2016	M	7
Goulburn - Mulwaree	2006	F	5.7
Goulburn - Mulwaree	2006	M	5.6
Goulburn - Mulwaree	2011	F	5.2
Goulburn - Mulwaree	2011	M	5.3
Goulburn - Mulwaree	2016	F	5.7
Goulburn - Mulwaree	2016	M	6
Young - Yass	2006	F	4.6
Young - Yass	2006	M	4.1
Young - Yass	2011	F	3.9
Young - Yass	2011	M	4.1
Young - Yass	2016	F	4.1
Young - Yass	2016	M	4.3
Gosford	2006	F	6.1
Gosford	2006	M	6.3
Gosford	2011	F	5.9
Gosford	2011	M	6.3
Gosford	2016	F	6
Gosford	2016	M	6.3
Wyong	2006	F	8.2
Wyong	2006	M	8.2
Wyong	2011	F	7.8
Wyong	2011	M	7.9
Wyong	2016	F	7.5
Wyong	2016	M	7.3
Bathurst	2006	F	6.3
Bathurst	2006	M	5.7
Bathurst	2011	F	5.4
Bathurst	2011	M	5.2
Bathurst	2016	F	5.5
Bathurst	2016	M	6.5
Lachlan Valley	2006	F	6.2
Lachlan Valley	2006	M	6.7
Lachlan Valley	2011	F	5.2
Lachlan Valley	2011	M	5.2
Lachlan Valley	2016	F	6.1
Lachlan Valley	2016	M	6.2
Lithgow - Mudgee	2006	F	7.5
Lithgow - Mudgee	2006	M	8
Lithgow - Mudgee	2011	F	6.2
Lithgow - Mudgee	2011	M	6.6
Lithgow - Mudgee	2016	F	6.6
Lithgow - Mudgee	2016	M	7.6
Orange	2006	F	5.4
Orange	2006	M	5.5
Orange	2011	F	4.3
Orange	2011	M	4.1
Orange	2016	F	5.4
Orange	2016	M	6.1
Clarence Valley	2006	F	9.8
Clarence Valley	2006	M	9.9
Clarence Valley	2011	F	8.3
Clarence Valley	2011	M	9.4
Clarence Valley	2016	F	8.2
Clarence Valley	2016	M	9.8
Coffs Harbour	2006	F	8.4
Coffs Harbour	2006	M	9.8
Coffs Harbour	2011	F	7.3
Coffs Harbour	2011	M	9.2
Coffs Harbour	2016	F	6.5
Coffs Harbour	2016	M	8.1
Bourke - Cobar - Coonamble	2006	F	6.6
Bourke - Cobar - Coonamble	2006	M	8.6
Bourke - Cobar - Coonamble	2011	F	5.9
Bourke - Cobar - Coonamble	2011	M	7.3
Bourke - Cobar - Coonamble	2016	F	7.4
Bourke - Cobar - Coonamble	2016	M	8.8
Broken Hill and Far West	2006	F	8.2
Broken Hill and Far West	2006	M	9.4
Broken Hill and Far West	2011	F	7.2
Broken Hill and Far West	2011	M	9
Broken Hill and Far West	2016	F	7.3
Broken Hill and Far West	2016	M	10
Dubbo	2006	F	5.7
Dubbo	2006	M	6.5
Dubbo	2011	F	5.2
Dubbo	2011	M	6
Dubbo	2016	F	5.8
Dubbo	2016	M	6.5
Lower Hunter	2006	F	7.3
Lower Hunter	2006	M	6.4
Lower Hunter	2011	F	5.8
Lower Hunter	2011	M	4.9
Lower Hunter	2016	F	7.6
Lower Hunter	2016	M	7.6
Maitland	2006	F	6.9
Maitland	2006	M	6
Maitland	2011	F	5.4
Maitland	2011	M	4.4
Maitland	2016	F	7.2
Maitland	2016	M	6.9
Port Stephens	2006	F	7.5
Port Stephens	2006	M	6.7
Port Stephens	2011	F	6.5
Port Stephens	2011	M	6
Port Stephens	2016	F	7.2
Port Stephens	2016	M	7.4
Upper Hunter	2006	F	5.9
Upper Hunter	2006	M	4.3
Upper Hunter	2011	F	4.9
Upper Hunter	2011	M	3.8
Upper Hunter	2016	F	6.8
Upper Hunter	2016	M	6.4
Dapto - Port Kembla	2006	F	8.1
Dapto - Port Kembla	2006	M	8.5
Dapto - Port Kembla	2011	F	7.2
Dapto - Port Kembla	2011	M	7.5
Dapto - Port Kembla	2016	F	7.4
Dapto - Port Kembla	2016	M	7.9
Illawarra Catchment Reserve	2006	F	0
Illawarra Catchment Reserve	2006	M	0
Illawarra Catchment Reserve	2011	F	0
Illawarra Catchment Reserve	2011	M	0
Illawarra Catchment Reserve	2016	F	0
Illawarra Catchment Reserve	2016	M	0
Kiama - Shellharbour	2006	F	7
Kiama - Shellharbour	2006	M	6.5
Kiama - Shellharbour	2011	F	6.4
Kiama - Shellharbour	2011	M	5.9
Kiama - Shellharbour	2016	F	6.3
Kiama - Shellharbour	2016	M	6.3
Wollongong	2006	F	6.8
Wollongong	2006	M	7.2
Wollongong	2011	F	6.3
Wollongong	2011	M	7.1
Wollongong	2016	F	6.4
Wollongong	2016	M	7.2
Great Lakes	2006	F	8.3
Great Lakes	2006	M	10.4
Great Lakes	2011	F	7.4
Great Lakes	2011	M	9.5
Great Lakes	2016	F	7.3
Great Lakes	2016	M	9.3
Kempsey - Nambucca	2006	F	11.1
Kempsey - Nambucca	2006	M	14.7
Kempsey - Nambucca	2011	F	7.9
Kempsey - Nambucca	2011	M	11.2
Kempsey - Nambucca	2016	F	7.7
Kempsey - Nambucca	2016	M	10
Lord Howe Island	2006	F	3.9
Lord Howe Island	2006	M	0
Lord Howe Island	2011	F	2.9
Lord Howe Island	2011	M	0
Lord Howe Island	2016	F	2.7
Lord Howe Island	2016	M	0
Port Macquarie	2006	F	7.8
Port Macquarie	2006	M	9.1
Port Macquarie	2011	F	6.1
Port Macquarie	2011	M	7.6
Port Macquarie	2016	F	6.2
Port Macquarie	2016	M	7.2
Taree - Gloucester	2006	F	10.1
Taree - Gloucester	2006	M	10.2
Taree - Gloucester	2011	F	8.1
Taree - Gloucester	2011	M	9.5
Taree - Gloucester	2016	F	8.4
Taree - Gloucester	2016	M	10.5
Albury	2006	F	5.8
Albury	2006	M	5.5
Albury	2011	F	5.5
Albury	2011	M	5.6
Albury	2016	F	6.2
Albury	2016	M	6.7
Lower Murray	2006	F	5.5
Lower Murray	2006	M	4.3
Lower Murray	2011	F	4.9
Lower Murray	2011	M	4.9
Lower Murray	2016	F	4.9
Lower Murray	2016	M	5.8
Upper Murray exc. Albury	2006	F	4.8
Upper Murray exc. Albury	2006	M	4.1
Upper Murray exc. Albury	2011	F	4.5
Upper Murray exc. Albury	2011	M	4.1
Upper Murray exc. Albury	2016	F	4.5
Upper Murray exc. Albury	2016	M	4.7
Armidale	2006	F	7.3
Armidale	2006	M	7.4
Armidale	2011	F	6
Armidale	2011	M	6.8
Armidale	2016	F	6.6
Armidale	2016	M	7
Inverell - Tenterfield	2006	F	7.5
Inverell - Tenterfield	2006	M	8.2
Inverell - Tenterfield	2011	F	6.9
Inverell - Tenterfield	2011	M	7.2
Inverell - Tenterfield	2016	F	7
Inverell - Tenterfield	2016	M	7.8
Moree - Narrabri	2006	F	6.5
Moree - Narrabri	2006	M	6.2
Moree - Narrabri	2011	F	5.4
Moree - Narrabri	2011	M	5.7
Moree - Narrabri	2016	F	5.9
Moree - Narrabri	2016	M	6.2
Tamworth - Gunnedah	2006	F	6.9
Tamworth - Gunnedah	2006	M	7.2
