SA3_NAME16	Year	Age	Sex	persons
Queanbeyan	2006	0-4	F	1644
Queanbeyan	2006	0-4	M	1761
Queanbeyan	2006	5-14	F	3566
Queanbeyan	2006	5-14	M	3696
Queanbeyan	2006	15-19	F	1650
Queanbeyan	2006	15-19	M	1732
Queanbeyan	2006	20-24	F	1535
Queanbeyan	2006	20-24	M	1439
Queanbeyan	2006	25-34	F	3301
Queanbeyan	2006	25-34	M	3067
Queanbeyan	2006	35-44	F	4234
Queanbeyan	2006	35-44	M	4159
Queanbeyan	2006	45-54	F	3633
Queanbeyan	2006	45-54	M	3840
Queanbeyan	2006	55-64	F	2506
Queanbeyan	2006	55-64	M	2761
Queanbeyan	2006	65-74	F	1294
Queanbeyan	2006	65-74	M	1347
Queanbeyan	2006	75-84	F	850
Queanbeyan	2006	75-84	M	626
Queanbeyan	2006	85+	F	291
Queanbeyan	2006	85+	M	137
Queanbeyan	2011	0-4	F	1782
Queanbeyan	2011	0-4	M	1883
Queanbeyan	2011	5-14	F	3640
Queanbeyan	2011	5-14	M	3717
Queanbeyan	2011	15-19	F	1699
Queanbeyan	2011	15-19	M	1810
Queanbeyan	2011	20-24	F	1576
Queanbeyan	2011	20-24	M	1682
Queanbeyan	2011	25-34	F	3555
Queanbeyan	2011	25-34	M	3402
Queanbeyan	2011	35-44	F	4372
Queanbeyan	2011	35-44	M	4229
Queanbeyan	2011	45-54	F	4097
Queanbeyan	2011	45-54	M	4319
Queanbeyan	2011	55-64	F	3057
Queanbeyan	2011	55-64	M	3281
Queanbeyan	2011	65-74	F	1645
Queanbeyan	2011	65-74	M	1648
Queanbeyan	2011	75-84	F	846
Queanbeyan	2011	75-84	M	716
Queanbeyan	2011	85+	F	394
Queanbeyan	2011	85+	M	162
Queanbeyan	2016	0-4	F	1731
Queanbeyan	2016	0-4	M	1998
Queanbeyan	2016	5-14	F	3664
Queanbeyan	2016	5-14	M	3848
Queanbeyan	2016	15-19	F	1727
Queanbeyan	2016	15-19	M	1866
Queanbeyan	2016	20-24	F	1675
Queanbeyan	2016	20-24	M	1615
Queanbeyan	2016	25-34	F	3957
Queanbeyan	2016	25-34	M	3835
Queanbeyan	2016	35-44	F	4059
Queanbeyan	2016	35-44	M	3984
Queanbeyan	2016	45-54	F	4585
Queanbeyan	2016	45-54	M	4596
Queanbeyan	2016	55-64	F	3517
Queanbeyan	2016	55-64	M	3655
Queanbeyan	2016	65-74	F	2155
Queanbeyan	2016	65-74	M	2271
Queanbeyan	2016	75-84	F	986
Queanbeyan	2016	75-84	M	921
Queanbeyan	2016	85+	F	441
Queanbeyan	2016	85+	M	248
Snowy Mountains	2006	0-4	F	507
Snowy Mountains	2006	0-4	M	561
Snowy Mountains	2006	5-14	F	1284
Snowy Mountains	2006	5-14	M	1351
Snowy Mountains	2006	15-19	F	560
Snowy Mountains	2006	15-19	M	610
Snowy Mountains	2006	20-24	F	376
Snowy Mountains	2006	20-24	M	521
Snowy Mountains	2006	25-34	F	989
Snowy Mountains	2006	25-34	M	1075
Snowy Mountains	2006	35-44	F	1396
Snowy Mountains	2006	35-44	M	1360
Snowy Mountains	2006	45-54	F	1346
Snowy Mountains	2006	45-54	M	1506
Snowy Mountains	2006	55-64	F	1122
Snowy Mountains	2006	55-64	M	1240
Snowy Mountains	2006	65-74	F	691
Snowy Mountains	2006	65-74	M	780
Snowy Mountains	2006	75-84	F	494
Snowy Mountains	2006	75-84	M	407
Snowy Mountains	2006	85+	F	217
Snowy Mountains	2006	85+	M	101
Snowy Mountains	2011	0-4	F	561
Snowy Mountains	2011	0-4	M	611
Snowy Mountains	2011	5-14	F	1170
Snowy Mountains	2011	5-14	M	1298
Snowy Mountains	2011	15-19	F	560
Snowy Mountains	2011	15-19	M	704
Snowy Mountains	2011	20-24	F	423
Snowy Mountains	2011	20-24	M	507
Snowy Mountains	2011	25-34	F	941
Snowy Mountains	2011	25-34	M	947
Snowy Mountains	2011	35-44	F	1299
Snowy Mountains	2011	35-44	M	1299
Snowy Mountains	2011	45-54	F	1452
Snowy Mountains	2011	45-54	M	1532
Snowy Mountains	2011	55-64	F	1204
Snowy Mountains	2011	55-64	M	1339
Snowy Mountains	2011	65-74	F	821
Snowy Mountains	2011	65-74	M	890
Snowy Mountains	2011	75-84	F	500
Snowy Mountains	2011	75-84	M	466
Snowy Mountains	2011	85+	F	260
Snowy Mountains	2011	85+	M	147
Snowy Mountains	2016	0-4	F	418
Snowy Mountains	2016	0-4	M	485
Snowy Mountains	2016	5-14	F	1132
Snowy Mountains	2016	5-14	M	1232
Snowy Mountains	2016	15-19	F	525
Snowy Mountains	2016	15-19	M	605
Snowy Mountains	2016	20-24	F	464
Snowy Mountains	2016	20-24	M	576
Snowy Mountains	2016	25-34	F	1022
Snowy Mountains	2016	25-34	M	1144
Snowy Mountains	2016	35-44	F	1132
Snowy Mountains	2016	35-44	M	1195
Snowy Mountains	2016	45-54	F	1456
Snowy Mountains	2016	45-54	M	1453
Snowy Mountains	2016	55-64	F	1319
Snowy Mountains	2016	55-64	M	1456
Snowy Mountains	2016	65-74	F	1054
Snowy Mountains	2016	65-74	M	1139
Snowy Mountains	2016	75-84	F	555
Snowy Mountains	2016	75-84	M	564
Snowy Mountains	2016	85+	F	281
Snowy Mountains	2016	85+	M	171
South Coast	2006	0-4	F	1612
South Coast	2006	0-4	M	1730
South Coast	2006	5-14	F	4388
South Coast	2006	5-14	M	4434
South Coast	2006	15-19	F	2054
South Coast	2006	15-19	M	2136
South Coast	2006	20-24	F	1052
South Coast	2006	20-24	M	1195
South Coast	2006	25-34	F	2589
South Coast	2006	25-34	M	2391
South Coast	2006	35-44	F	4261
South Coast	2006	35-44	M	3774
South Coast	2006	45-54	F	5356
South Coast	2006	45-54	M	5085
South Coast	2006	55-64	F	5144
South Coast	2006	55-64	M	5050
South Coast	2006	65-74	F	3705
South Coast	2006	65-74	M	3823
South Coast	2006	75-84	F	2550
South Coast	2006	75-84	M	2273
