SA3_NAME16	Year	averageHouseholdSize
Queanbeyan	2006	2.6
Snowy Mountains	2006	2.4
South Coast	2006	2.4
Goulburn - Mulwaree	2006	2.4
Young - Yass	2006	2.6
Gosford	2006	2.5
Wyong	2006	2.5
Bathurst	2006	2.5
Lachlan Valley	2006	2.5
Lithgow - Mudgee	2006	2.4
Orange	2006	2.5
Clarence Valley	2006	2.4
Coffs Harbour	2006	2.5
Bourke - Cobar - Coonamble	2006	2.5
Broken Hill and Far West	2006	2.3
Dubbo	2006	2.6
Lower Hunter	2006	2.7
Maitland	2006	2.7
Port Stephens	2006	2.5
Upper Hunter	2006	2.5
Dapto - Port Kembla	2006	2.7
Illawarra Catchment Reserve	2006	0
Kiama - Shellharbour	2006	2.7
Wollongong	2006	2.5
Great Lakes	2006	2.3
Kempsey - Nambucca	2006	2.4
Lord Howe Island	2006	2.2
Port Macquarie	2006	2.3
Taree - Gloucester	2006	2.4
Albury	2006	2.5
Lower Murray	2006	2.5
Upper Murray exc. Albury	2006	2.4
Armidale	2006	2.5
Inverell - Tenterfield	2006	2.4
Moree - Narrabri	2006	2.6
Tamworth - Gunnedah	2006	2.5
Lake Macquarie - East	2006	2.6
Lake Macquarie - West	2006	2.6
Newcastle	2006	2.4
Richmond Valley - Coastal	2006	2.4
Richmond Valley - Hinterland	2006	2.5
Tweed Valley	2006	2.4
Griffith - Murrumbidgee (West)	2006	2.6
Tumut - Tumbarumba	2006	2.4
Wagga Wagga	2006	2.5
Shoalhaven	2006	2.4
Southern Highlands	2006	2.5
Baulkham Hills	2006	3.1
Dural - Wisemans Ferry	2006	3.1
Hawkesbury	2006	3
Rouse Hill - McGraths Hill	2006	3.3
Blacktown	2006	2.9
Blacktown - North	2006	3.1
Mount Druitt	2006	3.2
Botany	2006	2.6
Marrickville - Sydenham - Petersham	2006	2.4
Sydney Inner City	2006	1.9
Eastern Suburbs - North	2006	2.2
Eastern Suburbs - South	2006	2.4
Bankstown	2006	2.9
Canterbury	2006	2.9
Hurstville	2006	2.7
Kogarah - Rockdale	2006	2.6
Canada Bay	2006	2.5
Leichhardt	2006	2.2
Strathfield - Burwood - Ashfield	2006	2.6
Chatswood - Lane Cove	2006	2.5
Hornsby	2006	2.7
Ku-ring-gai	2006	2.9
North Sydney - Mosman	2006	2
Manly	2006	2.4
Pittwater	2006	2.7
Warringah	2006	2.6
Camden	2006	3
Campbelltown (NSW)	2006	3
Wollondilly	2006	3
Blue Mountains	2006	2.6
Blue Mountains - South	2006	0
Penrith	2006	2.8
Richmond - Windsor	2006	2.8
St Marys	2006	3
Auburn	2006	3.1
Carlingford	2006	2.8
Merrylands - Guildford	2006	2.9
Parramatta	2006	2.6
Pennant Hills - Epping	2006	2.9
Ryde - Hunters Hill	2006	2.5
Bringelly - Green Valley	2006	3.4
Fairfield	2006	3.2
Liverpool	2006	2.9
Cronulla - Miranda - Caringbah	2006	2.5
Sutherland - Menai - Heathcote	2006	2.9
Migratory - Offshore - Shipping (NSW)	2006	0
No usual address (NSW)	2006	0
Ballarat	2006	2.5
Creswick - Daylesford - Ballan	2006	2.5
Maryborough - Pyrenees	2006	2.3
Bendigo	2006	2.5
Heathcote - Castlemaine - Kyneton	2006	2.5
Loddon - Elmore	2006	2.5
Barwon - West	2006	2.8
Geelong	2006	2.5
Surf Coast - Bellarine Peninsula	2006	2.5
Upper Goulburn Valley	2006	2.4
Wangaratta - Benalla	2006	2.4
Wodonga - Alpine	2006	2.5
Baw Baw	2006	2.6
Gippsland - East	2006	2.3
Gippsland - South West	2006	2.3
Latrobe Valley	2006	2.4
Wellington	2006	2.4
Brunswick - Coburg	2006	2.4
Darebin - South	2006	2.3
Essendon	2006	2.4
Melbourne City	2006	1.9
Port Phillip	2006	1.9
Stonnington - West	2006	2
Yarra	2006	2.2
Boroondara	2006	2.6
Manningham - West	2006	2.8
Whitehorse - West	2006	2.5
Bayside	2006	2.6
Glen Eira	2006	2.4
Kingston	2006	2.4
Stonnington - East	2006	2.5
Banyule	2006	2.6
Darebin - North	2006	2.5
Nillumbik - Kinglake	2006	3.1
Whittlesea - Wallan	2006	3.1
Keilor	2006	2.7
Macedon Ranges	2006	2.9
Moreland - North	2006	2.5
Sunbury	2006	2.9
Tullamarine - Broadmeadows	2006	3.2
Knox	2006	2.8
Manningham - East	2006	3.1
Maroondah	2006	2.6
Whitehorse - East	2006	2.6
