SA3_NAME16	Year	AustCitizen	persons
Queanbeyan	2006	0	5195
Queanbeyan	2006	1	43873
Queanbeyan	2011	0	5633
Queanbeyan	2011	1	47878
Queanbeyan	2016	0	7472
Queanbeyan	2016	1	49859
Snowy Mountains	2006	0	2779
Snowy Mountains	2006	1	15710
Snowy Mountains	2011	0	2425
Snowy Mountains	2011	1	16506
Snowy Mountains	2016	0	2601
Snowy Mountains	2016	1	16765
South Coast	2006	0	5383
South Coast	2006	1	60685
South Coast	2011	0	6069
South Coast	2011	1	61811
South Coast	2016	0	7552
South Coast	2016	1	63086
Goulburn - Mulwaree	2006	0	3069
Goulburn - Mulwaree	2006	1	29010
Goulburn - Mulwaree	2011	0	2966
Goulburn - Mulwaree	2011	1	30133
Goulburn - Mulwaree	2016	0	4276
Goulburn - Mulwaree	2016	1	31283
Young - Yass	2006	0	2040
Young - Yass	2006	1	30194
Young - Yass	2011	0	2634
Young - Yass	2011	1	31763
Young - Yass	2016	0	3213
Young - Yass	2016	1	32729
Gosford	2006	0	19396
Gosford	2006	1	139542
Gosford	2011	0	17817
Gosford	2011	1	145293
Gosford	2016	0	19331
Gosford	2016	1	149722
Wyong	2006	0	14097
Wyong	2006	1	124926
Wyong	2011	0	14200
Wyong	2011	1	134876
Wyong	2016	0	16407
Wyong	2016	1	142276
Bathurst	2006	0	4038
Bathurst	2006	1	36838
Bathurst	2011	0	4406
Bathurst	2011	1	39149
Bathurst	2016	0	6114
Bathurst	2016	1	40480
Lachlan Valley	2006	0	3467
Lachlan Valley	2006	1	52100
Lachlan Valley	2011	0	4193
Lachlan Valley	2011	1	50603
Lachlan Valley	2016	0	6079
Lachlan Valley	2016	1	49257
Lithgow - Mudgee	2006	0	3931
Lithgow - Mudgee	2006	1	38602
Lithgow - Mudgee	2011	0	4299
Lithgow - Mudgee	2011	1	39619
Lithgow - Mudgee	2016	0	6411
Lithgow - Mudgee	2016	1	40201
Orange	2006	0	4026
Orange	2006	1	46673
Orange	2011	0	4871
Orange	2011	1	49598
Orange	2016	0	5829
Orange	2016	1	51785
Clarence Valley	2006	0	3491
Clarence Valley	2006	1	44179
Clarence Valley	2011	0	3754
Clarence Valley	2011	1	45484
Clarence Valley	2016	0	5038
Clarence Valley	2016	1	45223
Coffs Harbour	2006	0	6954
Coffs Harbour	2006	1	70851
Coffs Harbour	2011	0	7820
Coffs Harbour	2011	1	73545
Coffs Harbour	2016	0	10861
Coffs Harbour	2016	1	75160
Bourke - Cobar - Coonamble	2006	0	2464
Bourke - Cobar - Coonamble	2006	1	24170
Bourke - Cobar - Coonamble	2011	0	3000
Bourke - Cobar - Coonamble	2011	1	22292
Bourke - Cobar - Coonamble	2016	0	3727
Bourke - Cobar - Coonamble	2016	1	20425
Broken Hill and Far West	2006	0	2114
Broken Hill and Far West	2006	1	19916
Broken Hill and Far West	2011	0	1946
Broken Hill and Far West	2011	1	19256
Broken Hill and Far West	2016	0	2127
Broken Hill and Far West	2016	1	18090
Dubbo	2006	0	5583
Dubbo	2006	1	60235
Dubbo	2011	0	5635
Dubbo	2011	1	61465
Dubbo	2016	0	8632
Dubbo	2016	1	60782
Lower Hunter	2006	0	6418
Lower Hunter	2006	1	70046
Lower Hunter	2011	0	7092
Lower Hunter	2011	1	74895
Lower Hunter	2016	0	9344
Lower Hunter	2016	1	78331
Maitland	2006	0	4346
Maitland	2006	1	54015
Maitland	2011	0	4654
Maitland	2011	1	59551
Maitland	2016	0	6199
Maitland	2016	1	67963
Port Stephens	2006	0	5506
Port Stephens	2006	1	57206
Port Stephens	2011	0	6318
Port Stephens	2011	1	61183
Port Stephens	2016	0	7562
Port Stephens	2016	1	63819
Upper Hunter	2006	0	2625
Upper Hunter	2006	1	25583
Upper Hunter	2011	0	3171
Upper Hunter	2011	1	26377
Upper Hunter	2016	0	3865
Upper Hunter	2016	1	26331
Dapto - Port Kembla	2006	0	7971
Dapto - Port Kembla	2006	1	62695
Dapto - Port Kembla	2011	0	7368
Dapto - Port Kembla	2011	1	64550
Dapto - Port Kembla	2016	0	8128
Dapto - Port Kembla	2016	1	67226
Illawarra Catchment Reserve	2006	0	0
Illawarra Catchment Reserve	2006	1	0
Illawarra Catchment Reserve	2011	0	2
Illawarra Catchment Reserve	2011	1	9
Illawarra Catchment Reserve	2016	0	2
Illawarra Catchment Reserve	2016	1	6
Kiama - Shellharbour	2006	0	7842
Kiama - Shellharbour	2006	1	71481
Kiama - Shellharbour	2011	0	7276
Kiama - Shellharbour	2011	1	76254
Kiama - Shellharbour	2016	0	9123
Kiama - Shellharbour	2016	1	80714
Wollongong	2006	0	13876
Wollongong	2006	1	99670
Wollongong	2011	0	15846
Wollongong	2011	1	104678
Wollongong	2016	0	18931
Wollongong	2016	1	109370
Great Lakes	2006	0	2380
Great Lakes	2006	1	26348
Great Lakes	2011	0	2712
Great Lakes	2011	1	27137
Great Lakes	2016	0	3188
Great Lakes	2016	1	28084
Kempsey - Nambucca	2006	0	4288
Kempsey - Nambucca	2006	1	40992
Kempsey - Nambucca	2011	0	4098
Kempsey - Nambucca	2011	1	42732
Kempsey - Nambucca	2016	0	5626
Kempsey - Nambucca	2016	1	42501
Lord Howe Island	2006	0	26
Lord Howe Island	2006	1	319
Lord Howe Island	2011	0	31
Lord Howe Island	2011	1	328
Lord Howe Island	2016	0	64
Lord Howe Island	2016	1	318
Port Macquarie	2006	0	5831
Port Macquarie	2006	1	62603
Port Macquarie	2011	0	6114
