SA3_NAME16	Year	Age	persons
Queanbeyan	2006	0-4	3406
Queanbeyan	2006	5-14	7259
Queanbeyan	2006	15-19	3375
Queanbeyan	2006	20-24	2973
Queanbeyan	2006	25-34	6373
Queanbeyan	2006	35-44	8394
Queanbeyan	2006	45-54	7474
Queanbeyan	2006	55-64	5265
Queanbeyan	2006	65-74	2644
Queanbeyan	2006	75-84	1476
Queanbeyan	2006	85+	424
Queanbeyan	2011	0-4	3668
Queanbeyan	2011	5-14	7349
Queanbeyan	2011	15-19	3506
Queanbeyan	2011	20-24	3257
Queanbeyan	2011	25-34	6955
Queanbeyan	2011	35-44	8608
Queanbeyan	2011	45-54	8422
Queanbeyan	2011	55-64	6342
Queanbeyan	2011	65-74	3291
Queanbeyan	2011	75-84	1563
Queanbeyan	2011	85+	556
Queanbeyan	2016	0-4	3724
Queanbeyan	2016	5-14	7512
Queanbeyan	2016	15-19	3590
Queanbeyan	2016	20-24	3288
Queanbeyan	2016	25-34	7796
Queanbeyan	2016	35-44	8048
Queanbeyan	2016	45-54	9179
Queanbeyan	2016	55-64	7171
Queanbeyan	2016	65-74	4426
Queanbeyan	2016	75-84	1912
Queanbeyan	2016	85+	693
Snowy Mountains	2006	0-4	1064
Snowy Mountains	2006	5-14	2634
Snowy Mountains	2006	15-19	1174
Snowy Mountains	2006	20-24	897
Snowy Mountains	2006	25-34	2061
Snowy Mountains	2006	35-44	2749
Snowy Mountains	2006	45-54	2856
Snowy Mountains	2006	55-64	2364
Snowy Mountains	2006	65-74	1471
Snowy Mountains	2006	75-84	902
Snowy Mountains	2006	85+	318
Snowy Mountains	2011	0-4	1173
Snowy Mountains	2011	5-14	2468
Snowy Mountains	2011	15-19	1262
Snowy Mountains	2011	20-24	939
Snowy Mountains	2011	25-34	1893
Snowy Mountains	2011	35-44	2595
Snowy Mountains	2011	45-54	2984
Snowy Mountains	2011	55-64	2541
Snowy Mountains	2011	65-74	1714
Snowy Mountains	2011	75-84	963
Snowy Mountains	2011	85+	410
Snowy Mountains	2016	0-4	903
Snowy Mountains	2016	5-14	2368
Snowy Mountains	2016	15-19	1128
Snowy Mountains	2016	20-24	1042
Snowy Mountains	2016	25-34	2163
Snowy Mountains	2016	35-44	2328
Snowy Mountains	2016	45-54	2909
Snowy Mountains	2016	55-64	2771
Snowy Mountains	2016	65-74	2193
Snowy Mountains	2016	75-84	1117
Snowy Mountains	2016	85+	449
South Coast	2006	0-4	3333
South Coast	2006	5-14	8825
South Coast	2006	15-19	4189
South Coast	2006	20-24	2244
South Coast	2006	25-34	4982
South Coast	2006	35-44	8037
South Coast	2006	45-54	10440
South Coast	2006	55-64	10191
South Coast	2006	65-74	7530
South Coast	2006	75-84	4826
South Coast	2006	85+	1473
South Coast	2011	0-4	3511
South Coast	2011	5-14	7999
South Coast	2011	15-19	4121
South Coast	2011	20-24	2225
South Coast	2011	25-34	4766
South Coast	2011	35-44	7270
South Coast	2011	45-54	10035
South Coast	2011	55-64	11847
South Coast	2011	65-74	9055
South Coast	2011	75-84	5125
South Coast	2011	85+	1929
South Coast	2016	0-4	2955
South Coast	2016	5-14	7657
South Coast	2016	15-19	3603
South Coast	2016	20-24	2466
South Coast	2016	25-34	5101
South Coast	2016	35-44	6542
South Coast	2016	45-54	9338
South Coast	2016	55-64	12972
South Coast	2016	65-74	11696
South Coast	2016	75-84	5929
South Coast	2016	85+	2389
Goulburn - Mulwaree	2006	0-4	1843
Goulburn - Mulwaree	2006	5-14	4498
Goulburn - Mulwaree	2006	15-19	2157
Goulburn - Mulwaree	2006	20-24	1716
Goulburn - Mulwaree	2006	25-34	3542
Goulburn - Mulwaree	2006	35-44	4496
