SA3_NAME16	Year	Sex	overseas_visitors
Queanbeyan	2006	F	86
Queanbeyan	2006	M	86
Queanbeyan	2011	F	119
Queanbeyan	2011	M	95
Queanbeyan	2016	F	149
Queanbeyan	2016	M	129
Snowy Mountains	2006	F	270
Snowy Mountains	2006	M	269
Snowy Mountains	2011	F	229
Snowy Mountains	2011	M	275
Snowy Mountains	2016	F	341
Snowy Mountains	2016	M	418
South Coast	2006	F	100
South Coast	2006	M	102
South Coast	2011	F	133
South Coast	2011	M	113
South Coast	2016	F	138
South Coast	2016	M	125
Goulburn - Mulwaree	2006	F	47
Goulburn - Mulwaree	2006	M	68
Goulburn - Mulwaree	2011	F	57
Goulburn - Mulwaree	2011	M	50
Goulburn - Mulwaree	2016	F	78
Goulburn - Mulwaree	2016	M	65
Young - Yass	2006	F	38
Young - Yass	2006	M	29
Young - Yass	2011	F	33
Young - Yass	2011	M	32
Young - Yass	2016	F	53
Young - Yass	2016	M	41
Gosford	2006	F	420
Gosford	2006	M	265
Gosford	2011	F	316
Gosford	2011	M	235
Gosford	2016	F	455
Gosford	2016	M	342
Wyong	2006	F	153
Wyong	2006	M	112
Wyong	2011	F	152
Wyong	2011	M	117
Wyong	2016	F	222
Wyong	2016	M	159
Bathurst	2006	F	98
Bathurst	2006	M	66
Bathurst	2011	F	118
Bathurst	2011	M	81
Bathurst	2016	F	59
Bathurst	2016	M	52
Lachlan Valley	2006	F	51
Lachlan Valley	2006	M	70
Lachlan Valley	2011	F	80
Lachlan Valley	2011	M	101
Lachlan Valley	2016	F	84
Lachlan Valley	2016	M	64
Lithgow - Mudgee	2006	F	60
Lithgow - Mudgee	2006	M	41
Lithgow - Mudgee	2011	F	68
Lithgow - Mudgee	2011	M	41
Lithgow - Mudgee	2016	F	68
Lithgow - Mudgee	2016	M	50
Orange	2006	F	30
Orange	2006	M	42
Orange	2011	F	73
Orange	2011	M	77
Orange	2016	F	89
Orange	2016	M	70
Clarence Valley	2006	F	76
Clarence Valley	2006	M	68
Clarence Valley	2011	F	63
Clarence Valley	2011	M	59
Clarence Valley	2016	F	99
Clarence Valley	2016	M	89
Coffs Harbour	2006	F	265
Coffs Harbour	2006	M	211
Coffs Harbour	2011	F	317
Coffs Harbour	2011	M	252
Coffs Harbour	2016	F	406
Coffs Harbour	2016	M	322
Bourke - Cobar - Coonamble	2006	F	45
Bourke - Cobar - Coonamble	2006	M	49
Bourke - Cobar - Coonamble	2011	F	53
Bourke - Cobar - Coonamble	2011	M	74
Bourke - Cobar - Coonamble	2016	F	36
Bourke - Cobar - Coonamble	2016	M	25
Broken Hill and Far West	2006	F	43
Broken Hill and Far West	2006	M	36
Broken Hill and Far West	2011	F	41
Broken Hill and Far West	2011	M	59
Broken Hill and Far West	2016	F	44
Broken Hill and Far West	2016	M	49
Dubbo	2006	F	67
Dubbo	2006	M	59
Dubbo	2011	F	82
Dubbo	2011	M	77
Dubbo	2016	F	163
Dubbo	2016	M	105
Lower Hunter	2006	F	108
Lower Hunter	2006	M	104
Lower Hunter	2011	F	135
Lower Hunter	2011	M	121
Lower Hunter	2016	F	144
Lower Hunter	2016	M	119
Maitland	2006	F	55
Maitland	2006	M	43
Maitland	2011	F	46
Maitland	2011	M	47
Maitland	2016	F	108
Maitland	2016	M	78
Port Stephens	2006	F	129
Port Stephens	2006	M	119
Port Stephens	2011	F	130
Port Stephens	2011	M	85
Port Stephens	2016	F	154
Port Stephens	2016	M	105
Upper Hunter	2006	F	41
Upper Hunter	2006	M	52
Upper Hunter	2011	F	59
Upper Hunter	2011	M	55
Upper Hunter	2016	F	105
Upper Hunter	2016	M	63
Dapto - Port Kembla	2006	F	82
Dapto - Port Kembla	2006	M	82
Dapto - Port Kembla	2011	F	108
Dapto - Port Kembla	2011	M	80
Dapto - Port Kembla	2016	F	133
Dapto - Port Kembla	2016	M	102
Illawarra Catchment Reserve	2006	F	0
Illawarra Catchment Reserve	2006	M	0
Illawarra Catchment Reserve	2011	F	0
Illawarra Catchment Reserve	2011	M	0
Illawarra Catchment Reserve	2016	F	0
Illawarra Catchment Reserve	2016	M	0
Kiama - Shellharbour	2006	F	88
Kiama - Shellharbour	2006	M	70
Kiama - Shellharbour	2011	F	93
Kiama - Shellharbour	2011	M	67
Kiama - Shellharbour	2016	F	165
Kiama - Shellharbour	2016	M	103
Wollongong	2006	F	553
Wollongong	2006	M	469
Wollongong	2011	F	565
Wollongong	2011	M	599
Wollongong	2016	F	786
Wollongong	2016	M	672
Great Lakes	2006	F	43
Great Lakes	2006	M	36
Great Lakes	2011	F	48
Great Lakes	2011	M	36
Great Lakes	2016	F	49
Great Lakes	2016	M	40
Kempsey - Nambucca	2006	F	90
Kempsey - Nambucca	2006	M	66
Kempsey - Nambucca	2011	F	68
Kempsey - Nambucca	2011	M	48
Kempsey - Nambucca	2016	F	93
Kempsey - Nambucca	2016	M	82
Lord Howe Island	2006	F	11
Lord Howe Island	2006	M	6
Lord Howe Island	2011	F	6
Lord Howe Island	2011	M	8
Lord Howe Island	2016	F	8
Lord Howe Island	2016	M	4
Port Macquarie	2006	F	172
Port Macquarie	2006	M	143
Port Macquarie	2011	F	129
Port Macquarie	2011	M	115
Port Macquarie	2016	F	195
Port Macquarie	2016	M	143
Taree - Gloucester	2006	F	65
Taree - Gloucester	2006	M	31
Taree - Gloucester	2011	F	55
Taree - Gloucester	2011	M	50
Taree - Gloucester	2016	F	101
Taree - Gloucester	2016	M	85
Albury	2006	F	105
Albury	2006	M	89
Albury	2011	F	77
Albury	2011	M	73
Albury	2016	F	117
Albury	2016	M	135
Lower Murray	2006	F	18
Lower Murray	2006	M	30
Lower Murray	2011	F	30
Lower Murray	2011	M	52
Lower Murray	2016	F	76
Lower Murray	2016	M	61
Upper Murray exc. Albury	2006	F	54
Upper Murray exc. Albury	2006	M	46
Upper Murray exc. Albury	2011	F	53
Upper Murray exc. Albury	2011	M	47
Upper Murray exc. Albury	2016	F	77
Upper Murray exc. Albury	2016	M	80
Armidale	2006	F	117
Armidale	2006	M	101
Armidale	2011	F	193
Armidale	2011	M	176
Armidale	2016	F	163
Armidale	2016	M	186
Inverell - Tenterfield	2006	F	55
Inverell - Tenterfield	2006	M	31
Inverell - Tenterfield	2011	F	48
Inverell - Tenterfield	2011	M	43
Inverell - Tenterfield	2016	F	120
Inverell - Tenterfield	2016	M	71
Moree - Narrabri	2006	F	27
Moree - Narrabri	2006	M	23
Moree - Narrabri	2011	F	33
Moree - Narrabri	2011	M	73
Moree - Narrabri	2016	F	77
Moree - Narrabri	2016	M	38
Tamworth - Gunnedah	2006	F	99
Tamworth - Gunnedah	2006	M	93
Tamworth - Gunnedah	2011	F	71
Tamworth - Gunnedah	2011	M	96
Tamworth - Gunnedah	2016	F	133
Tamworth - Gunnedah	2016	M	178
Lake Macquarie - East	2006	F	148
Lake Macquarie - East	2006	M	103
Lake Macquarie - East	2011	F	166
Lake Macquarie - East	2011	M	126
Lake Macquarie - East	2016	F	200
Lake Macquarie - East	2016	M	131
Lake Macquarie - West	2006	F	120
Lake Macquarie - West	2006	M	99
Lake Macquarie - West	2011	F	73
Lake Macquarie - West	2011	M	76
Lake Macquarie - West	2016	F	114
Lake Macquarie - West	2016	M	82
Newcastle	2006	F	501
Newcastle	2006	M	473
Newcastle	2011	F	535
Newcastle	2011	M	549
Newcastle	2016	F	744
Newcastle	2016	M	541
Richmond Valley - Coastal	2006	F	626
Richmond Valley - Coastal	2006	M	514
Richmond Valley - Coastal	2011	F	640
Richmond Valley - Coastal	2011	M	557
Richmond Valley - Coastal	2016	F	561
Richmond Valley - Coastal	2016	M	438
Richmond Valley - Hinterland	2006	F	173
Richmond Valley - Hinterland	2006	M	146
Richmond Valley - Hinterland	2011	F	158
Richmond Valley - Hinterland	2011	M	118
Richmond Valley - Hinterland	2016	F	181
Richmond Valley - Hinterland	2016	M	132
Tweed Valley	2006	F	310
Tweed Valley	2006	M	260
Tweed Valley	2011	F	341
Tweed Valley	2011	M	265
Tweed Valley	2016	F	335
Tweed Valley	2016	M	272
Griffith - Murrumbidgee (West)	2006	F	127
Griffith - Murrumbidgee (West)	2006	M	138
Griffith - Murrumbidgee (West)	2011	F	113
Griffith - Murrumbidgee (West)	2011	M	182
Griffith - Murrumbidgee (West)	2016	F	273
Griffith - Murrumbidgee (West)	2016	M	274
Tumut - Tumbarumba	2006	F	10
Tumut - Tumbarumba	2006	M	15
Tumut - Tumbarumba	2011	F	24
Tumut - Tumbarumba	2011	M	35
Tumut - Tumbarumba	2016	F	22
Tumut - Tumbarumba	2016	M	25
Wagga Wagga	2006	F	111
Wagga Wagga	2006	M	95
Wagga Wagga	2011	F	109
Wagga Wagga	2011	M	107
Wagga Wagga	2016	F	187
Wagga Wagga	2016	M	131
Shoalhaven	2006	F	128
Shoalhaven	2006	M	108
Shoalhaven	2011	F	150
Shoalhaven	2011	M	109
Shoalhaven	2016	F	208
Shoalhaven	2016	M	158
Southern Highlands	2006	F	115
Southern Highlands	2006	M	86
Southern Highlands	2011	F	126
Southern Highlands	2011	M	135
Southern Highlands	2016	F	119
Southern Highlands	2016	M	89
Baulkham Hills	2006	F	546
Baulkham Hills	2006	M	359
Baulkham Hills	2011	F	659
Baulkham Hills	2011	M	452
Baulkham Hills	2016	F	1214
Baulkham Hills	2016	M	889
Dural - Wisemans Ferry	2006	F	80
Dural - Wisemans Ferry	2006	M	96
Dural - Wisemans Ferry	2011	F	68
Dural - Wisemans Ferry	2011	M	58
Dural - Wisemans Ferry	2016	F	92
Dural - Wisemans Ferry	2016	M	74
Hawkesbury	2006	F	42
Hawkesbury	2006	M	40
Hawkesbury	2011	F	40
Hawkesbury	2011	M	37
Hawkesbury	2016	F	46
Hawkesbury	2016	M	26
Rouse Hill - McGraths Hill	2006	F	60
