SA3_NAME16	Year	medianRentWeekly
Queanbeyan	2006	180
Snowy Mountains	2006	140
South Coast	2006	165
Goulburn - Mulwaree	2006	140
Young - Yass	2006	130
Gosford	2006	215
Wyong	2006	200
Bathurst	2006	170
Lachlan Valley	2006	114
Lithgow - Mudgee	2006	140
Orange	2006	160
Clarence Valley	2006	150
Coffs Harbour	2006	180
Bourke - Cobar - Coonamble	2006	90
Broken Hill and Far West	2006	100
Dubbo	2006	130
Lower Hunter	2006	165
Maitland	2006	180
Port Stephens	2006	185
Upper Hunter	2006	140
Dapto - Port Kembla	2006	150
Illawarra Catchment Reserve	2006	0
Kiama - Shellharbour	2006	200
Wollongong	2006	190
Great Lakes	2006	175
Kempsey - Nambucca	2006	150
Lord Howe Island	2006	168
Port Macquarie	2006	190
Taree - Gloucester	2006	150
Albury	2006	150
Lower Murray	2006	100
Upper Murray exc. Albury	2006	120
Armidale	2006	140
Inverell - Tenterfield	2006	110
Moree - Narrabri	2006	110
Tamworth - Gunnedah	2006	140
Lake Macquarie - East	2006	190
Lake Macquarie - West	2006	180
Newcastle	2006	194
Richmond Valley - Coastal	2006	220
Richmond Valley - Hinterland	2006	150
Tweed Valley	2006	210
Griffith - Murrumbidgee (West)	2006	135
Tumut - Tumbarumba	2006	120
Wagga Wagga	2006	140
Shoalhaven	2006	166
Southern Highlands	2006	195
Baulkham Hills	2006	330
Dural - Wisemans Ferry	2006	270
Hawkesbury	2006	200
Rouse Hill - McGraths Hill	2006	320
Blacktown	2006	210
Blacktown - North	2006	260
Mount Druitt	2006	180
Botany	2006	225
Marrickville - Sydenham - Petersham	2006	250
Sydney Inner City	2006	330
Eastern Suburbs - North	2006	360
Eastern Suburbs - South	2006	310
Bankstown	2006	220
Canterbury	2006	190
Hurstville	2006	240
Kogarah - Rockdale	2006	255
Canada Bay	2006	340
Leichhardt	2006	350
Strathfield - Burwood - Ashfield	2006	255
Chatswood - Lane Cove	2006	342
Hornsby	2006	290
Ku-ring-gai	2006	420
North Sydney - Mosman	2006	350
Manly	2006	375
Pittwater	2006	370
Warringah	2006	320
Camden	2006	250
Campbelltown (NSW)	2006	185
Wollondilly	2006	200
Blue Mountains	2006	200
Blue Mountains - South	2006	0
Penrith	2006	215
Richmond - Windsor	2006	200
St Marys	2006	210
Auburn	2006	230
Carlingford	2006	250
Merrylands - Guildford	2006	210
Parramatta	2006	230
Pennant Hills - Epping	2006	305
Ryde - Hunters Hill	2006	260
Bringelly - Green Valley	2006	205
Fairfield	2006	185
Liverpool	2006	190
Cronulla - Miranda - Caringbah	2006	260
Sutherland - Menai - Heathcote	2006	260
Migratory - Offshore - Shipping (NSW)	2006	0
No usual address (NSW)	2006	0
Ballarat	2006	160
Creswick - Daylesford - Ballan	2006	138
Maryborough - Pyrenees	2006	110
Bendigo	2006	160
Heathcote - Castlemaine - Kyneton	2006	150
Loddon - Elmore	2006	90
Barwon - West	2006	130
Geelong	2006	160
Surf Coast - Bellarine Peninsula	2006	180
Upper Goulburn Valley	2006	140
Wangaratta - Benalla	2006	140
Wodonga - Alpine	2006	160
Baw Baw	2006	140
Gippsland - East	2006	135
Gippsland - South West	2006	140
Latrobe Valley	2006	120
Wellington	2006	125
Brunswick - Coburg	2006	206
Darebin - South	2006	200
Essendon	2006	180
Melbourne City	2006	295
Port Phillip	2006	250
Stonnington - West	2006	250
Yarra	2006	251
Boroondara	2006	250
Manningham - West	2006	250
Whitehorse - West	2006	221
Bayside	2006	265
Glen Eira	2006	220
Kingston	2006	195
Stonnington - East	2006	231
Banyule	2006	201
Darebin - North	2006	180
Nillumbik - Kinglake	2006	220
Whittlesea - Wallan	2006	200
Keilor	2006	210
Macedon Ranges	2006	194
Moreland - North	2006	185
Sunbury	2006	190
