SA3_NAME16	Year	SpeaksEnglishOnly	persons
Queanbeyan	2006	0	5039
Queanbeyan	2006	1	41157
Queanbeyan	2011	0	6036
Queanbeyan	2011	1	44877
Queanbeyan	2016	0	6855
Queanbeyan	2016	1	46344
Snowy Mountains	2006	0	871
Snowy Mountains	2006	1	15659
Snowy Mountains	2011	0	981
Snowy Mountains	2011	1	16481
Snowy Mountains	2016	0	1028
Snowy Mountains	2016	1	16558
South Coast	2006	0	2110
South Coast	2006	1	61470
South Coast	2011	0	2227
South Coast	2011	1	62484
South Coast	2016	0	2406
South Coast	2016	1	62958
Goulburn - Mulwaree	2006	0	814
Goulburn - Mulwaree	2006	1	29318
Goulburn - Mulwaree	2011	0	1015
Goulburn - Mulwaree	2011	1	30198
Goulburn - Mulwaree	2016	0	1472
Goulburn - Mulwaree	2016	1	31104
Young - Yass	2006	0	884
Young - Yass	2006	1	30384
Young - Yass	2011	0	1034
Young - Yass	2011	1	31789
Young - Yass	2016	0	1227
Young - Yass	2016	1	32385
Gosford	2006	0	6709
Gosford	2006	1	142254
Gosford	2011	0	8659
Gosford	2011	1	146682
Gosford	2016	0	11679
Gosford	2016	1	148067
Wyong	2006	0	4882
Wyong	2006	1	127843
Wyong	2011	0	5935
Wyong	2011	1	136940
Wyong	2016	0	7539
Wyong	2016	1	141705
Bathurst	2006	0	1177
Bathurst	2006	1	37435
Bathurst	2011	0	1408
Bathurst	2011	1	39489
Bathurst	2016	0	1879
Bathurst	2016	1	40365
Lachlan Valley	2006	0	809
Lachlan Valley	2006	1	53022
Lachlan Valley	2011	0	987
Lachlan Valley	2011	1	51247
Lachlan Valley	2016	0	1327
Lachlan Valley	2016	1	48927
Lithgow - Mudgee	2006	0	1046
Lithgow - Mudgee	2006	1	39248
Lithgow - Mudgee	2011	0	1203
Lithgow - Mudgee	2011	1	40161
Lithgow - Mudgee	2016	0	1399
Lithgow - Mudgee	2016	1	40126
Orange	2006	0	1433
Orange	2006	1	47174
Orange	2011	0	2140
Orange	2011	1	49796
Orange	2016	0	2718
Orange	2016	1	51185
Clarence Valley	2006	0	724
Clarence Valley	2006	1	45038
Clarence Valley	2011	0	915
Clarence Valley	2011	1	46253
Clarence Valley	2016	0	1073
Clarence Valley	2016	1	45386
Coffs Harbour	2006	0	3071
Coffs Harbour	2006	1	71614
Coffs Harbour	2011	0	4301
Coffs Harbour	2011	1	73950
Coffs Harbour	2016	0	5871
Coffs Harbour	2016	1	74070
Bourke - Cobar - Coonamble	2006	0	620
Bourke - Cobar - Coonamble	2006	1	24528
Bourke - Cobar - Coonamble	2011	0	727
Bourke - Cobar - Coonamble	2011	1	22660
Bourke - Cobar - Coonamble	2016	0	801
Bourke - Cobar - Coonamble	2016	1	20211
Broken Hill and Far West	2006	0	414
Broken Hill and Far West	2006	1	20171
Broken Hill and Far West	2011	0	479
Broken Hill and Far West	2011	1	19388
Broken Hill and Far West	2016	0	503
Broken Hill and Far West	2016	1	17775
Dubbo	2006	0	1264
Dubbo	2006	1	61083
Dubbo	2011	0	1649
Dubbo	2011	1	62006
Dubbo	2016	0	2699
Dubbo	2016	1	60473
Lower Hunter	2006	0	1244
Lower Hunter	2006	1	71775
Lower Hunter	2011	0	1582
Lower Hunter	2011	1	76533
Lower Hunter	2016	0	1863
Lower Hunter	2016	1	78870
Maitland	2006	0	1450
Maitland	2006	1	54642
Maitland	2011	0	2003
Maitland	2011	1	59955
Maitland	2016	0	2947
Maitland	2016	1	67559
Port Stephens	2006	0	1724
Port Stephens	2006	1	58275
Port Stephens	2011	0	2013
Port Stephens	2011	1	62254
Port Stephens	2016	0	2462
Port Stephens	2016	1	63841
Upper Hunter	2006	0	476
Upper Hunter	2006	1	26233
Upper Hunter	2011	0	701
Upper Hunter	2011	1	27082
Upper Hunter	2016	0	985
Upper Hunter	2016	1	26623
Dapto - Port Kembla	2006	0	12855
Dapto - Port Kembla	2006	1	54536
Dapto - Port Kembla	2011	0	12889
Dapto - Port Kembla	2011	1	56325
Dapto - Port Kembla	2016	0	12772
Dapto - Port Kembla	2016	1	59098
Illawarra Catchment Reserve	2006	0	0
Illawarra Catchment Reserve	2006	1	0
Illawarra Catchment Reserve	2011	0	3
Illawarra Catchment Reserve	2011	1	5
Illawarra Catchment Reserve	2016	0	0
Illawarra Catchment Reserve	2016	1	7
Kiama - Shellharbour	2006	0	7122
Kiama - Shellharbour	2006	1	69086
Kiama - Shellharbour	2011	0	7625
Kiama - Shellharbour	2011	1	73424
Kiama - Shellharbour	2016	0	8032
Kiama - Shellharbour	2016	1	77094
Wollongong	2006	0	16820
Wollongong	2006	1	91457
Wollongong	2011	0	19209
Wollongong	2011	1	96392
Wollongong	2016	0	21521
Wollongong	2016	1	100216
Great Lakes	2006	0	508
Great Lakes	2006	1	27022
Great Lakes	2011	0	670
Great Lakes	2011	1	27671
Great Lakes	2016	0	814
Great Lakes	2016	1	28174
Kempsey - Nambucca	2006	0	751
Kempsey - Nambucca	2006	1	42060
Kempsey - Nambucca	2011	0	969
Kempsey - Nambucca	2011	1	43388
Kempsey - Nambucca	2016	0	1108
Kempsey - Nambucca	2016	1	42564
Lord Howe Island	2006	0	11
Lord Howe Island	2006	1	328
Lord Howe Island	2011	0	11
Lord Howe Island	2011	1	342
Lord Howe Island	2016	0	22
Lord Howe Island	2016	1	321
Port Macquarie	2006	0	1339
Port Macquarie	2006	1	64353
Port Macquarie	2011	0	1698
Port Macquarie	2011	1	68155
Port Macquarie	2016	0	2401
Port Macquarie	2016	1	71283
Taree - Gloucester	2006	0	913
Taree - Gloucester	2006	1	47213
Taree - Gloucester	2011	0	1095
Taree - Gloucester	2011	1	48055
Taree - Gloucester	2016	0	1347
Taree - Gloucester	2016	1	48799
Albury	2006	0	1789
Albury	2006	1	51810
Albury	2011	0	2707
Albury	2011	1	52250
Albury	2016	0	3649
Albury	2016	1	53468
Lower Murray	2006	0	512
Lower Murray	2006	1	11949
Lower Murray	2011	0	504
Lower Murray	2011	1	11285
Lower Murray	2016	0	505
Lower Murray	2016	1	10640
Upper Murray exc. Albury	2006	0	739
Upper Murray exc. Albury	2006	1	38332
Upper Murray exc. Albury	2011	0	810
Upper Murray exc. Albury	2011	1	37864
Upper Murray exc. Albury	2016	0	1096
Upper Murray exc. Albury	2016	1	37224
Armidale	2006	0	1178
Armidale	2006	1	32242
Armidale	2011	0	1751
Armidale	2011	1	32438
Armidale	2016	0	2461
Armidale	2016	1	31854
Inverell - Tenterfield	2006	0	529
Inverell - Tenterfield	2006	1	35435
Inverell - Tenterfield	2011	0	711
Inverell - Tenterfield	2011	1	35530
Inverell - Tenterfield	2016	0	924
Inverell - Tenterfield	2016	1	33739
Moree - Narrabri	2006	0	448
Moree - Narrabri	2006	1	24252
Moree - Narrabri	2011	0	536
Moree - Narrabri	2011	1	23457
Moree - Narrabri	2016	0	684
Moree - Narrabri	2016	1	21959
Tamworth - Gunnedah	2006	0	1086
Tamworth - Gunnedah	2006	1	69769
Tamworth - Gunnedah	2011	0	1394
Tamworth - Gunnedah	2011	1	71820
Tamworth - Gunnedah	2016	0	2618
Tamworth - Gunnedah	2016	1	71661
Lake Macquarie - East	2006	0	4011
Lake Macquarie - East	2006	1	106623
Lake Macquarie - East	2011	0	4661
Lake Macquarie - East	2011	1	108386
Lake Macquarie - East	2016	0	5436
Lake Macquarie - East	2016	1	109574
Lake Macquarie - West	2006	0	1820
Lake Macquarie - West	2006	1	62657
Lake Macquarie - West	2011	0	2299
Lake Macquarie - West	2011	1	65418
Lake Macquarie - West	2016	0	3087
Lake Macquarie - West	2016	1	68670
Newcastle	2006	0	10461
Newcastle	2006	1	130403
Newcastle	2011	0	12681
Newcastle	2011	1	136108
Newcastle	2016	0	15819
Newcastle	2016	1	139380
Richmond Valley - Coastal	2006	0	2495
Richmond Valley - Coastal	2006	1	65676
Richmond Valley - Coastal	2011	0	3200
Richmond Valley - Coastal	2011	1	66819
Richmond Valley - Coastal	2016	0	3788
Richmond Valley - Coastal	2016	1	67195
Richmond Valley - Hinterland	2006	0	2027
Richmond Valley - Hinterland	2006	1	63437
Richmond Valley - Hinterland	2011	0	2389
Richmond Valley - Hinterland	2011	1	64114
Richmond Valley - Hinterland	2016	0	2548
Richmond Valley - Hinterland	2016	1	61835
Tweed Valley	2006	0	2479
Tweed Valley	2006	1	72680
Tweed Valley	2011	0	3125
Tweed Valley	2011	1	77991
Tweed Valley	2016	0	3845
Tweed Valley	2016	1	81054
Griffith - Murrumbidgee (West)	2006	0	5571
Griffith - Murrumbidgee (West)	2006	1	38909
Griffith - Murrumbidgee (West)	2011	0	5964
Griffith - Murrumbidgee (West)	2011	1	37985
Griffith - Murrumbidgee (West)	2016	0	6555
Griffith - Murrumbidgee (West)	2016	1	37089
Tumut - Tumbarumba	2006	0	342
Tumut - Tumbarumba	2006	1	13391
Tumut - Tumbarumba	2011	0	453
Tumut - Tumbarumba	2011	1	13230
Tumut - Tumbarumba	2016	0	504
Tumut - Tumbarumba	2016	1	12512
Wagga Wagga	2006	0	2059
Wagga Wagga	2006	1	81463
Wagga Wagga	2011	0	3166
Wagga Wagga	2011	1	82238
Wagga Wagga	2016	0	4767
Wagga Wagga	2016	1	81898
Shoalhaven	2006	0	2958
Shoalhaven	2006	1	81390
Shoalhaven	2011	0	3164
Shoalhaven	2011	1	84330
Shoalhaven	2016	0	4009
Shoalhaven	2016	1	88002
Southern Highlands	2006	0	1804
Southern Highlands	2006	1	38454
Southern Highlands	2011	0	1991
Southern Highlands	2011	1	40545
Southern Highlands	2016	0	2705
Southern Highlands	2016	1	42253
Baulkham Hills	2006	0	31821
Baulkham Hills	2006	1	90602
Baulkham Hills	2011	0	39564
Baulkham Hills	2011	1	91200
Baulkham Hills	2016	0	51261
Baulkham Hills	2016	1	88286
Dural - Wisemans Ferry	2006	0	3170
Dural - Wisemans Ferry	2006	1	20483
Dural - Wisemans Ferry	2011	0	3590
Dural - Wisemans Ferry	2011	1	21082
Dural - Wisemans Ferry	2016	0	3940
Dural - Wisemans Ferry	2016	1	21112
Hawkesbury	2006	0	898
Hawkesbury	2006	1	21318
Hawkesbury	2011	0	964
Hawkesbury	2011	1	21753
Hawkesbury	2016	0	1100
Hawkesbury	2016	1	21819
Rouse Hill - McGraths Hill	2006	0	4258
Rouse Hill - McGraths Hill	2006	1	20366
Rouse Hill - McGraths Hill	2011	0	4826
Rouse Hill - McGraths Hill	2011	1	21403
Rouse Hill - McGraths Hill	2016	0	7090
Rouse Hill - McGraths Hill	2016	1	24914
Blacktown	2006	0	39208
Blacktown	2006	1	72541
Blacktown	2011	0	48631
Blacktown	2011	1	71582
Blacktown	2016	0	58833
Blacktown	2016	1	69489
Blacktown - North	2006	0	16486
Blacktown - North	2006	1	40105
Blacktown - North	2011	0	24897
Blacktown - North	2011	1	47111
Blacktown - North	2016	0	35809
Blacktown - North	2016	1	52628
Mount Druitt	2006	0	33099
Mount Druitt	2006	1	57521
Mount Druitt	2011	0	38840
Mount Druitt	2011	1	59504
Mount Druitt	2016	0	45298
Mount Druitt	2016	1	59717
Botany	2006	0	15696
Botany	2006	1	18041
Botany	2011	0	17356
Botany	2011	1	19771
Botany	2016	0	20796
Botany	2016	1	22953
Marrickville - Sydenham - Petersham	2006	0	16908
Marrickville - Sydenham - Petersham	2006	1	26928
Marrickville - Sydenham - Petersham	2011	0	16822
Marrickville - Sydenham - Petersham	2011	1	30469
Marrickville - Sydenham - Petersham	2016	0	16432
Marrickville - Sydenham - Petersham	2016	1	34057
Sydney Inner City	2006	0	38472
Sydney Inner City	2006	1	84328
Sydney Inner City	2011	0	51550
Sydney Inner City	2011	1	100861
Sydney Inner City	2016	0	76469
Sydney Inner City	2016	1	111737
Eastern Suburbs - North	2006	0	17557
Eastern Suburbs - North	2006	1	81488
Eastern Suburbs - North	2011	0	19636
Eastern Suburbs - North	2011	1	88233
Eastern Suburbs - North	2016	0	23246
Eastern Suburbs - North	2016	1	90739
Eastern Suburbs - South	2006	0	33425
Eastern Suburbs - South	2006	1	75311
Eastern Suburbs - South	2011	0	38762
Eastern Suburbs - South	2011	1	79915
Eastern Suburbs - South	2016	0	45110
Eastern Suburbs - South	2016	1	83943
Bankstown	2006	0	72438
Bankstown	2006	1	66405
Bankstown	2011	0	84931
Bankstown	2011	1	65345
Bankstown	2016	0	95989
Bankstown	2016	1	65956
Canterbury	2006	0	77086
Canterbury	2006	1	31766
Canterbury	2011	0	84129
Canterbury	2011	1	33304
Canterbury	2016	0	90233
Canterbury	2016	1	36892
Hurstville	2006	0	46876
Hurstville	2006	1	58061
Hurstville	2011	0	56235
Hurstville	2011	1	55673
Hurstville	2016	0	67664
Hurstville	2016	1	54270
Kogarah - Rockdale	2006	0	58819
Kogarah - Rockdale	2006	1	48150
Kogarah - Rockdale	2011	0	67007
Kogarah - Rockdale	2011	1	48579
Kogarah - Rockdale	2016	0	78099
Kogarah - Rockdale	2016	1	51630
Canada Bay	2006	0	19696
Canada Bay	2006	1	40356
Canada Bay	2011	0	25920
Canada Bay	2011	1	43988
Canada Bay	2016	0	33857
Canada Bay	2016	1	46697
Leichhardt	2006	0	6752
Leichhardt	2006	1	38116
Leichhardt	2011	0	7891
Leichhardt	2011	1	41458
Leichhardt	2016	0	8590
Leichhardt	2016	1	43208
Strathfield - Burwood - Ashfield	2006	0	63693
Strathfield - Burwood - Ashfield	2006	1	56597
Strathfield - Burwood - Ashfield	2011	0	69713
Strathfield - Burwood - Ashfield	2011	1	59008
Strathfield - Burwood - Ashfield	2016	0	80861
Strathfield - Burwood - Ashfield	2016	1	62055
Chatswood - Lane Cove	2006	0	25793
Chatswood - Lane Cove	2006	1	63009
Chatswood - Lane Cove	2011	0	31025
Chatswood - Lane Cove	2011	1	64904
Chatswood - Lane Cove	2016	0	40235
Chatswood - Lane Cove	2016	1	66640
Hornsby	2006	0	14841
Hornsby	2006	1	55484
Hornsby	2011	0	19438
Hornsby	2011	1	54771
Hornsby	2016	0	25065
Hornsby	2016	1	52809
Ku-ring-gai	2006	0	17464
