SA3_NAME16	Year	BornAust	Sex	persons
Queanbeyan	2006	0	F	3977
Queanbeyan	2006	0	M	4006
Queanbeyan	2006	1	F	18857
Queanbeyan	2006	1	M	18777
Queanbeyan	2011	0	F	4634
Queanbeyan	2011	0	M	4603
Queanbeyan	2011	1	F	20663
Queanbeyan	2011	1	M	20651
Queanbeyan	2016	0	F	4936
Queanbeyan	2016	0	M	4906
Queanbeyan	2016	1	F	21388
Queanbeyan	2016	1	M	21631
Snowy Mountains	2006	0	F	1134
Snowy Mountains	2006	0	M	1110
Snowy Mountains	2006	1	F	6911
Snowy Mountains	2006	1	M	7234
Snowy Mountains	2011	0	F	1213
Snowy Mountains	2011	0	M	1155
Snowy Mountains	2011	1	F	7295
Snowy Mountains	2011	1	M	7759
Snowy Mountains	2016	0	F	1240
Snowy Mountains	2016	0	M	1246
Snowy Mountains	2016	1	F	7196
Snowy Mountains	2016	1	M	7776
South Coast	2006	0	F	4203
South Coast	2006	0	M	4009
South Coast	2006	1	F	27620
South Coast	2006	1	M	26625
South Coast	2011	0	F	4483
South Coast	2011	0	M	4175
South Coast	2011	1	F	28093
South Coast	2011	1	M	27192
South Coast	2016	0	F	4574
South Coast	2016	0	M	4277
South Coast	2016	1	F	28230
South Coast	2016	1	M	27216
Goulburn - Mulwaree	2006	0	F	1118
Goulburn - Mulwaree	2006	0	M	1284
Goulburn - Mulwaree	2006	1	F	13767
Goulburn - Mulwaree	2006	1	M	13940
Goulburn - Mulwaree	2011	0	F	1297
Goulburn - Mulwaree	2011	0	M	1423
Goulburn - Mulwaree	2011	1	F	14352
Goulburn - Mulwaree	2011	1	M	14424
Goulburn - Mulwaree	2016	0	F	1587
Goulburn - Mulwaree	2016	0	M	1695
Goulburn - Mulwaree	2016	1	F	14549
Goulburn - Mulwaree	2016	1	M	14897
Young - Yass	2006	0	F	1279
Young - Yass	2006	0	M	1193
Young - Yass	2006	1	F	14280
Young - Yass	2006	1	M	13921
Young - Yass	2011	0	F	1440
Young - Yass	2011	0	M	1293
Young - Yass	2011	1	F	15046
Young - Yass	2011	1	M	14736
Young - Yass	2016	0	F	1565
Young - Yass	2016	0	M	1363
Young - Yass	2016	1	F	15289
Young - Yass	2016	1	M	14941
Gosford	2006	0	F	11749
Gosford	2006	0	M	11325
Gosford	2006	1	F	64114
Gosford	2006	1	M	59546
Gosford	2011	0	F	13341
Gosford	2011	0	M	12488
Gosford	2011	1	F	66449
Gosford	2011	1	M	61664
Gosford	2016	0	F	15003
Gosford	2016	0	M	13815
Gosford	2016	1	F	66711
Gosford	2016	1	M	63077
Wyong	2006	0	F	8540
Wyong	2006	0	M	8024
Wyong	2006	1	F	58722
Wyong	2006	1	M	54875
Wyong	2011	0	F	9407
Wyong	2011	0	M	8550
Wyong	2011	1	F	63760
Wyong	2011	1	M	59766
Wyong	2016	0	F	10107
Wyong	2016	0	M	9131
Wyong	2016	1	F	66006
Wyong	2016	1	M	62591
Bathurst	2006	0	F	1507
Bathurst	2006	0	M	1677
Bathurst	2006	1	F	17732
Bathurst	2006	1	M	17961
Bathurst	2011	0	F	1705
Bathurst	2011	0	M	1975
Bathurst	2011	1	F	18693
Bathurst	2011	1	M	18794
Bathurst	2016	0	F	1954
Bathurst	2016	0	M	2091
Bathurst	2016	1	F	19221
Bathurst	2016	1	M	19486
Lachlan Valley	2006	0	F	1252
Lachlan Valley	2006	0	M	1149
Lachlan Valley	2006	1	F	25214
Lachlan Valley	2006	1	M	25038
Lachlan Valley	2011	0	F	1358
Lachlan Valley	2011	0	M	1228
Lachlan Valley	2011	1	F	24573
Lachlan Valley	2011	1	M	24337
Lachlan Valley	2016	0	F	1489
Lachlan Valley	2016	0	M	1313
Lachlan Valley	2016	1	F	23465
Lachlan Valley	2016	1	M	23260
Lithgow - Mudgee	2006	0	F	1762
Lithgow - Mudgee	2006	0	M	1793
Lithgow - Mudgee	2006	1	F	18012
Lithgow - Mudgee	2006	1	M	18274
Lithgow - Mudgee	2011	0	F	1825
Lithgow - Mudgee	2011	0	M	1877
Lithgow - Mudgee	2011	1	F	18529
Lithgow - Mudgee	2011	1	M	18880
Lithgow - Mudgee	2016	0	F	1934
Lithgow - Mudgee	2016	0	M	1913
Lithgow - Mudgee	2016	1	F	18451
Lithgow - Mudgee	2016	1	M	18933
Orange	2006	0	F	1792
Orange	2006	0	M	1656
Orange	2006	1	F	22536
Orange	2006	1	M	21664
Orange	2011	0	F	2198
Orange	2011	0	M	2065
Orange	2011	1	F	23994
Orange	2011	1	M	23126
Orange	2016	0	F	2533
Orange	2016	0	M	2319
Orange	2016	1	F	24642
Orange	2016	1	M	23791
Clarence Valley	2006	0	F	1620
Clarence Valley	2006	0	M	1598
Clarence Valley	2006	1	F	21166
Clarence Valley	2006	1	M	20693
Clarence Valley	2011	0	F	1849
Clarence Valley	2011	0	M	1743
Clarence Valley	2011	1	F	21889
Clarence Valley	2011	1	M	21321
Clarence Valley	2016	0	F	2011
Clarence Valley	2016	0	M	1780
Clarence Valley	2016	1	F	21184
Clarence Valley	2016	1	M	20915
Coffs Harbour	2006	0	F	4695
Coffs Harbour	2006	0	M	4247
Coffs Harbour	2006	1	F	33127
Coffs Harbour	2006	1	M	31493
Coffs Harbour	2011	0	F	5500
Coffs Harbour	2011	0	M	4915
Coffs Harbour	2011	1	F	34434
Coffs Harbour	2011	1	M	32604
Coffs Harbour	2016	0	F	6200
Coffs Harbour	2016	0	M	5471
Coffs Harbour	2016	1	F	34684
Coffs Harbour	2016	1	M	32978
Bourke - Cobar - Coonamble	2006	0	F	649
Bourke - Cobar - Coonamble	2006	0	M	738
Bourke - Cobar - Coonamble	2006	1	F	11140
Bourke - Cobar - Coonamble	2006	1	M	12080
Bourke - Cobar - Coonamble	2011	0	F	713
Bourke - Cobar - Coonamble	2011	0	M	745
Bourke - Cobar - Coonamble	2011	1	F	10487
Bourke - Cobar - Coonamble	2011	1	M	11071
Bourke - Cobar - Coonamble	2016	0	F	722
Bourke - Cobar - Coonamble	2016	0	M	642
Bourke - Cobar - Coonamble	2016	1	F	9437
Bourke - Cobar - Coonamble	2016	1	M	9882
Broken Hill and Far West	2006	0	F	507
Broken Hill and Far West	2006	0	M	483
Broken Hill and Far West	2006	1	F	9670
Broken Hill and Far West	2006	1	M	9534
Broken Hill and Far West	2011	0	F	499
Broken Hill and Far West	2011	0	M	487
Broken Hill and Far West	2011	1	F	9506
Broken Hill and Far West	2011	1	M	9242
Broken Hill and Far West	2016	0	F	465
Broken Hill and Far West	2016	0	M	443
Broken Hill and Far West	2016	1	F	8826
Broken Hill and Far West	2016	1	M	8551
Dubbo	2006	0	F	1558
Dubbo	2006	0	M	1556
Dubbo	2006	1	F	29671
Dubbo	2006	1	M	28283
Dubbo	2011	0	F	1777
Dubbo	2011	0	M	1713
Dubbo	2011	1	F	30566
Dubbo	2011	1	M	29363
Dubbo	2016	0	F	2305
Dubbo	2016	0	M	2220
Dubbo	2016	1	F	29640
Dubbo	2016	1	M	28785
Lower Hunter	2006	0	F	2503
Lower Hunter	2006	0	M	2431
Lower Hunter	2006	1	F	33474
Lower Hunter	2006	1	M	33577
Lower Hunter	2011	0	F	2837
Lower Hunter	2011	0	M	2792
Lower Hunter	2011	1	F	35903
Lower Hunter	2011	1	M	36134
Lower Hunter	2016	0	F	2946
Lower Hunter	2016	0	M	2812
Lower Hunter	2016	1	F	37198
Lower Hunter	2016	1	M	37601
Maitland	2006	0	F	2077
Maitland	2006	0	M	2008
Maitland	2006	1	F	26124
Maitland	2006	1	M	24957
Maitland	2011	0	F	2502
Maitland	2011	0	M	2419
Maitland	2011	1	F	28885
Maitland	2011	1	M	27577
Maitland	2016	0	F	3061
Maitland	2016	0	M	2856
Maitland	2016	1	F	32869
Maitland	2016	1	M	31437
Port Stephens	2006	0	F	3437
Port Stephens	2006	0	M	3246
Port Stephens	2006	1	F	26485
Port Stephens	2006	1	M	25779
Port Stephens	2011	0	F	3851
Port Stephens	2011	0	M	3687
Port Stephens	2011	1	F	28453
Port Stephens	2011	1	M	27568
Port Stephens	2016	0	F	4136
Port Stephens	2016	0	M	3902
Port Stephens	2016	1	F	29077
Port Stephens	2016	1	M	28529
Upper Hunter	2006	0	F	804
Upper Hunter	2006	0	M	840
Upper Hunter	2006	1	F	12224
Upper Hunter	2006	1	M	12626
Upper Hunter	2011	0	F	1021
Upper Hunter	2011	0	M	1051
Upper Hunter	2011	1	F	12659
Upper Hunter	2011	1	M	13080
Upper Hunter	2016	0	F	1124
Upper Hunter	2016	0	M	1203
Upper Hunter	2016	1	F	12492
Upper Hunter	2016	1	M	12662
Dapto - Port Kembla	2006	0	F	8312
Dapto - Port Kembla	2006	0	M	7909
Dapto - Port Kembla	2006	1	F	25148
Dapto - Port Kembla	2006	1	M	24768
Dapto - Port Kembla	2011	0	F	8184
Dapto - Port Kembla	2011	0	M	7680
Dapto - Port Kembla	2011	1	F	26512
Dapto - Port Kembla	2011	1	M	26032
Dapto - Port Kembla	2016	0	F	8216
Dapto - Port Kembla	2016	0	M	7460
Dapto - Port Kembla	2016	1	F	27900
Dapto - Port Kembla	2016	1	M	27359
Illawarra Catchment Reserve	2006	0	F	0
Illawarra Catchment Reserve	2006	0	M	0
Illawarra Catchment Reserve	2006	1	F	0
Illawarra Catchment Reserve	2006	1	M	0
Illawarra Catchment Reserve	2011	0	F	0
Illawarra Catchment Reserve	2011	0	M	0
Illawarra Catchment Reserve	2011	1	F	3
Illawarra Catchment Reserve	2011	1	M	3
Illawarra Catchment Reserve	2016	0	F	0
Illawarra Catchment Reserve	2016	0	M	0
Illawarra Catchment Reserve	2016	1	F	0
Illawarra Catchment Reserve	2016	1	M	0
Kiama - Shellharbour	2006	0	F	6995
Kiama - Shellharbour	2006	0	M	6437
Kiama - Shellharbour	2006	1	F	31107
Kiama - Shellharbour	2006	1	M	30213
Kiama - Shellharbour	2011	0	F	7386
Kiama - Shellharbour	2011	0	M	6682
Kiama - Shellharbour	2011	1	F	33595
Kiama - Shellharbour	2011	1	M	32586
Kiama - Shellharbour	2016	0	F	7552
Kiama - Shellharbour	2016	0	M	6802
Kiama - Shellharbour	2016	1	F	35513
Kiama - Shellharbour	2016	1	M	34426
Wollongong	2006	0	F	11940
Wollongong	2006	0	M	11509
Wollongong	2006	1	F	41925
Wollongong	2006	1	M	41037
Wollongong	2011	0	F	13219
Wollongong	2011	0	M	12852
Wollongong	2011	1	F	44740
Wollongong	2011	1	M	43831
Wollongong	2016	0	F	14270
Wollongong	2016	0	M	13979
Wollongong	2016	1	F	46807
Wollongong	2016	1	M	45899
Great Lakes	2006	0	F	1337
Great Lakes	2006	0	M	1353
Great Lakes	2006	1	F	12415
Great Lakes	2006	1	M	11831
Great Lakes	2011	0	F	1484
Great Lakes	2011	0	M	1443
Great Lakes	2011	1	F	12835
Great Lakes	2011	1	M	12156
Great Lakes	2016	0	F	1610
Great Lakes	2016	0	M	1551
Great Lakes	2016	1	F	13053
Great Lakes	2016	1	M	12359
Kempsey - Nambucca	2006	0	F	1788
Kempsey - Nambucca	2006	0	M	1763
Kempsey - Nambucca	2006	1	F	19378
Kempsey - Nambucca	2006	1	M	19306
Kempsey - Nambucca	2011	0	F	1930
Kempsey - Nambucca	2011	0	M	1823
Kempsey - Nambucca	2011	1	F	20339
Kempsey - Nambucca	2011	1	M	20097
Kempsey - Nambucca	2016	0	F	1987
Kempsey - Nambucca	2016	0	M	1825
Kempsey - Nambucca	2016	1	F	19850
Kempsey - Nambucca	2016	1	M	19762
Lord Howe Island	2006	0	F	19
Lord Howe Island	2006	0	M	26
Lord Howe Island	2006	1	F	143
Lord Howe Island	2006	1	M	138
Lord Howe Island	2011	0	F	24
Lord Howe Island	2011	0	M	29
Lord Howe Island	2011	1	F	157
Lord Howe Island	2011	1	M	142
Lord Howe Island	2016	0	F	29
Lord Howe Island	2016	0	M	30
Lord Howe Island	2016	1	F	147
Lord Howe Island	2016	1	M	138
Port Macquarie	2006	0	F	3787
Port Macquarie	2006	0	M	3375
Port Macquarie	2006	1	F	29644
Port Macquarie	2006	1	M	27577
Port Macquarie	2011	0	F	4226
Port Macquarie	2011	0	M	3826
Port Macquarie	2011	1	F	31710
Port Macquarie	2011	1	M	29325
Port Macquarie	2016	0	F	4728
Port Macquarie	2016	0	M	4238
Port Macquarie	2016	1	F	33229
Port Macquarie	2016	1	M	30653
Taree - Gloucester	2006	0	F	1920
Taree - Gloucester	2006	0	M	1867
Taree - Gloucester	2006	1	F	22185
Taree - Gloucester	2006	1	M	21244
