SA3_NAME16	Year	labourForceParticipation
Queanbeyan	2006	69
Queanbeyan	2011	71
Queanbeyan	2016	67.8
Snowy Mountains	2006	60.2
Snowy Mountains	2011	61.3
Snowy Mountains	2016	60.6
South Coast	2006	49.8
South Coast	2011	48.8
South Coast	2016	46.5
Goulburn - Mulwaree	2006	57
Goulburn - Mulwaree	2011	58.2
Goulburn - Mulwaree	2016	56.1
Young - Yass	2006	61.7
Young - Yass	2011	61.2
Young - Yass	2016	59.2
Gosford	2006	56.1
Gosford	2011	57.3
Gosford	2016	57.2
Wyong	2006	53.3
Wyong	2011	54.4
Wyong	2016	54.8
Bathurst	2006	60.6
Bathurst	2011	60.7
Bathurst	2016	57.8
Lachlan Valley	2006	56.6
Lachlan Valley	2011	55.5
Lachlan Valley	2016	53.1
Lithgow - Mudgee	2006	54.3
Lithgow - Mudgee	2011	54.3
Lithgow - Mudgee	2016	51.1
Orange	2006	60.8
Orange	2011	61.7
Orange	2016	60.3
Clarence Valley	2006	48.6
Clarence Valley	2011	48.1
Clarence Valley	2016	45.5
Coffs Harbour	2006	53.8
Coffs Harbour	2011	54.6
Coffs Harbour	2016	53.1
Bourke - Cobar - Coonamble	2006	58.6
Bourke - Cobar - Coonamble	2011	56.9
Bourke - Cobar - Coonamble	2016	52.7
Broken Hill and Far West	2006	50.1
Broken Hill and Far West	2011	51.8
Broken Hill and Far West	2016	51.1
Dubbo	2006	59.3
Dubbo	2011	59.6
Dubbo	2016	57.2
Lower Hunter	2006	57.7
Lower Hunter	2011	59
Lower Hunter	2016	56.5
Maitland	2006	61.4
Maitland	2011	62.8
Maitland	2016	62.4
Port Stephens	2006	52.9
Port Stephens	2011	53.5
Port Stephens	2016	51.3
Upper Hunter	2006	62.1
Upper Hunter	2011	63.1
Upper Hunter	2016	58.9
Dapto - Port Kembla	2006	53.7
Dapto - Port Kembla	2011	54.2
Dapto - Port Kembla	2016	54.4
Illawarra Catchment Reserve	2006	0
Illawarra Catchment Reserve	2011	37.5
Illawarra Catchment Reserve	2016	87.5
Kiama - Shellharbour	2006	58.2
Kiama - Shellharbour	2011	58.6
Kiama - Shellharbour	2016	57.4
Wollongong	2006	57.7
Wollongong	2011	58.3
Wollongong	2016	58.3
Great Lakes	2006	43.6
Great Lakes	2011	42.2
Great Lakes	2016	41
Kempsey - Nambucca	2006	45.9
Kempsey - Nambucca	2011	44.8
Kempsey - Nambucca	2016	43.1
Lord Howe Island	2006	76.2
Lord Howe Island	2011	73.1
Lord Howe Island	2016	69.7
Port Macquarie	2006	49.1
Port Macquarie	2011	49.7
Port Macquarie	2016	48.6
Taree - Gloucester	2006	49.7
Taree - Gloucester	2011	48
Taree - Gloucester	2016	45.5
Albury	2006	62.4
Albury	2011	61.7
Albury	2016	59.3
Lower Murray	2006	60.8
Lower Murray	2011	58.4
Lower Murray	2016	55
Upper Murray exc. Albury	2006	57.7
Upper Murray exc. Albury	2011	55.3
Upper Murray exc. Albury	2016	52.5
Armidale	2006	58.5
Armidale	2011	58.6
Armidale	2016	56.2
Inverell - Tenterfield	2006	53.3
Inverell - Tenterfield	2011	52.2
Inverell - Tenterfield	2016	49.5
Moree - Narrabri	2006	62.4
Moree - Narrabri	2011	61.4
Moree - Narrabri	2016	58.4
Tamworth - Gunnedah	2006	58.3
