SA3_NAME16	Year	Sex	persons
Queanbeyan	2006	F	24492
Queanbeyan	2006	M	24578
Queanbeyan	2011	F	26660
Queanbeyan	2011	M	26852
Queanbeyan	2016	F	28501
Queanbeyan	2016	M	28828
Snowy Mountains	2006	F	8988
Snowy Mountains	2006	M	9503
Snowy Mountains	2011	F	9193
Snowy Mountains	2011	M	9736
Snowy Mountains	2016	F	9354
Snowy Mountains	2016	M	10013
South Coast	2006	F	33612
South Coast	2006	M	32459
South Coast	2011	F	34514
South Coast	2011	M	33368
South Coast	2016	F	36029
South Coast	2016	M	34606
Goulburn - Mulwaree	2006	F	15858
Goulburn - Mulwaree	2006	M	16220
Goulburn - Mulwaree	2011	F	16426
Goulburn - Mulwaree	2011	M	16675
Goulburn - Mulwaree	2016	F	17572
Goulburn - Mulwaree	2016	M	17989
Young - Yass	2006	F	16300
Young - Yass	2006	M	15933
Young - Yass	2011	F	17412
Young - Yass	2011	M	16983
Young - Yass	2016	F	18257
Young - Yass	2016	M	17678
Gosford	2006	F	82094
Gosford	2006	M	76838
Gosford	2011	F	84435
Gosford	2011	M	78677
Gosford	2016	F	87173
Gosford	2016	M	81880
Wyong	2006	F	71921
Wyong	2006	M	67105
Wyong	2011	F	77052
Wyong	2011	M	72027
Wyong	2016	F	81803
Wyong	2016	M	76884
Bathurst	2006	F	20246
Bathurst	2006	M	20625
Bathurst	2011	F	21568
Bathurst	2011	M	21984
Bathurst	2016	F	23152
Bathurst	2016	M	23445
Lachlan Valley	2006	F	27883
Lachlan Valley	2006	M	27683
Lachlan Valley	2011	F	27541
Lachlan Valley	2011	M	27254
Lachlan Valley	2016	F	27879
Lachlan Valley	2016	M	27462
Lithgow - Mudgee	2006	F	21103
Lithgow - Mudgee	2006	M	21435
Lithgow - Mudgee	2011	F	21621
Lithgow - Mudgee	2011	M	22300
Lithgow - Mudgee	2016	F	23085
Lithgow - Mudgee	2016	M	23530
Orange	2006	F	25851
Orange	2006	M	24850
Orange	2011	F	27683
Orange	2011	M	26789
Orange	2016	F	29346
Orange	2016	M	28264
Clarence Valley	2006	F	24069
Clarence Valley	2006	M	23600
Clarence Valley	2011	F	24962
Clarence Valley	2011	M	24276
Clarence Valley	2016	F	25357
Clarence Valley	2016	M	24907
Coffs Harbour	2006	F	39901
Coffs Harbour	2006	M	37903
Coffs Harbour	2011	F	41846
Coffs Harbour	2011	M	39511
Coffs Harbour	2016	F	44344
Coffs Harbour	2016	M	41677
Bourke - Cobar - Coonamble	2006	F	12660
Bourke - Cobar - Coonamble	2006	M	13973
Bourke - Cobar - Coonamble	2011	F	12229
Bourke - Cobar - Coonamble	2011	M	13064
Bourke - Cobar - Coonamble	2016	F	11834
Bourke - Cobar - Coonamble	2016	M	12314
Broken Hill and Far West	2006	F	11164
Broken Hill and Far West	2006	M	10865
Broken Hill and Far West	2011	F	10750
Broken Hill and Far West	2011	M	10454
Broken Hill and Far West	2016	F	10251
Broken Hill and Far West	2016	M	9965
Dubbo	2006	F	33597
Dubbo	2006	M	32225
Dubbo	2011	F	34105
Dubbo	2011	M	32991
Dubbo	2016	F	35213
Dubbo	2016	M	34198
Lower Hunter	2006	F	38215
Lower Hunter	2006	M	38256
Lower Hunter	2011	F	40830
Lower Hunter	2011	M	41157
Lower Hunter	2016	F	43765
Lower Hunter	2016	M	43911
Maitland	2006	F	29828
Maitland	2006	M	28534
Maitland	2011	F	32754
Maitland	2011	M	31455
Maitland	2016	F	37948
Maitland	2016	M	36217
Port Stephens	2006	F	31788
Port Stephens	2006	M	30924
Port Stephens	2011	F	34248
Port Stephens	2011	M	33257
Port Stephens	2016	F	36092
Port Stephens	2016	M	35289
Upper Hunter	2006	F	13867
Upper Hunter	2006	M	14344
Upper Hunter	2011	F	14516
Upper Hunter	2011	M	15030
Upper Hunter	2016	F	14984
Upper Hunter	2016	M	15216
Dapto - Port Kembla	2006	F	35744
Dapto - Port Kembla	2006	M	34920
Dapto - Port Kembla	2011	F	36461
Dapto - Port Kembla	2011	M	35457
Dapto - Port Kembla	2016	F	38356
Dapto - Port Kembla	2016	M	37002
Illawarra Catchment Reserve	2006	F	0
Illawarra Catchment Reserve	2006	M	0
Illawarra Catchment Reserve	2011	F	7
Illawarra Catchment Reserve	2011	M	6
Illawarra Catchment Reserve	2016	F	3
Illawarra Catchment Reserve	2016	M	4
Kiama - Shellharbour	2006	F	40403
Kiama - Shellharbour	2006	M	38914
Kiama - Shellharbour	2011	F	42613
Kiama - Shellharbour	2011	M	40922
Kiama - Shellharbour	2016	F	45907
Kiama - Shellharbour	2016	M	43931
Wollongong	2006	F	57363
Wollongong	2006	M	56180
Wollongong	2011	F	60727
Wollongong	2011	M	59798
Wollongong	2016	F	64742
Wollongong	2016	M	63552
Great Lakes	2006	F	14670
Great Lakes	2006	M	14052
Great Lakes	2011	F	15282
Great Lakes	2011	M	14565
Great Lakes	2016	F	16017
Great Lakes	2016	M	15252
Kempsey - Nambucca	2006	F	22723
Kempsey - Nambucca	2006	M	22559
Kempsey - Nambucca	2011	F	23599
Kempsey - Nambucca	2011	M	23226
Kempsey - Nambucca	2016	F	24242
Kempsey - Nambucca	2016	M	23882
Lord Howe Island	2006	F	170
Lord Howe Island	2006	M	172
Lord Howe Island	2011	F	186
Lord Howe Island	2011	M	176
Lord Howe Island	2016	F	191
Lord Howe Island	2016	M	192
Port Macquarie	2006	F	35518
Port Macquarie	2006	M	32915
Port Macquarie	2011	F	37766
Port Macquarie	2011	M	34943
Port Macquarie	2016	F	40861
Port Macquarie	2016	M	37704
Taree - Gloucester	2006	F	25518
Taree - Gloucester	2006	M	24424
Taree - Gloucester	2011	F	26305
Taree - Gloucester	2011	M	25054
Taree - Gloucester	2016	F	27598
Taree - Gloucester	2016	M	26263
Albury	2006	F	28604
Albury	2006	M	27289
Albury	2011	F	29512
Albury	2011	M	27926
Albury	2016	F	31508
Albury	2016	M	29757
Lower Murray	2006	F	6314
Lower Murray	2006	M	6734
Lower Murray	2011	F	6022
Lower Murray	2011	M	6402
Lower Murray	2016	F	6110
Lower Murray	2016	M	6438
Upper Murray exc. Albury	2006	F	20249
Upper Murray exc. Albury	2006	M	20426
Upper Murray exc. Albury	2011	F	20235
Upper Murray exc. Albury	2011	M	20220
Upper Murray exc. Albury	2016	F	21120
Upper Murray exc. Albury	2016	M	20862
Armidale	2006	F	17879
Armidale	2006	M	16888
Armidale	2011	F	18544
Armidale	2011	M	17401
Armidale	2016	F	19135
Armidale	2016	M	17957
Inverell - Tenterfield	2006	F	18803
Inverell - Tenterfield	2006	M	18558
Inverell - Tenterfield	2011	F	19067
Inverell - Tenterfield	2011	M	18696
Inverell - Tenterfield	2016	F	19439
Inverell - Tenterfield	2016	M	18905
Moree - Narrabri	2006	F	12948
Moree - Narrabri	2006	M	13450
Moree - Narrabri	2011	F	12676
Moree - Narrabri	2011	M	13011
Moree - Narrabri	2016	F	12756
Moree - Narrabri	2016	M	12868
Tamworth - Gunnedah	2006	F	37651
Tamworth - Gunnedah	2006	M	36213
Tamworth - Gunnedah	2011	F	39007
Tamworth - Gunnedah	2011	M	37798
Tamworth - Gunnedah	2016	F	40969
Tamworth - Gunnedah	2016	M	39531
Lake Macquarie - East	2006	F	58652
Lake Macquarie - East	2006	M	56037
Lake Macquarie - East	2011	F	59919
Lake Macquarie - East	2011	M	56952
Lake Macquarie - East	2016	F	61519
Lake Macquarie - East	2016	M	58500
Lake Macquarie - West	2006	F	34100
Lake Macquarie - West	2006	M	32857
Lake Macquarie - West	2011	F	35717
Lake Macquarie - West	2011	M	34288
Lake Macquarie - West	2016	F	38477
Lake Macquarie - West	2016	M	36735
Newcastle	2006	F	75856
Newcastle	2006	M	72458
Newcastle	2011	F	79051
Newcastle	2011	M	76686
Newcastle	2016	F	83082
Newcastle	2016	M	80798
Richmond Valley - Coastal	2006	F	37044
Richmond Valley - Coastal	2006	M	35090
Richmond Valley - Coastal	2011	F	37700
Richmond Valley - Coastal	2011	M	35524
Richmond Valley - Coastal	2016	F	40460
