SA3_NAME16	Year	NonSchoolQualification	Sex	persons
Queanbeyan	2006		F	16928
Queanbeyan	2006		M	15494
Queanbeyan	2006	Certificate nfd	F	504
Queanbeyan	2006	Certificate nfd	M	226
Queanbeyan	2006	Certificate I and II Level	F	334
Queanbeyan	2006	Certificate I and II Level	M	142
Queanbeyan	2006	Certificate III and IV Level	F	1486
Queanbeyan	2006	Certificate III and IV Level	M	4128
Queanbeyan	2006	Advanced Diploma and Diploma	F	1686
Queanbeyan	2006	Advanced Diploma and Diploma	M	1302
Queanbeyan	2006	Bachelor	F	2488
Queanbeyan	2006	Bachelor	M	1995
Queanbeyan	2006	Graduate Diploma and Graduate Certificate	F	524
Queanbeyan	2006	Graduate Diploma and Graduate Certificate	M	379
Queanbeyan	2006	Postgraduate	F	542
Queanbeyan	2006	Postgraduate	M	912
Queanbeyan	2011		F	16817
Queanbeyan	2011		M	15891
Queanbeyan	2011	Certificate nfd	F	506
Queanbeyan	2011	Certificate nfd	M	225
Queanbeyan	2011	Certificate I and II Level	F	346
Queanbeyan	2011	Certificate I and II Level	M	172
Queanbeyan	2011	Certificate III and IV Level	F	2052
Queanbeyan	2011	Certificate III and IV Level	M	4814
Queanbeyan	2011	Advanced Diploma and Diploma	F	2154
Queanbeyan	2011	Advanced Diploma and Diploma	M	1656
Queanbeyan	2011	Bachelor	F	3206
Queanbeyan	2011	Bachelor	M	2358
Queanbeyan	2011	Graduate Diploma and Graduate Certificate	F	679
Queanbeyan	2011	Graduate Diploma and Graduate Certificate	M	447
Queanbeyan	2011	Postgraduate	F	900
Queanbeyan	2011	Postgraduate	M	1289
Queanbeyan	2016		F	16690
Queanbeyan	2016		M	16290
Queanbeyan	2016	Certificate nfd	F	599
Queanbeyan	2016	Certificate nfd	M	297
Queanbeyan	2016	Certificate I and II Level	F	382
Queanbeyan	2016	Certificate I and II Level	M	174
Queanbeyan	2016	Certificate III and IV Level	F	2403
Queanbeyan	2016	Certificate III and IV Level	M	5362
Queanbeyan	2016	Advanced Diploma and Diploma	F	2576
Queanbeyan	2016	Advanced Diploma and Diploma	M	2002
Queanbeyan	2016	Bachelor	F	3794
Queanbeyan	2016	Bachelor	M	2685
Queanbeyan	2016	Graduate Diploma and Graduate Certificate	F	823
Queanbeyan	2016	Graduate Diploma and Graduate Certificate	M	483
Queanbeyan	2016	Postgraduate	F	1234
Queanbeyan	2016	Postgraduate	M	1535
Snowy Mountains	2006		F	6509
Snowy Mountains	2006		M	6280
Snowy Mountains	2006	Certificate nfd	F	174
Snowy Mountains	2006	Certificate nfd	M	83
Snowy Mountains	2006	Certificate I and II Level	F	169
Snowy Mountains	2006	Certificate I and II Level	M	62
Snowy Mountains	2006	Certificate III and IV Level	F	643
Snowy Mountains	2006	Certificate III and IV Level	M	1984
Snowy Mountains	2006	Advanced Diploma and Diploma	F	579
Snowy Mountains	2006	Advanced Diploma and Diploma	M	369
Snowy Mountains	2006	Bachelor	F	729
Snowy Mountains	2006	Bachelor	M	546
Snowy Mountains	2006	Graduate Diploma and Graduate Certificate	F	110
Snowy Mountains	2006	Graduate Diploma and Graduate Certificate	M	60
Snowy Mountains	2006	Postgraduate	F	75
Snowy Mountains	2006	Postgraduate	M	119
Snowy Mountains	2011		F	6202
Snowy Mountains	2011		M	6109
Snowy Mountains	2011	Certificate nfd	F	199
Snowy Mountains	2011	Certificate nfd	M	100
Snowy Mountains	2011	Certificate I and II Level	F	159
Snowy Mountains	2011	Certificate I and II Level	M	84
Snowy Mountains	2011	Certificate III and IV Level	F	849
Snowy Mountains	2011	Certificate III and IV Level	M	2198
Snowy Mountains	2011	Advanced Diploma and Diploma	F	645
Snowy Mountains	2011	Advanced Diploma and Diploma	M	429
Snowy Mountains	2011	Bachelor	F	858
Snowy Mountains	2011	Bachelor	M	572
Snowy Mountains	2011	Graduate Diploma and Graduate Certificate	F	140
Snowy Mountains	2011	Graduate Diploma and Graduate Certificate	M	82
Snowy Mountains	2011	Postgraduate	F	141
Snowy Mountains	2011	Postgraduate	M	162
Snowy Mountains	2016		F	5740
Snowy Mountains	2016		M	5910
Snowy Mountains	2016	Certificate nfd	F	246
Snowy Mountains	2016	Certificate nfd	M	133
Snowy Mountains	2016	Certificate I and II Level	F	162
Snowy Mountains	2016	Certificate I and II Level	M	78
Snowy Mountains	2016	Certificate III and IV Level	F	981
Snowy Mountains	2016	Certificate III and IV Level	M	2417
Snowy Mountains	2016	Advanced Diploma and Diploma	F	830
Snowy Mountains	2016	Advanced Diploma and Diploma	M	526
Snowy Mountains	2016	Bachelor	F	1041
Snowy Mountains	2016	Bachelor	M	671
Snowy Mountains	2016	Graduate Diploma and Graduate Certificate	F	155
Snowy Mountains	2016	Graduate Diploma and Graduate Certificate	M	86
Snowy Mountains	2016	Postgraduate	F	199
Snowy Mountains	2016	Postgraduate	M	192
South Coast	2006		F	24961
South Coast	2006		M	20786
South Coast	2006	Certificate nfd	F	664
South Coast	2006	Certificate nfd	M	361
South Coast	2006	Certificate I and II Level	F	509
South Coast	2006	Certificate I and II Level	M	221
South Coast	2006	Certificate III and IV Level	F	2352
South Coast	2006	Certificate III and IV Level	M	7374
South Coast	2006	Advanced Diploma and Diploma	F	2125
South Coast	2006	Advanced Diploma and Diploma	M	1370
South Coast	2006	Bachelor	F	2294
South Coast	2006	Bachelor	M	1756
South Coast	2006	Graduate Diploma and Graduate Certificate	F	437
South Coast	2006	Graduate Diploma and Graduate Certificate	M	249
South Coast	2006	Postgraduate	F	270
South Coast	2006	Postgraduate	M	342
South Coast	2011		F	23622
South Coast	2011		M	20382
South Coast	2011	Certificate nfd	F	733
South Coast	2011	Certificate nfd	M	349
South Coast	2011	Certificate I and II Level	F	586
South Coast	2011	Certificate I and II Level	M	260
South Coast	2011	Certificate III and IV Level	F	3072
South Coast	2011	Certificate III and IV Level	M	7924
South Coast	2011	Advanced Diploma and Diploma	F	2546
South Coast	2011	Advanced Diploma and Diploma	M	1542
South Coast	2011	Bachelor	F	2874
South Coast	2011	Bachelor	M	2071
South Coast	2011	Graduate Diploma and Graduate Certificate	F	642
South Coast	2011	Graduate Diploma and Graduate Certificate	M	349
South Coast	2011	Postgraduate	F	439
South Coast	2011	Postgraduate	M	491
South Coast	2016		F	22609
South Coast	2016		M	20004
South Coast	2016	Certificate nfd	F	1071
South Coast	2016	Certificate nfd	M	560
South Coast	2016	Certificate I and II Level	F	581
South Coast	2016	Certificate I and II Level	M	295
South Coast	2016	Certificate III and IV Level	F	3622
South Coast	2016	Certificate III and IV Level	M	8391
South Coast	2016	Advanced Diploma and Diploma	F	3073
South Coast	2016	Advanced Diploma and Diploma	M	1929
South Coast	2016	Bachelor	F	3562
South Coast	2016	Bachelor	M	2350
South Coast	2016	Graduate Diploma and Graduate Certificate	F	803
South Coast	2016	Graduate Diploma and Graduate Certificate	M	418
South Coast	2016	Postgraduate	F	708
South Coast	2016	Postgraduate	M	659
Goulburn - Mulwaree	2006		F	11907
Goulburn - Mulwaree	2006		M	11221
Goulburn - Mulwaree	2006	Certificate nfd	F	363
Goulburn - Mulwaree	2006	Certificate nfd	M	174
Goulburn - Mulwaree	2006	Certificate I and II Level	F	267
Goulburn - Mulwaree	2006	Certificate I and II Level	M	110
Goulburn - Mulwaree	2006	Certificate III and IV Level	F	1086
Goulburn - Mulwaree	2006	Certificate III and IV Level	M	3190
Goulburn - Mulwaree	2006	Advanced Diploma and Diploma	F	975
Goulburn - Mulwaree	2006	Advanced Diploma and Diploma	M	628
Goulburn - Mulwaree	2006	Bachelor	F	955
Goulburn - Mulwaree	2006	Bachelor	M	671
Goulburn - Mulwaree	2006	Graduate Diploma and Graduate Certificate	F	187
Goulburn - Mulwaree	2006	Graduate Diploma and Graduate Certificate	M	70
Goulburn - Mulwaree	2006	Postgraduate	F	118
Goulburn - Mulwaree	2006	Postgraduate	M	156
Goulburn - Mulwaree	2011		F	11502
Goulburn - Mulwaree	2011		M	11083
Goulburn - Mulwaree	2011	Certificate nfd	F	381
Goulburn - Mulwaree	2011	Certificate nfd	M	175
Goulburn - Mulwaree	2011	Certificate I and II Level	F	294
Goulburn - Mulwaree	2011	Certificate I and II Level	M	147
Goulburn - Mulwaree	2011	Certificate III and IV Level	F	1530
Goulburn - Mulwaree	2011	Certificate III and IV Level	M	3451
Goulburn - Mulwaree	2011	Advanced Diploma and Diploma	F	1143
Goulburn - Mulwaree	2011	Advanced Diploma and Diploma	M	712
Goulburn - Mulwaree	2011	Bachelor	F	1172
Goulburn - Mulwaree	2011	Bachelor	M	797
Goulburn - Mulwaree	2011	Graduate Diploma and Graduate Certificate	F	203
Goulburn - Mulwaree	2011	Graduate Diploma and Graduate Certificate	M	111
Goulburn - Mulwaree	2011	Postgraduate	F	201
Goulburn - Mulwaree	2011	Postgraduate	M	199
Goulburn - Mulwaree	2016		F	11350
Goulburn - Mulwaree	2016		M	11402
Goulburn - Mulwaree	2016	Certificate nfd	F	479
Goulburn - Mulwaree	2016	Certificate nfd	M	234
Goulburn - Mulwaree	2016	Certificate I and II Level	F	262
Goulburn - Mulwaree	2016	Certificate I and II Level	M	146
Goulburn - Mulwaree	2016	Certificate III and IV Level	F	1931
