SA3_NAME16	Year	medianAgeOfPersons
Queanbeyan	2006	36
Snowy Mountains	2006	40
South Coast	2006	46
Goulburn - Mulwaree	2006	40
Young - Yass	2006	40
Gosford	2006	40
Wyong	2006	39
Bathurst	2006	35
Lachlan Valley	2006	40
Lithgow - Mudgee	2006	41
Orange	2006	37
Clarence Valley	2006	44
Coffs Harbour	2006	41
Bourke - Cobar - Coonamble	2006	37
Broken Hill and Far West	2006	42
Dubbo	2006	37
Lower Hunter	2006	37
Maitland	2006	35
Port Stephens	2006	41
Upper Hunter	2006	36
Dapto - Port Kembla	2006	38
Illawarra Catchment Reserve	2006	0
Kiama - Shellharbour	2006	37
Wollongong	2006	37
Great Lakes	2006	49
Kempsey - Nambucca	2006	44
Lord Howe Island	2006	44
Port Macquarie	2006	45
Taree - Gloucester	2006	44
Albury	2006	37
Lower Murray	2006	39
Upper Murray exc. Albury	2006	43
Armidale	2006	36
Inverell - Tenterfield	2006	42
Moree - Narrabri	2006	35
Tamworth - Gunnedah	2006	39
Lake Macquarie - East	2006	40
Lake Macquarie - West	2006	40
Newcastle	2006	37
Richmond Valley - Coastal	2006	42
Richmond Valley - Hinterland	2006	39
Tweed Valley	2006	44
Griffith - Murrumbidgee (West)	2006	36
Tumut - Tumbarumba	2006	41
Wagga Wagga	2006	36
Shoalhaven	2006	44
Southern Highlands	2006	42
Baulkham Hills	2006	36
Dural - Wisemans Ferry	2006	39
Hawkesbury	2006	36
Rouse Hill - McGraths Hill	2006	33
Blacktown	2006	34
Blacktown - North	2006	31
Mount Druitt	2006	30
Botany	2006	37
Marrickville - Sydenham - Petersham	2006	35
Sydney Inner City	2006	32
Eastern Suburbs - North	2006	36
Eastern Suburbs - South	2006	35
Bankstown	2006	35
Canterbury	2006	35
Hurstville	2006	38
Kogarah - Rockdale	2006	37
Canada Bay	2006	37
Leichhardt	2006	36
Strathfield - Burwood - Ashfield	2006	36
Chatswood - Lane Cove	2006	36
Hornsby	2006	37
Ku-ring-gai	2006	41
North Sydney - Mosman	2006	37
Manly	2006	37
Pittwater	2006	41
Warringah	2006	38
Camden	2006	32
Campbelltown (NSW)	2006	32
Wollondilly	2006	35
Blue Mountains	2006	39
Blue Mountains - South	2006	0
Penrith	2006	32
Richmond - Windsor	2006	32
St Marys	2006	32
Auburn	2006	31
Carlingford	2006	38
Merrylands - Guildford	2006	34
Parramatta	2006	34
Pennant Hills - Epping	2006	39
Ryde - Hunters Hill	2006	37
Bringelly - Green Valley	2006	31
Fairfield	2006	34
Liverpool	2006	32
Cronulla - Miranda - Caringbah	2006	38
Sutherland - Menai - Heathcote	2006	36
Migratory - Offshore - Shipping (NSW)	2006	38
No usual address (NSW)	2006	35
Ballarat	2006	36
Creswick - Daylesford - Ballan	2006	42
Maryborough - Pyrenees	2006	45
Bendigo	2006	36
Heathcote - Castlemaine - Kyneton	2006	43
Loddon - Elmore	2006	43
Barwon - West	2006	38
Geelong	2006	37
Surf Coast - Bellarine Peninsula	2006	42
Upper Goulburn Valley	2006	42
Wangaratta - Benalla	2006	42
Wodonga - Alpine	2006	38
Baw Baw	2006	39
Gippsland - East	2006	45
Gippsland - South West	2006	44
Latrobe Valley	2006	37
Wellington	2006	40
Brunswick - Coburg	2006	34
Darebin - South	2006	36
Essendon	2006	36
Melbourne City	2006	28
Port Phillip	2006	35
Stonnington - West	2006	35
Yarra	2006	33
Boroondara	2006	38
Manningham - West	2006	41
Whitehorse - West	2006	38
Bayside	2006	41
Glen Eira	2006	37
Kingston	2006	39
Stonnington - East	2006	36
Banyule	2006	38
Darebin - North	2006	37
Nillumbik - Kinglake	2006	36
Whittlesea - Wallan	2006	34
Keilor	2006	40
