SA3_NAME16	Year	SameAddress1YearAgo	Sex	persons
Queanbeyan	2006		F	1603
Queanbeyan	2006		M	1887
Queanbeyan	2006	0	F	3925
Queanbeyan	2006	0	M	3798
Queanbeyan	2006	1	F	18964
Queanbeyan	2006	1	M	18893
Queanbeyan	2011		F	1503
Queanbeyan	2011		M	1804
Queanbeyan	2011	0	F	3950
Queanbeyan	2011	0	M	3800
Queanbeyan	2011	1	F	21207
Queanbeyan	2011	1	M	21248
Queanbeyan	2016		F	2832
Queanbeyan	2016		M	2940
Queanbeyan	2016	0	F	4123
Queanbeyan	2016	0	M	4065
Queanbeyan	2016	1	F	21546
Queanbeyan	2016	1	M	21823
Snowy Mountains	2006		F	927
Snowy Mountains	2006		M	1298
Snowy Mountains	2006	0	F	1231
Snowy Mountains	2006	0	M	1282
Snowy Mountains	2006	1	F	6830
Snowy Mountains	2006	1	M	6923
Snowy Mountains	2011		F	657
Snowy Mountains	2011		M	995
Snowy Mountains	2011	0	F	1372
Snowy Mountains	2011	0	M	1324
Snowy Mountains	2011	1	F	7164
Snowy Mountains	2011	1	M	7417
Snowy Mountains	2016		F	948
Snowy Mountains	2016		M	1233
Snowy Mountains	2016	0	F	1293
Snowy Mountains	2016	0	M	1333
Snowy Mountains	2016	1	F	7113
Snowy Mountains	2016	1	M	7447
South Coast	2006		F	1576
South Coast	2006		M	1671
South Coast	2006	0	F	5016
South Coast	2006	0	M	4697
South Coast	2006	1	F	27020
South Coast	2006	1	M	26091
South Coast	2011		F	1829
South Coast	2011		M	1988
South Coast	2011	0	F	4859
South Coast	2011	0	M	4579
South Coast	2011	1	F	27826
South Coast	2011	1	M	26801
South Coast	2016		F	3523
South Coast	2016		M	3472
South Coast	2016	0	F	4700
South Coast	2016	0	M	4382
South Coast	2016	1	F	27806
South Coast	2016	1	M	26752
Goulburn - Mulwaree	2006		F	908
Goulburn - Mulwaree	2006		M	1504
Goulburn - Mulwaree	2006	0	F	2151
Goulburn - Mulwaree	2006	0	M	2124
Goulburn - Mulwaree	2006	1	F	12799
Goulburn - Mulwaree	2006	1	M	12592
Goulburn - Mulwaree	2011		F	771
Goulburn - Mulwaree	2011		M	1384
Goulburn - Mulwaree	2011	0	F	2215
Goulburn - Mulwaree	2011	0	M	2077
Goulburn - Mulwaree	2011	1	F	13440
Goulburn - Mulwaree	2011	1	M	13214
Goulburn - Mulwaree	2016		F	1732
Goulburn - Mulwaree	2016		M	2288
Goulburn - Mulwaree	2016	0	F	2361
Goulburn - Mulwaree	2016	0	M	2286
Goulburn - Mulwaree	2016	1	F	13479
Goulburn - Mulwaree	2016	1	M	13415
Young - Yass	2006		F	682
Young - Yass	2006		M	780
Young - Yass	2006	0	F	2299
Young - Yass	2006	0	M	2173
Young - Yass	2006	1	F	13319
Young - Yass	2006	1	M	12980
Young - Yass	2011		F	998
Young - Yass	2011		M	1069
Young - Yass	2011	0	F	2278
Young - Yass	2011	0	M	2166
Young - Yass	2011	1	F	14136
Young - Yass	2011	1	M	13748
Young - Yass	2016		F	1541
Young - Yass	2016		M	1539
Young - Yass	2016	0	F	2342
Young - Yass	2016	0	M	2143
Young - Yass	2016	1	F	14374
Young - Yass	2016	1	M	13996
Gosford	2006		F	6087
Gosford	2006		M	6032
Gosford	2006	0	F	10810
Gosford	2006	0	M	10315
Gosford	2006	1	F	65197
Gosford	2006	1	M	60491
Gosford	2011		F	4653
Gosford	2011		M	4875
Gosford	2011	0	F	10972
Gosford	2011	0	M	9938
Gosford	2011	1	F	68810
Gosford	2011	1	M	63864
Gosford	2016		F	7466
Gosford	2016		M	7242
Gosford	2016	0	F	11483
Gosford	2016	0	M	10584
Gosford	2016	1	F	68224
Gosford	2016	1	M	64054
Wyong	2006		F	4292
Wyong	2006		M	4193
Wyong	2006	0	F	10668
Wyong	2006	0	M	9639
Wyong	2006	1	F	56961
Wyong	2006	1	M	53273
Wyong	2011		F	4061
Wyong	2011		M	4076
Wyong	2011	0	F	10534
Wyong	2011	0	M	9647
Wyong	2011	1	F	62457
Wyong	2011	1	M	58304
Wyong	2016		F	7528
Wyong	2016		M	7026
Wyong	2016	0	F	11225
Wyong	2016	0	M	10240
Wyong	2016	1	F	63050
Wyong	2016	1	M	59618
Bathurst	2006		F	1005
Bathurst	2006		M	1912
Bathurst	2006	0	F	3485
Bathurst	2006	0	M	3279
Bathurst	2006	1	F	15756
Bathurst	2006	1	M	15434
Bathurst	2011		F	1214
Bathurst	2011		M	2075
Bathurst	2011	0	F	3481
Bathurst	2011	0	M	3248
Bathurst	2011	1	F	16873
Bathurst	2011	1	M	16661
Bathurst	2016		F	2418
Bathurst	2016		M	3288
Bathurst	2016	0	F	3456
Bathurst	2016	0	M	3286
Bathurst	2016	1	F	17278
Bathurst	2016	1	M	16871
Lachlan Valley	2006		F	1233
Lachlan Valley	2006		M	1409
Lachlan Valley	2006	0	F	3819
Lachlan Valley	2006	0	M	3672
Lachlan Valley	2006	1	F	22831
Lachlan Valley	2006	1	M	22602
Lachlan Valley	2011		F	1576
Lachlan Valley	2011		M	1686
Lachlan Valley	2011	0	F	3446
Lachlan Valley	2011	0	M	3264
Lachlan Valley	2011	1	F	22519
Lachlan Valley	2011	1	M	22304
Lachlan Valley	2016		F	3257
Lachlan Valley	2016		M	3211
Lachlan Valley	2016	0	F	3187
Lachlan Valley	2016	0	M	2902
Lachlan Valley	2016	1	F	21435
Lachlan Valley	2016	1	M	21349
Lithgow - Mudgee	2006		F	1197
Lithgow - Mudgee	2006		M	1639
Lithgow - Mudgee	2006	0	F	2761
Lithgow - Mudgee	2006	0	M	2605
Lithgow - Mudgee	2006	1	F	17145
Lithgow - Mudgee	2006	1	M	17191
Lithgow - Mudgee	2011		F	1245
Lithgow - Mudgee	2011		M	1912
Lithgow - Mudgee	2011	0	F	2943
Lithgow - Mudgee	2011	0	M	2858
Lithgow - Mudgee	2011	1	F	17433
Lithgow - Mudgee	2011	1	M	17530
Lithgow - Mudgee	2016		F	2915
Lithgow - Mudgee	2016		M	3416
Lithgow - Mudgee	2016	0	F	2868
Lithgow - Mudgee	2016	0	M	2734
Lithgow - Mudgee	2016	1	F	17302
Lithgow - Mudgee	2016	1	M	17380
Orange	2006		F	1422
Orange	2006		M	1522
Orange	2006	0	F	4131
Orange	2006	0	M	3798
Orange	2006	1	F	20298
Orange	2006	1	M	19530
Orange	2011		F	1593
Orange	2011		M	1830
Orange	2011	0	F	4152
Orange	2011	0	M	3963
Orange	2011	1	F	21938
Orange	2011	1	M	20996
Orange	2016		F	2709
Orange	2016		M	2761
Orange	2016	0	F	4341
Orange	2016	0	M	4096
Orange	2016	1	F	22296
Orange	2016	1	M	21407
Clarence Valley	2006		F	1120
Clarence Valley	2006		M	1494
Clarence Valley	2006	0	F	3661
Clarence Valley	2006	0	M	3394
Clarence Valley	2006	1	F	19288
Clarence Valley	2006	1	M	18712
Clarence Valley	2011		F	1208
Clarence Valley	2011		M	1504
Clarence Valley	2011	0	F	3573
Clarence Valley	2011	0	M	3220
Clarence Valley	2011	1	F	20181
Clarence Valley	2011	1	M	19552
Clarence Valley	2016		F	2371
Clarence Valley	2016		M	2655
Clarence Valley	2016	0	F	3353
Clarence Valley	2016	0	M	3175
Clarence Valley	2016	1	F	19633
Clarence Valley	2016	1	M	19077
Coffs Harbour	2006		F	1885
Coffs Harbour	2006		M	2073
Coffs Harbour	2006	0	F	6776
Coffs Harbour	2006	0	M	6118
Coffs Harbour	2006	1	F	31240
Coffs Harbour	2006	1	M	29712
Coffs Harbour	2011		F	1983
Coffs Harbour	2011		M	2129
Coffs Harbour	2011	0	F	6923
Coffs Harbour	2011	0	M	6272
Coffs Harbour	2011	1	F	32940
Coffs Harbour	2011	1	M	31110
Coffs Harbour	2016		F	4333
Coffs Harbour	2016		M	4137
Coffs Harbour	2016	0	F	6790
Coffs Harbour	2016	0	M	6166
Coffs Harbour	2016	1	F	33221
Coffs Harbour	2016	1	M	31374
Bourke - Cobar - Coonamble	2006		F	870
Bourke - Cobar - Coonamble	2006		M	1178
Bourke - Cobar - Coonamble	2006	0	F	2058
