SA3_NAME16	Year	IndustryOfEmployment	Sex	workers
Queanbeyan	2006		F	242
Queanbeyan	2006		M	357
Queanbeyan	2006	Accommodation and food services	F	804
Queanbeyan	2006	Accommodation and food services	M	561
Queanbeyan	2006	Administrative and support services	F	415
Queanbeyan	2006	Administrative and support services	M	347
Queanbeyan	2006	Agriculture forestry and fishing	F	172
Queanbeyan	2006	Agriculture forestry and fishing	M	388
Queanbeyan	2006	Arts and recreation services	F	174
Queanbeyan	2006	Arts and recreation services	M	203
Queanbeyan	2006	Construction	F	272
Queanbeyan	2006	Construction	M	1992
Queanbeyan	2006	Education and training	F	1061
Queanbeyan	2006	Education and training	M	521
Queanbeyan	2006	Electricity gas water and waste services	F	88
Queanbeyan	2006	Electricity gas water and waste services	M	219
Queanbeyan	2006	Financial and insurance services	F	294
Queanbeyan	2006	Financial and insurance services	M	157
Queanbeyan	2006	Health care and social assistance	F	1659
Queanbeyan	2006	Health care and social assistance	M	378
Queanbeyan	2006	Information media and telecommunications	F	217
Queanbeyan	2006	Information media and telecommunications	M	249
Queanbeyan	2006	Manufacturing	F	343
Queanbeyan	2006	Manufacturing	M	1239
Queanbeyan	2006	Mining	F	3
Queanbeyan	2006	Mining	M	34
Queanbeyan	2006	Other services	F	480
Queanbeyan	2006	Other services	M	539
Queanbeyan	2006	Professional scientific and technical services	F	791
Queanbeyan	2006	Professional scientific and technical services	M	952
Queanbeyan	2006	Public administration and safety	F	2961
Queanbeyan	2006	Public administration and safety	M	3045
Queanbeyan	2006	Rental hiring and real estate services	F	221
Queanbeyan	2006	Rental hiring and real estate services	M	169
Queanbeyan	2006	Retail trade	F	1387
Queanbeyan	2006	Retail trade	M	1040
Queanbeyan	2006	Transport postal and warehousing	F	238
Queanbeyan	2006	Transport postal and warehousing	M	807
Queanbeyan	2006	Wholesale trade	F	236
Queanbeyan	2006	Wholesale trade	M	473
Queanbeyan	2011		F	250
Queanbeyan	2011		M	321
Queanbeyan	2011	Accommodation and food services	F	811
Queanbeyan	2011	Accommodation and food services	M	638
Queanbeyan	2011	Administrative and support services	F	423
Queanbeyan	2011	Administrative and support services	M	365
Queanbeyan	2011	Agriculture forestry and fishing	F	163
Queanbeyan	2011	Agriculture forestry and fishing	M	354
Queanbeyan	2011	Arts and recreation services	F	223
Queanbeyan	2011	Arts and recreation services	M	188
Queanbeyan	2011	Construction	F	325
Queanbeyan	2011	Construction	M	2560
Queanbeyan	2011	Education and training	F	1253
Queanbeyan	2011	Education and training	M	557
Queanbeyan	2011	Electricity gas water and waste services	F	119
Queanbeyan	2011	Electricity gas water and waste services	M	282
Queanbeyan	2011	Financial and insurance services	F	277
Queanbeyan	2011	Financial and insurance services	M	169
Queanbeyan	2011	Health care and social assistance	F	2025
Queanbeyan	2011	Health care and social assistance	M	437
Queanbeyan	2011	Information media and telecommunications	F	209
Queanbeyan	2011	Information media and telecommunications	M	221
Queanbeyan	2011	Manufacturing	F	347
Queanbeyan	2011	Manufacturing	M	1093
Queanbeyan	2011	Mining	F	11
Queanbeyan	2011	Mining	M	55
Queanbeyan	2011	Other services	F	482
Queanbeyan	2011	Other services	M	592
Queanbeyan	2011	Professional scientific and technical services	F	932
Queanbeyan	2011	Professional scientific and technical services	M	1148
Queanbeyan	2011	Public administration and safety	F	3908
Queanbeyan	2011	Public administration and safety	M	3799
Queanbeyan	2011	Rental hiring and real estate services	F	249
Queanbeyan	2011	Rental hiring and real estate services	M	169
Queanbeyan	2011	Retail trade	F	1465
Queanbeyan	2011	Retail trade	M	1169
Queanbeyan	2011	Transport postal and warehousing	F	254
Queanbeyan	2011	Transport postal and warehousing	M	822
Queanbeyan	2011	Wholesale trade	F	210
Queanbeyan	2011	Wholesale trade	M	459
Queanbeyan	2016		F	422
Queanbeyan	2016		M	734
Queanbeyan	2016	Accommodation and food services	F	836
Queanbeyan	2016	Accommodation and food services	M	749
Queanbeyan	2016	Administrative and support services	F	456
Queanbeyan	2016	Administrative and support services	M	398
Queanbeyan	2016	Agriculture forestry and fishing	F	176
Queanbeyan	2016	Agriculture forestry and fishing	M	362
Queanbeyan	2016	Arts and recreation services	F	229
Queanbeyan	2016	Arts and recreation services	M	197
Queanbeyan	2016	Construction	F	320
Queanbeyan	2016	Construction	M	2723
Queanbeyan	2016	Education and training	F	1542
Queanbeyan	2016	Education and training	M	614
Queanbeyan	2016	Electricity gas water and waste services	F	81
Queanbeyan	2016	Electricity gas water and waste services	M	237
Queanbeyan	2016	Financial and insurance services	F	241
Queanbeyan	2016	Financial and insurance services	M	134
Queanbeyan	2016	Health care and social assistance	F	2326
Queanbeyan	2016	Health care and social assistance	M	543
Queanbeyan	2016	Information media and telecommunications	F	165
Queanbeyan	2016	Information media and telecommunications	M	259
Queanbeyan	2016	Manufacturing	F	274
Queanbeyan	2016	Manufacturing	M	813
Queanbeyan	2016	Mining	F	10
Queanbeyan	2016	Mining	M	66
Queanbeyan	2016	Other services	F	487
Queanbeyan	2016	Other services	M	604
Queanbeyan	2016	Professional scientific and technical services	F	933
Queanbeyan	2016	Professional scientific and technical services	M	1090
Queanbeyan	2016	Public administration and safety	F	3956
Queanbeyan	2016	Public administration and safety	M	3632
Queanbeyan	2016	Rental hiring and real estate services	F	256
Queanbeyan	2016	Rental hiring and real estate services	M	196
Queanbeyan	2016	Retail trade	F	1326
Queanbeyan	2016	Retail trade	M	1102
Queanbeyan	2016	Transport postal and warehousing	F	257
Queanbeyan	2016	Transport postal and warehousing	M	787
Queanbeyan	2016	Wholesale trade	F	149
Queanbeyan	2016	Wholesale trade	M	346
Snowy Mountains	2006		F	63
Snowy Mountains	2006		M	96
Snowy Mountains	2006	Accommodation and food services	F	666
Snowy Mountains	2006	Accommodation and food services	M	520
Snowy Mountains	2006	Administrative and support services	F	131
Snowy Mountains	2006	Administrative and support services	M	82
Snowy Mountains	2006	Agriculture forestry and fishing	F	251
Snowy Mountains	2006	Agriculture forestry and fishing	M	718
Snowy Mountains	2006	Arts and recreation services	F	133
Snowy Mountains	2006	Arts and recreation services	M	215
Snowy Mountains	2006	Construction	F	79
Snowy Mountains	2006	Construction	M	601
Snowy Mountains	2006	Education and training	F	384
