SA3_NAME16	Year	Age	NonSchoolQualification	adults
Queanbeyan	2006	15-19		423
Queanbeyan	2006	15-19	Certificate nfd	12
Queanbeyan	2006	15-19	Certificate I and II Level	40
Queanbeyan	2006	15-19	Certificate III and IV Level	80
Queanbeyan	2006	15-19	Advanced Diploma and Diploma	17
Queanbeyan	2006	15-19	Bachelor	3
Queanbeyan	2006	15-19	Graduate Diploma and Graduate Certificate	0
Queanbeyan	2006	15-19	Postgraduate	0
Queanbeyan	2006	20-24		262
Queanbeyan	2006	20-24	Certificate nfd	39
Queanbeyan	2006	20-24	Certificate I and II Level	81
Queanbeyan	2006	20-24	Certificate III and IV Level	467
Queanbeyan	2006	20-24	Advanced Diploma and Diploma	178
Queanbeyan	2006	20-24	Bachelor	270
Queanbeyan	2006	20-24	Graduate Diploma and Graduate Certificate	4
Queanbeyan	2006	20-24	Postgraduate	4
Queanbeyan	2006	25-34		620
Queanbeyan	2006	25-34	Certificate nfd	139
Queanbeyan	2006	25-34	Certificate I and II Level	112
Queanbeyan	2006	25-34	Certificate III and IV Level	1171
Queanbeyan	2006	25-34	Advanced Diploma and Diploma	574
Queanbeyan	2006	25-34	Bachelor	1159
Queanbeyan	2006	25-34	Graduate Diploma and Graduate Certificate	146
Queanbeyan	2006	25-34	Postgraduate	207
Queanbeyan	2006	35-44		818
Queanbeyan	2006	35-44	Certificate nfd	197
Queanbeyan	2006	35-44	Certificate I and II Level	119
Queanbeyan	2006	35-44	Certificate III and IV Level	1467
Queanbeyan	2006	35-44	Advanced Diploma and Diploma	840
Queanbeyan	2006	35-44	Bachelor	1191
Queanbeyan	2006	35-44	Graduate Diploma and Graduate Certificate	286
Queanbeyan	2006	35-44	Postgraduate	458
Queanbeyan	2006	45-54		795
Queanbeyan	2006	45-54	Certificate nfd	192
Queanbeyan	2006	45-54	Certificate I and II Level	71
Queanbeyan	2006	45-54	Certificate III and IV Level	1218
Queanbeyan	2006	45-54	Advanced Diploma and Diploma	712
Queanbeyan	2006	45-54	Bachelor	968
Queanbeyan	2006	45-54	Graduate Diploma and Graduate Certificate	278
Queanbeyan	2006	45-54	Postgraduate	393
Queanbeyan	2006	55-64		670
Queanbeyan	2006	55-64	Certificate nfd	93
Queanbeyan	2006	55-64	Certificate I and II Level	32
Queanbeyan	2006	55-64	Certificate III and IV Level	738
Queanbeyan	2006	55-64	Advanced Diploma and Diploma	447
Queanbeyan	2006	55-64	Bachelor	596
Queanbeyan	2006	55-64	Graduate Diploma and Graduate Certificate	154
Queanbeyan	2006	55-64	Postgraduate	290
Queanbeyan	2006	65-74		478
Queanbeyan	2006	65-74	Certificate nfd	30
Queanbeyan	2006	65-74	Certificate I and II Level	13
Queanbeyan	2006	65-74	Certificate III and IV Level	324
Queanbeyan	2006	65-74	Advanced Diploma and Diploma	137
Queanbeyan	2006	65-74	Bachelor	218
Queanbeyan	2006	65-74	Graduate Diploma and Graduate Certificate	28
Queanbeyan	2006	65-74	Postgraduate	86
Queanbeyan	2006	75-84		377
Queanbeyan	2006	75-84	Certificate nfd	17
Queanbeyan	2006	75-84	Certificate I and II Level	3
Queanbeyan	2006	75-84	Certificate III and IV Level	124
Queanbeyan	2006	75-84	Advanced Diploma and Diploma	60
Queanbeyan	2006	75-84	Bachelor	73
Queanbeyan	2006	75-84	Graduate Diploma and Graduate Certificate	5
Queanbeyan	2006	75-84	Postgraduate	21
Queanbeyan	2006	85+		144
Queanbeyan	2006	85+	Certificate nfd	0
Queanbeyan	2006	85+	Certificate I and II Level	0
Queanbeyan	2006	85+	Certificate III and IV Level	25
Queanbeyan	2006	85+	Advanced Diploma and Diploma	11
Queanbeyan	2006	85+	Bachelor	3
Queanbeyan	2006	85+	Graduate Diploma and Graduate Certificate	0
Queanbeyan	2006	85+	Postgraduate	0
Queanbeyan	2011	15-19		323
Queanbeyan	2011	15-19	Certificate nfd	18
Queanbeyan	2011	15-19	Certificate I and II Level	53
Queanbeyan	2011	15-19	Certificate III and IV Level	120
Queanbeyan	2011	15-19	Advanced Diploma and Diploma	16
Queanbeyan	2011	15-19	Bachelor	0
Queanbeyan	2011	15-19	Graduate Diploma and Graduate Certificate	0
Queanbeyan	2011	15-19	Postgraduate	0
Queanbeyan	2011	20-24		269
Queanbeyan	2011	20-24	Certificate nfd	42
Queanbeyan	2011	20-24	Certificate I and II Level	75
Queanbeyan	2011	20-24	Certificate III and IV Level	629
Queanbeyan	2011	20-24	Advanced Diploma and Diploma	209
Queanbeyan	2011	20-24	Bachelor	255
Queanbeyan	2011	20-24	Graduate Diploma and Graduate Certificate	8
Queanbeyan	2011	20-24	Postgraduate	8
Queanbeyan	2011	25-34		562
Queanbeyan	2011	25-34	Certificate nfd	101
Queanbeyan	2011	25-34	Certificate I and II Level	113
Queanbeyan	2011	25-34	Certificate III and IV Level	1437
Queanbeyan	2011	25-34	Advanced Diploma and Diploma	688
Queanbeyan	2011	25-34	Bachelor	1436
Queanbeyan	2011	25-34	Graduate Diploma and Graduate Certificate	187
Queanbeyan	2011	25-34	Postgraduate	361
Queanbeyan	2011	35-44		673
Queanbeyan	2011	35-44	Certificate nfd	184
Queanbeyan	2011	35-44	Certificate I and II Level	120
Queanbeyan	2011	35-44	Certificate III and IV Level	1584
Queanbeyan	2011	35-44	Advanced Diploma and Diploma	1038
Queanbeyan	2011	35-44	Bachelor	1473
Queanbeyan	2011	35-44	Graduate Diploma and Graduate Certificate	309
Queanbeyan	2011	35-44	Postgraduate	628
Queanbeyan	2011	45-54		803
Queanbeyan	2011	45-54	Certificate nfd	170
Queanbeyan	2011	45-54	Certificate I and II Level	89
Queanbeyan	2011	45-54	Certificate III and IV Level	1499
Queanbeyan	2011	45-54	Advanced Diploma and Diploma	957
Queanbeyan	2011	45-54	Bachelor	1158
Queanbeyan	2011	45-54	Graduate Diploma and Graduate Certificate	312
Queanbeyan	2011	45-54	Postgraduate	575
Queanbeyan	2011	55-64		661
Queanbeyan	2011	55-64	Certificate nfd	146
Queanbeyan	2011	55-64	Certificate I and II Level	41
